Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-18,16:00:00,15.709,16.001,15.428,15.758,4089,0
2017-04-18,17:00:00,15.719,15.758,15.709,15.758,4626,0
2017-04-18,18:00:00,15.68,15.69,15.582,15.612,823,0
2017-04-18,19:00:00,15.612,15.657,15.602,15.657,1851,0
2017-04-18,20:00:00,15.642,15.642,15.642,15.642,102,0
2017-04-18,21:00:00,15.655,15.655,15.638,15.638,766,0
2017-04-18,22:00:00,15.67,15.758,15.622,15.622,7073,0
2017-04-19,16:00:00,15.709,15.709,15.709,15.709,496,0
2017-04-19,17:00:00,15.981,15.981,15.704,15.879,1851,0
2017-04-19,18:00:00,15.688,15.688,15.592,15.592,2261,0
2017-04-19,19:00:00,15.592,15.758,15.592,15.63,1028,0
2017-04-19,20:00:00,15.66,15.66,15.582,15.582,308,0
2017-04-19,21:00:00,15.622,15.622,15.496,15.496,1817,0
2017-04-19,22:00:00,15.632,15.65,15.564,15.564,1670,0
2017-04-20,16:00:00,15.632,15.632,15.592,15.592,570,0
2017-04-20,17:00:00,15.582,16.216,15.582,15.612,2894,0
2017-04-20,19:00:00,15.69,15.7,15.632,15.7,4163,0
2017-04-20,20:00:00,15.7,15.7,15.7,15.7,102,0
2017-04-20,21:00:00,15.612,15.612,15.612,15.612,102,0
2017-04-20,22:00:00,15.622,15.68,15.612,15.68,788,0
2017-04-21,16:00:00,15.797,15.797,15.797,15.797,2808,0
2017-04-21,17:00:00,15.622,15.622,15.607,15.607,1192,0
2017-04-21,18:00:00,15.582,15.641,15.564,15.573,2555,0
2017-04-21,19:00:00,15.573,15.573,15.573,15.573,102,0
2017-04-21,20:00:00,15.597,15.7,15.564,15.7,4536,0
2017-04-21,21:00:00,15.733,15.884,15.733,15.884,460,0
2017-04-21,22:00:00,15.62,15.884,15.62,15.709,3090,0
2017-04-24,16:00:00,15.748,15.748,15.748,15.748,969,0
2017-04-24,17:00:00,15.831,16.099,15.564,15.855,4729,0
2017-04-24,18:00:00,15.758,15.758,15.728,15.758,514,0
2017-04-24,19:00:00,15.758,15.758,15.748,15.758,2040,0
2017-04-24,20:00:00,15.748,15.748,15.748,15.748,102,0
2017-04-24,22:00:00,15.632,15.738,15.612,15.728,9715,0
2017-04-25,16:00:00,15.884,16.059,15.806,16.011,62843,0
2017-04-25,17:00:00,15.884,16.059,15.879,15.879,4009,0
2017-04-25,18:00:00,15.904,15.904,15.855,15.855,4874,0
2017-04-25,19:00:00,16.049,16.049,15.826,15.884,13490,0
2017-04-25,20:00:00,15.894,15.894,15.806,15.816,5021,0
2017-04-25,21:00:00,15.85,15.85,15.85,15.85,102,0
2017-04-25,22:00:00,15.646,15.738,15.602,15.602,19890,0
2017-04-26,16:00:00,15.777,15.914,15.777,15.914,1647,0
2017-04-26,17:00:00,16.001,16.04,15.884,15.904,2056,0
2017-04-26,18:00:00,15.904,15.913,15.904,15.913,206,0
2017-04-26,19:00:00,15.923,15.972,15.845,15.972,1542,0
2017-04-26,20:00:00,15.884,15.952,15.855,15.884,3058,0
2017-04-26,21:00:00,15.855,15.904,15.855,15.904,2234,0
2017-04-26,22:00:00,15.875,15.875,15.816,15.836,3634,0
2017-04-27,16:00:00,15.923,16.03,15.7,16.001,4910,0
2017-04-27,17:00:00,16.03,16.235,15.908,15.908,3080,0
2017-04-27,18:00:00,15.777,15.996,15.758,15.991,2403,0
2017-04-27,19:00:00,15.87,15.879,15.87,15.879,1131,0
2017-04-27,20:00:00,15.894,15.899,15.894,15.899,206,0
2017-04-27,21:00:00,15.865,15.991,15.855,15.855,11103,0
2017-04-27,22:00:00,15.865,15.904,15.816,15.904,1163,0
2017-04-28,16:00:00,16.03,16.03,15.836,15.845,4275,0
2017-04-28,17:00:00,15.957,15.957,15.84,15.855,1028,0
2017-04-28,18:00:00,15.752,15.855,15.752,15.855,1285,0
2017-04-28,19:00:00,15.738,15.784,15.719,15.719,1645,0
2017-04-28,21:00:00,15.738,15.738,15.651,15.651,3215,0
2017-04-28,22:00:00,15.66,15.797,15.66,15.777,7064,0
2017-05-01,16:00:00,15.904,16.157,15.816,15.816,2940,0
2017-05-01,17:00:00,15.806,15.806,15.806,15.806,102,0
2017-05-01,18:00:00,15.816,15.816,15.787,15.787,1851,0
2017-05-01,19:00:00,15.787,15.787,15.729,15.729,1080,0
2017-05-01,20:00:00,15.768,15.777,15.738,15.738,617,0
2017-05-01,21:00:00,15.66,15.66,15.651,15.66,1747,0
2017-05-01,22:00:00,15.612,15.66,15.573,15.651,3659,0
2017-05-02,16:00:00,15.797,15.797,15.797,15.797,1294,0
2017-05-02,17:00:00,15.641,15.709,15.622,15.709,514,0
2017-05-02,18:00:00,15.709,15.709,15.592,15.602,1234,0
2017-05-02,19:00:00,15.69,15.69,15.69,15.69,102,0
2017-05-02,20:00:00,15.67,15.67,15.67,15.67,102,0
2017-05-02,21:00:00,15.709,15.709,15.709,15.709,102,0
2017-05-02,22:00:00,15.709,15.709,15.564,15.69,1480,0
2017-05-03,16:00:00,15.748,15.806,15.748,15.806,3564,0
2017-05-03,17:00:00,15.641,15.7,15.641,15.69,514,0
2017-05-03,18:00:00,15.69,15.69,15.622,15.69,617,0
2017-05-03,19:00:00,15.69,15.69,15.573,15.69,669,0
2017-05-03,20:00:00,15.69,15.69,15.69,15.69,206,0
2017-05-03,21:00:00,15.69,15.69,15.637,15.69,1152,0
2017-05-03,22:00:00,15.69,15.69,15.622,15.632,1897,0
2017-05-04,16:00:00,15.573,15.587,15.573,15.587,2401,0
2017-05-04,17:00:00,15.564,15.602,15.564,15.602,4505,0
2017-05-04,18:00:00,15.602,15.748,15.602,15.679,823,0
2017-05-04,19:00:00,15.622,15.622,15.573,15.573,2043,0
2017-05-04,20:00:00,15.592,15.592,15.592,15.592,102,0
2017-05-04,21:00:00,15.612,15.612,15.612,15.612,102,0
2017-05-04,22:00:00,15.602,15.602,15.573,15.592,703,0
2017-05-05,16:00:00,15.651,15.651,15.651,15.651,1155,0
2017-05-05,17:00:00,15.67,15.67,15.605,15.605,411,0
2017-05-05,18:00:00,15.573,15.573,15.564,15.564,1851,0
2017-05-05,19:00:00,15.66,15.66,15.66,15.66,411,0
2017-05-05,20:00:00,15.621,15.66,15.586,15.66,2435,0
2017-05-05,21:00:00,15.574,15.574,15.574,15.574,715,0
2017-05-05,22:00:00,15.632,15.709,15.632,15.709,953,0
2017-05-08,16:00:00,15.768,15.768,15.768,15.768,569,0
2017-05-08,17:00:00,15.592,15.602,15.592,15.602,206,0
2017-05-08,18:00:00,15.899,15.899,15.592,15.612,1439,0
2017-05-08,19:00:00,15.612,15.721,15.573,15.592,915,0
2017-05-08,20:00:00,15.573,15.696,15.573,15.602,2015,0
2017-05-08,22:00:00,15.573,15.709,15.514,15.709,5534,0
2017-05-09,16:00:00,15.758,15.836,15.758,15.836,2356,0
2017-05-09,17:00:00,15.777,15.797,15.575,15.575,1388,0
2017-05-09,18:00:00,15.582,15.582,15.582,15.582,102,0
2017-05-09,20:00:00,15.622,15.668,15.614,15.614,2570,0
2017-05-09,22:00:00,15.68,15.7,15.524,15.7,42306,0
2017-05-10,16:00:00,15.728,15.733,15.709,15.709,3248,0
2017-05-10,17:00:00,15.709,15.709,15.617,15.66,7395,0
2017-05-10,18:00:00,15.69,15.69,15.514,15.534,3187,0
2017-05-10,19:00:00,15.68,15.69,15.552,15.66,2781,0
2017-05-10,20:00:00,15.564,15.564,15.564,15.564,3085,0
2017-05-10,21:00:00,15.564,15.573,15.554,15.554,4212,0
2017-05-10,22:00:00,15.564,15.582,15.514,15.582,11044,0
2017-05-11,16:00:00,15.719,15.719,15.719,15.719,1015,0
2017-05-11,17:00:00,15.564,15.564,15.564,15.564,1131,0
2017-05-11,19:00:00,15.544,15.544,15.544,15.544,102,0
2017-05-11,22:00:00,15.554,15.573,15.524,15.573,930,0
2017-05-12,16:00:00,15.573,15.592,15.486,15.486,2353,0
2017-05-12,18:00:00,15.466,15.486,15.032,15.251,7360,0
2017-05-12,19:00:00,15.249,15.249,15.249,15.249,550,0
2017-05-12,20:00:00,15.272,15.31,15.272,15.3,824,0
2017-05-12,21:00:00,15.592,15.592,15.32,15.366,2159,0
2017-05-12,22:00:00,15.514,15.554,15.514,15.554,480,0
2017-05-15,16:00:00,15.554,15.564,15.554,15.564,758,0
2017-05-15,20:00:00,15.179,15.486,15.087,15.466,2776,0
2017-05-15,21:00:00,15.339,15.35,15.238,15.324,2584,0
2017-05-15,22:00:00,15.436,15.69,15.077,15.476,50622,0
2017-05-16,16:00:00,15.855,16.147,15.514,15.529,34293,0
2017-05-16,17:00:00,15.514,15.524,15.174,15.174,9458,0
2017-05-16,18:00:00,15.184,15.313,15.175,15.194,2364,0
2017-05-16,19:00:00,15.184,15.184,15.184,15.184,102,0
2017-05-16,20:00:00,15.388,15.418,15.223,15.31,853,0
2017-05-16,21:00:00,15.242,15.242,15.242,15.242,206,0
2017-05-16,22:00:00,15.242,15.313,15.174,15.174,7328,0
2017-05-17,16:00:00,15.33,15.368,15.3,15.31,1392,0
2017-05-17,17:00:00,14.98,15.121,14.785,14.948,4832,0
2017-05-17,18:00:00,14.926,15.077,14.883,14.931,4408,0
2017-05-17,19:00:00,14.931,14.931,14.883,14.883,5427,0
2017-05-17,20:00:00,14.902,14.931,14.883,14.883,617,0
2017-05-17,21:00:00,14.906,14.911,14.883,14.902,1635,0
2017-05-17,22:00:00,14.931,15.077,14.892,15.038,6560,0
2017-05-18,16:00:00,15.272,15.272,14.911,14.911,2112,0
2017-05-18,17:00:00,14.863,15.019,14.824,14.905,3213,0
2017-05-18,18:00:00,14.853,14.902,14.833,14.833,2781,0
