Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,21.244,21.312,21.126,21.184,8872,0
2017-05-16,17:00:00,21.189,21.274,21.036,21.066,12454,0
2017-05-16,18:00:00,21.056,21.254,21.026,21.254,9919,0
2017-05-16,19:00:00,21.224,21.254,21.184,21.244,5089,0
2017-05-16,20:00:00,21.244,21.244,21.194,21.194,10769,0
2017-05-16,21:00:00,21.204,21.312,21.204,21.303,15931,0
2017-05-16,22:00:00,21.312,21.381,21.284,21.362,124887,0
2017-05-17,16:00:00,20.76,20.918,20.7,20.7,13677,0
2017-05-17,17:00:00,20.69,20.789,20.414,20.414,58240,0
2017-05-17,18:00:00,20.414,20.505,20.364,20.453,49120,0
2017-05-17,19:00:00,20.434,20.463,20.305,20.463,23220,0
2017-05-17,20:00:00,20.443,20.453,20.295,20.305,21796,0
2017-05-17,21:00:00,20.295,20.354,20.117,20.354,60255,0
2017-05-17,22:00:00,20.354,20.463,20.315,20.325,166577,0
2017-05-18,16:00:00,20.275,20.512,20.275,20.325,12695,0
2017-05-18,17:00:00,20.315,20.621,20.315,20.478,28853,0
2017-05-18,18:00:00,20.483,20.542,20.226,20.305,57453,0
2017-05-18,19:00:00,20.335,20.463,20.256,20.443,56821,0
2017-05-18,20:00:00,20.443,20.443,20.315,20.404,36529,0
2017-05-18,21:00:00,20.429,20.512,20.414,20.434,76851,0
2017-05-18,22:00:00,20.434,20.458,20.265,20.265,287592,0
2017-05-19,16:00:00,20.522,20.592,20.404,20.463,68698,0
2017-05-19,17:00:00,20.434,20.502,20.384,20.424,49296,0
2017-05-19,18:00:00,20.434,20.453,20.275,20.354,33288,0
2017-05-19,19:00:00,20.359,20.434,20.359,20.404,77263,0
2017-05-19,20:00:00,20.394,20.414,20.325,20.404,37213,0
2017-05-19,21:00:00,20.404,20.468,20.374,20.429,115007,0
2017-05-19,22:00:00,20.434,20.438,20.236,20.256,304427,0
2017-05-22,16:00:00,20.344,20.344,20.256,20.305,9891,0
2017-05-22,17:00:00,20.315,20.424,20.196,20.216,28458,0
2017-05-22,18:00:00,20.226,20.364,20.216,20.354,24690,0
2017-05-22,19:00:00,20.354,20.448,20.335,20.344,57690,0
2017-05-22,20:00:00,20.344,20.394,20.315,20.325,22609,0
2017-05-22,21:00:00,20.325,20.354,20.251,20.265,68301,0
2017-05-22,22:00:00,20.265,20.305,20.206,20.226,270242,0
2017-05-23,16:00:00,20.256,20.305,20.167,20.206,29649,0
2017-05-23,17:00:00,20.186,20.354,20.157,20.344,39205,0
2017-05-23,18:00:00,20.344,20.542,20.315,20.522,94279,0
2017-05-23,19:00:00,20.552,20.641,20.453,20.463,24550,0
2017-05-23,20:00:00,20.473,20.532,20.443,20.522,29699,0
2017-05-23,21:00:00,20.522,20.77,20.512,20.74,49462,0
2017-05-23,22:00:00,20.73,20.76,20.602,20.611,157584,0
2017-05-24,16:00:00,20.7,20.7,20.512,20.602,14469,0
2017-05-24,17:00:00,20.582,20.67,20.502,20.621,13505,0
2017-05-24,18:00:00,20.621,20.651,20.443,20.532,22708,0
2017-05-24,19:00:00,20.532,20.631,20.483,20.493,9426,0
2017-05-24,20:00:00,20.493,20.502,20.394,20.443,13264,0
2017-05-24,21:00:00,20.453,20.493,20.364,20.483,18071,0
2017-05-24,22:00:00,20.493,20.542,20.424,20.502,79815,0
2017-05-25,16:00:00,20.582,20.651,20.512,20.621,5827,0
2017-05-25,17:00:00,20.592,20.75,20.552,20.552,17471,0
2017-05-25,18:00:00,20.542,20.621,20.404,20.414,10569,0
2017-05-25,19:00:00,20.424,20.522,20.424,20.458,9397,0
2017-05-25,20:00:00,20.453,20.468,20.305,20.364,41524,0
2017-05-25,21:00:00,20.364,20.424,20.325,20.404,23594,0
2017-05-25,22:00:00,20.404,20.572,20.384,20.512,100068,0
2017-05-26,16:00:00,20.483,20.502,20.384,20.493,9149,0
2017-05-26,17:00:00,20.493,20.493,20.305,20.364,15677,0
2017-05-26,18:00:00,20.364,20.473,20.354,20.438,11349,0
2017-05-26,19:00:00,20.448,20.572,20.448,20.562,8183,0
2017-05-26,20:00:00,20.562,20.592,20.463,20.463,13650,0
2017-05-26,21:00:00,20.463,20.512,20.434,20.443,14114,0
2017-05-26,22:00:00,20.453,20.502,20.374,20.414,87561,0
2017-05-30,16:00:00,20.305,20.335,20.186,20.196,7147,0
2017-05-30,17:00:00,20.167,20.167,19.939,20.038,24061,0
2017-05-30,18:00:00,20.058,20.117,19.939,19.999,21528,0
2017-05-30,19:00:00,20.028,20.078,19.969,20.038,9547,0
2017-05-30,20:00:00,20.058,20.147,20.019,20.102,6275,0
2017-05-30,21:00:00,20.117,20.117,20.009,20.078,15767,0
2017-05-30,22:00:00,20.097,20.137,20.068,20.107,74908,0
2017-05-31,16:00:00,20.147,20.147,19.771,19.771,7439,0
2017-05-31,17:00:00,19.732,19.831,19.663,19.831,39226,0
2017-05-31,18:00:00,19.88,19.91,19.741,19.861,13540,0
2017-05-31,19:00:00,19.87,19.934,19.851,19.91,7967,0
2017-05-31,20:00:00,19.919,19.979,19.87,19.919,18059,0
2017-05-31,21:00:00,19.929,20.024,19.88,19.919,17126,0
2017-05-31,22:00:00,19.929,20.088,19.929,20.058,113215,0
2017-06-01,16:00:00,20.167,20.236,19.999,20.097,23773,0
2017-06-01,17:00:00,20.078,20.275,19.979,20.137,21927,0
2017-06-01,18:00:00,20.117,20.246,20.088,20.206,20337,0
2017-06-01,19:00:00,20.206,20.335,20.186,20.325,13806,0
2017-06-01,20:00:00,20.335,20.404,20.315,20.374,24776,0
2017-06-01,21:00:00,20.364,20.483,20.344,20.429,31397,0
2017-06-01,22:00:00,20.404,20.512,20.335,20.502,112111,0
2017-06-02,16:00:00,20.236,20.621,20.147,20.414,18501,0
2017-06-02,17:00:00,20.453,20.641,20.434,20.572,55098,0
2017-06-02,18:00:00,20.572,20.76,20.453,20.76,30451,0
2017-06-02,19:00:00,20.71,20.71,20.502,20.522,41370,0
2017-06-02,20:00:00,20.522,20.616,20.434,20.592,29168,0
