Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-05,16:00:00,25,25,25,25,1040,0
2017-05-05,17:00:00,24.96,25.01,24.96,25.01,480,0
2017-05-05,19:00:00,25.03,25.03,25,25,1900,0
2017-05-05,21:00:00,25.23,25.23,25.22,25.22,5917,0
2017-05-05,22:00:00,25.346,25.346,25.346,25.346,100,0
2017-05-08,16:00:00,25.75,25.75,25.25,25.27,1795,0
2017-05-08,17:00:00,25.25,25.34,25.25,25.34,600,0
2017-05-08,18:00:00,25.15,25.15,25.15,25.15,112,0
2017-05-08,20:00:00,25.29,25.29,25.29,25.29,100,0
2017-05-08,22:00:00,25.3,25.3,25.26,25.26,1444,0
2017-05-09,16:00:00,25.74,25.74,25.34,25.34,440,0
2017-05-09,17:00:00,25.427,25.48,25.3456,25.3456,1125,0
2017-05-09,18:00:00,25.42,25.42,25.42,25.42,600,0
2017-05-09,20:00:00,25.47,25.47,25.47,25.47,500,0
2017-05-09,21:00:00,25.48,25.51,25.48,25.51,223,0
2017-05-09,22:00:00,25.45,25.45,25.345,25.345,425,0
2017-05-10,16:00:00,25.67,25.67,25.67,25.67,100,0
2017-05-10,19:00:00,25.27,25.27,25.27,25.27,696,0
2017-05-10,20:00:00,25.1695,25.17,25.1367,25.1699,1100,0
2017-05-10,21:00:00,25.05,25.05,24.63,24.9399,1700,0
2017-05-11,16:00:00,24.28,25.02,24.28,25.02,1289,0
2017-05-11,17:00:00,24.49,24.6101,24.49,24.6101,200,0
2017-05-11,22:00:00,25.07,25.07,24.99,24.99,543,0
2017-05-12,16:00:00,25.09,25.09,25.09,25.09,500,0
2017-05-12,18:00:00,24.715,24.715,24.715,24.715,100,0
2017-05-12,20:00:00,24.69,24.69,24.69,24.69,1003,0
2017-05-12,21:00:00,24.73,24.73,24.73,24.73,100,0
2017-05-12,22:00:00,24.7,24.74,24.65,24.69,3400,0
2017-05-15,17:00:00,25,25,25,25,400,0
2017-05-15,22:00:00,25,25,25,25,200,0
2017-05-16,16:00:00,25.35,25.35,25.35,25.35,200,0
2017-05-16,19:00:00,25.1999,25.1999,25.1999,25.1999,500,0
2017-05-16,22:00:00,25.13,25.13,25.13,25.13,400,0
2017-05-17,16:00:00,24.48,24.48,24.44,24.44,300,0
2017-05-17,17:00:00,24.294,24.33,24.25,24.25,1400,0
2017-05-17,18:00:00,24.18,24.245,24.18,24.23,900,0
2017-05-17,19:00:00,24.18,24.18,24.18,24.18,100,0
2017-05-17,20:00:00,24.26,24.26,24.16,24.16,200,0
2017-05-17,21:00:00,24.12,24.12,23.85,23.85,200,0
2017-05-17,22:00:00,23.9301,23.98,23.79,23.79,1500,0
2017-05-18,16:00:00,23.0289,23.0345,23.0289,23.0345,300,0
2017-05-18,18:00:00,23.63,23.63,23.598,23.6,848,0
2017-05-18,21:00:00,23.93,23.93,23.93,23.93,325,0
2017-05-18,22:00:00,23.66,23.66,23.66,23.66,400,0
2017-05-19,16:00:00,24,24.0933,24,24.0933,700,0
2017-05-19,17:00:00,24.3844,24.6355,24.3844,24.6355,1707,0
2017-05-19,18:00:00,24.55,24.55,24.5461,24.5461,200,0
2017-05-19,20:00:00,24.75,24.8,24.75,24.7755,5680,0
2017-05-19,21:00:00,24.86,24.95,24.86,24.919,1844,0
2017-05-19,22:00:00,24.85,24.85,24.6336,24.7056,2790,0
2017-05-22,16:00:00,26.65,26.7236,25.5497,25.61,27512,0
2017-05-22,17:00:00,25.63,25.78,25.374,25.374,4438,0
2017-05-22,18:00:00,25.3899,25.45,25.268,25.268,1310,0
2017-05-22,19:00:00,25.31,25.48,25.2868,25.39,10924,0
2017-05-22,20:00:00,25.41,25.41,25.35,25.3899,3880,0
2017-05-22,21:00:00,25.39,25.41,25.35,25.35,800,0
2017-05-22,22:00:00,25.36,25.42,25.3561,25.3752,3199,0
2017-05-23,16:00:00,25.55,25.55,25.29,25.2904,3660,0
2017-05-23,17:00:00,25.2844,25.62,25.16,25.6024,38688,0
2017-05-23,18:00:00,25.6152,25.85,25.575,25.78,31742,0
2017-05-23,19:00:00,25.76,25.76,25.545,25.545,9752,0
2017-05-23,20:00:00,25.61,25.61,25.556,25.5799,3000,0
2017-05-23,21:00:00,25.6,25.67,25.55,25.622,2800,0
2017-05-23,22:00:00,25.69,25.7,25.6,25.7,7750,0
2017-05-24,16:00:00,26.32,26.32,26,26.29,3827,0
2017-05-24,17:00:00,26.3,26.54,26.24,26.24,9080,0
2017-05-24,18:00:00,26.24,26.24,26.01,26.048,5908,0
2017-05-24,19:00:00,26.092,26.092,26,26.09,2583,0
2017-05-24,20:00:00,26.0472,26.08,25.991,26.08,1192,0
2017-05-24,21:00:00,26.12,26.27,26.095,26.104,4500,0
2017-05-24,22:00:00,26.0679,26.27,26.06,26.27,1890,0
2017-05-25,16:00:00,26.8,26.83,26.7601,26.8,4335,0
2017-05-25,17:00:00,26.76,27,26.76,26.88,5414,0
2017-05-25,18:00:00,26.794,26.794,26.49,26.572,8134,0
2017-05-25,19:00:00,26.6006,26.6006,26.5,26.5,1500,0
2017-05-25,20:00:00,26.6,26.6571,26.55,26.55,2600,0
2017-05-25,21:00:00,26.866,26.8803,26.73,26.8601,2785,0
2017-05-25,22:00:00,26.86,27.01,26.829,27.01,9856,0
2017-05-26,16:00:00,27,27.107,27,27.0931,4050,0
2017-05-26,17:00:00,27.06,27.07,26.863,27.02,5800,0
2017-05-26,18:00:00,26.93,26.93,26.8,26.9172,1000,0
2017-05-26,19:00:00,26.93,27.07,26.93,26.9924,3245,0
2017-05-26,20:00:00,26.955,26.96,26.8558,26.8558,2970,0
2017-05-26,21:00:00,26.8794,26.95,26.8688,26.8688,1315,0
2017-05-26,22:00:00,26.99,27.01,26.8098,26.97,9874,0
2017-05-30,16:00:00,26.81,26.97,26.8,26.82,4025,0
2017-05-30,17:00:00,26.81,26.81,26.45,26.64,3520,0
2017-05-30,18:00:00,26.64,26.65,26.428,26.4618,4235,0
2017-05-30,19:00:00,26.424,26.4585,26.3833,26.4353,1560,0
2017-05-30,21:00:00,26.43,26.43,26.37,26.37,910,0
2017-05-30,22:00:00,26.689,26.689,26.45,26.518,1291,0
2017-05-31,16:00:00,26.84,26.84,26.15,26.15,6318,0
2017-05-31,17:00:00,26.16,26.48,26.16,26.47,6739,0
2017-05-31,18:00:00,26.64,26.66,26.59,26.59,4300,0
2017-05-31,19:00:00,26.65,26.82,26.63,26.63,1200,0
2017-05-31,20:00:00,26.8083,26.85,26.66,26.75,3600,0
2017-05-31,21:00:00,26.717,26.717,26.717,26.717,811,0
2017-05-31,22:00:00,26.79,27.1,26.79,27.1,4200,0
2017-06-01,16:00:00,27.47,27.47,26.9,27.1375,5490,0
2017-06-01,17:00:00,26.92,27.08,26.8101,27.08,1278,0
2017-06-01,18:00:00,26.915,26.99,26.915,26.99,810,0
2017-06-01,19:00:00,27.232,27.27,27.1855,27.2293,1500,0
2017-06-01,20:00:00,27.33,27.48,27.3102,27.33,1400,0
2017-06-01,21:00:00,27.24,27.39,27.24,27.39,600,0
2017-06-01,22:00:00,27.38,27.41,27.23,27.39,2700,0
2017-06-02,16:00:00,28.01,28.01,27.5588,27.61,2349,0
2017-06-02,17:00:00,27.6106,28.04,27.6106,28.04,1500,0
2017-06-02,18:00:00,28.08,28.4075,28.0798,28.4075,1543,0
2017-06-02,19:00:00,28.25,28.31,28.2,28.2,7897,0
2017-06-02,21:00:00,28.2199,28.2199,28.0213,28.1219,1661,0
2017-06-02,22:00:00,28.1223,28.149,28,28,4293,0
2017-06-05,16:00:00,28.13,28.22,27.7501,27.7507,5514,0
2017-06-05,17:00:00,27.8,27.8,27.601,27.601,2713,0
2017-06-05,18:00:00,27.5933,27.5933,27.3606,27.3606,2276,0
2017-06-05,19:00:00,27.4484,27.47,27.35,27.35,5349,0
2017-06-05,20:00:00,27.4076,27.42,27.349,27.349,800,0
2017-06-05,21:00:00,27.3791,27.3791,27.228,27.228,2450,0
2017-06-05,22:00:00,27.21,27.2991,27.07,27.13,3989,0
2017-06-06,16:00:00,26.65,26.8,26.195,26.52,1492,0
2017-06-06,17:00:00,26.6253,26.83,26.6253,26.642,1940,0
2017-06-06,18:00:00,26.77,26.77,26.67,26.7688,1100,0
2017-06-06,19:00:00,26.77,26.77,26.71,26.71,1755,0
2017-06-06,20:00:00,26.7099,26.7099,26.63,26.63,2200,0
2017-06-06,21:00:00,26.5522,26.6,26.5522,26.6,700,0
2017-06-06,22:00:00,26.46,26.545,26.35,26.45,3103,0
2017-06-07,16:00:00,26.3595,26.3595,26.3595,26.3595,155,0
2017-06-07,17:00:00,26.275,26.43,26.19,26.405,2532,0
2017-06-07,18:00:00,26.4059,26.47,26.17,26.2838,4000,0
2017-06-07,19:00:00,26.3699,26.4,26.13,26.22,4965,0
2017-06-07,20:00:00,26.14,26.28,26.14,26.27,600,0
2017-06-07,22:00:00,26.23,26.36,26.23,26.36,788,0
2017-06-08,16:00:00,26.01,26.3607,26.01,26.26,2942,0
2017-06-08,17:00:00,26.2994,26.3801,26.2994,26.32,1494,0
2017-06-08,18:00:00,26.561,26.76,26.561,26.7399,578,0
2017-06-08,19:00:00,26.86,27.0599,26.78,27.0225,1050,0
2017-06-08,20:00:00,27.1499,27.1499,27.08,27.14,1697,0
2017-06-08,21:00:00,27.05,27.05,26.9,26.9404,3189,0
2017-06-08,22:00:00,26.82,26.998,26.82,26.97,4119,0
2017-06-09,16:00:00,27.28,28.23,27.118,27.118,601,0
2017-06-09,17:00:00,27.0321,27.36,27.0321,27.355,1744,0
2017-06-09,18:00:00,27.34,27.3422,27.3073,27.3422,797,0
2017-06-09,19:00:00,27.36,27.36,27.2002,27.2002,720,0
2017-06-09,20:00:00,27.16,27.1875,27.12,27.1607,1750,0
2017-06-09,21:00:00,27.052,27.06,26.76,26.8898,3900,0
