Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-10,16:00:00,4.05,4.1,4.05,4.1,1450,0
2017-05-10,17:00:00,4.05,4.0501,4,4,2983,0
2017-05-10,18:00:00,4,4.1,4,4.1,200,0
2017-05-10,19:00:00,4,4.1,4,4.05,6165,0
2017-05-10,20:00:00,4.0561,4.0561,4.05,4.055,1400,0
2017-05-10,22:00:00,4.0622,4.1,4.05,4.1,3731,0
2017-05-11,16:00:00,4.075,4.15,4.075,4.15,2400,0
2017-05-11,17:00:00,4.1,4.1179,4.05,4.05,1100,0
2017-05-11,18:00:00,4.05,4.1,4.05,4.05,3500,0
2017-05-11,19:00:00,4.05,4.05,4.05,4.05,700,0
2017-05-11,20:00:00,4.05,4.1,4.05,4.05,1900,0
2017-05-11,21:00:00,4,4.05,4,4.0236,2550,0
2017-05-11,22:00:00,4,4.1,4,4.05,7125,0
2017-05-12,16:00:00,4.05,4.05,4,4.026,1800,0
2017-05-12,17:00:00,4,4.025,4,4.025,1100,0
2017-05-12,18:00:00,4.025,4.1,4.004,4.1,8748,0
2017-05-12,19:00:00,4.05,4.1,4.04,4.05,1800,0
2017-05-12,20:00:00,4.05,4.1,4.05,4.075,900,0
2017-05-12,21:00:00,4.075,4.15,4.05,4.1,5392,0
2017-05-12,22:00:00,4.1,4.15,4.05,4.15,14116,0
2017-05-15,16:00:00,4.15,4.15,4.05,4.05,17769,0
2017-05-15,17:00:00,4.05,4.1,3.95,4,11600,0
2017-05-15,18:00:00,4,4.0502,3.95,4,13285,0
2017-05-15,19:00:00,4,4.015,3.9,3.9,9150,0
2017-05-15,20:00:00,3.9,3.9931,3.9,3.9,3800,0
2017-05-15,21:00:00,3.9,4,3.9,3.975,7250,0
2017-05-15,22:00:00,3.975,4,3.95,4,10310,0
2017-05-16,16:00:00,4,4,3.959,3.959,1535,0
2017-05-16,17:00:00,4,4.0499,3.9,3.9,24552,0
2017-05-16,18:00:00,3.87,3.899,3.8,3.85,19728,0
2017-05-16,19:00:00,3.875,3.95,3.8721,3.9127,15000,0
2017-05-16,20:00:00,3.9,3.95,3.85,3.8501,27884,0
2017-05-16,21:00:00,3.91,3.91,3.85,3.9,8347,0
2017-05-16,22:00:00,3.95,4.7,3.91,4.2595,618900,0
2017-05-17,16:00:00,4,4.15,3.9,3.9665,44944,0
2017-05-17,17:00:00,3.95,4.0747,3.9,3.9801,25963,0
2017-05-17,18:00:00,3.9981,3.9981,3.9,3.925,31230,0
2017-05-17,19:00:00,3.9174,3.95,3.9,3.9497,9580,0
2017-05-17,20:00:00,3.9302,3.95,3.9,3.95,12312,0
2017-05-17,21:00:00,3.9308,3.95,3.9,3.95,10040,0
2017-05-17,22:00:00,3.925,3.9254,3.85,3.9,26618,0
2017-05-18,16:00:00,3.95,3.95,3.85,3.85,2887,0
2017-05-18,17:00:00,3.8705,3.8995,3.85,3.8501,4647,0
2017-05-18,18:00:00,3.85,3.8999,3.85,3.8815,7573,0
2017-05-18,19:00:00,3.85,3.9,3.85,3.85,1000,0
2017-05-18,20:00:00,3.8501,3.8501,3.8501,3.8501,120,0
2017-05-18,21:00:00,3.8501,3.9,3.85,3.9,6680,0
2017-05-18,22:00:00,3.875,3.9,3.85,3.9,13318,0
2017-05-19,16:00:00,3.85,3.9,3.75,3.8616,11729,0
2017-05-19,17:00:00,3.9,4.0247,3.85,4,9393,0
2017-05-19,18:00:00,4,4,3.95,4,5350,0
2017-05-19,19:00:00,3.9,3.95,3.9,3.9,1100,0
2017-05-19,20:00:00,3.9,3.949,3.9,3.9,2600,0
2017-05-19,21:00:00,3.9,3.9005,3.85,3.85,8435,0
2017-05-19,22:00:00,3.8501,3.8501,3.75,3.85,21402,0
2017-05-22,16:00:00,3.75,3.75,3.65,3.65,20533,0
2017-05-22,17:00:00,3.65,3.8,3.6,3.65,33428,0
2017-05-22,18:00:00,3.65,3.7,3.65,3.65,19775,0
2017-05-22,19:00:00,3.65,3.9,3.65,3.8499,21925,0
2017-05-22,20:00:00,3.8017,3.8017,3.7995,3.7995,1222,0
2017-05-22,21:00:00,3.7698,3.8377,3.7535,3.7535,1900,0
2017-05-22,22:00:00,3.75,3.8,3.65,3.73,19182,0
2017-05-23,16:00:00,3.75,3.75,3.745,3.745,3461,0
2017-05-23,17:00:00,3.7499,3.8,3.68,3.75,19300,0
2017-05-23,18:00:00,3.75,3.75,3.6501,3.675,5778,0
2017-05-23,19:00:00,3.6502,3.7348,3.65,3.7,5800,0
2017-05-23,20:00:00,3.7066,3.7066,3.7,3.7,1877,0
2017-05-23,21:00:00,3.7211,3.75,3.7,3.7094,14028,0
2017-05-23,22:00:00,3.7,3.7,3.65,3.65,6800,0
2017-05-24,16:00:00,3.65,3.8,3.65,3.75,3944,0
2017-05-24,17:00:00,3.75,3.75,3.7,3.701,3041,0
2017-05-24,18:00:00,3.7,3.739,3.7,3.739,2000,0
2017-05-24,19:00:00,3.728,3.728,3.711,3.711,600,0
2017-05-24,20:00:00,3.7,3.7,3.65,3.6525,2825,0
2017-05-24,21:00:00,3.75,3.8,3.65,3.7499,28807,0
2017-05-24,22:00:00,3.75,3.8,3.7,3.75,19685,0
2017-05-25,16:00:00,3.75,3.8,3.65,3.65,15528,0
2017-05-25,17:00:00,3.65,3.75,3.65,3.65,8300,0
2017-05-25,18:00:00,3.65,3.65,3.65,3.65,1200,0
2017-05-25,19:00:00,3.6965,3.7,3.65,3.6747,2700,0
2017-05-25,20:00:00,3.7,3.7,3.6814,3.7,3770,0
2017-05-25,21:00:00,3.7,3.75,3.674,3.674,7306,0
2017-05-25,22:00:00,3.7253,3.75,3.725,3.75,2700,0
2017-05-26,16:00:00,3.7,3.75,3.65,3.75,20138,0
2017-05-26,17:00:00,3.67,3.75,3.65,3.75,7047,0
2017-05-26,18:00:00,3.73,3.73,3.671,3.671,1025,0
2017-05-26,19:00:00,3.662,3.7,3.662,3.6997,4730,0
2017-05-26,20:00:00,3.675,3.7,3.6578,3.7,3190,0
2017-05-26,21:00:00,3.7,3.75,3.65,3.7,4200,0
2017-05-26,22:00:00,3.7,3.7,3.65,3.65,4080,0
2017-05-30,16:00:00,3.65,3.662,3.65,3.661,9202,0
2017-05-30,17:00:00,3.6999,3.7,3.65,3.665,4934,0
2017-05-30,18:00:00,3.649,3.7,3.632,3.7,13235,0
2017-05-30,19:00:00,3.612,3.65,3.6,3.619,6657,0
2017-05-30,20:00:00,3.6161,3.6161,3.6161,3.6161,500,0
2017-05-30,22:00:00,3.6,3.65,3.6,3.6464,8816,0
2017-05-31,16:00:00,3.65,3.702,3.65,3.702,6240,0
2017-05-31,17:00:00,3.7,3.7,3.65,3.65,2450,0
2017-05-31,18:00:00,3.7,3.7,3.65,3.7,2700,0
2017-05-31,19:00:00,3.6565,3.7,3.6501,3.7,900,0
