Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-10,16:00:00,10.2,10.24,10.2,10.24,315,0
2017-05-10,17:00:00,10.2,10.2,10.13,10.13,1500,0
2017-05-10,18:00:00,10.1499,10.1499,10.1,10.1051,2900,0
2017-05-10,19:00:00,10.1,10.105,10.07,10.07,4445,0
2017-05-10,20:00:00,10.099,10.105,10.0849,10.105,1699,0
2017-05-10,21:00:00,10.0942,10.11,10.09,10.11,5400,0
2017-05-10,22:00:00,10.1101,10.2,10.11,10.18,2381,0
2017-05-11,16:00:00,10.18,10.18,10.05,10.05,1518,0
2017-05-11,17:00:00,10.0501,10.1,10.05,10.06,6093,0
2017-05-11,18:00:00,10.06,10.07,10.06,10.07,1820,0
2017-05-11,19:00:00,10.07,10.0788,10.07,10.07,1400,0
2017-05-11,20:00:00,10.07,10.0799,10.07,10.07,600,0
2017-05-11,21:00:00,10.07,10.07,10.07,10.07,100,0
2017-05-11,22:00:00,10.079,10.17,10.0748,10.17,1981,0
2017-05-12,16:00:00,10.05,10.12,10.05,10.1,3500,0
2017-05-12,17:00:00,10.05,10.09,10.05,10.09,1679,0
2017-05-12,18:00:00,10.07,10.07,10.07,10.07,500,0
2017-05-12,19:00:00,10.08,10.13,10.08,10.0946,1447,0
2017-05-12,20:00:00,10.08,10.11,10.08,10.105,2150,0
2017-05-12,21:00:00,10.12,10.12,10.1,10.1,600,0
2017-05-12,22:00:00,10.14,10.22,10.09,10.19,7876,0
2017-05-15,16:00:00,10.28,10.28,10.1796,10.1796,1591,0
2017-05-15,17:00:00,10.11,10.1496,10.11,10.1496,200,0
2017-05-15,19:00:00,10.2345,10.2487,10.1803,10.1803,1150,0
2017-05-15,20:00:00,10.17,10.18,10.17,10.18,200,0
2017-05-15,21:00:00,10.1747,10.24,10.1319,10.24,6000,0
2017-05-15,22:00:00,10.2344,10.26,10.11,10.26,2612,0
2017-05-16,17:00:00,10.208,10.3,10.2056,10.3,5260,0
2017-05-16,18:00:00,10.299,10.35,10.26,10.35,21250,0
2017-05-16,19:00:00,10.34,10.35,10.1649,10.1649,10248,0
2017-05-16,20:00:00,10.16,10.21,10.14,10.21,1200,0
2017-05-16,21:00:00,10.26,10.26,10.26,10.26,100,0
2017-05-16,22:00:00,10.26,10.28,10.16,10.28,10787,0
2017-05-17,16:00:00,10.23,10.28,10.23,10.28,2135,0
2017-05-17,17:00:00,10.18,10.22,10.12,10.12,6355,0
2017-05-17,18:00:00,10.16,10.17,10.12,10.135,19230,0
2017-05-17,19:00:00,10.14,10.15,10.13,10.14,2540,0
2017-05-17,20:00:00,10.14,10.14,10.1,10.12,7618,0
2017-05-17,21:00:00,10.14,10.2,10.131,10.15,10068,0
2017-05-17,22:00:00,10.1836,10.1836,10.06,10.07,14236,0
2017-05-18,16:00:00,9.99,10,9.66,9.8351,26861,0
