Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-09,16:00:00,2.25,2.25,2.25,2.25,410,0
2017-05-09,17:00:00,2.27,2.3,2.2,2.25,17317,0
2017-05-09,18:00:00,2.23,2.26,2.1,2.26,18897,0
2017-05-09,19:00:00,2.23,2.23,2.2,2.2001,662,0
2017-05-09,20:00:00,2.18,2.19,2.11,2.135,4913,0
2017-05-09,21:00:00,2.12,2.25,2.11,2.11,4621,0
2017-05-09,22:00:00,2.18,2.29,2.18,2.29,7200,0
2017-05-10,16:00:00,2.3,2.3,2.1318,2.1318,1696,0
2017-05-10,17:00:00,2.17,2.29,2.17,2.23,2365,0
2017-05-10,18:00:00,2.2148,2.2291,2.2148,2.2291,1200,0
2017-05-10,19:00:00,2.19,2.1901,2.15,2.181,1650,0
2017-05-10,20:00:00,2.22,2.3,2.209,2.3,35892,0
2017-05-10,21:00:00,2.22,2.3,2.2,2.2712,7586,0
2017-05-10,22:00:00,2.3,2.3,2.26,2.27,31513,0
2017-05-11,16:00:00,2.1,2.34,2.1,2.25,4900,0
2017-05-11,17:00:00,2.3,2.3333,2.11,2.25,2101,0
2017-05-11,18:00:00,2.2407,2.2407,2.14,2.15,1215,0
2017-05-11,19:00:00,2.2146,2.29,2.18,2.29,2400,0
2017-05-11,20:00:00,2.3,2.3,2.27,2.27,1200,0
2017-05-11,21:00:00,2.3,2.33,2.3,2.33,7733,0
2017-05-11,22:00:00,2.31,2.38,2.31,2.38,16295,0
2017-05-12,16:00:00,2.37,2.4,2.37,2.38,5894,0
2017-05-12,17:00:00,2.39,2.4,2.31,2.4,5500,0
2017-05-12,18:00:00,2.3999,2.4,2.3061,2.4,2910,0
2017-05-12,19:00:00,2.3536,2.4,2.3536,2.4,8700,0
2017-05-12,20:00:00,2.4,2.4,2.375,2.375,300,0
2017-05-12,21:00:00,2.37,2.37,2.37,2.37,300,0
2017-05-12,22:00:00,2.3748,2.4,2.31,2.36,6256,0
2017-05-15,16:00:00,2.4465,2.45,2.4176,2.4498,2080,0
2017-05-15,17:00:00,2.3975,2.44,2.31,2.37,3975,0
2017-05-15,18:00:00,2.38,2.41,2.34,2.41,3492,0
2017-05-15,19:00:00,2.4283,2.4283,2.32,2.32,2700,0
2017-05-15,20:00:00,2.4176,2.4176,2.4176,2.4176,100,0
2017-05-15,21:00:00,2.37,2.41,2.32,2.41,7700,0
2017-05-15,22:00:00,2.3924,2.41,2.34,2.4,10800,0
2017-05-16,16:00:00,2.44,2.44,2.3383,2.35,3818,0
2017-05-16,17:00:00,2.35,2.45,2.3,2.4272,8800,0
2017-05-16,18:00:00,2.4331,2.4331,2.3436,2.38,1449,0
2017-05-16,19:00:00,2.398,2.398,2.376,2.39,2300,0
2017-05-16,20:00:00,2.38,2.41,2.35,2.41,1800,0
2017-05-16,21:00:00,2.42,2.42,2.42,2.42,100,0
2017-05-16,22:00:00,2.44,2.44,2.39,2.43,4744,0
2017-05-17,19:00:00,2.4299,2.45,2.39,2.42,6803,0
2017-05-17,20:00:00,2.4154,2.4154,2.3714,2.39,1500,0
2017-05-17,21:00:00,2.39,2.39,2.3816,2.3816,303,0
2017-05-17,22:00:00,2.39,2.4374,2.25,2.31,18403,0
2017-05-18,17:00:00,2.42,2.42,2.24,2.34,5612,0
2017-05-18,18:00:00,2.3,2.41,2.26,2.31,18795,0
2017-05-18,19:00:00,2.27,2.32,2.25,2.28,1791,0
2017-05-18,20:00:00,2.29,2.29,2.2408,2.2408,2176,0
2017-05-18,21:00:00,2.29,2.29,2.23,2.27,2500,0
2017-05-18,22:00:00,2.2332,2.42,2.22,2.42,2002,0
2017-05-19,16:00:00,2.32,2.43,2.32,2.39,500,0
2017-05-19,17:00:00,2.36,2.4,2.36,2.4,3300,0
2017-05-19,18:00:00,2.3594,2.3594,2.3053,2.3053,1700,0
2017-05-19,19:00:00,2.3,2.43,2.3,2.43,20995,0
2017-05-19,20:00:00,2.41,2.41,2.41,2.41,100,0
2017-05-19,22:00:00,2.355,2.39,2.24,2.39,1421,0
2017-05-22,16:00:00,2.4331,2.44,2.29,2.44,1025,0
2017-05-22,17:00:00,2.35,2.36,2.25,2.36,1940,0
2017-05-22,18:00:00,2.36,2.4175,2.35,2.4175,5400,0
2017-05-22,19:00:00,2.3701,2.43,2.3334,2.3334,1800,0
2017-05-22,21:00:00,2.3402,2.39,2.3402,2.39,600,0
2017-05-22,22:00:00,2.3842,2.3842,2.38,2.38,2300,0
2017-05-23,17:00:00,2.4376,2.4376,2.39,2.39,700,0
2017-05-23,18:00:00,2.41,2.4101,2.4,2.4,4200,0
2017-05-23,19:00:00,2.38,2.38,2.31,2.37,5247,0
2017-05-23,20:00:00,2.43,2.43,2.3298,2.3298,200,0
2017-05-23,21:00:00,2.4,2.4,2.4,2.4,100,0
2017-05-23,22:00:00,2.33,2.3492,2.28,2.32,1150,0
2017-05-24,16:00:00,2.35,2.35,2.35,2.35,120,0
2017-05-24,17:00:00,2.3293,2.3293,2.3293,2.3293,2000,0
2017-05-24,18:00:00,2.34,2.4,2.34,2.35,5100,0
2017-05-24,19:00:00,2.43,2.4399,2.4,2.4,3400,0
2017-05-24,20:00:00,2.3485,2.4,2.3485,2.4,841,0
2017-05-24,21:00:00,2.3501,2.3577,2.35,2.35,4900,0
2017-05-24,22:00:00,2.38,2.39,2.37,2.39,400,0
2017-05-25,16:00:00,2.3867,2.3867,2.3867,2.3867,200,0
2017-05-25,17:00:00,2.3,2.37,2.29,2.29,2590,0
2017-05-25,20:00:00,2.289,2.289,2.289,2.289,300,0
2017-05-25,21:00:00,2.25,2.25,2.25,2.25,154,0
2017-05-25,22:00:00,2.28,2.3,2.25,2.3,8113,0
2017-05-26,16:00:00,2.2966,2.2966,2.25,2.25,2834,0
2017-05-26,17:00:00,2.21,2.21,2.15,2.157,18893,0
2017-05-26,18:00:00,2.16,2.1799,2.157,2.1799,11072,0
2017-05-26,19:00:00,2.16,2.18,2.157,2.1767,21088,0
2017-05-26,20:00:00,2.16,2.18,2.1599,2.1599,1000,0
2017-05-26,21:00:00,2.18,2.18,2.1501,2.1779,2785,0
2017-05-26,22:00:00,2.18,2.2,2.18,2.2,3000,0
2017-05-30,16:00:00,2.2,2.2,2.2,2.2,499,0
2017-05-30,18:00:00,2.1623,2.1859,2.1,2.1,6448,0
2017-05-30,19:00:00,2.0768,2.11,2.0741,2.11,4100,0
2017-05-30,20:00:00,2.11,2.12,2.11,2.12,1800,0
2017-05-30,21:00:00,2.1199,2.12,2.1199,2.12,1000,0
2017-05-30,22:00:00,2.24,2.24,2.11,2.15,2400,0
2017-05-31,17:00:00,2.08,2.09,2.0626,2.08,5680,0
2017-05-31,19:00:00,2.13,2.2,2.13,2.2,16095,0
2017-05-31,20:00:00,2.2,2.2,2.19,2.2,10440,0
2017-05-31,21:00:00,2.24,2.24,2.1933,2.1933,500,0
2017-05-31,22:00:00,2.19,2.22,2.19,2.2,12500,0
2017-06-01,17:00:00,2.21,2.21,2.17,2.17,1800,0
2017-06-01,18:00:00,2.1533,2.1533,2.1533,2.1533,200,0
2017-06-01,19:00:00,2.17,2.19,2.163,2.19,2700,0
2017-06-01,20:00:00,2.2115,2.2115,2.2115,2.2115,900,0
2017-06-01,22:00:00,2.225,2.24,2.225,2.2259,350,0
2017-06-02,17:00:00,2.25,2.25,2.22,2.22,700,0
2017-06-02,18:00:00,2.23,2.2393,2.23,2.2393,602,0
2017-06-02,19:00:00,2.24,2.25,2.24,2.2484,1563,0
2017-06-02,20:00:00,2.24,2.25,2.2,2.2002,16374,0
2017-06-02,21:00:00,2.21,2.25,2.18,2.24,11289,0
2017-06-02,22:00:00,2.25,2.25,2.23,2.23,200,0
2017-06-05,16:00:00,2.21,2.21,2.21,2.21,157,0
2017-06-05,18:00:00,2.19,2.19,2.19,2.19,300,0
2017-06-05,19:00:00,2.17,2.17,2.17,2.17,100,0
2017-06-05,20:00:00,2.15,2.15,2.1444,2.1478,6099,0
2017-06-05,21:00:00,2.15,2.21,2.15,2.15,16643,0
2017-06-05,22:00:00,2.15,2.2,2.1499,2.16,2222,0
2017-06-06,16:00:00,2.15,2.156,2.15,2.15,16573,0
2017-06-06,17:00:00,2.14,2.1405,2.14,2.14,3150,0
2017-06-06,18:00:00,2.09,2.09,1.95,2.05,28156,0
2017-06-06,19:00:00,2.05,2.15,2.0485,2.12,10291,0
2017-06-06,20:00:00,2.12,2.15,2.11,2.11,27400,0
2017-06-06,21:00:00,2.1,2.1,2.07,2.07,11900,0
2017-06-06,22:00:00,2.0701,2.0701,2.02,2.04,5488,0
2017-06-07,16:00:00,2.06,2.06,2.06,2.06,110,0
2017-06-07,17:00:00,2.05,2.2,2.05,2.172,21295,0
2017-06-07,18:00:00,2.18,2.18,2.13,2.13,6814,0
2017-06-07,19:00:00,2.1464,2.1464,2.1464,2.1464,1485,0
2017-06-07,20:00:00,2.13,2.13,2.06,2.07,10208,0
2017-06-07,21:00:00,2.085,2.1,2.085,2.09,1500,0
2017-06-07,22:00:00,2.09,2.12,2.0811,2.1001,6910,0
2017-06-08,16:00:00,2.16,2.16,2.16,2.16,1320,0
2017-06-08,17:00:00,2.13,2.13,2.13,2.13,200,0
2017-06-08,18:00:00,2.1489,2.1489,2.1489,2.1489,287,0
2017-06-08,20:00:00,2.1132,2.1132,2.1132,2.1132,500,0
2017-06-08,21:00:00,2.1001,2.1399,2.02,2.1399,12370,0
2017-06-08,22:00:00,2.06,2.13,2,2,9348,0
2017-06-09,16:00:00,2,2,1.92,1.92,42940,0
2017-06-09,17:00:00,1.9425,1.9832,1.87,1.8924,14920,0
2017-06-09,18:00:00,1.9057,1.9671,1.88,1.9,11259,0
2017-06-09,19:00:00,1.95,1.95,1.95,1.95,300,0
2017-06-09,21:00:00,1.9336,1.9499,1.9336,1.9469,1480,0
2017-06-09,22:00:00,1.95,1.95,1.91,1.91,4090,0
2017-06-12,17:00:00,1.9,1.9,1.87,1.888,1900,0
2017-06-12,18:00:00,1.87,1.87,1.81,1.816,9559,0
2017-06-12,19:00:00,1.8271,1.9,1.8271,1.9,6708,0
2017-06-12,20:00:00,1.86,1.86,1.85,1.85,2970,0
2017-06-12,21:00:00,1.85,1.8799,1.85,1.8799,5100,0
2017-06-12,22:00:00,1.889,1.89,1.86,1.8748,5400,0
2017-06-13,16:00:00,1.86,1.87,1.8524,1.8584,13951,0
2017-06-13,17:00:00,1.87,1.87,1.8,1.81,14144,0
2017-06-13,18:00:00,1.827,1.8399,1.81,1.8399,2200,0
2017-06-13,19:00:00,1.83,1.8322,1.826,1.83,5000,0
2017-06-13,20:00:00,1.83,1.83,1.82,1.82,500,0
2017-06-13,21:00:00,1.8201,1.83,1.77,1.82,7623,0
2017-06-13,22:00:00,1.82,1.83,1.82,1.83,1701,0
2017-06-14,16:00:00,1.85,1.85,1.69,1.85,7032,0
2017-06-14,17:00:00,1.8292,1.8292,1.8,1.8,400,0
2017-06-14,18:00:00,1.79,1.8,1.79,1.79,3750,0
2017-06-14,19:00:00,1.7601,1.77,1.7532,1.76,6800,0
2017-06-14,20:00:00,1.76,1.76,1.731,1.76,2339,0
2017-06-14,21:00:00,1.76,1.76,1.7464,1.755,2197,0
2017-06-14,22:00:00,1.73,1.79,1.73,1.76,2923,0
2017-06-15,16:00:00,1.76,1.7699,1.76,1.76,13100,0
2017-06-15,17:00:00,1.76,1.76,1.73,1.76,4924,0
2017-06-15,18:00:00,1.76,1.76,1.75,1.76,1616,0
2017-06-15,19:00:00,1.75,1.75,1.75,1.75,100,0
2017-06-15,20:00:00,1.7534,1.76,1.75,1.751,3161,0
2017-06-15,21:00:00,1.76,1.77,1.73,1.77,6652,0
2017-06-15,22:00:00,1.7601,1.83,1.76,1.8,5800,0
2017-06-16,16:00:00,1.86,1.98,1.76,1.85,13573,0
2017-06-16,17:00:00,1.88,1.88,1.82,1.82,12799,0
2017-06-16,18:00:00,1.83,1.88,1.8006,1.83,2584,0
2017-06-16,19:00:00,1.8019,1.84,1.78,1.84,5675,0
2017-06-16,20:00:00,1.8396,1.8396,1.8273,1.8273,2424,0
2017-06-16,21:00:00,1.81,1.8107,1.81,1.8107,625,0
2017-06-16,22:00:00,1.8,1.8,1.8,1.8,1110,0
2017-06-19,16:00:00,1.79,1.8,1.79,1.8,1600,0
2017-06-19,17:00:00,1.7836,1.8133,1.7699,1.8101,15900,0
2017-06-19,18:00:00,1.7952,1.7999,1.77,1.77,3300,0
2017-06-19,19:00:00,1.79,1.8,1.7818,1.8,2800,0
2017-06-19,20:00:00,1.8,1.8,1.76,1.799,6875,0
2017-06-19,21:00:00,1.8,1.9,1.7999,1.9,7800,0
2017-06-19,22:00:00,1.8672,1.89,1.8672,1.89,2992,0
2017-06-20,16:00:00,1.8838,1.9,1.8838,1.9,1100,0
2017-06-20,17:00:00,1.86,1.9,1.86,1.863,7467,0
2017-06-20,18:00:00,1.9,1.9,1.85,1.8779,1203,0
2017-06-20,19:00:00,1.84,1.8401,1.8,1.8101,3343,0
2017-06-20,20:00:00,1.88,1.88,1.88,1.88,100,0
2017-06-20,22:00:00,1.885,1.885,1.82,1.82,287,0
2017-06-21,16:00:00,1.803,1.803,1.8,1.8001,1542,0
