Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,31.45,31.7,31.3,31.65,6933,0
2017-05-16,17:00:00,31.69,31.69,31.45,31.55,4250,0
2017-05-16,18:00:00,31.7,31.8,31.605,31.8,3950,0
2017-05-16,19:00:00,31.8,31.9503,31.789,31.9503,3850,0
2017-05-16,20:00:00,31.9,31.95,31.85,31.9,8400,0
2017-05-16,21:00:00,31.9,31.95,31.35,31.35,3904,0
2017-05-16,22:00:00,31.325,31.425,31.15,31.3,9079,0
2017-05-17,16:00:00,31,31.3,30.75,30.834,7247,0
2017-05-17,17:00:00,30.75,30.8,30.35,30.35,2947,0
2017-05-17,18:00:00,30.45,30.5,30.35,30.5,2700,0
2017-05-17,19:00:00,30.5,30.65,30.5,30.65,1400,0
2017-05-17,20:00:00,30.64,30.7,30.5,30.5,2100,0
2017-05-17,21:00:00,30.5,30.55,30.4,30.55,3770,0
2017-05-17,22:00:00,30.4,30.7,30.4,30.5,9118,0
2017-05-18,16:00:00,30.55,31.108,30.55,30.7,1276,0
2017-05-18,17:00:00,30.55,30.55,30.35,30.45,2472,0
2017-05-18,18:00:00,30.5,30.63,30.45,30.45,5739,0
2017-05-18,19:00:00,30.46,30.7,30.35,30.4,4069,0
2017-05-18,20:00:00,30.35,30.9,30.35,30.8,3626,0
2017-05-18,21:00:00,30.95,31.1,30.85,31.1,3403,0
2017-05-18,22:00:00,31.15,31.55,31.05,31.3,6182,0
2017-05-19,16:00:00,31.25,31.3,30.7,31.25,4083,0
2017-05-19,17:00:00,31.3,31.313,30.855,30.855,2900,0
2017-05-19,18:00:00,30.9,30.9,30.595,30.595,2400,0
2017-05-19,19:00:00,30.5,30.65,30.46,30.65,1650,0
2017-05-19,20:00:00,30.75,30.75,30.35,30.425,2003,0
2017-05-19,21:00:00,30.5,30.55,30.35,30.55,1928,0
2017-05-19,22:00:00,30.5,30.55,30.15,30.25,10260,0
2017-05-22,16:00:00,30.25,30.5,30.25,30.5,750,0
2017-05-22,17:00:00,30.5,30.5,30.2976,30.382,2211,0
2017-05-22,18:00:00,30.3,30.35,30.155,30.25,6790,0
2017-05-22,19:00:00,30.15,30.15,30.05,30.05,700,0
2017-05-22,20:00:00,30.05,30.15,30.05,30.1,2804,0
2017-05-22,21:00:00,30.1,30.3,30.1,30.3,2360,0
2017-05-22,22:00:00,30.15,30.45,30.05,30.35,4753,0
2017-05-23,16:00:00,30.3,30.3,30.05,30.05,809,0
2017-05-23,17:00:00,30.3,30.3,30.2,30.2,600,0
2017-05-23,18:00:00,30.34,31.075,30.34,31,3584,0
2017-05-23,19:00:00,31.0316,31.2,30.75,30.75,1870,0
2017-05-23,20:00:00,30.8,31.04,30.8,31.04,3491,0
2017-05-23,21:00:00,30.95,30.95,30.8,30.85,2097,0
2017-05-23,22:00:00,30.909,30.95,30.8,30.9,5280,0
2017-05-24,16:00:00,31.05,31.25,31.05,31.1,1538,0
2017-05-24,17:00:00,31.1,33.4,31.1,33.15,20979,0
2017-05-24,18:00:00,33.25,33.45,32.6911,32.85,33039,0
2017-05-24,19:00:00,32.792,33.2,32.7,33.05,14157,0
2017-05-24,20:00:00,33.05,33.85,33.05,33.85,24944,0
2017-05-24,21:00:00,33.9,34.25,33.549,33.8,36432,0
2017-05-24,22:00:00,33.6,34.75,33.2,34.4,37484,0
2017-05-25,16:00:00,34.35,35.3,33.3,34.2,15614,0
2017-05-25,17:00:00,34.3,34.5,33.75,33.9,12156,0
2017-05-25,18:00:00,33.925,34.6,33.85,34.2,17289,0
2017-05-25,19:00:00,34.35,34.35,33.85,33.85,9191,0
2017-05-25,20:00:00,33.7,34.01,33.1,33.85,18124,0
2017-05-25,21:00:00,33.85,33.9,33.35,33.9,10798,0
2017-05-25,22:00:00,33.85,33.925,33.6,33.65,10190,0
2017-05-26,16:00:00,33.6,33.7,32.94,33.7,2590,0
2017-05-26,17:00:00,33.5,34.2,33.45,34.1661,9053,0
2017-05-26,18:00:00,34.1,36.35,34.0898,36.3,54396,0
2017-05-26,19:00:00,36.21,36.99,35.65,35.975,33934,0
2017-05-26,20:00:00,36,36.05,35.6,35.75,11450,0
2017-05-26,21:00:00,35.75,36.9,35.4,36.65,61541,0
2017-05-26,22:00:00,36.74,36.74,35.25,36.1,45292,0
2017-05-30,16:00:00,36,36,35.005,35.8,14587,0
2017-05-30,17:00:00,35.726,36,34.9,36,18329,0
2017-05-30,18:00:00,36.03,37,36.03,36.1795,21232,0
2017-05-30,19:00:00,36.25,36.4,36.15,36.15,8353,0
2017-05-30,20:00:00,36.1,36.15,35.7,35.95,7109,0
2017-05-30,21:00:00,35.9497,36.05,35.9,35.95,1850,0
2017-05-30,22:00:00,36.05,36.1,35.7,35.7,25480,0
2017-05-31,16:00:00,35.7,35.95,35.1,35.1,3452,0
2017-05-31,17:00:00,35,35,34.55,34.9965,6684,0
2017-05-31,18:00:00,35.1072,35.2,34.95,35.2,2981,0
2017-05-31,19:00:00,35.2,35.35,35.15,35.225,2991,0
2017-05-31,20:00:00,35.25,35.35,34.85,34.85,4933,0
2017-05-31,21:00:00,34.9,35.1,34.85,34.95,4167,0
2017-05-31,22:00:00,34.9,35,34.65,34.85,8650,0
2017-06-01,16:00:00,35.05,35.15,34.95,35.15,769,0
2017-06-01,17:00:00,35.35,35.35,34.5,34.505,4652,0
2017-06-01,18:00:00,34.6,34.75,34.3,34.41,6921,0
2017-06-01,19:00:00,34.495,34.5,34.1,34.1,6572,0
2017-06-01,20:00:00,34.061,34.15,33.55,33.95,9442,0
2017-06-01,21:00:00,33.9,34.025,33.75,33.8,6800,0
2017-06-01,22:00:00,33.95,34.05,33.85,33.85,17817,0
