Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,86.921,86.921,84.527,85.566,435196,0
2017-05-16,17:00:00,85.552,85.827,85.078,85.078,284137,0
2017-05-16,18:00:00,85.068,85.246,84.596,84.734,273638,0
2017-05-16,19:00:00,84.764,84.812,84.616,84.665,183536,0
2017-05-16,20:00:00,84.665,84.694,84.463,84.694,269123,0
2017-05-16,21:00:00,84.704,84.912,84.64,84.665,253564,0
2017-05-16,22:00:00,84.645,84.764,84.419,84.684,733068,0
2017-05-17,16:00:00,84.409,84.912,84.064,84.113,89660,0
2017-05-17,17:00:00,84.113,84.793,84.005,84.428,119188,0
2017-05-17,18:00:00,84.438,84.547,84.281,84.448,89396,0
2017-05-17,19:00:00,84.458,84.571,84.35,84.527,73803,0
2017-05-17,20:00:00,84.517,84.754,84.468,84.616,83215,0
2017-05-17,21:00:00,84.626,84.694,84.419,84.468,78313,0
2017-05-17,22:00:00,84.463,84.527,84.153,84.261,415670,0
2017-05-18,16:00:00,84.369,84.507,83.887,84.33,78421,0
2017-05-18,17:00:00,84.3,84.912,84.271,84.842,106129,0
2017-05-18,18:00:00,84.852,85.246,84.684,84.734,83947,0
2017-05-18,19:00:00,84.707,84.783,84.399,84.507,55331,0
2017-05-18,20:00:00,84.497,84.882,84.458,84.882,83428,0
2017-05-18,21:00:00,84.832,85.286,84.832,85.078,85123,0
2017-05-18,22:00:00,85.068,85.344,84.921,85.148,286723,0
2017-05-19,16:00:00,85.206,85.492,85.118,85.256,91083,0
2017-05-19,17:00:00,85.296,85.739,85.187,85.66,60808,0
2017-05-19,18:00:00,85.66,85.817,85.64,85.749,60455,0
2017-05-19,19:00:00,85.759,85.887,85.689,85.867,55946,0
2017-05-19,20:00:00,85.847,85.867,85.699,85.749,51882,0
2017-05-19,21:00:00,85.759,85.926,85.729,85.847,58467,0
2017-05-19,22:00:00,85.847,85.847,85.542,85.67,333864,0
2017-05-22,16:00:00,85.985,86.32,85.709,86.281,103672,0
2017-05-22,17:00:00,86.231,86.448,86.035,86.211,125953,0
2017-05-22,18:00:00,86.201,86.339,86.133,86.173,76112,0
2017-05-22,19:00:00,86.173,86.291,86.143,86.163,51712,0
2017-05-22,20:00:00,86.173,86.241,86.083,86.123,87536,0
2017-05-22,21:00:00,86.103,86.163,86.073,86.123,49575,0
2017-05-22,22:00:00,86.121,86.281,86.005,86.103,342384,0
2017-05-23,16:00:00,86.261,86.261,85.138,85.211,54400,0
2017-05-23,17:00:00,85.148,85.433,84.872,85.325,126154,0
2017-05-23,18:00:00,85.343,85.64,85.286,85.552,70923,0
2017-05-23,19:00:00,85.581,85.63,85.414,85.443,37207,0
2017-05-23,20:00:00,85.443,85.591,85.443,85.512,37261,0
