Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-08,17:00:00,23.169,23.251,23.159,23.188,623,0
2017-03-08,18:00:00,23.29,23.36,23.29,23.36,2484,0
2017-03-08,19:00:00,23.279,23.418,23.279,23.418,317,0
2017-03-08,20:00:00,23.217,23.307,23.217,23.307,1038,0
2017-03-08,21:00:00,23.511,23.525,23.313,23.315,3753,0
2017-03-08,22:00:00,23.318,23.496,23.318,23.496,1939,0
2017-03-09,16:00:00,23.121,23.275,23.082,23.227,2080,0
2017-03-09,18:00:00,23.323,23.467,23.323,23.428,1821,0
2017-03-09,19:00:00,23.265,23.438,23.025,23.025,1678,0
2017-03-09,20:00:00,23.265,23.4,23.246,23.4,1768,0
2017-03-09,21:00:00,23.317,23.317,23.317,23.317,706,0
2017-03-09,22:00:00,23.371,23.39,23.14,23.39,3536,0
2017-03-10,16:00:00,23.14,23.14,23.14,23.14,394,0
2017-03-10,17:00:00,23.073,23.131,23.073,23.131,415,0
2017-03-10,18:00:00,23.188,23.477,23.188,23.304,1263,0
2017-03-10,19:00:00,23.448,23.448,23.448,23.448,312,0
2017-03-10,20:00:00,23.448,23.448,23.448,23.448,624,0
2017-03-10,21:00:00,23.288,23.294,23.288,23.294,209,0
2017-03-10,22:00:00,23.121,23.313,23.121,23.15,773,0
2017-03-13,16:00:00,23.46,23.463,23.46,23.463,521,0
2017-03-13,17:00:00,23.467,23.534,23.467,23.52,15077,0
2017-03-13,18:00:00,23.563,23.65,23.544,23.63,3953,0
2017-03-13,19:00:00,23.64,23.64,23.63,23.63,3641,0
2017-03-13,20:00:00,23.563,23.573,23.337,23.337,1955,0
2017-03-13,21:00:00,23.496,23.496,23.428,23.428,521,0
2017-03-14,15:00:00,23.496,23.496,23.438,23.438,1248,0
2017-03-14,17:00:00,23.457,23.505,23.457,23.505,851,0
2017-03-14,19:00:00,23.505,23.52,23.505,23.505,7292,0
2017-03-14,20:00:00,23.505,23.505,23.505,23.505,312,0
2017-03-14,21:00:00,23.515,23.602,23.515,23.602,1353,0
2017-03-15,15:00:00,23.544,23.57,23.544,23.57,1302,0
2017-03-15,16:00:00,23.592,23.602,23.577,23.602,728,0
2017-03-15,18:00:00,23.568,23.568,23.568,23.568,209,0
2017-03-15,19:00:00,23.555,23.644,23.555,23.644,677,0
2017-03-15,20:00:00,23.611,23.669,23.611,23.669,1248,0
2017-03-15,21:00:00,23.89,23.936,23.781,23.842,4956,0
2017-03-16,15:00:00,23.719,23.719,23.719,23.719,1439,0
2017-03-16,16:00:00,23.707,23.833,23.707,23.833,415,0
2017-03-16,19:00:00,23.882,23.882,23.882,23.882,415,0
2017-03-16,20:00:00,23.879,23.879,23.862,23.862,521,0
2017-03-16,21:00:00,23.741,23.794,23.717,23.746,1222,0
2017-03-17,15:00:00,23.726,23.726,23.726,23.726,146,0
2017-03-17,17:00:00,23.948,23.948,23.948,23.948,103,0
2017-03-17,18:00:00,23.746,23.746,23.746,23.746,599,0
2017-03-17,19:00:00,23.784,23.88,23.746,23.751,1845,0
2017-03-17,21:00:00,23.816,23.88,23.784,23.784,642,0
2017-03-20,16:00:00,23.773,23.773,23.773,23.773,156,0
2017-03-20,17:00:00,23.78,23.948,23.78,23.948,415,0
2017-03-20,18:00:00,23.957,23.957,23.957,23.957,209,0
2017-03-20,19:00:00,23.948,23.948,23.948,23.948,209,0
2017-03-20,21:00:00,23.717,23.756,23.717,23.75,728,0
2017-03-21,15:00:00,23.726,23.726,23.726,23.726,244,0
2017-03-21,16:00:00,23.621,23.778,23.621,23.778,724,0
2017-03-21,17:00:00,23.677,23.752,23.677,23.752,1456,0
2017-03-21,18:00:00,23.753,23.756,23.753,23.756,728,0
2017-03-21,19:00:00,23.756,23.784,23.756,23.784,2538,0
2017-03-21,20:00:00,23.784,23.784,23.761,23.761,2216,0
2017-03-21,21:00:00,23.784,23.784,23.769,23.769,832,0
2017-03-22,15:00:00,23.659,23.659,23.659,23.659,214,0
2017-03-22,16:00:00,23.69,23.722,23.688,23.688,827,0
2017-03-22,17:00:00,23.752,23.752,23.752,23.752,209,0
2017-03-22,21:00:00,23.698,23.808,23.698,23.707,677,0
2017-03-23,15:00:00,23.717,23.717,23.717,23.717,254,0
2017-03-23,16:00:00,23.708,23.807,23.708,23.807,437,0
2017-03-23,17:00:00,23.842,23.842,23.842,23.842,103,0
2017-03-23,19:00:00,23.85,23.85,23.85,23.85,209,0
2017-03-23,21:00:00,23.905,23.928,23.717,23.717,7159,0
2017-03-24,15:00:00,23.746,23.746,23.746,23.746,136,0
2017-03-24,16:00:00,23.756,23.756,23.756,23.756,415,0
2017-03-24,17:00:00,23.746,23.746,23.746,23.746,103,0
