Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-10-06,16:00:00,2.45,2.4501,2.45,2.45,6300,0
2016-10-06,18:00:00,2.5349,2.5349,2.4729,2.5,2300,0
2016-10-07,17:00:00,2.4899,2.65,2.4899,2.65,6401,0
2016-10-07,21:00:00,2.6,2.6,2.6,2.6,100,0
2016-10-11,16:00:00,2.62,2.62,2.5588,2.5588,700,0
2016-10-11,17:00:00,2.51,2.51,2.51,2.51,200,0
2016-10-11,20:00:00,2.587,2.587,2.587,2.587,500,0
2016-10-11,21:00:00,2.5358,2.5358,2.5358,2.5358,500,0
2016-10-12,17:00:00,2.4901,2.4901,2.4901,2.4901,1600,0
2016-10-12,18:00:00,2.5476,2.5476,2.5476,2.5476,1000,0
2016-10-12,19:00:00,2.51,2.51,2.48,2.48,3700,0
2016-10-12,20:00:00,2.49,2.49,2.47,2.47,2200,0
2016-10-12,21:00:00,2.4801,2.4801,2.4801,2.4801,800,0
2016-10-12,22:00:00,2.46,2.4601,2.45,2.46,12000,0
2016-10-13,16:00:00,2.45,2.45,2.45,2.45,100,0
2016-10-13,19:00:00,2.5399,2.5399,2.5399,2.5399,1000,0
2016-10-13,20:00:00,2.54,2.54,2.5399,2.5399,500,0
2016-10-13,21:00:00,2.45,2.45,2.45,2.45,100,0
2016-10-13,22:00:00,2.48,2.49,2.45,2.45,1500,0
2016-10-14,18:00:00,2.5999,2.6,2.5999,2.6,5310,0
2016-10-14,20:00:00,2.5199,2.5199,2.5041,2.5041,2300,0
2016-10-17,21:00:00,2.45,2.45,2.45,2.45,70000,0
2016-10-18,21:00:00,2.4547,2.4547,2.4547,2.4547,100,0
2016-10-18,22:00:00,2.45,2.45,2.45,2.45,100,0
2016-10-19,17:00:00,2.55,2.55,2.55,2.55,100,0
2016-10-19,22:00:00,2.5,2.5,2.5,2.5,100,0
2016-10-20,22:00:00,2.5081,2.5081,2.5,2.5,1283,0
2016-10-21,16:00:00,2.55,2.55,2.55,2.55,100,0
2016-10-21,18:00:00,2.5,2.5,2.45,2.4999,6200,0
2016-10-21,19:00:00,2.5,2.5,2.5,2.5,2700,0
2016-10-24,19:00:00,2.5,2.75,2.45,2.55,15295,0
2016-10-24,20:00:00,2.551,2.551,2.551,2.551,200,0
2016-10-24,21:00:00,2.5,2.55,2.5,2.55,1800,0
2016-10-24,22:00:00,2.55,2.55,2.4547,2.4547,1508,0
2016-10-25,20:00:00,2.555,2.555,2.555,2.555,400,0
2016-10-26,17:00:00,2.55,2.55,2.55,2.55,100,0
2016-10-26,22:00:00,2.5,2.55,2.4999,2.55,18800,0
2016-10-27,16:00:00,2.55,2.7,2.55,2.7,2500,0
2016-10-27,17:00:00,2.7,2.7,2.6,2.65,15600,0
2016-10-27,18:00:00,2.6011,2.6011,2.5,2.5,2100,0
2016-10-27,19:00:00,2.5,2.5001,2.5,2.5001,950,0
2016-10-27,21:00:00,2.55,2.55,2.55,2.55,200,0
2016-10-27,22:00:00,2.6,2.6,2.55,2.55,400,0
2016-10-31,19:00:00,2.5001,2.65,2.5,2.65,2100,0
2016-10-31,20:00:00,2.501,2.501,2.501,2.501,500,0
2016-10-31,21:00:00,2.65,2.65,2.65,2.65,100,0
2016-11-01,15:00:00,2.75,2.75,2.75,2.75,100,0
2016-11-01,17:00:00,2.646,2.65,2.646,2.65,5200,0
2016-11-01,21:00:00,2.65,2.65,2.65,2.65,100,0
2016-11-02,16:00:00,2.6001,2.6001,2.6001,2.6001,200,0
2016-11-02,17:00:00,2.6541,2.655,2.6501,2.6501,550,0
