Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-15,16:00:00,26.108,26.118,26.04,26.118,3175,0
2017-05-15,17:00:00,26.118,26.118,25.962,25.967,12623,0
2017-05-15,18:00:00,26.02,26.06,25.894,25.894,8802,0
2017-05-15,19:00:00,26.001,26.001,25.979,25.979,1572,0
2017-05-15,20:00:00,26.007,26.007,25.946,25.999,2749,0
2017-05-15,21:00:00,26.001,26.01,25.938,26.009,6222,0
2017-05-15,22:00:00,25.957,25.992,25.914,25.914,10981,0
2017-05-16,16:00:00,26.156,26.156,26.065,26.098,13595,0
2017-05-16,17:00:00,26.023,26.06,25.979,26.04,14834,0
2017-05-16,18:00:00,26.036,26.04,25.982,25.996,9634,0
2017-05-16,19:00:00,26.02,26.03,25.972,25.995,20267,0
2017-05-16,20:00:00,25.993,26.04,25.982,26.04,17176,0
2017-05-16,21:00:00,26.04,26.06,26.01,26.06,14690,0
2017-05-16,22:00:00,26.04,26.069,26.04,26.06,1871,0
2017-05-17,16:00:00,26.05,26.06,26.011,26.06,3623,0
2017-05-17,17:00:00,26.06,26.06,25.982,25.982,5979,0
2017-05-17,18:00:00,26.04,26.04,25.996,25.996,8007,0
2017-05-17,19:00:00,26.039,26.146,26.035,26.088,21796,0
2017-05-17,20:00:00,26.137,26.156,26.043,26.124,11445,0
2017-05-17,21:00:00,26.055,26.118,26.021,26.059,4458,0
2017-05-17,22:00:00,26.06,26.098,26.024,26.04,7033,0
2017-05-18,16:00:00,26.04,26.088,26.04,26.071,6288,0
2017-05-18,17:00:00,26.045,26.082,25.992,26.06,7091,0
2017-05-18,18:00:00,26.075,26.088,26.017,26.017,708,0
2017-05-18,19:00:00,26.078,26.088,26.001,26.06,3740,0
2017-05-18,20:00:00,26.06,26.088,26.033,26.088,3892,0
2017-05-18,21:00:00,26.069,26.137,26.069,26.137,6535,0
2017-05-18,22:00:00,26.137,26.137,26.069,26.128,11787,0
2017-05-19,16:00:00,26.06,26.108,26.06,26.08,5470,0
2017-05-19,17:00:00,26.001,26.108,26.001,26.108,4353,0
2017-05-19,18:00:00,26.108,26.176,26.05,26.118,65278,0
2017-05-19,19:00:00,26.118,26.176,26.089,26.162,8947,0
2017-05-19,20:00:00,26.142,26.196,26.099,26.171,4988,0
2017-05-19,21:00:00,26.165,26.205,26.148,26.205,14572,0
2017-05-19,22:00:00,26.164,26.205,26.147,26.205,4590,0
2017-05-22,16:00:00,26.205,26.205,26.186,26.186,14280,0
2017-05-22,17:00:00,26.146,26.205,26.104,26.201,14433,0
2017-05-22,18:00:00,26.204,26.204,26.204,26.204,951,0
2017-05-22,19:00:00,26.234,26.234,26.13,26.183,5989,0
2017-05-22,20:00:00,26.2,26.234,26.181,26.234,2942,0
2017-05-22,21:00:00,26.213,26.234,26.166,26.204,5422,0
2017-05-22,22:00:00,26.234,26.234,26.216,26.228,3599,0
2017-05-23,16:00:00,26.156,26.205,26.142,26.205,29569,0
2017-05-23,17:00:00,26.205,26.244,26.186,26.244,11630,0
2017-05-23,18:00:00,26.244,26.244,26.205,26.214,10861,0
2017-05-23,19:00:00,26.244,26.244,26.187,26.243,5200,0
2017-05-23,20:00:00,26.224,26.244,26.188,26.244,5106,0
2017-05-23,21:00:00,26.224,26.292,26.22,26.292,8142,0
2017-05-23,22:00:00,26.285,26.292,26.186,26.186,12687,0
2017-05-24,16:00:00,26.224,26.244,26.205,26.211,3369,0
2017-05-24,17:00:00,26.166,26.243,26.118,26.243,10048,0
2017-05-24,18:00:00,26.108,26.243,26.108,26.144,3843,0
2017-05-24,19:00:00,26.224,26.234,26.205,26.205,993,0
2017-05-24,20:00:00,26.224,26.244,26.176,26.222,2305,0
2017-05-24,21:00:00,26.196,26.244,26.099,26.214,12889,0
2017-05-24,22:00:00,26.214,26.214,26.118,26.118,2476,0
2017-05-25,16:00:00,26.06,26.254,26.05,26.086,11852,0
2017-05-25,17:00:00,26.069,26.113,26.06,26.069,8080,0
2017-05-25,18:00:00,26.078,26.145,26.06,26.103,6389,0
2017-05-25,19:00:00,26.06,26.126,26.06,26.108,3013,0
