Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,77.771,78.185,77.771,78.007,51940,0
2017-05-16,17:00:00,78.037,78.798,77.889,78.393,371054,0
2017-05-16,18:00:00,78.393,78.798,78.136,78.694,143522,0
2017-05-16,19:00:00,78.694,78.897,78.66,78.857,108922,0
2017-05-16,20:00:00,78.857,78.897,78.739,78.805,81578,0
2017-05-16,21:00:00,78.798,78.857,78.62,78.63,111059,0
2017-05-16,22:00:00,78.63,78.729,78.571,78.601,246202,0
2017-05-17,16:00:00,77.741,77.869,77.335,77.355,73230,0
2017-05-17,17:00:00,77.345,77.503,77.005,77.059,76941,0
2017-05-17,18:00:00,77.044,77.168,76.881,76.971,58856,0
2017-05-17,19:00:00,76.941,77.009,76.793,76.981,90053,0
2017-05-17,20:00:00,76.981,76.981,76.309,76.338,107242,0
2017-05-17,21:00:00,76.329,76.497,76.19,76.497,135564,0
2017-05-17,22:00:00,76.477,76.866,76.249,76.329,521091,0
2017-05-18,16:00:00,75.963,76.338,75.192,75.903,54381,0
2017-05-18,17:00:00,75.943,76.635,75.883,76.417,83276,0
2017-05-18,18:00:00,76.377,76.861,76.299,76.467,80066,0
2017-05-18,19:00:00,76.497,76.545,76.279,76.457,34375,0
2017-05-18,20:00:00,76.447,76.575,76.209,76.516,58690,0
2017-05-18,21:00:00,76.521,76.783,76.521,76.535,84159,0
2017-05-18,22:00:00,76.535,76.713,76.319,76.319,233297,0
2017-05-19,16:00:00,76.763,77.307,76.545,77.278,108632,0
2017-05-19,17:00:00,77.307,77.879,77.287,77.603,79396,0
2017-05-19,18:00:00,77.573,77.671,77.345,77.485,85533,0
2017-05-19,19:00:00,77.513,77.82,77.513,77.731,89531,0
2017-05-19,20:00:00,77.736,77.988,77.652,77.939,97689,0
2017-05-19,21:00:00,77.954,77.998,77.849,77.849,78446,0
2017-05-19,22:00:00,77.839,77.874,77.503,77.623,300245,0
