Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-04-05,20:00:00,23.299,23.299,23.282,23.282,874,0
2016-04-05,21:00:00,23.301,23.301,23.22,23.22,3385,0
2016-04-06,17:00:00,23.135,23.171,23.135,23.16,2838,0
2016-04-06,18:00:00,23.235,23.282,23.235,23.254,1637,0
2016-04-08,18:00:00,23.254,23.254,23.254,23.254,547,0
2016-04-08,19:00:00,23.272,23.272,23.253,23.253,219,0
2016-04-08,21:00:00,23.301,23.301,23.301,23.301,163,0
2016-04-11,20:00:00,23.13,23.13,23.13,23.13,1056,0
2016-04-12,22:00:00,23.3,23.3,23.3,23.3,759,0
2016-04-13,21:00:00,23.178,23.178,23.178,23.178,547,0
2016-04-15,21:00:00,23.282,23.282,23.171,23.171,328,0
2016-04-15,22:00:00,23.135,23.171,23.135,23.171,435,0
2016-04-18,18:00:00,23.181,23.181,23.181,23.181,1090,0
2016-04-18,21:00:00,23.201,23.201,23.201,23.201,874,0
2016-04-18,22:00:00,23.233,23.233,23.233,23.233,320,0
2016-04-19,17:00:00,23.18,23.212,23.18,23.212,1965,0
2016-04-19,18:00:00,23.18,23.18,23.089,23.127,3502,0
2016-04-20,21:00:00,23.263,23.263,23.263,23.263,654,0
2016-04-21,17:00:00,23.091,23.097,23.091,23.097,874,0
2016-04-21,18:00:00,23.152,23.152,23.152,23.152,212,0
2016-04-21,21:00:00,23.18,23.18,23.119,23.119,2248,0
2016-04-21,22:00:00,23.179,23.18,23.158,23.179,3166,0
2016-04-22,17:00:00,23.231,23.231,23.231,23.231,219,0
2016-04-22,20:00:00,23.206,23.206,23.165,23.165,654,0
2016-04-22,22:00:00,23.17,23.17,23.154,23.165,1493,0
2016-04-26,16:00:00,23.272,23.272,23.272,23.272,1403,0
2016-04-26,17:00:00,23.227,23.292,23.227,23.292,3926,0
2016-04-26,18:00:00,23.33,23.33,23.326,23.326,2015,0
2016-04-26,21:00:00,23.213,23.244,23.213,23.244,219,0
2016-04-26,22:00:00,23.272,23.272,23.272,23.272,107,0
2016-04-27,17:00:00,23.326,23.336,23.218,23.227,5746,0
2016-04-27,19:00:00,23.326,23.355,23.326,23.355,5676,0
2016-04-27,20:00:00,23.322,23.355,23.322,23.343,547,0
2016-04-27,22:00:00,23.292,23.355,23.292,23.355,2730,0
2016-04-28,19:00:00,23.318,23.318,23.318,23.318,764,0
2016-04-28,20:00:00,23.326,23.326,23.326,23.326,219,0
2016-04-28,22:00:00,23.254,23.326,23.254,23.326,1863,0
2016-04-29,19:00:00,23.345,23.345,23.345,23.345,547,0
2016-05-02,16:00:00,23.345,23.355,23.282,23.352,5456,0
2016-05-02,18:00:00,23.355,23.355,23.355,23.355,2327,0
2016-05-03,19:00:00,23.263,23.272,23.263,23.272,328,0
2016-05-04,22:00:00,23.355,23.355,23.326,23.326,1106,0
