Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,26.32,26.33,26.214,26.242,285394,0
2017-05-16,17:00:00,26.242,26.252,26.146,26.175,311620,0
2017-05-16,18:00:00,26.179,26.282,26.166,26.262,344763,0
2017-05-16,19:00:00,26.261,26.291,26.228,26.242,325826,0
2017-05-16,20:00:00,26.238,26.242,26.166,26.166,198183,0
2017-05-16,21:00:00,26.168,26.175,26.01,26.02,469196,0
2017-05-16,22:00:00,26.025,26.088,26.01,26.078,1093700,0
2017-05-17,16:00:00,25.923,26.063,25.768,25.826,276275,0
2017-05-17,17:00:00,25.839,25.856,25.667,25.814,565691,0
2017-05-17,18:00:00,25.812,25.865,25.797,25.807,383929,0
2017-05-17,19:00:00,25.804,25.813,25.667,25.707,507496,0
2017-05-17,20:00:00,25.706,25.739,25.652,25.662,312293,0
2017-05-17,21:00:00,25.662,25.681,25.536,25.585,516586,0
2017-05-17,22:00:00,25.579,25.585,25.477,25.517,1089194,0
2017-05-18,16:00:00,25.401,25.517,25.275,25.303,466701,0
2017-05-18,17:00:00,25.303,25.633,25.303,25.469,401953,0
2017-05-18,18:00:00,25.469,25.671,25.464,25.604,375973,0
2017-05-18,19:00:00,25.613,25.643,25.459,25.512,254389,0
2017-05-18,20:00:00,25.517,25.54,25.459,25.51,172013,0
2017-05-18,21:00:00,25.512,25.701,25.511,25.618,332937,0
2017-05-18,22:00:00,25.623,25.72,25.512,25.662,1261074,0
2017-05-19,16:00:00,25.942,25.942,25.768,25.924,285886,0
2017-05-19,17:00:00,25.928,26.166,25.923,26.143,354935,0
2017-05-19,18:00:00,26.14,26.262,26.088,26.252,529147,0
2017-05-19,19:00:00,26.252,26.291,26.214,26.257,306782,0
2017-05-19,20:00:00,26.252,26.397,26.242,26.388,385721,0
2017-05-19,21:00:00,26.388,26.397,26.272,26.32,403455,0
2017-05-19,22:00:00,26.32,26.32,26.219,26.242,909350,0
2017-05-22,16:00:00,26.359,26.407,26.262,26.349,124089,0
2017-05-22,17:00:00,26.353,26.375,26.204,26.291,290205,0
2017-05-22,18:00:00,26.299,26.305,26.194,26.242,257693,0
2017-05-22,19:00:00,26.247,26.33,26.189,26.316,229245,0
2017-05-22,20:00:00,26.32,26.359,26.301,26.33,429707,0
2017-05-22,21:00:00,26.33,26.359,26.301,26.349,359314,0
2017-05-22,22:00:00,26.346,26.465,26.339,26.455,963868,0
2017-05-23,16:00:00,26.485,26.523,26.436,26.458,134607,0
2017-05-23,17:00:00,26.46,26.562,26.446,26.523,297678,0
2017-05-23,18:00:00,26.523,26.621,26.513,26.591,333826,0
2017-05-23,19:00:00,26.593,26.639,26.523,26.611,277307,0
2017-05-23,20:00:00,26.617,26.679,26.581,26.669,231658,0
2017-05-23,21:00:00,26.669,26.752,26.659,26.674,374633,0
2017-05-23,22:00:00,26.674,26.678,26.567,26.621,1097831,0
2017-05-24,16:00:00,26.621,26.679,26.591,26.595,129906,0
