Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,8.1439,8.1561,8.0948,8.095,15429,0
2017-05-16,17:00:00,8.1561,8.1561,8.0948,8.1318,58134,0
2017-05-16,18:00:00,8.1072,8.1439,8.0703,8.1439,64191,0
2017-05-16,19:00:00,8.1439,8.1929,8.1191,8.1733,10512,0
2017-05-16,20:00:00,8.1929,8.1929,8.0948,8.1243,8867,0
2017-05-16,21:00:00,8.1189,8.1439,8.0948,8.1439,9358,0
2017-05-16,22:00:00,8.0948,8.1929,8.0703,8.1929,23664,0
2017-05-17,16:00:00,8.0948,8.0948,7.8986,7.9476,14903,0
2017-05-17,17:00:00,7.9476,8.1439,7.9476,7.9967,11653,0
2017-05-17,18:00:00,7.9967,7.9967,7.9476,7.9476,3328,0
2017-05-17,19:00:00,7.9476,7.9476,7.8496,7.8986,12528,0
2017-05-17,20:00:00,7.8986,8.0458,7.8986,7.9967,20811,0
2017-05-17,21:00:00,8.0252,8.0458,7.9476,7.9476,12915,0
2017-05-17,22:00:00,7.9771,7.9967,7.8496,7.8496,47242,0
2017-05-18,16:00:00,7.8496,7.8613,7.8005,7.8446,7383,0
2017-05-18,17:00:00,7.8005,7.8496,7.7515,7.8005,9195,0
2017-05-18,18:00:00,7.8005,7.8986,7.7515,7.8005,12485,0
2017-05-18,19:00:00,7.8005,7.8496,7.776,7.776,11477,0
2017-05-18,20:00:00,7.7732,7.8496,7.7515,7.8269,7953,0
2017-05-18,21:00:00,7.8005,7.9231,7.8005,7.8986,14167,0
2017-05-18,22:00:00,7.9354,8.0458,7.8496,7.9231,24453,0
2017-05-19,16:00:00,7.9967,7.9967,7.8986,7.8986,8011,0
2017-05-19,17:00:00,7.9967,7.9967,7.8986,7.9722,5096,0
2017-05-19,18:00:00,7.9722,7.9967,7.9476,7.9722,9964,0
2017-05-19,19:00:00,7.9476,7.9967,7.9476,7.9476,2148,0
2017-05-19,20:00:00,7.9476,8.0458,7.9476,7.9722,16117,0
2017-05-19,21:00:00,7.9476,8.0458,7.9476,7.9722,6454,0
2017-05-19,22:00:00,7.9722,7.9967,7.825,7.8496,24118,0
2017-05-22,16:00:00,7.9476,7.9722,7.9476,7.9476,2957,0
2017-05-22,17:00:00,7.9476,7.9476,7.8005,7.8005,14954,0
2017-05-22,18:00:00,7.825,7.825,7.7024,7.7515,15005,0
2017-05-22,19:00:00,7.7024,7.7515,7.6778,7.7024,17768,0
2017-05-22,20:00:00,7.7024,7.8496,7.7024,7.8005,28829,0
2017-05-22,21:00:00,7.8005,7.8496,7.8005,7.8496,7078,0
2017-05-22,22:00:00,7.8005,7.8986,7.8005,7.8496,34914,0
2017-05-23,16:00:00,7.8005,7.8496,7.8005,7.8296,3481,0
2017-05-23,17:00:00,7.8005,7.8496,7.8005,7.8496,2772,0
2017-05-23,18:00:00,7.8496,7.8986,7.8005,7.8986,6703,0
2017-05-23,19:00:00,7.8986,7.9476,7.8496,7.8727,10903,0
2017-05-23,20:00:00,7.8986,7.8986,7.8496,7.8986,3161,0
2017-05-23,21:00:00,7.8986,7.8986,7.8496,7.8986,5962,0
2017-05-23,22:00:00,7.8741,7.9476,7.8496,7.8986,45620,0
2017-05-24,16:00:00,7.8986,7.9476,7.8598,7.8986,2114,0
2017-05-24,17:00:00,7.8986,7.9476,7.8741,7.9476,18296,0
2017-05-24,18:00:00,7.9476,7.9476,7.8741,7.8741,8812,0
2017-05-24,19:00:00,7.8741,7.9476,7.8741,7.9231,23222,0
2017-05-24,20:00:00,7.8986,7.8986,7.8741,7.8986,9682,0
2017-05-24,21:00:00,7.8986,7.8986,7.8005,7.8496,24061,0
2017-05-24,22:00:00,7.825,7.8986,7.7515,7.8986,22847,0
2017-05-25,16:00:00,7.8986,7.9231,7.8476,7.8986,16217,0
2017-05-25,17:00:00,7.8986,7.9476,7.8496,7.8986,5937,0
2017-05-25,18:00:00,7.8496,7.8986,7.6288,7.6288,28753,0
2017-05-25,19:00:00,7.6043,7.6534,7.5552,7.5797,16917,0
2017-05-25,20:00:00,7.5552,7.5552,7.408,7.408,8688,0
2017-05-25,21:00:00,7.4325,7.5062,7.408,7.4571,19966,0
2017-05-25,22:00:00,7.4325,7.4571,7.408,7.408,17770,0
2017-05-26,16:00:00,7.408,7.5062,7.359,7.4649,4186,0
2017-05-26,17:00:00,7.5062,7.5062,7.359,7.408,13265,0
2017-05-26,18:00:00,7.4198,7.4571,7.408,7.408,9885,0
2017-05-26,19:00:00,7.4571,7.5062,7.4325,7.5062,1835,0
2017-05-26,20:00:00,7.5062,7.5062,7.4571,7.5062,3618,0
2017-05-26,21:00:00,7.5062,7.5062,7.408,7.4571,5387,0
2017-05-26,22:00:00,7.4571,7.6043,7.4344,7.6043,27515,0
2017-05-30,16:00:00,7.6043,7.6511,7.5062,7.5552,9560,0
2017-05-30,17:00:00,7.5062,7.5148,7.408,7.4325,8344,0
2017-05-30,18:00:00,7.4325,7.5062,7.4295,7.4571,5483,0
2017-05-30,19:00:00,7.4325,7.5062,7.4325,7.4571,9748,0
2017-05-30,20:00:00,7.4571,7.4571,7.408,7.4325,3007,0
2017-05-30,21:00:00,7.4325,7.4571,7.408,7.4571,5831,0
2017-05-30,22:00:00,7.4325,7.4816,7.359,7.408,47391,0
2017-05-31,16:00:00,7.359,7.3835,7.1814,7.2133,12513,0
2017-05-31,17:00:00,7.201,7.2118,7.1137,7.1627,15215,0
2017-05-31,18:00:00,7.1627,7.2609,7.1627,7.2176,6528,0
2017-05-31,19:00:00,7.2609,7.2609,7.2118,7.2363,2828,0
2017-05-31,20:00:00,7.2363,7.2609,7.2118,7.2363,3567,0
2017-05-31,21:00:00,7.2412,7.2609,7.1627,7.1872,25499,0
2017-05-31,22:00:00,7.2118,7.2118,7.1627,7.1627,12197,0
2017-06-01,16:00:00,7.2118,7.2118,7.1627,7.2118,6774,0
2017-06-01,17:00:00,7.2118,7.2609,7.1627,7.2118,5814,0
2017-06-01,18:00:00,7.2363,7.3099,7.2118,7.3099,29502,0
2017-06-01,19:00:00,7.2853,7.359,7.2853,7.3344,9386,0
2017-06-01,20:00:00,7.3344,7.359,7.3099,7.3344,16154,0
2017-06-01,21:00:00,7.3344,7.359,7.3099,7.3344,12536,0
2017-06-01,22:00:00,7.3344,7.4571,7.2609,7.408,43885,0
2017-06-02,16:00:00,7.359,7.408,7.3099,7.3359,6427,0
2017-06-02,17:00:00,7.359,7.408,7.3099,7.408,7020,0
2017-06-02,18:00:00,7.4246,7.4571,7.359,7.4571,13151,0
2017-06-02,19:00:00,7.4571,7.5797,7.4571,7.5749,4698,0
2017-06-02,20:00:00,7.5847,7.6043,7.5062,7.5306,7212,0
2017-06-02,21:00:00,7.5062,7.5062,7.4311,7.4311,4494,0
2017-06-02,22:00:00,7.4325,7.5062,7.2609,7.3099,72484,0
2017-06-05,16:00:00,7.3099,7.3663,7.2609,7.2609,8387,0
2017-06-05,17:00:00,7.2363,7.3099,7.1137,7.1578,14003,0
2017-06-05,18:00:00,7.1381,7.1627,7.0646,7.0891,8663,0
2017-06-05,19:00:00,7.1137,7.1627,7.0891,7.1381,10395,0
2017-06-05,20:00:00,7.1381,7.2118,7.1137,7.1381,28363,0
2017-06-05,21:00:00,7.1381,7.2118,7.1381,7.1872,7149,0
2017-06-05,22:00:00,7.1627,7.2609,7.1627,7.2118,38074,0
2017-06-06,16:00:00,7.1627,7.1627,7.1137,7.1137,5354,0
2017-06-06,17:00:00,7.1824,7.2118,7.1137,7.2118,9223,0
2017-06-06,18:00:00,7.1627,7.2609,7.1627,7.2363,9680,0
2017-06-06,19:00:00,7.2609,7.2609,7.1627,7.2118,6901,0
2017-06-06,20:00:00,7.2118,7.3099,7.2118,7.2853,6593,0
2017-06-06,21:00:00,7.2853,7.408,7.2609,7.408,22856,0
2017-06-06,22:00:00,7.3835,7.408,7.359,7.408,25867,0
2017-06-07,16:00:00,7.359,7.4571,7.359,7.4571,2222,0
2017-06-07,17:00:00,7.4325,7.4571,7.3099,7.3344,27435,0
2017-06-07,18:00:00,7.3344,7.359,7.2609,7.2707,6266,0
2017-06-07,19:00:00,7.2609,7.3099,7.1627,7.2609,7652,0
2017-06-07,20:00:00,7.2118,7.2609,7.1283,7.1381,11440,0
2017-06-07,21:00:00,7.1381,7.2118,7.1381,7.2118,7441,0
2017-06-07,22:00:00,7.1815,7.3099,7.1627,7.3099,31796,0
2017-06-08,16:00:00,7.2609,7.359,7.2609,7.359,9679,0
2017-06-08,17:00:00,7.4571,7.5552,7.408,7.5062,10243,0
2017-06-08,18:00:00,7.5552,7.5552,7.4571,7.5091,1865,0
2017-06-08,19:00:00,7.4971,7.5306,7.408,7.5062,4869,0
2017-06-08,20:00:00,7.408,7.5552,7.408,7.4325,15609,0
2017-06-08,21:00:00,7.4325,7.5062,7.408,7.4816,68699,0
2017-06-08,22:00:00,7.4571,7.5062,7.4325,7.5062,27749,0
2017-06-09,16:00:00,7.5552,7.6043,7.408,7.5552,4100,0
2017-06-09,17:00:00,7.4571,7.6534,7.4571,7.6534,5912,0
2017-06-09,18:00:00,7.6534,7.8496,7.6534,7.8005,16646,0
2017-06-09,19:00:00,7.8496,7.8496,7.7515,7.8496,10395,0
