Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-23,15:00:00,61.334,61.334,61.334,61.334,443,0
2017-03-23,16:00:00,61.652,61.652,61.393,61.393,1108,0
2017-03-23,18:00:00,61.503,61.503,61.503,61.503,101,0
2017-03-24,16:00:00,61.582,61.582,61.582,61.582,330,0
2017-03-24,19:00:00,61.658,61.658,61.658,61.658,121,0
2017-03-24,21:00:00,61.741,61.781,61.632,61.711,5293,0
2017-03-27,16:00:00,61.294,61.294,61.18,61.18,876,0
2017-03-27,18:00:00,61.463,61.463,61.463,61.463,101,0
2017-03-27,19:00:00,61.44,61.44,61.44,61.44,405,0
2017-03-27,21:00:00,61.393,61.443,61.393,61.433,14604,0
2017-03-27,22:00:00,61.473,61.568,61.473,61.532,3325,0
2017-03-28,16:00:00,61.513,61.513,61.513,61.513,101,0
2017-03-28,19:00:00,61.7,61.7,61.689,61.689,510,0
2017-03-29,16:00:00,61.532,61.532,61.532,61.532,252,0
2017-03-29,17:00:00,61.589,61.592,61.589,61.592,201,0
2017-03-29,18:00:00,61.602,61.602,61.552,61.552,1083,0
2017-03-29,19:00:00,61.516,61.516,61.516,61.516,251,0
2017-03-29,21:00:00,61.632,61.741,61.632,61.741,2588,0
2017-03-29,22:00:00,61.642,61.642,61.642,61.642,101,0
2017-03-30,16:00:00,61.513,61.513,61.393,61.443,5873,0
2017-03-30,18:00:00,61.552,61.552,61.463,61.473,705,0
2017-03-30,19:00:00,61.443,61.443,61.413,61.413,201,0
2017-03-30,21:00:00,61.443,61.443,61.433,61.433,1007,0
2017-03-30,22:00:00,61.423,61.423,61.314,61.314,1068,0
2017-03-31,16:00:00,61.046,61.046,60.758,60.788,7838,0
2017-03-31,17:00:00,60.788,60.828,60.738,60.738,2015,0
2017-03-31,18:00:00,60.718,60.768,60.718,60.768,1007,0
2017-03-31,19:00:00,60.862,60.862,60.862,60.862,201,0
2017-03-31,20:00:00,60.947,60.951,60.878,60.878,539,0
2017-03-31,22:00:00,60.848,60.848,60.848,60.848,201,0
2017-04-03,17:00:00,61.056,61.135,61.026,61.026,1108,0
2017-04-03,18:00:00,60.977,60.996,60.836,60.836,2619,0
2017-04-03,19:00:00,60.768,60.862,60.758,60.838,1370,0
2017-04-03,21:00:00,60.897,60.897,60.897,60.897,101,0
2017-04-04,16:00:00,60.957,61.006,60.957,60.996,1713,0
2017-04-04,17:00:00,60.867,60.947,60.867,60.947,1108,0
