Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-11-04,18:00:00,41.495,41.495,41.495,41.495,171,0
2016-11-07,16:00:00,41.827,41.961,41.827,41.948,1533,0
2016-11-07,17:00:00,42.026,42.026,42.026,42.026,100,0
2016-11-07,18:00:00,42.124,42.124,42.124,42.124,100,0
2016-11-07,19:00:00,42.196,42.196,42.196,42.196,120,0
2016-11-07,22:00:00,42.08,42.08,42.08,42.08,128,0
2016-11-08,18:00:00,42.048,42.048,42.048,42.048,586,0
2016-11-08,19:00:00,42.097,42.333,42.064,42.159,3410,0
2016-11-09,17:00:00,42.309,42.309,42.191,42.191,871,0
2016-11-09,19:00:00,43.146,43.198,43.098,43.098,1346,0
2016-11-09,20:00:00,43.225,43.249,42.997,43.245,19467,0
2016-11-09,21:00:00,43.294,43.404,43.195,43.314,30420,0
2016-11-09,22:00:00,43.364,43.514,43.344,43.494,46537,0
2016-11-10,16:00:00,44.296,44.296,44.296,44.296,1009,0
2016-11-10,17:00:00,43.998,43.998,43.998,43.998,100,0
2016-11-10,18:00:00,44.225,44.225,44.225,44.225,606,0
2016-11-10,19:00:00,44.654,44.654,44.433,44.433,3286,0
2016-11-10,20:00:00,44.715,44.715,44.624,44.628,744,0
2016-11-10,21:00:00,44.56,44.56,44.535,44.535,202,0
2016-11-10,22:00:00,44.658,44.658,44.656,44.656,706,0
2016-11-11,16:00:00,45.03,45.03,45.03,45.03,177,0
2016-11-11,17:00:00,44.712,44.712,44.712,44.712,202,0
2016-11-11,20:00:00,45.727,45.727,45.727,45.727,721,0
2016-11-11,22:00:00,45.526,45.679,45.496,45.679,3429,0
2016-11-15,16:00:00,46.794,46.794,46.233,46.233,202,0
2016-11-15,18:00:00,46.377,46.377,46.298,46.298,303,0
2016-11-15,19:00:00,46.363,46.363,46.363,46.363,908,0
2016-11-15,20:00:00,46.398,46.398,46.326,46.326,1210,0
2016-11-15,21:00:00,46.375,46.458,46.375,46.458,403,0
2016-11-15,22:00:00,46.596,46.616,46.537,46.616,330,0
2016-11-16,20:00:00,46.547,46.547,46.513,46.513,962,0
2016-11-16,21:00:00,46.531,46.531,46.531,46.531,112,0
2016-11-16,22:00:00,46.547,46.547,46.547,46.547,100,0
2016-11-17,19:00:00,47.014,47.014,47.014,47.014,403,0
2016-11-17,20:00:00,46.923,46.933,46.876,46.933,1363,0
2016-11-17,21:00:00,46.841,46.859,46.841,46.845,1109,0
2016-11-17,22:00:00,46.749,46.749,46.718,46.718,563,0
2016-11-18,19:00:00,46.848,46.896,46.848,46.896,2024,0
2016-11-18,20:00:00,46.844,46.844,46.844,46.844,327,0
2016-11-18,22:00:00,46.912,46.912,46.912,46.912,515,0
2016-11-21,16:00:00,47.33,47.33,47.29,47.29,687,0
2016-11-21,17:00:00,47.26,47.26,47.002,47.002,202,0
2016-11-21,19:00:00,47.087,47.195,47.087,47.195,1015,0
2016-11-21,20:00:00,47.201,47.201,47.201,47.201,423,0
2016-11-21,22:00:00,47.241,47.274,47.241,47.25,1259,0
2016-11-22,16:00:00,47.369,47.47,47.369,47.37,1397,0
2016-11-22,17:00:00,47.507,47.77,47.507,47.51,1823,0
2016-11-22,18:00:00,47.588,47.588,47.471,47.471,377,0
2016-11-22,19:00:00,47.492,47.545,47.492,47.545,606,0
2016-11-22,20:00:00,47.698,47.728,47.698,47.728,1049,0
