Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,1.05,1.1,1.05,1.05,23041,0
2017-05-16,17:00:00,1.075,1.1,1.05,1.05,300669,0
2017-05-16,18:00:00,1.05,1.1,1.05,1.05,75770,0
2017-05-16,19:00:00,1.05,1.1,1.05,1.075,50340,0
2017-05-16,20:00:00,1.075,1.1,1.05,1.05,19913,0
2017-05-16,21:00:00,1.095,1.1,1.05,1.075,55070,0
2017-05-16,22:00:00,1.05,1.1,1,1,738893,0
2017-05-17,16:00:00,1.05,1.05,1,1,240562,0
2017-05-17,17:00:00,1.005,1.05,0.9,0.975,1414118,0
2017-05-17,18:00:00,0.96,1,0.95,0.95,200024,0
2017-05-17,19:00:00,0.975,1,0.95,0.975,220733,0
2017-05-17,20:00:00,0.975,1,0.95,0.975,99298,0
2017-05-17,21:00:00,0.975,1,0.95,0.95,142026,0
2017-05-17,22:00:00,0.975,1,0.9,0.925,589146,0
2017-05-18,16:00:00,0.95,0.95,0.8,0.8312,720263,0
2017-05-18,17:00:00,0.8312,0.89,0.8312,0.87,381335,0
2017-05-18,18:00:00,0.8794,0.8958,0.86,0.8924,171889,0
2017-05-18,19:00:00,0.899,0.8999,0.875,0.879669,192063,0
2017-05-18,20:00:00,0.8799,0.89,0.87,0.8722,162237,0
2017-05-18,21:00:00,0.8701,0.88,0.84,0.855,513936,0
2017-05-18,22:00:00,0.8575,0.8766,0.85,0.8591,198113,0
2017-05-19,16:00:00,0.88,0.89,0.8604,0.88,222560,0
2017-05-19,17:00:00,0.8786,0.89,0.8713,0.8852,224543,0
2017-05-19,18:00:00,0.8812,0.9199,0.8811,0.905,338531,0
2017-05-19,19:00:00,0.9051,0.94,0.905,0.9319,123927,0
2017-05-19,20:00:00,0.9357,0.95,0.93,0.9452,114954,0
2017-05-19,21:00:00,0.9453,0.96,0.9325,0.9402,408525,0
2017-05-19,22:00:00,0.944,0.9506,0.93,0.9326,218898,0
2017-05-22,16:00:00,0.98,1,0.96,0.97,186526,0
2017-05-22,17:00:00,0.9701,0.9797,0.9251,0.9411,140764,0
2017-05-22,18:00:00,0.9437,0.9575,0.9403,0.9517,91768,0
2017-05-22,19:00:00,0.9502,0.9664,0.9502,0.9664,52892,0
2017-05-22,20:00:00,0.96,0.9601,0.95,0.951,79889,0
2017-05-22,21:00:00,0.9504,0.9507,0.94,0.9453,83246,0
2017-05-22,22:00:00,0.9454,0.9638,0.9439,0.9592,103228,0
2017-05-23,16:00:00,0.97,0.97,0.93,0.955,89181,0
2017-05-23,17:00:00,0.9551,0.9551,0.92,0.92,142664,0
2017-05-23,18:00:00,0.92,0.93,0.92,0.9253,47288,0
2017-05-23,19:00:00,0.9254,0.93,0.91,0.9235,46050,0
2017-05-23,20:00:00,0.9224,0.9297,0.915,0.92,47801,0
2017-05-23,21:00:00,0.9215,0.9229,0.91,0.911,56703,0
2017-05-23,22:00:00,0.91,0.9271,0.91,0.9266,94328,0
2017-05-24,16:00:00,0.918,0.9286,0.9,0.91,38988,0
2017-05-24,17:00:00,0.91,0.93,0.91,0.92,21323,0
2017-05-24,18:00:00,0.92,0.92,0.9101,0.9105,45591,0
2017-05-24,19:00:00,0.9104,0.9167,0.91,0.91,38172,0
2017-05-24,20:00:00,0.91,0.91,0.9012,0.9018,25432,0
2017-05-24,21:00:00,0.9018,0.91,0.9018,0.9034,15743,0
2017-05-24,22:00:00,0.9041,0.9126,0.9034,0.9119,100713,0
2017-05-25,16:00:00,0.92,0.9499,0.92,0.9362,46287,0
2017-05-25,17:00:00,0.9396,0.9741,0.93,0.95,336161,0
2017-05-25,18:00:00,0.938,0.9644,0.9107,0.94,224587,0
2017-05-25,19:00:00,0.9491,0.9547,0.9106,0.9337,171202,0
2017-05-25,20:00:00,0.92,0.9301,0.9154,0.92,128626,0
2017-05-25,21:00:00,0.9199,0.9306,0.9163,0.93,56584,0
2017-05-25,22:00:00,0.9301,0.9402,0.93,0.93,161676,0
2017-05-26,16:00:00,0.93,0.95,0.93,0.9446,54731,0
2017-05-26,17:00:00,0.9445,0.95,0.9312,0.9383,90415,0
2017-05-26,18:00:00,0.9384,0.95,0.935,0.9478,61253,0
2017-05-26,19:00:00,0.9474,0.95,0.9414,0.9494,29977,0
2017-05-26,20:00:00,0.94945,0.9497,0.94,0.9427,35744,0
2017-05-26,21:00:00,0.9425,0.96,0.94,0.9568,109191,0
2017-05-26,22:00:00,0.9568,0.96,0.9437,0.96,161374,0
2017-05-30,16:00:00,1,1,0.9629,0.97,223585,0
2017-05-30,17:00:00,0.9796,0.9797,0.95,0.9631,114566,0
2017-05-30,18:00:00,0.9697,0.9698,0.9631,0.9631,34099,0
2017-05-30,19:00:00,0.9631,0.966,0.95,0.95,46977,0
2017-05-30,20:00:00,0.95,0.9698,0.95,0.9601,33103,0
2017-05-30,21:00:00,0.9601,0.9684,0.95,0.9683,53738,0
2017-05-30,22:00:00,0.9683,0.99,0.9504,0.9834,132944,0
2017-05-31,16:00:00,1,1,0.97,0.97,76274,0
2017-05-31,17:00:00,0.9715,0.98,0.97,0.9752,43809,0
2017-05-31,18:00:00,0.9763,0.98,0.962,0.97,99643,0
2017-05-31,19:00:00,0.97,0.9701,0.9612,0.9623,27311,0
2017-05-31,20:00:00,0.9623,1,0.95,0.9511,184760,0
2017-05-31,21:00:00,0.9521,0.98,0.95,0.96,28202,0
2017-05-31,22:00:00,0.96,1,0.96,0.9643,210323,0
2017-06-01,16:00:00,0.98,1,0.971,0.9751,52153,0
2017-06-01,17:00:00,0.9776,1,0.9754,0.9943,91341,0
2017-06-01,18:00:00,0.995,1,0.99,0.992,163324,0
2017-06-01,19:00:00,0.9919,0.992,0.99,0.9902,43966,0
2017-06-01,20:00:00,0.992,1,0.9902,0.996,55825,0
2017-06-01,21:00:00,0.996,1,0.9901,1,124750,0
2017-06-01,22:00:00,1,1.05,0.9999,1.01,455047,0
2017-06-02,16:00:00,1.05,1.05,1.02,1.03,191836,0
2017-06-02,17:00:00,1.02,1.08,1.02,1.075,248292,0
2017-06-02,18:00:00,1.0729,1.1,1.06,1.08,290636,0
2017-06-02,19:00:00,1.08,1.095,1.07,1.09,246593,0
2017-06-02,20:00:00,1.0891,1.13,1.08,1.1192,306339,0
2017-06-02,21:00:00,1.12,1.15,1.08,1.1043,393174,0
2017-06-02,22:00:00,1.1,1.11,1.09,1.09,189382,0
2017-06-05,16:00:00,1.13,1.145,1.1107,1.14,189990,0
2017-06-05,17:00:00,1.1373,1.14,1.11,1.11,173081,0
2017-06-05,18:00:00,1.11,1.12,1.1,1.11,94935,0
2017-06-05,19:00:00,1.105,1.12,1.1,1.1199,102272,0
2017-06-05,20:00:00,1.12,1.14,1.11,1.14,56219,0
2017-06-05,21:00:00,1.13,1.14,1.12,1.14,149126,0
2017-06-05,22:00:00,1.13,1.14,1.12,1.12,207294,0
2017-06-06,16:00:00,1.14,1.15,1.12,1.1432,99596,0
2017-06-06,17:00:00,1.145,1.15,1.1,1.1099,183560,0
2017-06-06,18:00:00,1.1007,1.11,1.1,1.1,115181,0
2017-06-06,19:00:00,1.105,1.11,1.1,1.105,23300,0
2017-06-06,20:00:00,1.1001,1.11,1.05,1.05,177417,0
2017-06-06,21:00:00,1.05,1.06,1.05,1.0595,175196,0
2017-06-06,22:00:00,1.05,1.06,1.03,1.035,205519,0
2017-06-07,16:00:00,1.03,1.05,1.01,1.0405,154545,0
2017-06-07,17:00:00,1.0498,1.05,1.01,1.01,92475,0
2017-06-07,18:00:00,1.0105,1.03,1.01,1.02,63394,0
2017-06-07,19:00:00,1.03,1.03,1,1,123187,0
2017-06-07,20:00:00,1.0082,1.01,1,1.009,38596,0
2017-06-07,21:00:00,1,1.02,1,1.02,88483,0
2017-06-07,22:00:00,1.0101,1.08,1.01,1.08,240132,0
2017-06-08,16:00:00,1.05,1.051,0.95,1.0024,431926,0
2017-06-08,17:00:00,1.001,1.12,1,1.0758,427671,0
2017-06-08,18:00:00,1.08,1.0892,1.06,1.0689,99677,0
2017-06-08,19:00:00,1.065,1.07,1.03,1.03,90453,0
2017-06-08,20:00:00,1.035,1.04,1.02,1.022,36273,0
2017-06-08,21:00:00,1.0237,1.03,1.02,1.03,69660,0
2017-06-08,22:00:00,1.025,1.04,1.015,1.04,211599,0
2017-06-09,16:00:00,1.1,1.12,1.07,1.105,383533,0
2017-06-09,17:00:00,1.1093,1.1093,1.08,1.0801,97285,0
2017-06-09,18:00:00,1.085,1.089,1.07,1.08,79168,0
2017-06-09,19:00:00,1.07,1.08,1.07,1.08,20060,0
2017-06-09,20:00:00,1.075,1.08,1.05,1.065,121249,0
2017-06-09,21:00:00,1.0601,1.0799,1.06,1.07,42582,0
2017-06-09,22:00:00,1.08,1.1,1.07,1.1,205170,0
2017-06-12,16:00:00,1.1,1.1,1.07,1.075,74919,0
2017-06-12,17:00:00,1.075,1.09,1.07,1.08,67769,0
2017-06-12,18:00:00,1.08,1.08,1.07,1.075,34503,0
2017-06-12,19:00:00,1.07,1.0857,1.07,1.0857,18866,0
2017-06-12,20:00:00,1.085,1.09,1.08,1.085,62200,0
2017-06-12,21:00:00,1.0801,1.09,1.08,1.08,69615,0
2017-06-12,22:00:00,1.09,1.1,1.08,1.1,144247,0
2017-06-13,16:00:00,1.1,1.14,1.08,1.13,153973,0
2017-06-13,17:00:00,1.1201,1.15,1.12,1.15,181085,0
2017-06-13,18:00:00,1.15,1.15,1.14,1.145,142248,0
2017-06-13,19:00:00,1.1401,1.15,1.14,1.15,111444,0
2017-06-13,20:00:00,1.15,1.15,1.14,1.15,130907,0
2017-06-13,21:00:00,1.145,1.16,1.12,1.15,290967,0
2017-06-13,22:00:00,1.1401,1.15,1.12,1.14,222594,0
2017-06-14,16:00:00,1.17,1.17,1.13,1.14,83632,0
2017-06-14,17:00:00,1.135,1.15,1.13,1.14,92320,0
2017-06-14,18:00:00,1.14,1.14,1.13,1.14,32275,0
2017-06-14,19:00:00,1.14,1.14,1.13,1.1317,28059,0
2017-06-14,20:00:00,1.135,1.165,1.13,1.15,234854,0
2017-06-14,21:00:00,1.1482,1.15,1.13,1.1367,134951,0
2017-06-14,22:00:00,1.14,1.15,1.12,1.15,179505,0
2017-06-15,16:00:00,1.15,1.15,1.11,1.115,93864,0
2017-06-15,17:00:00,1.11,1.12,1.1,1.11,72806,0
2017-06-15,18:00:00,1.105,1.12,1.1,1.11,43772,0
2017-06-15,19:00:00,1.11,1.12,1.11,1.115,17242,0
2017-06-15,20:00:00,1.12,1.12,1.11,1.115,16250,0
2017-06-15,21:00:00,1.11,1.12,1.11,1.115,26758,0
2017-06-15,22:00:00,1.115,1.12,1.11,1.12,81477,0
2017-06-16,16:00:00,1.13,1.13,1.12,1.13,99406,0
2017-06-16,17:00:00,1.125,1.15,1.12,1.145,82557,0
2017-06-16,18:00:00,1.145,1.15,1.12,1.125,63351,0
2017-06-16,19:00:00,1.13,1.13,1.1,1.11,107331,0
2017-06-16,20:00:00,1.11,1.11,1.1,1.1,32395,0
2017-06-16,21:00:00,1.11,1.11,1.1,1.1,133860,0
2017-06-16,22:00:00,1.105,1.11,1.1,1.1,291591,0
2017-06-19,16:00:00,1.13,1.15,1.11,1.1199,236630,0
2017-06-19,17:00:00,1.115,1.14,1.11,1.1366,104391,0
2017-06-19,18:00:00,1.14,1.15,1.13,1.15,80855,0
2017-06-19,19:00:00,1.145,1.15,1.13,1.135,171675,0
2017-06-19,20:00:00,1.13,1.15,1.13,1.14,120321,0
2017-06-19,21:00:00,1.15,1.15,1.14,1.15,64988,0
2017-06-19,22:00:00,1.14,1.15,1.13,1.13,190289,0
2017-06-20,16:00:00,1.16,1.18,1.13,1.18,175747,0
2017-06-20,17:00:00,1.18,1.18,1.17,1.18,109223,0
2017-06-20,18:00:00,1.18,1.18,1.15,1.15,145932,0
2017-06-20,19:00:00,1.1557,1.16,1.14,1.15,37338,0
2017-06-20,20:00:00,1.15,1.15,1.14,1.15,44928,0
2017-06-20,21:00:00,1.15,1.15,1.14,1.15,32105,0
2017-06-20,22:00:00,1.15,1.18,1.1499,1.16,159309,0
2017-06-21,16:00:00,1.19,1.2,1.14,1.17,162513,0
2017-06-21,17:00:00,1.1899,1.19,1.16,1.175,88868,0
2017-06-21,18:00:00,1.18,1.2,1.175,1.2,224503,0
2017-06-21,19:00:00,1.2,1.2,1.18,1.18,49905,0
2017-06-21,20:00:00,1.19,1.19,1.16,1.16,138972,0
2017-06-21,21:00:00,1.16,1.19,1.16,1.18,67436,0
