Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-08,16:00:00,8.2017,8.2017,8.2017,8.2017,960,0
2017-05-08,17:00:00,8.2097,8.2097,8.1355,8.1448,8770,0
2017-05-08,18:00:00,8.1544,8.1544,8.1544,8.1544,107,0
2017-05-08,20:00:00,8.1544,8.1544,8.1355,8.1544,3280,0
2017-05-08,22:00:00,8.1544,8.1544,8.1448,8.1544,5642,0
2017-05-09,16:00:00,8.2205,8.2775,8.2017,8.2205,15643,0
2017-05-09,17:00:00,8.2205,8.2205,8.2101,8.2101,2584,0
2017-05-09,19:00:00,8.2143,8.2143,8.2058,8.2058,2875,0
2017-05-09,20:00:00,8.2081,8.2205,8.2017,8.2205,1313,0
2017-05-09,21:00:00,8.2017,8.2019,8.1972,8.1972,6133,0
2017-05-09,22:00:00,8.1922,8.2017,8.1922,8.2017,2461,0
2017-05-10,16:00:00,8.1922,8.1922,8.1732,8.1733,6697,0
2017-05-10,17:00:00,8.1827,8.1827,8.0787,8.0787,17842,0
2017-05-10,18:00:00,8.0882,8.0882,8.0504,8.0692,14083,0
2017-05-10,19:00:00,8.0693,8.0787,8.0693,8.0787,214,0
2017-05-10,20:00:00,8.0786,8.1069,8.0747,8.1069,7717,0
2017-05-10,21:00:00,8.1044,8.1044,8.0882,8.0882,7400,0
2017-05-10,22:00:00,8.1024,8.126,8.0976,8.126,13731,0
2017-05-11,16:00:00,8.1166,8.1166,8.1166,8.1166,1468,0
2017-05-11,17:00:00,8.126,8.126,8.126,8.126,214,0
2017-05-11,18:00:00,8.1167,8.1169,8.1166,8.1166,2007,0
2017-05-11,19:00:00,8.1345,8.1355,8.1265,8.1355,742,0
2017-05-11,20:00:00,8.1258,8.1258,8.1258,8.1258,127,0
2017-05-11,21:00:00,8.1234,8.1354,8.1232,8.1354,2108,0
2017-05-11,22:00:00,8.1354,8.1355,8.1166,8.1355,3080,0
2017-05-12,16:00:00,8.1448,8.1544,8.1173,8.1499,11248,0
2017-05-12,17:00:00,8.1629,8.1732,8.1448,8.1732,5710,0
2017-05-12,18:00:00,8.1732,8.1827,8.1704,8.1704,1921,0
2017-05-12,19:00:00,8.1649,8.1827,8.1639,8.1827,7784,0
2017-05-12,20:00:00,8.1827,8.1827,8.1827,8.1827,3490,0
2017-05-12,21:00:00,8.2017,8.2017,8.1956,8.2017,1163,0
2017-05-12,22:00:00,8.2111,8.2205,8.2111,8.2205,2832,0
2017-05-15,16:00:00,8.2961,8.3058,8.268,8.3058,4825,0
2017-05-15,17:00:00,8.3085,8.3153,8.3072,8.3153,3847,0
2017-05-15,18:00:00,8.3153,8.3153,8.2583,8.2775,26968,0
2017-05-15,19:00:00,8.2529,8.2776,8.2529,8.2776,665,0
2017-05-15,20:00:00,8.2775,8.2775,8.268,8.2775,1397,0
2017-05-15,21:00:00,8.2588,8.269,8.2489,8.269,3276,0
2017-05-15,22:00:00,8.2775,8.2961,8.2301,8.268,12527,0
2017-05-16,16:00:00,8.2301,8.2583,8.2205,8.2301,6705,0
2017-05-16,17:00:00,8.2536,8.2536,8.2205,8.2205,10720,0
2017-05-16,18:00:00,8.2205,8.2205,8.2111,8.2111,6929,0
2017-05-16,19:00:00,8.2018,8.2301,8.2017,8.2301,7400,0
2017-05-16,20:00:00,8.2205,8.2489,8.2205,8.2396,4018,0
2017-05-16,21:00:00,8.2396,8.2775,8.2263,8.2583,28086,0
2017-05-16,22:00:00,8.279,8.2961,8.2775,8.2775,18406,0
2017-05-17,16:00:00,8.3251,8.3251,8.3122,8.3122,11961,0
2017-05-17,17:00:00,8.306,8.3251,8.2869,8.3193,16438,0
2017-05-17,18:00:00,8.2869,8.287,8.2869,8.2869,4300,0
2017-05-17,19:00:00,8.2775,8.2775,8.2775,8.2775,1260,0
2017-05-17,20:00:00,8.2775,8.3167,8.2775,8.2775,2199,0
2017-05-17,21:00:00,8.2775,8.2853,8.2297,8.2297,2203,0
2017-05-17,22:00:00,8.2928,8.2963,8.2297,8.2679,4041,0
2017-05-18,16:00:00,8.2011,8.22,8.1773,8.22,2256,0
2017-05-18,17:00:00,8.1773,8.2033,8.1629,8.1629,3407,0
2017-05-18,18:00:00,8.169,8.2119,8.1248,8.201,5192,0
2017-05-18,19:00:00,8.185,8.2025,8.1629,8.2025,1277,0
2017-05-18,20:00:00,8.1629,8.1982,8.1629,8.1982,6607,0
2017-05-18,22:00:00,8.2105,8.2201,8.1629,8.1725,11889,0
2017-05-19,16:00:00,8.1438,8.1438,8.1058,8.1187,3519,0
2017-05-19,17:00:00,8.1438,8.2011,8.1058,8.2011,6146,0
2017-05-19,18:00:00,8.1983,8.2105,8.1153,8.1347,7100,0
2017-05-19,19:00:00,8.1917,8.1917,8.1819,8.1819,837,0
2017-05-19,20:00:00,8.1343,8.1476,8.1248,8.1438,2515,0
2017-05-19,21:00:00,8.1917,8.1917,8.1248,8.1248,786,0
2017-05-19,22:00:00,8.1248,8.1438,8.1248,8.1438,736,0
2017-05-22,16:00:00,8.1438,8.1629,8.1438,8.1629,2826,0
2017-05-22,19:00:00,8.1917,8.1917,8.077,8.1153,6046,0
2017-05-22,20:00:00,8.1437,8.1534,8.1248,8.1248,3964,0
2017-05-22,21:00:00,8.1248,8.1248,8.1248,8.1248,211,0
2017-05-22,22:00:00,8.1438,8.1438,8.1343,8.1438,4587,0
2017-05-23,16:00:00,8.1058,8.1725,8.1058,8.1629,8068,0
2017-05-23,17:00:00,8.1725,8.1725,8.1725,8.1725,313,0
2017-05-23,18:00:00,8.2192,8.2201,8.2011,8.2011,2113,0
2017-05-23,19:00:00,8.2201,8.2869,8.2201,8.2869,10379,0
2017-05-23,20:00:00,8.2953,8.2953,8.2487,8.2869,4840,0
2017-05-23,21:00:00,8.2869,8.2869,8.2487,8.2487,10173,0
2017-05-23,22:00:00,8.2775,8.306,8.2487,8.2869,7738,0
2017-05-24,16:00:00,8.2775,8.2775,8.276,8.2775,2591,0
2017-05-24,17:00:00,8.2775,8.3345,8.2775,8.3345,3449,0
2017-05-24,18:00:00,8.3345,8.3345,8.2963,8.3345,1205,0
2017-05-24,19:00:00,8.3345,8.3345,8.3114,8.3251,3357,0
2017-05-24,20:00:00,8.3251,8.4013,8.2971,8.4013,16211,0
2017-05-24,21:00:00,8.3537,8.3823,8.3536,8.3823,2203,0
2017-05-24,22:00:00,8.3823,8.3823,8.3633,8.3633,5621,0
2017-05-25,16:00:00,8.4013,8.4013,8.4013,8.4013,2537,0
2017-05-25,17:00:00,8.3441,8.4013,8.3441,8.3727,6234,0
2017-05-25,18:00:00,8.3346,8.3966,8.3346,8.3966,943,0
2017-05-25,19:00:00,8.3917,8.3917,8.3536,8.3727,736,0
2017-05-25,20:00:00,8.3441,8.3679,8.3345,8.3679,2046,0
2017-05-25,21:00:00,8.3345,8.3345,8.3345,8.3345,106,0
2017-05-25,22:00:00,8.3345,8.3727,8.2679,8.3156,7220,0
2017-05-26,16:00:00,8.3823,8.3823,8.3633,8.3633,3351,0
2017-05-26,17:00:00,8.3689,8.3689,8.3441,8.3441,1629,0
2017-05-26,18:00:00,8.3441,8.3441,8.3251,8.3345,3319,0
2017-05-26,19:00:00,8.3345,8.3345,8.3156,8.3345,1559,0
2017-05-26,20:00:00,8.3345,8.3345,8.3298,8.3343,4405,0
2017-05-26,21:00:00,8.3345,8.3345,8.3344,8.3345,607,0
2017-05-26,22:00:00,8.3396,8.3441,8.3345,8.3345,4237,0
2017-05-30,16:00:00,8.3251,8.3251,8.2393,8.2393,13893,0
2017-05-30,17:00:00,8.3251,8.3251,8.2621,8.2869,5348,0
2017-05-30,18:00:00,8.3015,8.306,8.2869,8.2869,4348,0
2017-05-30,19:00:00,8.2869,8.2869,8.2775,8.2775,3040,0
2017-05-30,20:00:00,8.3031,8.306,8.2963,8.3003,920,0
2017-05-30,21:00:00,8.2963,8.2964,8.2393,8.2393,15311,0
2017-05-30,22:00:00,8.2731,8.2731,8.2487,8.2487,575,0
2017-05-31,16:00:00,8.2487,8.2487,8.2487,8.2487,2055,0
2017-05-31,17:00:00,8.2487,8.2963,8.2487,8.2963,1549,0
2017-05-31,18:00:00,8.2963,8.3156,8.2869,8.3156,736,0
2017-05-31,19:00:00,8.306,8.3156,8.306,8.3156,736,0
2017-05-31,20:00:00,8.3156,8.3156,8.3156,8.3156,313,0
2017-05-31,21:00:00,8.3156,8.3156,8.306,8.3155,1234,0
2017-05-31,22:00:00,8.3251,8.3345,8.3156,8.3345,1852,0
2017-06-01,16:00:00,8.3345,8.3381,8.3345,8.3381,3590,0
2017-06-01,17:00:00,8.3439,8.3917,8.3439,8.3808,4960,0
2017-06-01,18:00:00,8.3823,8.3823,8.3441,8.3614,2203,0
2017-06-01,19:00:00,8.3679,8.3679,8.3092,8.3092,5604,0
2017-06-01,20:00:00,8.3536,8.3727,8.3365,8.3633,799,0
2017-06-01,21:00:00,8.3633,8.3633,8.3498,8.3633,1121,0
2017-06-01,22:00:00,8.3512,8.3536,8.306,8.3512,2440,0
2017-06-02,16:00:00,8.3441,8.3441,8.3441,8.3441,2077,0
2017-06-02,18:00:00,8.3633,8.3727,8.3367,8.3725,1739,0
2017-06-02,19:00:00,8.3511,8.3728,8.3511,8.3728,3363,0
2017-06-02,20:00:00,8.3727,8.3727,8.3727,8.3727,418,0
2017-06-02,21:00:00,8.3441,8.3441,8.3441,8.3441,313,0
