Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,29.194,29.472,29.116,29.387,123577,0
2017-05-16,17:00:00,29.391,29.586,29.38,29.529,277778,0
2017-05-16,18:00:00,29.538,29.545,29.35,29.459,207957,0
2017-05-16,19:00:00,29.466,29.538,29.445,29.52,167849,0
2017-05-16,20:00:00,29.52,29.586,29.509,29.551,135921,0
2017-05-16,21:00:00,29.545,29.586,29.509,29.586,140499,0
2017-05-16,22:00:00,29.584,29.623,29.387,29.394,526776,0
2017-05-17,16:00:00,29.137,29.309,29.087,29.174,150804,0
2017-05-17,17:00:00,29.174,29.259,29.053,29.259,402236,0
2017-05-17,18:00:00,29.259,29.305,29.237,29.28,160727,0
2017-05-17,19:00:00,29.28,29.302,29.23,29.259,149590,0
2017-05-17,20:00:00,29.259,29.416,29.239,29.387,240504,0
2017-05-17,21:00:00,29.387,29.551,29.344,29.373,276680,0
2017-05-17,22:00:00,29.38,29.538,29.368,29.424,630794,0
2017-05-18,16:00:00,29.402,29.566,29.323,29.551,115773,0
2017-05-18,17:00:00,29.566,29.637,29.424,29.487,221384,0
2017-05-18,18:00:00,29.487,29.529,29.437,29.472,98651,0
2017-05-18,19:00:00,29.472,29.58,29.424,29.523,103174,0
2017-05-18,20:00:00,29.525,29.616,29.516,29.616,131035,0
2017-05-18,21:00:00,29.616,29.701,29.586,29.642,135007,0
2017-05-18,22:00:00,29.637,29.659,29.538,29.548,345578,0
2017-05-19,16:00:00,29.523,29.616,29.445,29.494,207822,0
2017-05-19,17:00:00,29.494,29.594,29.402,29.566,102957,0
2017-05-19,18:00:00,29.566,29.666,29.566,29.651,116204,0
2017-05-19,19:00:00,29.651,29.773,29.651,29.729,112539,0
2017-05-19,20:00:00,29.729,29.801,29.673,29.673,102212,0
2017-05-19,21:00:00,29.673,29.673,29.47,29.48,316632,0
2017-05-19,22:00:00,29.48,29.48,29.366,29.402,609216,0
2017-05-22,16:00:00,29.437,29.751,29.437,29.751,88232,0
2017-05-22,17:00:00,29.751,29.844,29.709,29.791,219602,0
2017-05-22,18:00:00,29.786,29.881,29.751,29.786,233833,0
2017-05-22,19:00:00,29.801,29.816,29.709,29.72,213465,0
2017-05-22,20:00:00,29.716,29.729,29.666,29.709,131159,0
2017-05-22,21:00:00,29.709,29.791,29.68,29.773,215193,0
2017-05-22,22:00:00,29.773,29.851,29.751,29.786,425000,0
2017-05-23,16:00:00,29.816,29.816,29.586,29.716,433121,0
2017-05-23,17:00:00,29.716,29.819,29.701,29.751,419501,0
2017-05-23,18:00:00,29.755,29.966,29.709,29.881,329858,0
2017-05-23,19:00:00,29.881,29.921,29.716,29.751,218663,0
2017-05-23,20:00:00,29.747,29.812,29.745,29.766,187423,0
2017-05-23,21:00:00,29.769,29.773,29.687,29.723,396059,0
2017-05-23,22:00:00,29.744,29.745,29.703,29.723,660092,0
2017-05-24,16:00:00,29.751,29.824,29.694,29.816,109558,0
2017-05-24,17:00:00,29.819,29.823,29.751,29.786,141207,0
2017-05-24,18:00:00,29.78,29.801,29.723,29.766,191011,0
2017-05-24,19:00:00,29.766,29.786,29.745,29.751,134437,0
2017-05-24,20:00:00,29.759,29.784,29.694,29.729,165657,0
2017-05-24,21:00:00,29.729,29.794,29.694,29.759,233746,0
