Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,4.56,4.6,4.5,4.5248,189849,0
2017-05-16,17:00:00,4.53,4.53,4.46,4.46,243649,0
2017-05-16,18:00:00,4.46,4.54,4.45,4.465,201783,0
2017-05-16,19:00:00,4.465,4.51,4.46,4.485,121468,0
2017-05-16,20:00:00,4.49,4.52,4.471,4.515,113404,0
2017-05-16,21:00:00,4.515,4.545,4.51,4.5162,107976,0
2017-05-16,22:00:00,4.5126,4.5587,4.505,4.53,300565,0
2017-05-17,16:00:00,4.65,4.71,4.61,4.685,347513,0
2017-05-17,17:00:00,4.685,4.75,4.66,4.745,280016,0
2017-05-17,18:00:00,4.75,4.835,4.715,4.715,466954,0
2017-05-17,19:00:00,4.715,4.7365,4.655,4.675,101741,0
2017-05-17,20:00:00,4.68,4.7,4.65,4.69,145070,0
2017-05-17,21:00:00,4.7,4.715,4.655,4.67,168353,0
2017-05-17,22:00:00,4.66,4.73,4.63,4.72,449831,0
2017-05-18,16:00:00,4.71,4.71,4.51,4.55,225740,0
2017-05-18,17:00:00,4.56,4.62,4.545,4.58,317871,0
2017-05-18,18:00:00,4.57,4.6,4.545,4.595,119237,0
2017-05-18,19:00:00,4.595,4.63,4.58,4.6,227072,0
2017-05-18,20:00:00,4.6,4.6,4.53,4.55,222220,0
2017-05-18,21:00:00,4.55,4.55,4.52,4.5449,115089,0
2017-05-18,22:00:00,4.545,4.5768,4.52,4.53,427817,0
2017-05-19,16:00:00,4.61,4.68,4.58,4.65,181463,0
2017-05-19,17:00:00,4.656,4.656,4.54,4.56,214810,0
2017-05-19,18:00:00,4.555,4.565,4.52,4.525,87287,0
2017-05-19,19:00:00,4.525,4.54,4.5,4.515,85249,0
2017-05-19,20:00:00,4.515,4.55,4.51,4.535,128231,0
2017-05-19,21:00:00,4.54,4.555,4.52,4.52,172205,0
2017-05-19,22:00:00,4.525,4.53,4.51,4.53,549000,0
2017-05-22,16:00:00,4.56,4.615,4.56,4.597,178280,0
2017-05-22,17:00:00,4.6,4.61,4.58,4.595,162836,0
2017-05-22,18:00:00,4.6,4.64,4.595,4.635,194146,0
2017-05-22,19:00:00,4.635,4.67,4.63,4.665,109304,0
2017-05-22,20:00:00,4.665,4.71,4.66,4.71,185600,0
2017-05-22,21:00:00,4.71,4.715,4.65,4.65,195819,0
2017-05-22,22:00:00,4.65,4.67,4.645,4.67,427287,0
2017-05-23,16:00:00,4.66,4.745,4.65,4.72,196681,0
2017-05-23,17:00:00,4.72,4.745,4.6448,4.655,191277,0
2017-05-23,18:00:00,4.655,4.66,4.57,4.585,266782,0
2017-05-23,19:00:00,4.59,4.61,4.51,4.57,189690,0
2017-05-23,20:00:00,4.565,4.61,4.54,4.59,263478,0
2017-05-23,21:00:00,4.585,4.59,4.51,4.55,270837,0
2017-05-23,22:00:00,4.545,4.68,4.53,4.63,1570185,0
2017-05-24,16:00:00,4.57,4.64,4.46,4.5001,248651,0
2017-05-24,17:00:00,4.51,4.52,4.411,4.435,342863,0
2017-05-24,18:00:00,4.43,4.44,4.33,4.34,626792,0
2017-05-24,19:00:00,4.345,4.35,4.3,4.315,195787,0
2017-05-24,20:00:00,4.3153,4.34,4.27,4.31,301022,0
2017-05-24,21:00:00,4.31,4.42,4.25,4.345,829448,0
2017-05-24,22:00:00,4.345,4.4001,4.345,4.37,1031244,0
2017-05-25,16:00:00,4.5,4.599,4.41,4.57,510549,0
2017-05-25,17:00:00,4.57,4.655,4.55,4.65,383563,0
2017-05-25,18:00:00,4.65,4.71,4.57,4.58,249492,0
2017-05-25,19:00:00,4.59,4.59,4.52,4.575,145780,0
2017-05-25,20:00:00,4.58,4.58,4.54,4.545,143561,0
2017-05-25,21:00:00,4.54,4.68,4.54,4.665,339070,0
2017-05-25,22:00:00,4.67,4.8,4.66,4.74,952111,0
2017-05-26,16:00:00,4.84,4.915,4.78,4.85,204311,0
2017-05-26,17:00:00,4.86,4.895,4.77,4.815,276367,0
2017-05-26,18:00:00,4.815,4.815,4.75,4.775,128344,0
2017-05-26,19:00:00,4.78,4.78,4.74,4.76,96023,0
2017-05-26,20:00:00,4.76,4.76,4.73,4.76,126660,0
2017-05-26,21:00:00,4.76,4.77,4.72,4.76,199419,0
2017-05-26,22:00:00,4.76,4.765,4.7,4.71,544978,0
2017-05-30,16:00:00,4.73,4.8,4.69,4.75,244222,0
2017-05-30,17:00:00,4.745,4.8,4.69,4.71,304877,0
2017-05-30,18:00:00,4.71,4.73,4.68,4.73,184161,0
2017-05-30,19:00:00,4.73,4.735,4.69,4.695,58284,0
2017-05-30,20:00:00,4.69,4.71,4.69,4.705,52439,0
2017-05-30,21:00:00,4.7,4.71,4.69,4.695,74728,0
2017-05-30,22:00:00,4.695,4.72,4.67,4.71,459840,0
2017-05-31,16:00:00,4.72,4.74,4.7,4.709,71079,0
2017-05-31,17:00:00,4.705,4.73,4.62,4.66,239636,0
2017-05-31,18:00:00,4.66,4.695,4.6501,4.685,100171,0
2017-05-31,19:00:00,4.685,4.72,4.68,4.715,68996,0
2017-05-31,20:00:00,4.72,4.785,4.715,4.74,149871,0
2017-05-31,21:00:00,4.74,4.78,4.705,4.775,107562,0
2017-05-31,22:00:00,4.775,4.78,4.7,4.71,397611,0
2017-06-01,16:00:00,4.68,4.75,4.64,4.69,163503,0
2017-06-01,17:00:00,4.69,4.74,4.655,4.68,199015,0
2017-06-01,18:00:00,4.685,4.715,4.66,4.685,140030,0
2017-06-01,19:00:00,4.68,4.7,4.66,4.69,66824,0
2017-06-01,20:00:00,4.685,4.71,4.68,4.7,77383,0
2017-06-01,21:00:00,4.7,4.7,4.66,4.695,128686,0
2017-06-01,22:00:00,4.695,4.75,4.69,4.72,501024,0
2017-06-02,16:00:00,4.82,4.82,4.66,4.69,109627,0
2017-06-02,17:00:00,4.68,4.745,4.67,4.68,185018,0
2017-06-02,18:00:00,4.68,4.75,4.67,4.7,160169,0
2017-06-02,19:00:00,4.7,4.72,4.68,4.692,102292,0
2017-06-02,20:00:00,4.7,4.71,4.67,4.67,53980,0
2017-06-02,21:00:00,4.67,4.705,4.6601,4.675,156459,0
2017-06-02,22:00:00,4.675,4.69,4.66,4.67,299559,0
2017-06-05,16:00:00,4.76,4.78,4.65,4.68,159809,0
2017-06-05,17:00:00,4.68,4.7007,4.65,4.68,186205,0
2017-06-05,18:00:00,4.68,4.69,4.66,4.67,179414,0
2017-06-05,19:00:00,4.67,4.72,4.66,4.71,79449,0
2017-06-05,20:00:00,4.705,4.77,4.7,4.7523,180100,0
2017-06-05,21:00:00,4.76,4.76,4.71,4.735,142051,0
2017-06-05,22:00:00,4.74,4.85,4.73,4.85,809195,0
2017-06-06,16:00:00,4.93,4.98,4.9,4.96,371576,0
2017-06-06,17:00:00,4.955,5.04,4.95,5.01,505515,0
2017-06-06,18:00:00,5.01,5.11,5,5.11,299475,0
2017-06-06,19:00:00,5.11,5.135,5.05,5.1243,411343,0
2017-06-06,20:00:00,5.13,5.195,5.125,5.165,308832,0
2017-06-06,21:00:00,5.165,5.18,5.1,5.11,219011,0
2017-06-06,22:00:00,5.115,5.14,5.05,5.13,910975,0
2017-06-07,16:00:00,5.06,5.13,4.98,5.13,134481,0
2017-06-07,17:00:00,5.13,5.18,5.08,5.09,249781,0
2017-06-07,18:00:00,5.1,5.115,4.99,5.03,167422,0
2017-06-07,19:00:00,5.0201,5.1,5.02,5.07,144527,0
2017-06-07,20:00:00,5.07,5.13,5.035,5.05,159282,0
2017-06-07,21:00:00,5.05,5.085,5,5.05,186227,0
2017-06-07,22:00:00,5.06,5.19,5.055,5.18,1141334,0
2017-06-08,16:00:00,5.12,5.12,4.99,5.02,247058,0
2017-06-08,17:00:00,5.01,5.03,4.95,5.015,197609,0
2017-06-08,18:00:00,5.01,5.01,4.95,4.98,157876,0
2017-06-08,19:00:00,4.975,5,4.94,4.96,137989,0
2017-06-08,20:00:00,4.97,4.975,4.935,4.96,126245,0
2017-06-08,21:00:00,4.96,5.06,4.95,5.015,157788,0
2017-06-08,22:00:00,5.015,5.04,4.98,5,525366,0
2017-06-09,16:00:00,4.88,4.925,4.84,4.89,147665,0
2017-06-09,17:00:00,4.89,4.935,4.82,4.89,165319,0
2017-06-09,18:00:00,4.89,4.93,4.86,4.9026,141679,0
2017-06-09,19:00:00,4.91,4.95,4.88,4.9,123226,0
2017-06-09,20:00:00,4.9,4.923,4.87,4.9,105901,0
2017-06-09,21:00:00,4.9,4.9,4.82,4.84,150262,0
2017-06-09,22:00:00,4.845,4.91,4.83,4.86,593161,0
2017-06-12,16:00:00,4.85,4.93,4.78,4.9,122195,0
2017-06-12,17:00:00,4.89,5.03,4.87,5,364180,0
2017-06-12,18:00:00,5,5.04,4.97,4.99,272463,0
2017-06-12,19:00:00,4.99,5.03,4.945,5,397161,0
2017-06-12,20:00:00,5,5.06,4.99,5.01,193707,0
2017-06-12,21:00:00,5.015,5.03,4.975,4.99,348108,0
2017-06-12,22:00:00,4.99,4.99,4.94,4.96,543144,0
2017-06-13,16:00:00,4.93,4.95,4.8787,4.91,155535,0
2017-06-13,17:00:00,4.9,5,4.88,4.96,151403,0
2017-06-13,18:00:00,4.96,5.03,4.935,4.99,163273,0
2017-06-13,19:00:00,5,5,4.93,4.965,89156,0
2017-06-13,20:00:00,4.96,5.04,4.95,5.03,186745,0
2017-06-13,21:00:00,5.03,5.08,4.985,5.005,216509,0
2017-06-13,22:00:00,5.005,5.03,4.94,5.02,501873,0
2017-06-14,16:00:00,5.11,5.19,5.07,5.095,292799,0
2017-06-14,17:00:00,5.1,5.165,5.05,5.145,316123,0
2017-06-14,18:00:00,5.15,5.18,5.125,5.125,296166,0
2017-06-14,19:00:00,5.12,5.12,5.04,5.06,164211,0
2017-06-14,20:00:00,5.06,5.16,5.03,5.11,173745,0
2017-06-14,21:00:00,5.11,5.16,4.84,4.895,1098632,0
2017-06-14,22:00:00,4.89,4.89,4.75,4.83,1449353,0
2017-06-15,16:00:00,4.74,4.91,4.73,4.7799,268363,0
2017-06-15,17:00:00,4.775,4.795,4.68,4.73,570892,0
2017-06-15,18:00:00,4.73,4.74,4.665,4.7258,265680,0
2017-06-15,19:00:00,4.72,4.75,4.69,4.71,141463,0
2017-06-15,20:00:00,4.72,4.765,4.71,4.74,219929,0
2017-06-15,21:00:00,4.75,4.77,4.72,4.745,259958,0
2017-06-15,22:00:00,4.745,4.76,4.7001,4.72,803146,0
2017-06-16,16:00:00,4.72,4.75,4.6853,4.75,158684,0
2017-06-16,17:00:00,4.75,4.77,4.67,4.72,243416,0
2017-06-16,18:00:00,4.72,4.725,4.62,4.65,330096,0
2017-06-16,19:00:00,4.65,4.675,4.65,4.66,168088,0
