Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,30.562,30.696,30.495,30.542,29019,0
2017-05-16,17:00:00,30.556,30.58,30.383,30.514,42616,0
2017-05-16,18:00:00,30.507,30.6,30.495,30.495,51724,0
2017-05-16,19:00:00,30.495,30.533,30.399,30.466,60004,0
2017-05-16,20:00:00,30.428,30.495,30.341,30.376,56169,0
2017-05-16,21:00:00,30.371,30.389,30.16,30.198,60058,0
2017-05-16,22:00:00,30.203,30.447,30.198,30.428,119318,0
2017-05-17,16:00:00,30.294,30.562,30.112,30.112,31561,0
2017-05-17,17:00:00,30.149,30.198,29.969,30.122,53605,0
2017-05-17,18:00:00,30.141,30.371,30.122,30.323,41349,0
2017-05-17,19:00:00,30.313,30.313,30.189,30.217,17070,0
2017-05-17,20:00:00,30.198,30.227,30.132,30.16,33762,0
2017-05-17,21:00:00,30.179,30.221,30.151,30.189,77529,0
2017-05-17,22:00:00,30.179,30.265,30.16,30.16,139738,0
2017-05-18,16:00:00,30.036,30.112,29.787,29.95,69521,0
2017-05-18,17:00:00,29.95,30.245,29.948,30.113,25629,0
2017-05-18,18:00:00,30.135,30.285,30.103,30.265,62180,0
2017-05-18,19:00:00,30.256,30.313,30.112,30.122,55580,0
2017-05-18,20:00:00,30.141,30.19,30.084,30.151,19936,0
2017-05-18,21:00:00,30.169,30.237,30.151,30.198,49987,0
2017-05-18,22:00:00,30.19,30.275,30.086,30.179,98837,0
2017-05-19,16:00:00,30.351,30.495,30.117,30.495,7592,0
2017-05-19,17:00:00,30.504,30.675,30.485,30.648,81088,0
2017-05-19,18:00:00,30.659,30.781,30.59,30.667,54174,0
2017-05-19,19:00:00,30.667,30.696,30.562,30.58,41702,0
2017-05-19,20:00:00,30.58,30.715,30.542,30.715,36617,0
2017-05-19,21:00:00,30.715,30.801,30.628,30.781,42494,0
2017-05-19,22:00:00,30.781,30.791,30.676,30.686,64379,0
2017-05-22,16:00:00,30.877,30.877,30.658,30.781,48725,0
