Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,34.21,34.21,33.771,34.015,17645,0
2017-05-16,17:00:00,33.966,34.088,33.626,33.674,49148,0
2017-05-16,18:00:00,33.674,33.771,33.481,33.577,45073,0
2017-05-16,19:00:00,33.577,33.869,33.577,33.674,42672,0
2017-05-16,20:00:00,33.674,33.724,33.626,33.674,23162,0
2017-05-16,21:00:00,33.674,33.724,33.384,33.384,50369,0
2017-05-16,22:00:00,33.408,33.553,33.334,33.334,181210,0
2017-05-17,16:00:00,33.092,33.237,32.848,32.898,17228,0
2017-05-17,17:00:00,32.898,32.995,32.801,32.801,23455,0
2017-05-17,18:00:00,32.801,32.898,32.654,32.751,45224,0
2017-05-17,19:00:00,32.751,32.898,32.605,32.751,51659,0
2017-05-17,20:00:00,32.751,32.751,32.557,32.605,28705,0
2017-05-17,21:00:00,32.605,32.654,32.461,32.605,39583,0
2017-05-17,22:00:00,32.582,32.824,32.508,32.703,121701,0
2017-05-18,16:00:00,32.605,33.189,32.605,32.848,28563,0
2017-05-18,17:00:00,32.848,33.189,32.557,32.654,30932,0
2017-05-18,18:00:00,32.703,32.995,32.703,32.703,20434,0
2017-05-18,19:00:00,32.776,32.801,32.557,32.654,29938,0
2017-05-18,20:00:00,32.605,32.727,32.557,32.703,19374,0
2017-05-18,21:00:00,32.703,32.922,32.703,32.801,35277,0
2017-05-18,22:00:00,32.824,32.848,32.703,32.801,60878,0
2017-05-19,16:00:00,32.751,32.995,32.605,32.945,31318,0
2017-05-19,17:00:00,32.898,33.189,32.848,33.189,42421,0
2017-05-19,18:00:00,33.165,33.31,33.043,33.287,24950,0
2017-05-19,19:00:00,33.334,33.456,33.287,33.431,30484,0
2017-05-19,20:00:00,33.408,33.577,33.334,33.577,35876,0
2017-05-19,21:00:00,33.577,33.577,33.431,33.481,17339,0
2017-05-19,22:00:00,33.481,33.553,33.334,33.529,133079,0
2017-05-22,16:00:00,33.481,33.771,33.334,33.674,22438,0
2017-05-22,17:00:00,33.674,33.674,33.384,33.553,24139,0
2017-05-22,18:00:00,33.529,33.748,33.481,33.602,19099,0
2017-05-22,19:00:00,33.602,33.771,33.602,33.626,20464,0
2017-05-22,20:00:00,33.577,33.724,33.553,33.699,23507,0
2017-05-22,21:00:00,33.674,33.699,33.577,33.674,16700,0
2017-05-22,22:00:00,33.699,33.771,33.626,33.724,115426,0
2017-05-23,16:00:00,33.869,33.966,33.577,33.626,17323,0
2017-05-23,17:00:00,33.577,33.771,33.529,33.699,26291,0
2017-05-23,18:00:00,33.674,33.771,33.674,33.724,12933,0
2017-05-23,19:00:00,33.724,33.771,33.553,33.577,24220,0
2017-05-23,20:00:00,33.577,33.626,33.529,33.577,20009,0
2017-05-23,21:00:00,33.577,33.626,33.431,33.505,23152,0
2017-05-23,22:00:00,33.481,33.529,33.384,33.431,96687,0
2017-05-24,16:00:00,33.384,33.966,33.189,33.237,23387,0
2017-05-24,17:00:00,33.287,33.431,33.14,33.31,57439,0
2017-05-24,18:00:00,33.287,33.384,33.189,33.287,50584,0
2017-05-24,19:00:00,33.287,33.334,33.212,33.334,29943,0
2017-05-24,20:00:00,33.334,33.384,33.14,33.189,39075,0
2017-05-24,21:00:00,33.165,33.287,32.995,33.043,36034,0
2017-05-24,22:00:00,33.043,33.092,32.801,32.801,235079,0
2017-05-25,16:00:00,33.043,33.626,32.898,33.626,62649,0
2017-05-25,17:00:00,33.674,34.015,33.529,33.942,65089,0
2017-05-25,18:00:00,33.966,34.21,33.918,34.16,41563,0
2017-05-25,19:00:00,34.16,34.307,34.16,34.282,67163,0
2017-05-25,20:00:00,34.282,34.404,34.21,34.404,48619,0
2017-05-25,21:00:00,34.379,34.404,34.015,34.21,67856,0
2017-05-25,22:00:00,34.21,34.234,33.796,34.113,213275,0
2017-05-26,16:00:00,34.113,34.113,33.626,33.674,16363,0
2017-05-26,17:00:00,33.626,33.966,33.626,33.724,29211,0
