Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,48.45,48.65,48.225,48.45,9280,0
2017-05-16,17:00:00,48.35,48.699,48.2,48.699,16094,0
2017-05-16,18:00:00,48.6,48.9,48.6,48.75,26091,0
2017-05-16,19:00:00,48.7,48.7,48.55,48.7,4423,0
2017-05-16,20:00:00,48.75,48.75,48.6,48.625,14054,0
2017-05-16,21:00:00,48.6,48.9,48.6,48.8,44083,0
2017-05-16,22:00:00,48.8,49.0034,48.4,48.45,87448,0
2017-05-17,16:00:00,48.25,48.35,47.65,47.75,16639,0
2017-05-17,17:00:00,47.7503,48,47.65,47.95,15939,0
2017-05-17,18:00:00,47.85,47.9,47.55,47.6,20816,0
2017-05-17,19:00:00,47.6,47.8,47.6,47.7103,9328,0
2017-05-17,20:00:00,47.7,47.7,47.45,47.675,20897,0
2017-05-17,21:00:00,47.675,47.75,47.55,47.75,16848,0
2017-05-17,22:00:00,47.75,47.75,47.25,47.25,55880,0
2017-05-18,16:00:00,47.2,47.25,46.9,47,5899,0
2017-05-18,17:00:00,47.2,47.35,46.9,46.9,4078,0
2017-05-18,18:00:00,46.9,47.1,46.9,47,12375,0
2017-05-18,19:00:00,47.1,47.1,46.85,46.85,9649,0
2017-05-18,20:00:00,46.85,47.15,46.7,47.15,9416,0
2017-05-18,21:00:00,47.15,47.3,47.05,47.15,4399,0
2017-05-18,22:00:00,47.15,47.4,47.1,47.2,52914,0
2017-05-19,16:00:00,47.15,47.85,47,47.55,9084,0
2017-05-19,17:00:00,47.55,47.9,47.45,47.9,11066,0
2017-05-19,18:00:00,47.8,48.05,47.7,48,19069,0
2017-05-19,19:00:00,47.95,48.2,47.95,48.2,3800,0
2017-05-19,20:00:00,48.2,48.3,48.05,48.05,4464,0
2017-05-19,21:00:00,48.2,48.6,48.1,48.55,29735,0
2017-05-19,22:00:00,48.5,48.6,48.3,48.5,95360,0
2017-05-22,16:00:00,48.55,49.15,48.5,48.5,4441,0
2017-05-22,17:00:00,48.4,48.6,48.4,48.45,8409,0
2017-05-22,18:00:00,48.4,48.7,48.4,48.45,9254,0
2017-05-22,19:00:00,48.4,48.65,48.4,48.475,31570,0
2017-05-22,20:00:00,48.5,48.55,48.45,48.55,7113,0
2017-05-22,21:00:00,48.5,48.7,48.45,48.65,7954,0
2017-05-22,22:00:00,48.65,48.75,48.55,48.75,22355,0
2017-05-23,16:00:00,48.8,49.15,48.5,48.5,7025,0
2017-05-23,17:00:00,48.55,48.8,48.5,48.7,4393,0
2017-05-23,18:00:00,48.6,48.75,48.5,48.55,2500,0
2017-05-23,19:00:00,48.5,48.6,48.45,48.5,11309,0
2017-05-23,20:00:00,48.5,48.55,48.45,48.55,4205,0
