Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,0.389,0.3899,0.35,0.3872,17134,0
2017-05-16,17:00:00,0.3864,0.3899,0.375484,0.38,16466,0
2017-05-16,18:00:00,0.3761,0.3799,0.3751,0.3768,11421,0
2017-05-16,19:00:00,0.3752,0.3795,0.3751,0.3792,19598,0
2017-05-16,20:00:00,0.3771,0.3795,0.3759,0.3759,34388,0
2017-05-16,21:00:00,0.3771,0.3777,0.3759,0.3759,16539,0
2017-05-16,22:00:00,0.377,0.3771,0.3622,0.37,21780,0
2017-05-17,16:00:00,0.38,0.3888,0.37,0.3711,11438,0
2017-05-17,17:00:00,0.3865,0.39,0.3711,0.3801,17140,0
2017-05-17,18:00:00,0.38,0.3849,0.38,0.3842,13511,0
2017-05-17,19:00:00,0.3808,0.3898,0.38,0.3807,11678,0
2017-05-17,20:00:00,0.3886,0.3886,0.3807,0.380794,5897,0
2017-05-17,21:00:00,0.3848,0.3898,0.381,0.388664,5543,0
2017-05-17,22:00:00,0.3841,0.39,0.384,0.39,25565,0
2017-05-18,16:00:00,0.4,0.4299,0.39,0.4,26074,0
2017-05-18,17:00:00,0.4,0.4099,0.39,0.3949,5564,0
2017-05-18,18:00:00,0.3984,0.3986,0.392,0.3983,4451,0
2017-05-18,19:00:00,0.3983,0.3989,0.391,0.391,9035,0
2017-05-18,20:00:00,0.396825,0.3972,0.39,0.39,12428,0
2017-05-18,21:00:00,0.397,0.397,0.39,0.390468,850,0
2017-05-18,22:00:00,0.395,0.3999,0.372,0.3919,20717,0
2017-05-19,16:00:00,0.399,0.41,0.3927,0.3958,20086,0
2017-05-19,17:00:00,0.4,0.41,0.3933,0.3933,4602,0
2017-05-19,18:00:00,0.4081,0.4199,0.3921,0.4001,28311,0
2017-05-19,19:00:00,0.41,0.42,0.4001,0.4198,5760,0
2017-05-19,20:00:00,0.4194,0.4194,0.405,0.4103,11115,0
2017-05-19,21:00:00,0.4101,0.4149,0.401,0.4149,56293,0
2017-05-19,22:00:00,0.415,0.415,0.4,0.4096,16930,0
2017-05-22,16:00:00,0.45,0.45,0.41,0.41,36813,0
2017-05-22,17:00:00,0.41,0.42,0.4099,0.41,17340,0
2017-05-22,18:00:00,0.4104,0.4199,0.4,0.4004,13025,0
2017-05-22,19:00:00,0.4028,0.4028,0.4001,0.4024,3467,0
2017-05-22,20:00:00,0.4019,0.4199,0.4019,0.4197,33095,0
2017-05-22,21:00:00,0.4127,0.4199,0.4023,0.4025,19912,0
2017-05-22,22:00:00,0.4073,0.42,0.404,0.415,21176,0
2017-05-23,16:00:00,0.42,0.43,0.4101,0.4157,37388,0
2017-05-23,17:00:00,0.42,0.4274,0.42,0.4274,12310,0
