Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-03,16:00:00,1.2,1.2,1.2,1.2,2050,0
2017-05-03,17:00:00,1.2,1.2,1.1899,1.1899,2707,0
2017-05-03,19:00:00,1.19,1.19,1.19,1.19,100,0
2017-05-03,20:00:00,1.19,1.19,1.19,1.19,7100,0
2017-05-03,21:00:00,1.1899,1.1899,1.1899,1.1899,1500,0
2017-05-03,22:00:00,1.19,1.19,1.19,1.19,3200,0
2017-05-04,16:00:00,1.15,1.1744,1.13,1.17,8397,0
2017-05-04,17:00:00,1.18,1.18,1.1787,1.18,5016,0
2017-05-04,18:00:00,1.17,1.1813,1.17,1.1801,16101,0
2017-05-04,19:00:00,1.18,1.18,1.1772,1.1772,2514,0
2017-05-04,20:00:00,1.18,1.18,1.18,1.18,100,0
2017-05-04,21:00:00,1.18,1.18,1.17,1.18,600,0
2017-05-04,22:00:00,1.18,1.19,1.17,1.17,8319,0
2017-05-05,16:00:00,1.15,1.15,1.15,1.15,487,0
2017-05-05,17:00:00,1.159,1.16,1.15,1.15,11837,0
2017-05-05,18:00:00,1.15,1.15,1.13,1.131,8778,0
2017-05-05,19:00:00,1.1399,1.1399,1.1221,1.1221,2490,0
2017-05-05,20:00:00,1.12,1.14,1.12,1.13,7069,0
2017-05-05,21:00:00,1.14,1.14,1.13,1.1317,11500,0
2017-05-05,22:00:00,1.13,1.14,1.13,1.13,31251,0
2017-05-08,16:00:00,1.12,1.14,1.12,1.14,7170,0
2017-05-08,17:00:00,1.14,1.18,1.14,1.18,5090,0
2017-05-08,18:00:00,1.1701,1.1701,1.17,1.17,1100,0
2017-05-08,19:00:00,1.16,1.22,1.15,1.16,6201,0
2017-05-08,20:00:00,1.16,1.17,1.16,1.17,975,0
2017-05-08,21:00:00,1.17,1.17,1.16,1.16,2800,0
2017-05-08,22:00:00,1.17,1.2,1.12,1.18,38128,0
2017-05-09,16:00:00,1.19,1.21,1.18,1.21,4125,0
2017-05-09,17:00:00,1.19,1.28,1.19,1.24,30011,0
2017-05-09,18:00:00,1.22,1.24,1.13,1.21,47405,0
2017-05-09,19:00:00,1.201,1.21,1.18,1.19,1393,0
2017-05-09,21:00:00,1.19,1.21,1.19,1.21,7305,0
2017-05-09,22:00:00,1.2,1.21,1.18,1.18,10065,0
2017-05-10,16:00:00,1.19,1.19,1.19,1.19,200,0
2017-05-10,17:00:00,1.21,1.21,1.2,1.2,1600,0
2017-05-10,18:00:00,1.21,1.21,1.2,1.2,200,0
2017-05-10,19:00:00,1.18,1.2,1.17,1.18,14894,0
2017-05-10,20:00:00,1.16,1.17,1.1376,1.1428,6818,0
2017-05-10,21:00:00,1.15,1.18,1.14,1.18,300,0
2017-05-10,22:00:00,1.18,1.18,1.15,1.15,6638,0
