Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-08,16:00:00,0.26,0.26,0.26,0.26,6873,0
2017-11-08,19:00:00,0.286,0.286,0.24,0.24,7485,0
2017-11-08,20:00:00,0.29,0.29,0.29,0.29,1800,0
2017-11-08,21:00:00,0.28,0.29,0.28,0.29,523,0
2017-11-08,22:00:00,0.282,0.29,0.28,0.28,1969,0
2017-11-09,16:00:00,0.271,0.271,0.265,0.265,3648,0
2017-11-09,17:00:00,0.28,0.28,0.26,0.2705,5611,0
2017-11-09,18:00:00,0.2601,0.2601,0.23,0.250025,37606,0
2017-11-09,19:00:00,0.25,0.255,0.25,0.255,1140,0
2017-11-09,20:00:00,0.25,0.265,0.25,0.265,2718,0
2017-11-09,21:00:00,0.2501,0.26,0.2501,0.26,1095,0
2017-11-09,22:00:00,0.2506,0.26,0.2506,0.2506,1400,0
2017-11-10,16:00:00,0.241,0.25,0.241,0.25,1599,0
2017-11-10,17:00:00,0.2502,0.269,0.25,0.2502,4158,0
2017-11-10,19:00:00,0.265,0.27,0.265,0.27,9395,0
2017-11-10,20:00:00,0.275,0.289,0.2701,0.289,3425,0
2017-11-10,21:00:00,0.2701,0.289,0.2701,0.289,3600,0
2017-11-10,22:00:00,0.2719,0.289,0.2701,0.289,2895,0
2017-11-13,16:00:00,0.271,0.29,0.271,0.29,2307,0
2017-11-13,17:00:00,0.29,0.299,0.2711,0.299,8364,0
2017-11-13,18:00:00,0.28,0.299,0.2711,0.272,2505,0
2017-11-13,19:00:00,0.2764,0.29,0.27,0.289,8920,0
2017-11-13,20:00:00,0.2701,0.298,0.2701,0.298,16162,0
2017-11-13,21:00:00,0.298,0.298,0.298,0.298,200,0
2017-11-13,22:00:00,0.298,0.298,0.298,0.298,200,0
2017-11-14,16:00:00,0.28,0.299,0.2711,0.281,7578,0
2017-11-14,17:00:00,0.299,0.299,0.281,0.299,4284,0
2017-11-14,18:00:00,0.299,0.299,0.299,0.299,100,0
