Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-12,16:00:00,1.4,1.46,1.4,1.46,3248,0
2017-05-12,18:00:00,1.3813,1.4,1.3813,1.4,400,0
2017-05-12,19:00:00,1.41,1.41,1.4,1.41,400,0
2017-05-12,20:00:00,1.3824,1.41,1.3824,1.405,600,0
2017-05-12,21:00:00,1.39,1.4,1.39,1.4,200,0
2017-05-12,22:00:00,1.4,1.4,1.39,1.4,1100,0
2017-05-15,16:00:00,1.4,1.4,1.4,1.4,2000,0
2017-05-15,17:00:00,1.4,1.42,1.4,1.405,4000,0
2017-05-15,18:00:00,1.39,1.4,1.39,1.4,2400,0
2017-05-15,19:00:00,1.405,1.405,1.391,1.391,500,0
2017-05-15,20:00:00,1.4,1.4,1.395,1.4,1539,0
2017-05-15,21:00:00,1.405,1.42,1.405,1.405,700,0
2017-05-15,22:00:00,1.405,1.405,1.4,1.4,10341,0
2017-05-16,16:00:00,1.4,1.4,1.36,1.36,35826,0
2017-05-16,17:00:00,1.39,1.4064,1.39,1.4064,1100,0
2017-05-16,18:00:00,1.41,1.41,1.41,1.41,100,0
2017-05-16,19:00:00,1.4,1.41,1.39,1.396,750,0
2017-05-16,20:00:00,1.39,1.39,1.39,1.39,904,0
2017-05-16,22:00:00,1.39,1.39,1.3858,1.39,850,0
2017-05-17,16:00:00,1.36,1.3801,1.36,1.38,785,0
2017-05-17,17:00:00,1.38,1.38,1.3786,1.38,3349,0
2017-05-17,18:00:00,1.3724,1.38,1.3701,1.38,8951,0
2017-05-17,19:00:00,1.4,1.4,1.38,1.38,200,0
2017-05-17,20:00:00,1.37,1.39,1.37,1.38,2864,0
2017-05-17,21:00:00,1.37,1.405,1.36,1.4,6700,0
2017-05-17,22:00:00,1.38,1.4,1.37,1.37,3365,0
2017-05-18,17:00:00,1.34,1.36,1.335,1.36,880,0
2017-05-18,18:00:00,1.33,1.3899,1.315,1.34,3378,0
2017-05-18,19:00:00,1.34,1.355,1.33,1.355,855,0
2017-05-18,20:00:00,1.36,1.39,1.36,1.37,800,0
2017-05-18,21:00:00,1.37,1.39,1.37,1.39,1100,0
2017-05-18,22:00:00,1.39,1.41,1.33,1.33,31605,0
2017-05-19,16:00:00,1.32,1.39,1.31,1.39,3229,0
2017-05-19,17:00:00,1.355,1.4,1.335,1.355,70060,0
2017-05-19,18:00:00,1.4,1.4,1.37,1.39,29900,0
2017-05-19,19:00:00,1.4,1.4,1.35,1.36,14600,0
2017-05-19,20:00:00,1.36,1.375,1.36,1.375,700,0
2017-05-19,21:00:00,1.39,1.39,1.36,1.37,1600,0
2017-05-19,22:00:00,1.39,1.39,1.36,1.39,3414,0
2017-05-22,16:00:00,1.4,1.4,1.38,1.38,315,0
2017-05-22,17:00:00,1.39,1.39,1.3714,1.3724,5300,0
2017-05-22,18:00:00,1.39,1.39,1.39,1.39,300,0
2017-05-22,19:00:00,1.37,1.39,1.37,1.39,1100,0
2017-05-22,20:00:00,1.39,1.39,1.39,1.39,700,0
2017-05-22,21:00:00,1.39,1.39,1.39,1.39,9864,0
2017-05-22,22:00:00,1.39,1.39,1.38,1.39,12276,0
2017-05-23,16:00:00,1.38,1.38,1.38,1.38,300,0
2017-05-23,17:00:00,1.37,1.39,1.37,1.39,900,0
2017-05-23,18:00:00,1.3826,1.3826,1.3826,1.3826,150,0
2017-05-23,19:00:00,1.376,1.39,1.37,1.38,1900,0
2017-05-23,20:00:00,1.39,1.39,1.351,1.351,3429,0
2017-05-23,22:00:00,1.39,1.39,1.39,1.39,100,0
2017-05-24,16:00:00,1.32,1.4,1.32,1.36,2896,0
2017-05-24,17:00:00,1.36,1.36,1.31,1.35,2044,0
2017-05-24,18:00:00,1.3499,1.35,1.3212,1.3212,1100,0
2017-05-24,19:00:00,1.35,1.35,1.3314,1.3314,608,0
2017-05-24,20:00:00,1.35,1.35,1.35,1.35,500,0
2017-05-24,22:00:00,1.35,1.35,1.3464,1.3464,1335,0
2017-05-25,17:00:00,1.3459,1.36,1.3329,1.35,4500,0
2017-05-25,18:00:00,1.37,1.39,1.37,1.39,200,0
2017-05-25,19:00:00,1.35,1.39,1.35,1.39,16100,0
2017-05-25,20:00:00,1.38,1.39,1.38,1.39,400,0
2017-05-25,22:00:00,1.37,1.38,1.368,1.38,1000,0
2017-05-26,16:00:00,1.36,1.36,1.36,1.36,385,0
2017-05-26,17:00:00,1.36,1.4,1.35,1.35,524896,0
2017-05-26,18:00:00,1.365,1.365,1.36,1.36,400,0
2017-05-26,19:00:00,1.35,1.36,1.3,1.3,187403,0
2017-05-26,20:00:00,1.27,1.28,1.25,1.25,16194,0
2017-05-26,21:00:00,1.25,1.35,1.25,1.35,10600,0
2017-05-26,22:00:00,1.35,1.41,1.31,1.37,75239,0
2017-05-30,16:00:00,1.38,1.38,1.2652,1.3726,1850,0
2017-05-30,17:00:00,1.38,1.38,1.32,1.34,3700,0
2017-05-30,18:00:00,1.34,1.35,1.34,1.35,400,0
2017-05-30,19:00:00,1.36,1.36,1.36,1.36,100,0
2017-05-30,20:00:00,1.37,1.37,1.32,1.35,6197,0
2017-05-30,21:00:00,1.33,1.34,1.33,1.33,400,0
2017-05-30,22:00:00,1.34,1.35,1.3381,1.34,900,0
2017-05-31,16:00:00,1.34,1.3547,1.34,1.34,2408,0
2017-05-31,17:00:00,1.35,1.38,1.34,1.38,2200,0
2017-05-31,18:00:00,1.36,1.36,1.36,1.36,100,0
2017-05-31,19:00:00,1.3599,1.38,1.34,1.34,13000,0
2017-05-31,20:00:00,1.34,1.35,1.34,1.35,300,0
2017-05-31,21:00:00,1.35,1.35,1.34,1.35,5700,0
2017-05-31,22:00:00,1.34,1.35,1.34,1.34,6555,0
2017-06-01,16:00:00,1.3281,1.35,1.27,1.35,17992,0
2017-06-01,17:00:00,1.35,1.35,1.3,1.3,1100,0
2017-06-01,18:00:00,1.31,1.31,1.305,1.31,500,0
2017-06-01,19:00:00,1.337,1.337,1.33,1.33,1600,0
2017-06-01,20:00:00,1.34,1.3786,1.33,1.3786,16490,0
2017-06-01,21:00:00,1.38,1.4,1.35,1.397,68900,0
2017-06-01,22:00:00,1.39,1.42,1.37,1.39,116200,0
2017-06-02,16:00:00,1.35,1.37,1.3434,1.3499,23502,0
2017-06-02,17:00:00,1.39,1.45,1.39,1.41,2900,0
2017-06-02,18:00:00,1.435,1.44,1.42,1.44,400,0
2017-06-02,19:00:00,1.435,1.435,1.36,1.385,7100,0
2017-06-02,20:00:00,1.38,1.39,1.37,1.38,2700,0
2017-06-02,21:00:00,1.38,1.39,1.38,1.385,28800,0
2017-06-02,22:00:00,1.385,1.4,1.38,1.39,85897,0
2017-06-05,16:00:00,1.3876,1.39,1.37,1.3899,9600,0
2017-06-05,17:00:00,1.4,1.42,1.4,1.42,22400,0
2017-06-05,18:00:00,1.42,1.42,1.4,1.4,3161,0
2017-06-05,19:00:00,1.4,1.42,1.4,1.4,7560,0
2017-06-05,20:00:00,1.41,1.42,1.405,1.42,22062,0
2017-06-05,21:00:00,1.415,1.4192,1.4,1.4,4200,0
