Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-04,16:00:00,9.941,9.949,9.941,9.949,5469,0
2017-05-04,17:00:00,9.949,9.969,9.949,9.966,1512,0
2017-05-04,18:00:00,9.969,9.979,9.969,9.969,2271,0
2017-05-04,19:00:00,9.969,9.979,9.969,9.974,1723,0
2017-05-04,20:00:00,9.965,9.965,9.964,9.964,1299,0
2017-05-04,21:00:00,9.969,9.979,9.969,9.979,706,0
2017-05-04,22:00:00,9.975,9.979,9.969,9.979,1021,0
2017-05-05,16:00:00,9.972,9.972,9.972,9.972,109,0
2017-05-05,17:00:00,9.979,9.979,9.961,9.979,11454,0
2017-05-05,18:00:00,9.979,9.979,9.979,9.979,1446,0
2017-05-05,19:00:00,9.979,9.979,9.979,9.979,42248,0
2017-05-05,20:00:00,9.969,9.974,9.969,9.969,1132,0
2017-05-05,21:00:00,9.969,9.979,9.959,9.979,12002,0
2017-05-05,22:00:00,9.979,9.979,9.969,9.979,8599,0
2017-05-08,16:00:00,9.969,9.969,9.959,9.959,6812,0
2017-05-08,17:00:00,9.969,9.979,9.969,9.979,5586,0
2017-05-08,18:00:00,9.959,9.959,9.959,9.959,514,0
2017-05-08,19:00:00,9.959,9.978,9.959,9.978,5201,0
2017-05-08,20:00:00,9.969,9.969,9.969,9.969,1098,0
2017-05-08,21:00:00,9.967,9.967,9.956,9.966,5573,0
2017-05-08,22:00:00,9.969,9.969,9.966,9.969,2578,0
2017-05-09,16:00:00,9.965,9.969,9.965,9.965,1239,0
2017-05-09,17:00:00,9.969,9.969,9.962,9.969,5986,0
2017-05-09,18:00:00,9.969,9.979,9.969,9.972,7433,0
2017-05-09,19:00:00,9.963,9.979,9.963,9.979,10113,0
2017-05-09,20:00:00,9.979,9.979,9.959,9.979,11761,0
2017-05-09,21:00:00,9.966,9.989,9.966,9.989,17595,0
2017-05-09,22:00:00,10.002,10.029,9.989,10.019,11423,0
2017-05-10,16:00:00,9.979,10.009,9.979,10.009,3097,0
2017-05-10,17:00:00,10.016,10.019,10.016,10.019,2889,0
2017-05-10,18:00:00,10.026,10.029,10.026,10.029,414,0
2017-05-10,19:00:00,10.029,10.029,10.029,10.029,100,0
2017-05-10,20:00:00,10.021,10.029,10.021,10.029,2039,0
2017-05-10,21:00:00,10.029,10.029,10.019,10.029,3493,0
2017-05-10,22:00:00,10.019,10.029,10.019,10.029,1807,0
2017-05-11,16:00:00,10.059,10.059,10.059,10.059,2468,0
2017-05-11,17:00:00,10.019,10.049,9.999,10.039,18232,0
2017-05-11,18:00:00,10.059,10.069,10.04,10.069,13310,0
2017-05-11,19:00:00,10.051,10.069,10.051,10.069,10025,0
