Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-10-19,17:00:00,48.809,48.809,48.809,48.809,607,0
2016-10-19,18:00:00,48.821,48.821,48.821,48.821,101,0
2016-10-19,20:00:00,48.831,48.831,48.831,48.831,101,0
2016-10-20,18:00:00,48.751,48.751,48.751,48.751,101,0
2016-10-20,20:00:00,48.831,48.831,48.831,48.831,101,0
2016-10-24,20:00:00,48.826,48.826,48.826,48.826,1044,0
2016-10-25,16:00:00,48.854,48.856,48.846,48.846,522,0
2016-10-25,21:00:00,48.873,48.873,48.873,48.873,311,0
2016-10-25,22:00:00,48.865,48.873,48.865,48.873,317,0
2016-10-26,20:00:00,48.806,48.816,48.806,48.806,1044,0
2016-10-26,22:00:00,48.736,48.736,48.736,48.736,311,0
2016-10-27,22:00:00,48.625,48.625,48.625,48.625,411,0
2016-11-01,16:00:00,48.288,48.288,48.274,48.274,211,0
2016-11-01,17:00:00,48.274,48.274,48.269,48.269,211,0
2016-11-01,19:00:00,48.166,48.166,48.166,48.166,100,0
2016-11-02,20:00:00,48.002,48.002,48.002,48.002,100,0
2016-11-02,21:00:00,48.012,48.012,47.992,47.992,422,0
2016-11-03,16:00:00,47.936,47.936,47.936,47.936,100,0
2016-11-03,17:00:00,47.963,47.963,47.963,47.963,100,0
2016-11-03,18:00:00,47.963,47.963,47.963,47.963,100,0
2016-11-21,17:00:00,47.654,47.654,47.65,47.65,1255,0
2016-11-25,20:00:00,47.63,47.63,47.63,47.63,0,0
2016-12-21,22:00:00,48.396,48.396,48.396,48.396,100,0
2016-12-23,22:00:00,48.48,48.48,48.48,48.48,100,0
2016-12-27,16:00:00,48.288,48.288,48.288,48.288,100,0
2016-12-28,22:00:00,48.278,48.278,48.278,48.278,100,0
2017-01-04,22:00:00,48.756,48.756,48.756,48.756,100,0
2017-01-10,17:00:00,48.756,48.756,48.756,48.756,100,0
2017-01-24,16:00:00,48.654,48.654,48.654,48.654,100,0
2017-01-31,20:00:00,48.728,48.735,48.728,48.735,520,0
2017-01-31,21:00:00,48.701,48.701,48.701,48.701,1025,0
2017-01-31,22:00:00,48.635,48.635,48.635,48.635,7937,0
2017-02-01,16:00:00,48.797,48.797,48.797,48.797,776,0
2017-02-01,17:00:00,48.656,48.72,48.656,48.72,310,0
