Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-03-24,15:00:00,27.715,27.715,27.715,27.715,1648,0
2016-03-24,16:00:00,27.916,27.916,27.897,27.897,220,0
2016-03-24,21:00:00,27.661,27.788,27.661,27.661,1066,0
2016-03-28,20:00:00,27.752,27.752,27.752,27.752,653,0
2016-03-28,21:00:00,28.207,28.207,28.207,28.207,549,0
2016-03-28,22:00:00,28.779,28.799,28.779,28.799,770,0
2016-03-29,21:00:00,28.467,28.467,28.467,28.467,549,0
2016-03-30,21:00:00,29.066,29.066,29.066,29.066,109,0
2016-03-31,19:00:00,28.939,28.94,28.939,28.94,220,0
2016-03-31,20:00:00,28.115,28.115,28.115,28.115,220,0
2016-03-31,22:00:00,28.125,28.125,28.125,28.125,220,0
2016-04-01,19:00:00,28.93,28.93,28.93,28.93,109,0
2016-04-04,18:00:00,28.207,28.607,28.207,28.483,1209,0
2016-04-04,22:00:00,28.679,28.679,28.679,28.679,205,0
2016-04-07,21:00:00,28.917,28.917,28.89,28.89,883,0
2016-04-08,22:00:00,28.907,28.917,28.907,28.917,220,0
2016-04-11,16:00:00,28.944,29.389,28.907,28.917,846,0
2016-04-11,17:00:00,28.912,28.912,28.912,28.912,879,0
2016-04-11,21:00:00,28.912,28.917,28.812,28.812,966,0
2016-04-11,22:00:00,28.961,28.961,28.57,28.579,571,0
2016-04-12,16:00:00,28.315,28.315,28.207,28.207,1629,0
2016-04-12,17:00:00,28.463,28.463,28.315,28.315,659,0
2016-04-12,19:00:00,28.379,28.379,28.252,28.252,659,0
2016-04-13,16:00:00,28.298,28.298,28.298,28.298,117,0
2016-04-13,18:00:00,28.917,29.176,28.917,29.176,989,0
2016-04-13,22:00:00,28.926,28.926,28.917,28.917,1759,0
2016-04-14,20:00:00,29.004,29.004,29.004,29.004,175,0
2016-04-15,16:00:00,29.116,29.116,29.116,29.116,1326,0
2016-04-15,21:00:00,28.907,28.934,28.907,28.934,220,0
2016-04-18,19:00:00,29.071,29.071,29.063,29.063,400,0
2016-04-18,20:00:00,28.984,28.984,28.984,28.984,1099,0
2016-04-18,22:00:00,28.98,28.98,28.98,28.98,220,0
2016-04-20,17:00:00,29.02,29.02,29.02,29.02,2124,0
2016-04-20,20:00:00,29.289,29.289,29.289,29.289,1099,0
2016-04-21,19:00:00,29.326,29.344,29.3,29.3,1099,0
2016-04-21,22:00:00,29.344,29.344,29.344,29.344,213,0
2016-04-22,16:00:00,29.298,29.298,29.044,29.081,2528,0
2016-04-22,17:00:00,29.235,29.235,29.125,29.125,220,0
2016-04-22,18:00:00,29.226,29.226,29.226,29.226,429,0
2016-04-22,19:00:00,29.18,29.216,29.18,29.216,220,0
2016-04-25,16:00:00,29.071,29.071,29.071,29.071,220,0
2016-04-25,21:00:00,28.98,29.044,28.98,29.044,318,0
2016-04-25,22:00:00,28.988,28.988,28.988,28.988,109,0
2016-04-26,19:00:00,28.98,28.98,28.98,28.98,220,0
2016-04-26,20:00:00,29.02,29.025,29.02,29.025,275,0
2016-04-27,17:00:00,28.982,29.116,28.982,29.03,770,0
2016-04-27,18:00:00,28.982,28.982,28.982,28.982,727,0
