Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-01-03,17:00:00,3.5299,3.7,3.5299,3.7,2600,0
2017-01-03,22:00:00,3.58,3.58,3.33,3.49,3000,0
2017-01-04,16:00:00,3.5,3.5,3.5,3.5,1000,0
2017-01-04,17:00:00,3.56,3.7,3.56,3.7,2218,0
2017-01-04,18:00:00,3.665,3.75,3.665,3.7,4085,0
2017-01-04,20:00:00,3.8,3.8,3.7,3.7,200,0
2017-01-04,21:00:00,3.7,3.7,3.7,3.7,100,0
2017-01-04,22:00:00,3.7,3.71,3.58,3.58,900,0
2017-01-05,17:00:00,3.7,3.75,3.7,3.7,4600,0
2017-01-05,18:00:00,3.7,3.77,3.7,3.77,2200,0
2017-01-05,20:00:00,3.66,3.66,3.66,3.66,100,0
2017-01-05,22:00:00,3.72,3.74,3.72,3.74,600,0
2017-01-06,16:00:00,3.7664,3.8,3.75,3.77,3173,0
2017-01-06,18:00:00,3.8,3.8,3.75,3.75,400,0
2017-01-06,21:00:00,3.7,3.7,3.43,3.43,3800,0
2017-01-06,22:00:00,3.45,3.5,3.45,3.5,1100,0
2017-01-09,16:00:00,3.51,3.51,3.51,3.51,100,0
2017-01-09,18:00:00,3.6399,3.6399,3.6399,3.6399,1200,0
2017-01-10,16:00:00,3.58,3.58,3.58,3.58,200,0
2017-01-10,17:00:00,3.58,3.58,3.58,3.58,100,0
2017-01-11,18:00:00,3.49,3.49,3.33,3.3301,1300,0
2017-01-11,19:00:00,3.4,3.48,3.4,3.45,1800,0
2017-01-11,22:00:00,3.5699,3.5699,3.5699,3.5699,1000,0
2017-01-12,17:00:00,3.4,3.4,3.4,3.4,750,0
2017-01-12,22:00:00,3.44,3.44,3.4,3.42,1980,0
2017-01-13,16:00:00,3.5466,3.5466,3.5466,3.5466,1000,0
2017-01-13,18:00:00,3.5268,3.5499,3.5268,3.5492,1700,0
2017-01-13,19:00:00,3.5,3.5,3.5,3.5,100,0
2017-01-13,20:00:00,3.5399,3.5399,3.5399,3.5399,2000,0
2017-01-13,22:00:00,3.45,3.45,3.45,3.45,100,0
2017-01-17,16:00:00,3.51,3.51,3.51,3.51,100,0
2017-01-17,17:00:00,3.5,3.51,3.5,3.51,698,0
2017-01-17,18:00:00,3.4562,3.4562,3.4562,3.4562,239,0
2017-01-17,22:00:00,3.5356,3.5356,3.522,3.522,400,0
2017-01-18,16:00:00,3.46,3.46,3.46,3.46,300,0
2017-01-18,19:00:00,3.46,3.46,3.46,3.46,300,0
2017-01-18,21:00:00,3.48,3.52,3.33,3.49,29461,0
2017-01-18,22:00:00,3.52,3.52,3.37,3.41,23244,0
2017-01-19,16:00:00,3.45,3.65,3.45,3.52,22658,0
2017-01-19,17:00:00,3.55,3.55,3.4,3.48,1800,0
2017-01-19,18:00:00,3.46,3.5,3.43,3.46,2700,0
2017-01-19,19:00:00,3.46,3.46,3.3375,3.4,14730,0
2017-01-19,21:00:00,3.4,3.4,3.38,3.38,1700,0
2017-01-19,22:00:00,3.38,3.425,3.38,3.425,3000,0
2017-01-20,16:00:00,3.4,3.4,3.4,3.4,1600,0
2017-01-20,17:00:00,3.4,3.4,3.4,3.4,5500,0
2017-01-20,18:00:00,3.4,3.4,3.4,3.4,2600,0
2017-01-20,19:00:00,3.4,3.4,3.4,3.4,6300,0
2017-01-20,20:00:00,3.4,3.4,3.4,3.4,1800,0
2017-01-20,21:00:00,3.35,3.3784,3.2601,3.31,3500,0
2017-01-20,22:00:00,3.35,3.4,3.35,3.37,1500,0
2017-01-23,16:00:00,3.35,3.35,3.35,3.35,100,0
