Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-10,16:00:00,2.7,2.7,2.571,2.65,9472,0
2017-05-10,17:00:00,2.648,2.65,2.63,2.6499,3384,0
2017-05-10,18:00:00,2.61,2.72,2.58,2.668,26389,0
2017-05-10,19:00:00,2.6601,2.68,2.66,2.68,2300,0
2017-05-10,20:00:00,2.6701,2.73,2.65,2.72,21600,0
2017-05-10,21:00:00,2.72,2.73,2.7,2.73,4400,0
2017-05-10,22:00:00,2.72,2.73,2.67,2.69,30225,0
2017-05-11,16:00:00,2.66,2.692,2.6,2.6,26419,0
2017-05-11,17:00:00,2.68,2.68,2.57,2.57,6640,0
2017-05-11,18:00:00,2.61,2.64,2.58,2.61,5319,0
2017-05-11,19:00:00,2.64,2.67,2.6,2.61,7790,0
2017-05-11,20:00:00,2.628,2.6574,2.6,2.6001,9755,0
2017-05-11,21:00:00,2.62,2.62,2.6,2.6102,4500,0
2017-05-11,22:00:00,2.6,2.62,2.57,2.58,14948,0
2017-05-12,16:00:00,2.6,2.64,2.5,2.51,15571,0
2017-05-12,17:00:00,2.53,2.58,2.4827,2.54,14545,0
2017-05-12,18:00:00,2.54,2.59,2.43,2.53,39147,0
2017-05-12,19:00:00,2.5,2.58,2.46,2.53,15432,0
2017-05-12,20:00:00,2.53,2.53,2.5,2.53,6766,0
2017-05-12,21:00:00,2.53,2.53,2.52,2.52,6600,0
2017-05-12,22:00:00,2.53,2.55,2.51,2.52,16300,0
2017-05-15,16:00:00,2.52,2.52,2.43,2.45,25643,0
2017-05-15,17:00:00,2.45,2.47,2.39,2.4525,45214,0
2017-05-15,18:00:00,2.441,2.47,2.42,2.47,28750,0
2017-05-15,19:00:00,2.47,2.55,2.46,2.53,16258,0
2017-05-15,20:00:00,2.5382,2.55,2.53,2.5463,6983,0
2017-05-15,21:00:00,2.54,2.55,2.53,2.55,3120,0
2017-05-15,22:00:00,2.54,2.55,2.5,2.53,18059,0
2017-05-16,16:00:00,2.5,2.54,2.3936,2.49,28928,0
2017-05-16,17:00:00,2.55,2.55,2.47,2.47,9025,0
2017-05-16,18:00:00,2.4737,2.51,2.44,2.51,19870,0
2017-05-16,19:00:00,2.4902,2.57,2.4902,2.56,7926,0
2017-05-16,20:00:00,2.564,2.58,2.5028,2.55,7612,0
2017-05-16,21:00:00,2.53,2.5359,2.51,2.53,2900,0
2017-05-16,22:00:00,2.54,2.55,2.51,2.52,5851,0
2017-05-17,16:00:00,2.5,2.53,2.4755,2.49,697,0
2017-05-17,17:00:00,2.4799,2.48,2.39,2.44,5925,0
2017-05-17,18:00:00,2.43,2.45,2.4,2.45,9180,0
2017-05-17,19:00:00,2.45,2.46,2.4319,2.46,3000,0
2017-05-17,20:00:00,2.45,2.48,2.45,2.479,5397,0
2017-05-17,21:00:00,2.48,2.51,2.42,2.42,13153,0
2017-05-17,22:00:00,2.44,2.46,2.34,2.38,31035,0
2017-05-18,16:00:00,2.35,2.39,2.27,2.27,43009,0
2017-05-18,17:00:00,2.29,2.33,2.2704,2.33,7292,0
2017-05-18,18:00:00,2.3278,2.42,2.32,2.41,21980,0
2017-05-18,19:00:00,2.36,2.4,2.36,2.4,2400,0
2017-05-18,20:00:00,2.39,2.39,2.31,2.38,9558,0
2017-05-18,21:00:00,2.39,2.4,2.37,2.38,5301,0
2017-05-18,22:00:00,2.3713,2.38,2.35,2.35,4369,0
2017-05-19,16:00:00,2.34,2.34,2.31,2.3227,11543,0
2017-05-19,17:00:00,2.37,2.39,2.3592,2.39,2051,0
2017-05-19,18:00:00,2.39,2.4,2.39,2.4,3500,0
2017-05-19,19:00:00,2.38,2.4,2.38,2.4,4900,0
2017-05-19,20:00:00,2.388,2.4,2.388,2.4,2135,0
2017-05-19,21:00:00,2.395,2.4,2.38,2.4,10953,0
2017-05-19,22:00:00,2.4,2.4,2.35,2.37,10768,0
2017-05-22,16:00:00,2.35,2.443,2.3427,2.42,22057,0
2017-05-22,17:00:00,2.44,2.5652,2.4203,2.48,35758,0
2017-05-22,18:00:00,2.49,2.55,2.45,2.53,16378,0
2017-05-22,19:00:00,2.54,2.57,2.5182,2.55,17994,0
2017-05-22,20:00:00,2.5226,2.53,2.51,2.53,2650,0
2017-05-22,21:00:00,2.52,2.58,2.52,2.5799,3003,0
