Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,1.44,1.44,1.24,1.2844,21483,0
2017-05-16,17:00:00,1.3108,1.32,1.132,1.1824,59772,0
2017-05-16,18:00:00,1.2,1.22,1.1828,1.1868,12273,0
2017-05-16,19:00:00,1.198,1.208,1.1864,1.1984,14817,0
2017-05-16,20:00:00,1.1992,1.21,1.198,1.1988,17732,0
2017-05-16,21:00:00,1.2,1.2396,1.198,1.2188,25131,0
2017-05-16,22:00:00,1.2184,1.4,1.1992,1.356,70758,0
2017-05-17,16:00:00,1.356,1.3564,1.208,1.2792,27288,0
2017-05-17,17:00:00,1.2928,1.3396,1.24,1.28,3725,0
2017-05-17,18:00:00,1.24,1.2812,1.214,1.242,5805,0
2017-05-17,19:00:00,1.2416,1.32,1.2412,1.3064,7375,0
2017-05-17,20:00:00,1.2864,1.306,1.2416,1.2424,2170,0
2017-05-17,21:00:00,1.2484,1.32,1.242,1.2436,1594,0
2017-05-17,22:00:00,1.2436,1.2456,1.242,1.242,1850,0
2017-05-18,16:00:00,1.124,1.36,1.124,1.202,11693,0
2017-05-18,17:00:00,1.2012,1.24,1.2004,1.2008,3217,0
2017-05-18,18:00:00,1.2376,1.24,1.2004,1.2008,4733,0
2017-05-18,19:00:00,1.2008,1.2008,1.16,1.196,9113,0
2017-05-18,20:00:00,1.196,1.22,1.196,1.196,1875,0
2017-05-18,21:00:00,1.214,1.2172,1.16,1.1924,4380,0
2017-05-18,22:00:00,1.164,1.1948,1.16,1.1948,1641,0
2017-05-19,16:00:00,1.164,1.166,1.164,1.1644,995,0
2017-05-19,17:00:00,1.18,1.56,1.18,1.2404,120699,0
2017-05-19,18:00:00,1.2924,1.346,1.204,1.28,16726,0
2017-05-19,19:00:00,1.276,1.2988,1.04,1.172,55942,0
2017-05-19,20:00:00,1.162,1.1796,1.04,1.08,30568,0
2017-05-19,21:00:00,1.08,1.112,1.002,1.0444,62716,0
2017-05-19,22:00:00,1.0444,1.08,0.9924,1.08,93783,0
2017-05-22,16:00:00,1.18,1.18,1,1.0516,27323,0
2017-05-22,17:00:00,1.048,1.0788,0.96,1.0372,40740,0
2017-05-22,18:00:00,1.0348,1.08,1,1,5622,0
2017-05-22,19:00:00,1.0004,1.08,0.854,0.9192,60584,0
2017-05-22,20:00:00,0.9192,0.956,0.84,0.9544,57887,0
2017-05-22,21:00:00,0.96,0.9796,0.88,0.88,28741,0
2017-05-22,22:00:00,0.8804,0.9,0.6492,0.72,455604,0
2017-05-23,16:00:00,0.8396,0.92,0.76,0.82,76086,0
2017-05-23,17:00:00,0.8164,1.12,0.8,1.0588,172605,0
2017-05-23,18:00:00,1.056,1.08,0.88,0.96,104052,0
2017-05-23,19:00:00,0.9604,1,0.96,0.96,37415,0
2017-05-23,20:00:00,0.96,1,0.96,0.9676,18790,0
2017-05-23,21:00:00,1,1,0.8812,0.9548,36636,0
2017-05-23,22:00:00,0.956,1,0.936,0.96,40221,0
2017-05-24,16:00:00,1.008,1.512,1.008,1.326,590456,0
2017-05-24,17:00:00,1.3216,1.36,1.08,1.0996,381238,0
2017-05-24,18:00:00,1.118,1.262,1.0996,1.1932,207788,0
2017-05-24,19:00:00,1.1732,1.1992,1.1204,1.1904,40819,0
2017-05-24,20:00:00,1.18,1.19,1.1,1.152,44531,0
2017-05-24,21:00:00,1.1772,1.1776,1.1004,1.1592,38349,0
2017-05-24,22:00:00,1.1588,1.16,1.088,1.1244,52350,0
2017-05-25,16:00:00,1.244,1.3976,1.1644,1.2,308846,0
2017-05-25,17:00:00,1.2008,1.24,1.0888,1.1,168934,0
2017-05-25,18:00:00,1.1192,1.1192,0.98,1.0044,125940,0
2017-05-25,19:00:00,1.0192,1.0192,0.9796,0.98,22695,0
2017-05-25,20:00:00,0.9928,1.032,0.9796,0.9804,58253,0
2017-05-25,21:00:00,0.9804,1.0304,0.98,1.0036,10306,0
2017-05-25,22:00:00,1.008,1.0316,0.9796,1.0156,43858,0
2017-05-26,16:00:00,1.05,1.0792,0.8576,0.9452,97645,0
2017-05-26,17:00:00,0.9432,0.9952,0.928,0.9548,53151,0
2017-05-26,18:00:00,0.9436,0.9804,0.9328,0.9592,17177,0
2017-05-26,19:00:00,0.9416,0.98,0.9328,0.9588,8087,0
2017-05-26,20:00:00,0.9404,0.96,0.9224,0.9228,7619,0
2017-05-26,21:00:00,0.9208,0.9496,0.92,0.94,13428,0
2017-05-26,22:00:00,0.95,0.996,0.9404,0.996,31146,0
2017-05-30,16:00:00,0.92,0.92,0.88,0.8808,34275,0
2017-05-30,17:00:00,0.8872,0.9188,0.872,0.89,21943,0
2017-05-30,18:00:00,0.88,0.9184,0.88,0.9184,5789,0
2017-05-30,19:00:00,0.9008,0.91,0.8808,0.91,2911,0
2017-05-30,20:00:00,0.9016,0.9024,0.9016,0.9024,8590,0
2017-05-30,21:00:00,0.902,0.9592,0.902,0.9308,9080,0
2017-05-30,22:00:00,0.9308,0.992,0.924,0.992,22690,0
2017-05-31,16:00:00,0.92,0.992,0.8604,0.9568,31932,0
2017-05-31,17:00:00,0.9216,0.9424,0.888,0.8896,20944,0
2017-05-31,18:00:00,0.9012,0.9232,0.7548,0.8616,23437,0
2017-05-31,19:00:00,0.8616,0.904,0.8616,0.8624,21953,0
2017-05-31,20:00:00,0.8624,0.908,0.862,0.908,11291,0
2017-05-31,21:00:00,0.8804,0.908,0.86,0.88,5645,0
2017-05-31,22:00:00,0.8804,0.908,0.8804,0.9048,17577,0
2017-06-01,16:00:00,0.82,0.912,0.82,0.8676,27461,0
2017-06-01,17:00:00,0.8712,0.91,0.8616,0.91,6430,0
2017-06-01,18:00:00,0.9016,0.952,0.8808,0.884,14048,0
2017-06-01,19:00:00,0.92,0.92,0.886,0.9044,1396,0
2017-06-01,20:00:00,0.906,0.9072,0.9,0.9004,4462,0
2017-06-01,21:00:00,0.9004,0.9004,0.88,0.8868,12482,0
