Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-15,16:00:00,2.98,3.07,2.98,3.0539,39736,0
2017-05-15,17:00:00,3.04,3.1,3,3.04,28253,0
2017-05-15,18:00:00,3.02,3.04,3.01,3.025,10802,0
2017-05-15,19:00:00,3.02,3.02,3,3.01,6163,0
2017-05-15,20:00:00,3.02,3.03,3.01,3.025,10744,0
2017-05-15,21:00:00,3.02,3.02,3.01,3.01,5987,0
2017-05-15,22:00:00,3.01,3.01,2.96,2.98,20931,0
2017-05-16,16:00:00,3,3.02,2.96,3.01,25582,0
2017-05-16,17:00:00,3.05,3.05,2.975,2.98,9050,0
2017-05-16,18:00:00,2.98,3.03,2.98,3,30608,0
2017-05-16,19:00:00,2.995,3.019,2.9799,2.99,11632,0
2017-05-16,20:00:00,3,3,2.98,2.99,5138,0
2017-05-16,21:00:00,2.9801,2.99,2.95,2.99,6492,0
2017-05-16,22:00:00,2.9701,2.99,2.97,2.99,9604,0
2017-05-17,16:00:00,2.95,2.98,2.95,2.95,2404,0
2017-05-17,17:00:00,2.97,2.97,2.9,2.91,16012,0
2017-05-17,18:00:00,2.91,2.92,2.9001,2.915,5258,0
2017-05-17,19:00:00,2.9101,2.9101,2.9,2.905,3300,0
2017-05-17,20:00:00,2.9068,2.96,2.9,2.95,28976,0
2017-05-17,21:00:00,2.95,2.97,2.94,2.94,12500,0
2017-05-17,22:00:00,2.96,2.96,2.93,2.93,25429,0
2017-05-18,16:00:00,2.91,2.95,2.91,2.92,10031,0
2017-05-18,17:00:00,2.94,2.96,2.92,2.94,6131,0
2017-05-18,18:00:00,2.92,2.95,2.9,2.93,11301,0
2017-05-18,19:00:00,2.94,2.94,2.91,2.92,8917,0
2017-05-18,20:00:00,2.93,2.969,2.92,2.93,37854,0
2017-05-18,21:00:00,2.93,3,2.93,2.97,30109,0
2017-05-18,22:00:00,2.96,2.96,2.93,2.93,15151,0
2017-05-19,16:00:00,2.94,2.99,2.93,2.97,7616,0
2017-05-19,17:00:00,2.98,2.99,2.91,2.93,3947,0
2017-05-19,18:00:00,2.94,2.96,2.93,2.955,10877,0
2017-05-19,19:00:00,2.9599,2.96,2.95,2.95,3400,0
2017-05-19,20:00:00,2.95,2.99,2.94,2.97,18340,0
2017-05-19,21:00:00,2.96,2.97,2.95,2.95,2215,0
2017-05-19,22:00:00,2.96,2.97,2.94,2.96,29822,0
2017-05-22,16:00:00,2.95,2.98,2.9153,2.94,7998,0
2017-05-22,17:00:00,2.94,2.94,2.93,2.93,4738,0
2017-05-22,18:00:00,2.93,2.94,2.93,2.93,2922,0
2017-05-22,19:00:00,2.94,2.94,2.91,2.91,6228,0
2017-05-22,20:00:00,2.92,2.92,2.9,2.91,13215,0
2017-05-22,21:00:00,2.9,2.91,2.85,2.9,37097,0
2017-05-22,22:00:00,2.8901,2.91,2.87,2.88,15028,0
2017-05-23,16:00:00,2.89,2.89,2.85,2.88,1464,0
2017-05-23,17:00:00,2.87,2.934,2.87,2.92,23324,0
2017-05-23,18:00:00,2.93,2.957,2.87,2.87,16428,0
2017-05-23,19:00:00,2.88,2.9,2.86,2.86,4720,0
2017-05-23,20:00:00,2.86,2.89,2.86,2.89,2700,0
2017-05-23,21:00:00,2.89,2.9,2.87,2.9,9200,0
2017-05-23,22:00:00,2.9,2.9,2.85,2.86,18054,0
2017-05-24,16:00:00,2.85,2.92,2.79,2.92,14029,0
2017-05-24,17:00:00,2.9,2.94,2.88,2.91,19636,0
2017-05-24,18:00:00,2.92,2.92,2.88,2.88,1200,0
2017-05-24,19:00:00,2.88,2.9,2.85,2.85,2800,0
2017-05-24,20:00:00,2.85,2.88,2.83,2.88,8300,0
2017-05-24,21:00:00,2.8701,2.88,2.85,2.86,3900,0
2017-05-24,22:00:00,2.85,2.86,2.83,2.86,14986,0
2017-05-25,16:00:00,2.86,2.86,2.8,2.8,506,0
2017-05-25,17:00:00,2.81,2.8735,2.81,2.82,14809,0
2017-05-25,18:00:00,2.82,2.86,2.82,2.85,8915,0
2017-05-25,19:00:00,2.84,2.84,2.82,2.83,6355,0
2017-05-25,20:00:00,2.835,2.84,2.83,2.83,5300,0
2017-05-25,21:00:00,2.83,2.83,2.82,2.82,3907,0
2017-05-25,22:00:00,2.82,2.86,2.81,2.82,33330,0
2017-05-26,16:00:00,2.82,2.82,2.78,2.78,577,0
2017-05-26,17:00:00,2.82,2.82,2.75,2.81,6321,0
2017-05-26,18:00:00,2.8,2.83,2.8,2.8,4300,0
2017-05-26,19:00:00,2.79,2.81,2.79,2.79,4100,0
2017-05-26,20:00:00,2.79,2.81,2.78,2.78,2400,0
2017-05-26,21:00:00,2.8,2.8,2.77,2.785,3400,0
2017-05-26,22:00:00,2.78,2.79,2.77,2.78,16098,0
2017-05-30,16:00:00,2.77,2.8348,2.75,2.75,1169,0
2017-05-30,17:00:00,2.74,2.77,2.74,2.77,1100,0
2017-05-30,18:00:00,2.75,2.75,2.73,2.74,12914,0
2017-05-30,19:00:00,2.75,2.75,2.73,2.74,1686,0
2017-05-30,20:00:00,2.73,2.75,2.73,2.745,7050,0
2017-05-30,21:00:00,2.75,2.76,2.74,2.76,8100,0
2017-05-30,22:00:00,2.76,2.8,2.76,2.77,27132,0
2017-05-31,16:00:00,2.77,2.825,2.77,2.8,979,0
2017-05-31,17:00:00,2.82,2.84,2.78,2.84,14890,0
2017-05-31,18:00:00,2.84,2.88,2.83,2.83,14804,0
2017-05-31,19:00:00,2.83,2.85,2.8,2.83,4362,0
2017-05-31,20:00:00,2.83,2.84,2.81,2.81,4955,0
2017-05-31,21:00:00,2.82,2.83,2.8,2.81,5500,0
2017-05-31,22:00:00,2.83,2.83,2.8,2.81,24224,0
2017-06-01,16:00:00,2.86,2.86,2.78,2.81,800,0
2017-06-01,17:00:00,2.79,2.8,2.75,2.76,6800,0
2017-06-01,18:00:00,2.789,2.81,2.76,2.81,16713,0
2017-06-01,19:00:00,2.8,2.86,2.8,2.84,10027,0
2017-06-01,20:00:00,2.84,2.86,2.82,2.84,2100,0
2017-06-01,21:00:00,2.84,2.85,2.83,2.84,7000,0
