Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,32.817,32.817,32.669,32.718,1716,0
2017-05-16,17:00:00,32.62,32.718,32.323,32.373,4728,0
2017-05-16,18:00:00,32.373,32.422,32.126,32.373,6229,0
2017-05-16,19:00:00,32.422,32.422,32.2,32.274,3277,0
2017-05-16,20:00:00,32.224,32.323,32.176,32.224,7133,0
2017-05-16,21:00:00,32.274,32.373,32.274,32.323,5405,0
2017-05-16,22:00:00,32.323,32.471,32.274,32.373,27834,0
2017-05-17,16:00:00,31.78,32.027,30.942,31.929,4433,0
2017-05-17,17:00:00,31.805,31.977,31.386,31.386,6856,0
2017-05-17,18:00:00,31.386,31.484,31.139,31.386,5776,0
2017-05-17,19:00:00,31.311,31.386,31.139,31.238,3343,0
2017-05-17,20:00:00,31.139,31.189,31.04,31.189,6836,0
2017-05-17,21:00:00,31.238,31.386,31.04,31.238,7924,0
2017-05-17,22:00:00,31.189,31.238,30.793,30.942,41484,0
2017-05-18,16:00:00,30.892,30.991,30.733,30.892,2197,0
2017-05-18,17:00:00,30.991,31.139,30.991,31.089,3913,0
2017-05-18,18:00:00,31.139,31.436,31.139,31.139,4863,0
2017-05-18,19:00:00,31.238,31.386,31.089,31.238,5753,0
2017-05-18,20:00:00,31.287,31.386,31.139,31.287,3971,0
2017-05-18,21:00:00,31.336,31.386,31.238,31.238,3343,0
2017-05-18,22:00:00,31.262,31.336,31.139,31.139,14431,0
2017-05-19,16:00:00,31.238,31.484,31.189,31.386,7959,0
2017-05-19,17:00:00,31.238,31.336,31.089,31.089,4941,0
2017-05-19,18:00:00,31.139,31.139,30.793,30.793,6342,0
2017-05-19,19:00:00,30.843,31.04,30.843,30.991,7668,0
2017-05-19,20:00:00,31.089,31.089,30.843,30.991,5941,0
2017-05-19,21:00:00,31.04,31.287,31.03,31.139,7879,0
2017-05-19,22:00:00,31.119,31.189,30.892,31.04,70981,0
2017-05-22,16:00:00,30.991,31.386,30.991,31.386,2995,0
2017-05-22,17:00:00,31.386,31.484,31.089,31.089,3090,0
2017-05-22,18:00:00,31.089,31.363,31.089,31.238,5646,0
