Date,Time,Open,High,Low,Close,Volume,OpenInt
2013-06-12,17:00:00,5.1,5.18,5.1,5.18,200,0
2013-06-12,18:00:00,5.18,5.18,5.18,5.18,200,0
2013-06-12,19:00:00,5.5,5.94,5.5,5.8899,1000,0
2013-06-12,20:00:00,5.868,5.88,5.84,5.84,830,0
2013-06-13,16:00:00,5.78,5.78,5.78,5.78,384,0
2013-06-13,22:00:00,5.77,5.9,5.77,5.9,200,0
2013-06-14,16:00:00,5.66,5.66,5.66,5.66,100,0
2013-06-14,22:00:00,5.3,5.3,5.3,5.3,100,0
2013-06-17,17:00:00,5.31,5.31,5.31,5.31,100,0
2013-06-17,18:00:00,5.31,5.85,5.3,5.85,1920,0
2013-06-17,19:00:00,5.31,5.31,5.305,5.305,300,0
2013-06-17,20:00:00,5.32,5.32,5.32,5.32,100,0
2013-06-17,21:00:00,5.33,5.33,5.33,5.33,100,0
2013-06-17,22:00:00,5.31,5.93,5.31,5.31,941,0
2013-06-18,17:00:00,5.33,5.33,5.33,5.33,100,0
2013-06-18,20:00:00,5.32,5.33,5.32,5.33,500,0
2013-06-18,21:00:00,5.31,5.31,5.31,5.31,200,0
2013-06-18,22:00:00,5.3,5.31,5.3,5.3,805,0
2013-06-20,18:00:00,5.9699,5.9699,5.9699,5.9699,400,0
2013-06-21,22:00:00,5.74,6.0,5.74,6.0,8383,0
2013-06-24,18:00:00,5.655,5.655,5.655,5.655,100,0
2013-06-24,19:00:00,5.655,5.68,5.655,5.68,600,0
2013-06-24,20:00:00,5.75,5.75,5.53,5.53,1000,0
2013-06-24,21:00:00,5.501,5.56,5.501,5.56,600,0
2013-06-24,22:00:00,5.36,5.55,5.36,5.55,700,0
2013-06-25,17:00:00,5.84,5.9,5.84,5.9,622,0
2013-06-25,22:00:00,5.75,5.815,5.75,5.8,800,0
2013-06-27,22:00:00,6.0,6.0,6.0,6.0,165,0
2013-07-01,16:00:00,5.96,5.96,5.96,5.96,200,0
2013-07-01,18:00:00,5.95,6.0,5.95,6.0,650,0
2013-07-01,22:00:00,5.96,5.97,5.96,5.97,223,0
2013-07-02,19:00:00,5.55,5.62,5.55,5.62,340,0
2013-07-02,20:00:00,5.57,5.57,5.55,5.55,400,0
2013-07-02,22:00:00,5.61,5.61,5.61,5.61,100,0
2013-07-03,18:00:00,5.97,6.0,5.9,6.0,5981,0
2013-07-03,19:00:00,6.55,6.74,6.15,6.15,4223,0
2013-07-05,22:00:00,5.9,5.9,5.9,5.9,100,0
2013-07-08,22:00:00,5.95,5.95,5.95,5.95,100,0
2013-07-10,16:00:00,6.2,6.2,5.7,5.7,652,0
2013-07-10,20:00:00,6.01,6.01,6.0,6.0,311,0
2013-07-10,21:00:00,6.0,6.0,6.0,6.0,300,0
2013-07-10,22:00:00,5.75,5.75,5.75,5.75,100,0
2013-07-11,17:00:00,6.25,6.25,5.8,5.8,200,0
2013-07-11,22:00:00,6.25,6.25,5.82,5.82,353,0
2013-07-12,22:00:00,5.74,5.74,5.74,5.74,100,0
2013-07-15,22:00:00,5.7,5.75,5.7,5.75,1838,0
2013-07-16,16:00:00,5.7,5.7,5.7,5.7,300,0
2013-07-16,18:00:00,5.8,5.8,5.8,5.8,1100,0
2013-07-16,21:00:00,5.79,5.85,5.79,5.85,531,0
2013-07-16,22:00:00,5.8,5.8,5.73,5.73,500,0
2013-07-17,16:00:00,5.75,5.75,5.75,5.75,100,0
2013-07-17,17:00:00,5.75,5.75,5.75,5.75,1820,0
2013-07-17,18:00:00,5.77,5.77,5.75,5.75,1460,0
2013-07-17,22:00:00,5.81,5.81,5.77,5.77,820,0
2013-07-18,22:00:00,5.77,5.77,5.77,5.77,200,0
2013-07-22,16:00:00,5.61,5.61,5.61,5.61,1000,0
2013-07-23,17:00:00,6.2399,6.2399,6.23,6.23,200,0
2013-07-24,19:00:00,6.21,6.22,6.19,6.22,1100,0
2013-07-25,16:00:00,6.15,6.15,6.15,6.15,400,0
2013-07-26,22:00:00,6.2,6.2,6.2,6.2,320,0
2013-07-29,16:00:00,6.12,6.12,6.12,6.12,100,0
2013-07-30,18:00:00,6.2,6.2,6.2,6.2,200,0
2013-08-02,16:00:00,6.25,6.25,6.25,6.25,4577,0
2013-08-05,18:00:00,7.44,7.44,7.44,7.44,100,0
2013-08-06,16:00:00,7.16,7.16,7.16,7.16,701,0
2013-08-06,19:00:00,6.95,7.92,6.9,6.9,4189,0
2013-08-06,21:00:00,6.8,6.8,6.6,6.6,941,0
2013-08-06,22:00:00,6.95,6.95,6.95,6.95,800,0
2013-08-07,19:00:00,7.44,7.4899,7.35,7.4899,1720,0
2013-08-07,22:00:00,7.18,7.24,7.18,7.24,300,0
2013-08-08,21:00:00,7.1499,7.1499,7.1499,7.1499,150,0
2013-08-09,16:00:00,7.11,7.11,7.11,7.11,300,0
2013-08-12,21:00:00,7.31,7.31,7.1,7.1,1311,0
2013-08-15,16:00:00,7.22,7.22,7.22,7.22,100,0
2013-08-16,17:00:00,7.1,7.48,7.1,7.48,1000,0
2013-08-16,18:00:00,7.15,7.15,7.14,7.15,1000,0
2013-08-16,20:00:00,7.19,7.19,7.19,7.19,250,0
2013-08-20,16:00:00,7.11,7.11,7.11,7.11,250,0
2013-08-20,22:00:00,7.18,7.18,7.18,7.18,400,0
2013-08-22,16:00:00,7.1,7.1,7.1,7.1,100,0
2013-08-23,22:00:00,7.1,7.1,7.1,7.1,700,0
2013-08-26,18:00:00,7.24,7.24,7.12,7.12,400,0
2013-08-26,19:00:00,7.2,7.2,7.12,7.12,400,0
2013-08-26,20:00:00,7.2,7.2,7.12,7.17,700,0
2013-08-26,22:00:00,7.2499,7.2499,7.2499,7.2499,100,0
2013-08-27,16:00:00,7.19,7.19,7.19,7.19,400,0
2013-08-29,16:00:00,7.9199,7.9199,7.9199,7.9199,900,0
2013-08-29,17:00:00,7.25,7.41,7.25,7.41,300,0
2013-08-29,22:00:00,7.76,7.76,7.76,7.76,100,0
2013-08-30,22:00:00,7.92,7.92,7.85,7.85,300,0
2013-09-03,18:00:00,7.7,7.7,7.29,7.29,600,0
2013-09-04,18:00:00,7.38,7.38,7.29,7.29,300,0
2013-09-04,19:00:00,7.38,7.38,7.28,7.29,400,0
2013-09-04,20:00:00,7.39,7.39,7.29,7.29,200,0
2013-09-05,18:00:00,7.38,7.38,7.21,7.21,600,0
2013-09-10,19:00:00,7.4999,7.5,7.47,7.49,2184,0
2013-09-10,20:00:00,7.48,7.5,7.48,7.5,970,0
2013-09-10,22:00:00,7.45,7.45,7.45,7.45,100,0
2013-09-12,17:00:00,7.44,7.44,7.44,7.44,200,0
2013-09-12,22:00:00,7.2501,7.41,7.2501,7.41,1100,0
2013-09-16,16:00:00,7.5,7.5,7.5,7.5,100,0
2013-09-16,17:00:00,7.43,7.43,7.43,7.43,400,0
2013-09-16,19:00:00,7.37,7.43,7.3,7.43,2200,0
2013-09-16,22:00:00,7.35,7.35,7.35,7.35,100,0
2013-09-17,17:00:00,7.43,7.43,7.43,7.43,200,0
2013-09-17,18:00:00,7.325,7.325,7.3,7.3,200,0
2013-09-17,22:00:00,7.3,7.3,7.3,7.3,100,0
2013-09-18,16:00:00,7.43,7.43,7.43,7.43,200,0
2013-09-18,17:00:00,7.3,7.3,7.3,7.3,100,0
2013-09-18,20:00:00,7.3,7.3,7.3,7.3,900,0
2013-09-19,16:00:00,7.3,7.3,7.3,7.3,400,0
2013-09-20,20:00:00,7.4,7.4,7.33,7.33,300,0
2013-09-20,21:00:00,7.4,7.4,7.33,7.33,200,0
