Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-02-23,16:00:00,25.407,25.407,25.407,25.407,106,0
2017-02-23,18:00:00,25.478,25.553,25.478,25.553,1586,0
2017-02-23,19:00:00,25.548,25.548,25.484,25.484,870,0
2017-02-23,20:00:00,25.447,25.447,25.397,25.397,791,0
2017-02-23,22:00:00,25.407,25.407,25.35,25.38,3154,0
2017-02-24,16:00:00,25.323,25.34,25.303,25.34,518,0
2017-02-24,21:00:00,25.36,25.36,25.258,25.331,1593,0
2017-02-27,16:00:00,25.283,25.283,25.283,25.283,255,0
2017-02-27,17:00:00,25.35,25.397,25.35,25.36,1269,0
2017-02-27,21:00:00,25.266,25.266,25.266,25.266,212,0
2017-02-28,16:00:00,25.219,25.227,25.219,25.227,212,0
2017-02-28,17:00:00,25.219,25.219,25.219,25.219,212,0
2017-02-28,18:00:00,25.162,25.162,25.162,25.162,106,0
2017-02-28,19:00:00,25.219,25.227,25.219,25.227,5222,0
2017-02-28,20:00:00,25.353,25.353,25.209,25.209,1163,0
2017-02-28,22:00:00,25.227,25.236,25.227,25.236,304,0
2017-03-01,16:00:00,25.37,25.37,25.37,25.37,1001,0
2017-03-01,20:00:00,25.242,25.292,25.225,25.225,1796,0
2017-03-01,21:00:00,25.276,25.276,25.115,25.142,1163,0
2017-03-01,22:00:00,25.227,25.256,25.225,25.246,1971,0
2017-03-02,16:00:00,25.266,25.266,25.266,25.266,106,0
2017-03-02,17:00:00,25.256,25.266,25.256,25.266,1962,0
2017-03-02,21:00:00,25.303,25.303,25.303,25.303,489,0
2017-03-02,22:00:00,25.37,25.448,25.343,25.448,581,0
2017-03-03,16:00:00,25.38,25.38,25.38,25.38,106,0
2017-03-03,20:00:00,25.491,25.511,25.411,25.474,6808,0
2017-03-03,21:00:00,25.34,25.34,25.34,25.34,592,0
2017-03-03,22:00:00,25.501,25.501,25.501,25.501,106,0
2017-03-06,16:00:00,25.615,25.615,25.615,25.615,368,0
2017-03-06,17:00:00,25.474,25.474,25.474,25.474,423,0
2017-03-06,21:00:00,25.484,25.484,25.454,25.454,1256,0
2017-03-06,22:00:00,25.454,25.454,25.432,25.444,634,0
2017-03-07,18:00:00,25.266,25.336,25.266,25.336,529,0
2017-03-07,19:00:00,25.423,25.423,25.423,25.423,529,0
2017-03-07,20:00:00,25.427,25.427,25.427,25.427,318,0
2017-03-07,21:00:00,25.444,25.444,25.407,25.444,2753,0
2017-03-07,22:00:00,25.474,25.474,25.436,25.436,212,0
2017-03-08,16:00:00,25.276,25.276,25.276,25.276,4862,0
2017-03-08,18:00:00,25.306,25.306,25.306,25.306,265,0
2017-03-08,19:00:00,25.32,25.32,25.303,25.303,846,0
2017-03-08,20:00:00,25.417,25.417,25.417,25.417,106,0
2017-03-08,21:00:00,25.231,25.326,25.231,25.326,1216,0
2017-03-08,22:00:00,25.297,25.297,25.297,25.297,529,0
2017-03-09,18:00:00,25.35,25.36,25.35,25.36,212,0
2017-03-09,19:00:00,25.279,25.279,25.279,25.279,846,0
2017-03-09,20:00:00,25.313,25.359,25.29,25.359,4104,0
2017-03-09,21:00:00,25.314,25.314,25.314,25.314,106,0
2017-03-09,22:00:00,25.436,25.436,25.436,25.436,212,0
2017-03-10,16:00:00,25.313,25.313,25.313,25.313,775,0
2017-03-10,18:00:00,25.341,25.341,25.34,25.34,212,0
2017-03-10,22:00:00,25.347,25.347,25.347,25.347,318,0
2017-03-13,15:00:00,25.293,25.35,25.293,25.35,529,0
2017-03-13,20:00:00,25.361,25.361,25.361,25.361,159,0
2017-03-13,21:00:00,25.293,25.38,25.142,25.38,793,0
2017-03-14,16:00:00,25.292,25.292,25.292,25.292,846,0
2017-03-14,21:00:00,25.276,25.276,25.276,25.276,245,0
2017-03-15,18:00:00,25.397,25.541,25.397,25.541,6237,0
2017-03-15,20:00:00,25.588,25.588,25.588,25.588,106,0
2017-03-15,21:00:00,25.588,25.588,25.588,25.588,187,0
2017-03-16,16:00:00,25.427,25.488,25.397,25.488,1163,0
2017-03-16,19:00:00,25.54,25.776,25.54,25.776,3948,0
