Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,17.85,18.035,17.57,17.85,31478,0
2017-05-16,17:00:00,17.895,17.9999,17.75,17.9,2800,0
2017-05-16,18:00:00,17.7,17.885,17.7,17.81,5930,0
2017-05-16,19:00:00,17.76,17.83,17.7,17.82,6923,0
2017-05-16,20:00:00,17.83,17.83,17.55,17.655,5793,0
2017-05-16,21:00:00,17.62,17.98,17.62,17.85,10804,0
2017-05-16,22:00:00,17.86,17.97,17.54,17.65,25442,0
2017-05-17,16:00:00,17.6,17.64,17.48,17.48,700,0
2017-05-17,17:00:00,17.44,17.56,17.35,17.5,6667,0
2017-05-17,18:00:00,17.52,17.52,17.38,17.42,4400,0
2017-05-17,19:00:00,17.44,17.45,17.37,17.4245,2500,0
2017-05-17,20:00:00,17.42,18.1264,17.35,17.47,18072,0
2017-05-17,21:00:00,17.45,17.505,17.43,17.48,11928,0
2017-05-17,22:00:00,17.48,17.62,17.46,17.61,16685,0
2017-05-18,16:00:00,17.58,17.58,17.35,17.4,1300,0
2017-05-18,17:00:00,17.36,17.5,17.01,17.32,9277,0
2017-05-18,18:00:00,17.325,17.44,17.28,17.31,2968,0
2017-05-18,19:00:00,17.33,17.34,17.08,17.27,3689,0
2017-05-18,20:00:00,17.27,17.45,17.27,17.36,2450,0
2017-05-18,21:00:00,17.37,17.63,17.3163,17.3163,2400,0
2017-05-18,22:00:00,17.4,17.61,17.03,17.24,10538,0
2017-05-19,16:00:00,17.34,17.56,17.34,17.56,200,0
2017-05-19,17:00:00,17.52,17.69,17.32,17.44,11600,0
2017-05-19,18:00:00,17.48,17.51,17.43,17.49,5200,0
2017-05-19,19:00:00,17.42,17.5,17.31,17.31,3100,0
2017-05-19,20:00:00,17.36,17.43,17.25,17.43,3500,0
2017-05-19,21:00:00,17.43,17.7,17.43,17.48,6000,0
2017-05-19,22:00:00,17.515,17.69,17.46,17.66,4577,0
2017-05-22,16:00:00,17.49,17.59,17.26,17.55,4311,0
2017-05-22,17:00:00,17.52,17.975,17.52,17.67,6121,0
2017-05-22,18:00:00,17.74,17.98,17.74,17.93,4838,0
2017-05-22,19:00:00,17.91,18,17.75,17.75,11754,0
2017-05-22,20:00:00,17.8,17.86,17.7392,17.82,15543,0
2017-05-22,21:00:00,17.85,17.85,17.55,17.7,26783,0
2017-05-22,22:00:00,17.62,17.81,17.5,17.6,25497,0
2017-05-23,16:00:00,17.67,17.67,17.31,17.4,1352,0
2017-05-23,17:00:00,17.45,17.5,17.38,17.5,1336,0
2017-05-23,18:00:00,17.5,17.58,17.42,17.485,5001,0
2017-05-23,19:00:00,17.47,17.49,17.305,17.305,8000,0
2017-05-23,20:00:00,17.335,17.335,17.15,17.31,4400,0
2017-05-23,21:00:00,17.35,17.47,17.35,17.45,15579,0
2017-05-23,22:00:00,17.42,17.61,17.42,17.55,22980,0
2017-05-24,16:00:00,17.5,17.55,17.5,17.5,400,0
2017-05-24,17:00:00,17.505,17.6,17.5,17.6,4400,0
2017-05-24,18:00:00,17.56,17.56,17.39,17.5,13521,0
2017-05-24,19:00:00,17.5,17.52,17.39,17.39,3100,0
2017-05-24,20:00:00,17.32,17.47,17.3,17.47,4500,0
2017-05-24,21:00:00,17.47,17.5,17.25,17.31,14300,0
2017-05-24,22:00:00,17.38,17.59,17.31,17.46,22362,0
2017-05-25,17:00:00,17.49,17.63,17.26,17.31,9250,0
2017-05-25,18:00:00,17.4,17.41,17.1,17.33,4400,0
2017-05-25,19:00:00,17.3,17.33,17.12,17.14,5400,0
2017-05-25,20:00:00,17.15,17.16,16.82,16.93,8100,0
2017-05-25,21:00:00,17.02,17.23,16.93,17.23,6551,0
2017-05-25,22:00:00,17.24,17.45,17.24,17.36,14119,0
2017-05-26,16:00:00,17.48,17.59,17.286,17.286,390,0
2017-05-26,17:00:00,17.385,17.43,17.01,17.23,6324,0
2017-05-26,18:00:00,17.24,17.28,17.025,17.21,2400,0
2017-05-26,19:00:00,17.22,17.42,17.05,17.42,3600,0
2017-05-26,20:00:00,17.56,17.56,17.2001,17.25,3150,0
2017-05-26,21:00:00,17.3,17.35,17.205,17.27,3843,0
2017-05-26,22:00:00,17.24,17.57,17.021,17.29,17548,0
2017-05-30,16:00:00,17.24,17.25,17.24,17.25,500,0
2017-05-30,17:00:00,17.22,17.28,17.085,17.2,4425,0
2017-05-30,18:00:00,17.23,17.39,17.2,17.25,2400,0
2017-05-30,19:00:00,17.25,17.455,17.2,17.2,1700,0
2017-05-30,20:00:00,17.23,17.58,17.23,17.48,4200,0
2017-05-30,21:00:00,17.51,17.51,17.16,17.44,15811,0
2017-05-30,22:00:00,17.44,17.67,17.39,17.49,12053,0
2017-05-31,16:00:00,17.22,17.71,17.22,17.71,700,0
2017-05-31,17:00:00,17.66,17.66,17.11,17.26,5700,0
2017-05-31,18:00:00,17.29,17.36,17.08,17.08,4161,0
2017-05-31,19:00:00,17.16,17.25,17.11,17.13,8900,0
2017-05-31,20:00:00,17.165,17.19,17.11,17.11,2800,0
2017-05-31,21:00:00,17.1,17.1,17.04,17.07,1900,0
2017-05-31,22:00:00,17.1,17.25,17.03,17.16,69007,0
2017-06-01,16:00:00,17.1,17.1,16.97,16.97,5301,0
2017-06-01,17:00:00,16.915,17.05,16.915,16.99,109494,0
2017-06-01,18:00:00,17,17.02,16.99,17,6400,0
2017-06-01,19:00:00,17,17.01,16.99,17,65887,0
2017-06-01,20:00:00,17,17,16.87,16.91,7489,0
2017-06-01,21:00:00,16.91,16.935,16.77,16.81,2512,0
2017-06-01,22:00:00,16.84,17,16.81,16.9,31456,0
2017-06-02,16:00:00,16.9,16.9,16.79,16.79,200,0
2017-06-02,17:00:00,16.73,16.79,16.65,16.65,2900,0
2017-06-02,18:00:00,16.65,16.65,16.4,16.51,33900,0
2017-06-02,19:00:00,16.5,16.58,16.22,16.49,30365,0
