Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,24.2,24.63,23.75,24.47,109287,0
2017-05-16,17:00:00,24.455,24.585,23.8001,24.11,90076,0
2017-05-16,18:00:00,24.11,24.4,24.0639,24.27,127471,0
2017-05-16,19:00:00,24.32,24.44,24.26,24.41,39726,0
2017-05-16,20:00:00,24.42,24.57,24.3,24.495,46268,0
2017-05-16,21:00:00,24.5,24.6,24.46,24.595,56742,0
2017-05-16,22:00:00,24.595,24.88,24.58,24.64,244971,0
2017-05-17,16:00:00,24.44,24.67,24.2288,24.5,42762,0
2017-05-17,17:00:00,24.5,24.5,23.85,24.05,194620,0
2017-05-17,18:00:00,24.05,24.21,23.9,24.1628,93185,0
2017-05-17,19:00:00,24.1528,24.18,23.551,23.7598,53039,0
2017-05-17,20:00:00,23.77,24.28,23.74,24.14,51977,0
2017-05-17,21:00:00,24.11,24.18,23.82,23.96,47948,0
2017-05-17,22:00:00,23.97,24.13,23.62,23.73,134207,0
2017-05-18,16:00:00,23.67,24,23.67,23.89,44565,0
2017-05-18,17:00:00,23.8613,24.45,23.8613,24.14,78624,0
2017-05-18,18:00:00,24.03,24.49,24.03,24.331,71261,0
2017-05-18,19:00:00,24.44,24.44,24.18,24.405,25678,0
2017-05-18,20:00:00,24.415,24.42,24.31,24.36,44684,0
2017-05-18,21:00:00,24.34,24.38,24.2,24.36,21333,0
2017-05-18,22:00:00,24.3,24.35,24.13,24.145,47150,0
2017-05-19,16:00:00,24.43,24.82,24.43,24.57,55982,0
2017-05-19,17:00:00,24.61,24.61,24.001,24.18,43364,0
2017-05-19,18:00:00,24.2,24.45,24.055,24.15,77392,0
2017-05-19,19:00:00,24.11,24.42,24.11,24.17,50903,0
2017-05-19,20:00:00,24.2,24.4,24.154,24.17,31349,0
2017-05-19,21:00:00,24.17,24.18,23.65,23.96,76902,0
2017-05-19,22:00:00,23.93,23.93,23.72,23.78,52699,0
2017-05-22,16:00:00,23.85,24.22,23.79,23.82,14209,0
2017-05-22,17:00:00,23.8448,24.29,23.75,24.26,30956,0
2017-05-22,18:00:00,24.275,24.47,24.13,24.22,117205,0
2017-05-22,19:00:00,24.2519,24.42,24.22,24.27,39488,0
2017-05-22,20:00:00,24.326,24.38,24.11,24.16,27001,0
2017-05-22,21:00:00,24.1501,24.1501,23.98,24.095,33104,0
2017-05-22,22:00:00,24.1,24.29,24.095,24.23,50033,0
2017-05-23,16:00:00,24,24.69,24,24.4997,31471,0
2017-05-23,17:00:00,24.62,24.62,24.33,24.46,54097,0
2017-05-23,18:00:00,24.46,24.54,24.38,24.4155,28232,0
2017-05-23,19:00:00,24.45,24.515,24.16,24.16,35395,0
2017-05-23,20:00:00,24.15,24.25,23.81,23.87,84768,0
2017-05-23,21:00:00,23.87,24.04,23.75,23.805,35195,0
2017-05-23,22:00:00,23.77,23.91,23.54,23.64,74550,0
2017-05-24,16:00:00,23.61,24.0101,23.61,23.99,9926,0
2017-05-24,17:00:00,24,24.6,23.86,24.58,98244,0
2017-05-24,18:00:00,24.58,24.6,24.36,24.42,47394,0
2017-05-24,19:00:00,24.47,25.45,24.39,25.3,351208,0
2017-05-24,20:00:00,25.359,25.51,25.11,25.33,153859,0
2017-05-24,21:00:00,25.31,25.72,25,25.681,181984,0
2017-05-24,22:00:00,25.685,25.75,25.55,25.7,214061,0
2017-05-25,16:00:00,26.44,27.7,26.39,27.64,368076,0
2017-05-25,17:00:00,27.64,27.6782,27.3,27.5297,221401,0
2017-05-25,18:00:00,27.5358,27.5376,26.26,26.41,236012,0
2017-05-25,19:00:00,26.55,26.8994,26.07,26.88,149165,0
2017-05-25,20:00:00,26.88,27.21,26.72,27.055,206984,0
2017-05-25,21:00:00,27.065,29,26.93,28.4501,276270,0
2017-05-25,22:00:00,28.45,28.51,27.5,27.6,306372,0
2017-05-26,16:00:00,27.75,28.7499,27.7,28.64,109183,0
2017-05-26,17:00:00,28.64,28.9,28.32,28.53,248151,0
2017-05-26,18:00:00,28.52,28.7099,28.22,28.6771,160655,0
2017-05-26,19:00:00,28.67,28.87,28.31,28.334,82707,0
2017-05-26,20:00:00,28.42,28.67,28.33,28.4929,92111,0
2017-05-26,21:00:00,28.4821,28.55,28.35,28.5,94923,0
2017-05-26,22:00:00,28.54,28.6,28.27,28.38,174681,0
2017-05-30,16:00:00,28.55,28.737,28,28.32,113568,0
2017-05-30,17:00:00,28.3907,28.3907,27.2,27.35,323818,0
2017-05-30,18:00:00,27.31,27.54,27.1,27.22,103269,0
2017-05-30,19:00:00,27.2,27.52,27.2,27.3204,53504,0
2017-05-30,20:00:00,27.29,27.315,26.57,26.6536,139747,0
2017-05-30,21:00:00,26.62,27.32,26.62,26.84,112861,0
2017-05-30,22:00:00,26.96,27.0099,26.53,26.67,195256,0
2017-05-31,16:00:00,26.8,27.22,25.84,26.1367,105600,0
2017-05-31,17:00:00,26.22,26.22,25.28,25.7843,238376,0
2017-05-31,18:00:00,25.8,26.3348,25.7012,25.92,126274,0
2017-05-31,19:00:00,25.97,26.2599,25.63,25.8,81513,0
2017-05-31,20:00:00,25.77,25.77,25.27,25.29,170454,0
2017-05-31,21:00:00,25.29,25.74,25.29,25.49,172092,0
2017-05-31,22:00:00,25.48,26.09,25.48,26.02,252999,0
2017-06-01,16:00:00,26.41,26.719,26.27,26.6,49772,0
2017-06-01,17:00:00,26.58,26.83,26.52,26.67,90742,0
2017-06-01,18:00:00,26.678,27.71,26.67,27.57,161887,0
2017-06-01,19:00:00,27.54,27.54,26.9308,26.98,76579,0
2017-06-01,20:00:00,26.94,26.98,26.28,26.3485,79948,0
2017-06-01,21:00:00,26.35,26.61,26.33,26.58,74423,0
2017-06-01,22:00:00,26.55,26.7725,26.54,26.61,124243,0
2017-06-02,16:00:00,26.61,27,26.61,26.99,28389,0
2017-06-02,17:00:00,26.9501,26.9501,25.95,26.04,174492,0
2017-06-02,18:00:00,26.0325,26.43,25.96,26.41,142416,0
2017-06-02,19:00:00,26.38,26.53,26.178,26.26,105428,0
2017-06-02,20:00:00,26.23,26.41,26.04,26.15,62173,0
2017-06-02,21:00:00,26.15,26.35,26.15,26.28,40400,0
2017-06-02,22:00:00,26.28,26.29,26.16,26.28,105780,0
2017-06-05,16:00:00,26.25,26.609,26.12,26.12,40099,0
2017-06-05,17:00:00,26.11,26.18,25.8,25.93,89755,0
2017-06-05,18:00:00,25.93,26.15,25.83,26.0476,92671,0
2017-06-05,19:00:00,26.03,26.08,25.93,26.01,45291,0
2017-06-05,20:00:00,26,26.19,25.99,26.07,118674,0
2017-06-05,21:00:00,26.07,26.14,26.02,26.09,61481,0
2017-06-05,22:00:00,26.1,26.24,26.07,26.14,102582,0
2017-06-06,16:00:00,26.13,26.13,25.1,25.2658,332214,0
2017-06-06,17:00:00,25.29,25.96,25.29,25.88,311478,0
2017-06-06,18:00:00,25.86,27.3617,25.81,27.3617,249253,0
2017-06-06,19:00:00,27.29,27.6,26.7401,27.34,197665,0
2017-06-06,20:00:00,27.305,27.9,26.86,26.94,253448,0
2017-06-06,21:00:00,26.97,27.11,26.6001,26.89,133560,0
2017-06-06,22:00:00,26.91,26.95,26.16,26.33,238734,0
2017-06-07,16:00:00,26.34,26.8,26.1877,26.5196,41126,0
2017-06-07,17:00:00,26.515,27.0899,26.46,26.55,165691,0
2017-06-07,18:00:00,26.5675,26.739,26,26.01,80557,0
2017-06-07,19:00:00,26.03,26.49,25.83,26.23,156640,0
2017-06-07,20:00:00,26.225,26.44,25.7684,25.89,201543,0
2017-06-07,21:00:00,25.88,26.22,25.757,25.8764,77124,0
