Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-10,16:00:00,8.564,8.577,8.5446,8.5574,1852,0
2017-05-10,17:00:00,8.5543,8.5543,8.4377,8.4377,22944,0
2017-05-10,18:00:00,8.4522,8.5057,8.4181,8.4765,10081,0
2017-05-10,19:00:00,8.4632,8.4668,8.4483,8.4668,7201,0
2017-05-10,20:00:00,8.4473,8.4668,8.4473,8.4473,6592,0
2017-05-10,21:00:00,8.4473,8.4473,8.4472,8.4472,4076,0
2017-05-10,22:00:00,8.4377,8.4765,8.4377,8.4668,10683,0
2017-05-11,16:00:00,8.4571,8.4863,8.4473,8.4473,721,0
2017-05-11,17:00:00,8.4863,8.5737,8.4692,8.564,3189,0
2017-05-11,18:00:00,8.564,8.5737,8.4863,8.5057,4938,0
2017-05-11,19:00:00,8.5057,8.5057,8.489,8.5057,4012,0
2017-05-11,20:00:00,8.4863,8.5057,8.4571,8.4571,15740,0
2017-05-11,21:00:00,8.4571,8.4863,8.4571,8.4863,21445,0
2017-05-11,22:00:00,8.4668,8.4863,8.4473,8.4571,48248,0
2017-05-12,16:00:00,8.4959,8.4959,8.4571,8.4571,5582,0
2017-05-12,17:00:00,8.4668,8.4668,8.4571,8.4571,5758,0
2017-05-12,18:00:00,8.4619,8.4821,8.4571,8.4571,6584,0
2017-05-12,19:00:00,8.4571,8.4668,8.4571,8.4571,823,0
2017-05-12,20:00:00,8.4574,8.4765,8.4571,8.4765,3806,0
2017-05-12,21:00:00,8.4571,8.4571,8.4571,8.4571,720,0
2017-05-12,22:00:00,8.4473,8.4765,8.4473,8.4571,5779,0
2017-05-15,16:00:00,8.4571,8.5348,8.4085,8.5023,2718,0
2017-05-15,17:00:00,8.5348,8.5348,8.4959,8.4959,1029,0
2017-05-15,18:00:00,8.4959,8.5543,8.4571,8.4863,4784,0
2017-05-15,19:00:00,8.5446,8.5446,8.4571,8.4571,1029,0
2017-05-15,20:00:00,8.4766,8.4766,8.4385,8.4765,1769,0
2017-05-15,21:00:00,8.4571,8.4765,8.4571,8.4765,308,0
2017-05-15,22:00:00,8.4571,8.4959,8.4571,8.4863,5439,0
2017-05-16,16:00:00,8.5154,8.5154,8.4571,8.4668,2572,0
2017-05-16,17:00:00,8.4863,8.4863,8.4863,8.4863,102,0
2017-05-16,18:00:00,8.4626,8.4863,8.4181,8.462,6363,0
2017-05-16,19:00:00,8.4571,8.4668,8.4181,8.4181,4630,0
2017-05-16,20:00:00,8.4181,8.4279,8.3501,8.4279,5645,0
2017-05-16,21:00:00,8.3798,8.4279,8.3798,8.4278,5376,0
2017-05-16,22:00:00,8.3832,8.4085,8.3832,8.4085,8781,0
2017-05-17,17:00:00,8.4279,8.4765,8.3501,8.3501,2366,0
2017-05-17,18:00:00,8.3696,8.4279,8.3696,8.4279,617,0
2017-05-17,19:00:00,8.4571,8.4765,8.4327,8.4571,4002,0
2017-05-17,20:00:00,8.4571,8.4571,8.4017,8.4121,4234,0
2017-05-17,21:00:00,8.4571,8.4571,8.4283,8.4571,1144,0
2017-05-17,22:00:00,8.4377,8.4571,8.4377,8.457,2336,0
2017-05-18,16:00:00,8.4571,8.4571,8.3734,8.3734,422,0
2017-05-18,17:00:00,8.4571,8.4863,8.4523,8.4863,11909,0
2017-05-18,19:00:00,8.4765,8.5057,8.4707,8.5057,18128,0
2017-05-18,20:00:00,8.5057,8.5348,8.4863,8.4863,3086,0
2017-05-18,21:00:00,8.4863,8.4863,8.4765,8.4765,8102,0
2017-05-18,22:00:00,8.4863,8.5057,8.4863,8.5057,823,0
2017-05-19,16:00:00,8.4959,8.4959,8.4959,8.4959,192,0
2017-05-19,17:00:00,8.4474,8.4959,8.4474,8.4959,8641,0
2017-05-19,18:00:00,8.4832,8.5446,8.4808,8.5446,17489,0
2017-05-19,19:00:00,8.5543,8.564,8.5251,8.5251,1646,0
2017-05-19,20:00:00,8.5251,8.564,8.5251,8.564,1131,0
2017-05-19,21:00:00,8.5543,8.5565,8.5533,8.5565,1369,0
2017-05-19,22:00:00,8.5543,8.564,8.5348,8.5543,8107,0
2017-05-22,16:00:00,8.564,8.564,8.4204,8.4537,3086,0
2017-05-22,17:00:00,8.5154,8.5446,8.5154,8.5446,617,0
2017-05-22,19:00:00,8.5127,8.5127,8.5127,8.5127,308,0
2017-05-22,20:00:00,8.514,8.5446,8.514,8.5446,232,0
2017-05-22,21:00:00,8.5251,8.5251,8.5251,8.5251,118,0
2017-05-22,22:00:00,8.5057,8.5154,8.4765,8.4765,4451,0
2017-05-23,16:00:00,8.4959,8.4959,8.4862,8.4862,486,0
2017-05-23,17:00:00,8.4669,8.4863,8.4571,8.4863,8025,0
2017-05-23,18:00:00,8.4668,8.4668,8.4668,8.4668,412,0
2017-05-23,19:00:00,8.4571,8.4668,8.4571,8.4668,308,0
2017-05-23,20:00:00,8.4668,8.4863,8.4571,8.4863,6357,0
2017-05-23,21:00:00,8.4668,8.4863,8.4605,8.4863,16128,0
2017-05-23,22:00:00,8.4668,8.4863,8.4668,8.4765,2264,0
2017-05-24,16:00:00,8.5057,8.5057,8.5057,8.5057,206,0
2017-05-24,18:00:00,8.4765,8.4959,8.4668,8.4959,1543,0
2017-05-24,19:00:00,8.4571,8.4571,8.4571,8.4571,102,0
2017-05-24,20:00:00,8.4571,8.4571,8.4473,8.4571,4969,0
2017-05-24,21:00:00,8.4473,8.5348,8.4473,8.5348,10471,0
2017-05-24,22:00:00,8.5348,8.5543,8.4959,8.5446,1322,0
2017-05-25,16:00:00,8.5543,8.5543,8.5154,8.5543,988,0
2017-05-25,17:00:00,8.5402,8.5543,8.5402,8.5491,731,0
2017-05-25,18:00:00,8.5405,8.5543,8.5353,8.5543,2892,0
2017-05-25,19:00:00,8.5348,8.5543,8.5057,8.5446,13154,0
2017-05-25,20:00:00,8.5543,8.5543,8.5379,8.5446,4526,0
2017-05-25,21:00:00,8.5397,8.5543,8.5251,8.5543,5144,0
2017-05-25,22:00:00,8.5414,8.5932,8.5251,8.5543,11860,0
2017-05-26,16:00:00,8.5251,8.5834,8.5251,8.5834,1147,0
2017-05-26,17:00:00,8.5333,8.5333,8.5333,8.5333,707,0
2017-05-26,18:00:00,8.564,8.6028,8.5446,8.5446,15431,0
2017-05-26,19:00:00,8.564,8.564,8.4959,8.5446,4196,0
2017-05-26,20:00:00,8.4959,8.5543,8.4473,8.4571,3703,0
2017-05-26,21:00:00,8.4571,8.5057,8.4571,8.5057,2572,0
2017-05-26,22:00:00,8.4863,8.4959,8.4571,8.4959,4630,0
2017-05-30,16:00:00,8.4863,8.5543,8.4863,8.5185,823,0
2017-05-30,17:00:00,8.5543,8.5543,8.5154,8.5154,308,0
2017-05-30,18:00:00,8.5057,8.5057,8.5057,8.5057,102,0
