Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-02,15:00:00,4.6,4.6,3.68,4,4807,0
2017-11-02,16:00:00,4,4.5,4,4.4,12413,0
2017-11-02,17:00:00,4.4,4.45,4.4,4.45,1650,0
2017-11-02,18:00:00,4.2999,4.5,4.101,4.5,7450,0
2017-11-02,19:00:00,4.5,4.5,4.5,4.5,500,0
2017-11-02,20:00:00,4.4999,4.5,4.4149,4.5,9650,0
2017-11-02,21:00:00,4.5,4.5,4.5,4.5,300,0
2017-11-06,16:00:00,4.89,4.89,4.65,4.65,4701,0
2017-11-06,17:00:00,4.57,4.59,4.5,4.5,3100,0
2017-11-06,18:00:00,4.57,4.641,4.5,4.5,3200,0
2017-11-06,19:00:00,4.5,4.5,4.5,4.5,3825,0
2017-11-06,21:00:00,4.2501,4.2501,4.2501,4.2501,100,0
2017-11-06,22:00:00,4.4999,4.5,4.4975,4.4975,1500,0
2017-11-07,16:00:00,4.58,4.6,4.58,4.6,1000,0
2017-11-07,17:00:00,4.5001,4.55,4.5,4.509,8968,0
2017-11-07,18:00:00,4.5001,4.6,4.5,4.6,4800,0
2017-11-07,19:00:00,4.5999,4.5999,4.5999,4.5999,1000,0
2017-11-07,20:00:00,4.529,4.5557,4.529,4.5557,450,0
2017-11-07,21:00:00,4.5965,4.5965,4.5965,4.5965,329,0
2017-11-07,22:00:00,4.509,4.509,4.5042,4.5042,800,0
2017-11-08,16:00:00,4.55,4.55,4.55,4.55,300,0
2017-11-08,18:00:00,4.6,4.6,4.6,4.6,2000,0
2017-11-08,19:00:00,4.5,4.5,4.5,4.5,1367,0
2017-11-08,20:00:00,4.6,4.6,4.5623,4.5623,600,0
2017-11-08,21:00:00,4.5591,4.5591,4.5591,4.5591,500,0
2017-11-08,22:00:00,4.6,4.7,4.6,4.7,400,0
2017-11-09,17:00:00,4.25,4.25,4.25,4.25,140,0
2017-11-09,18:00:00,4.6,4.695,4.6,4.695,2300,0
2017-11-09,19:00:00,4.5,4.68,4.5,4.5,2565,0
2017-11-09,20:00:00,4.55,4.6,4.5,4.6,2000,0
2017-11-09,22:00:00,4.5,4.5,4.5,4.5,100,0
2017-11-10,16:00:00,4.5,4.7,4.49,4.7,5282,0
2017-11-10,17:00:00,4.49,4.49,4.49,4.49,350,0
2017-11-10,19:00:00,4.28,4.31,4.28,4.31,700,0
2017-11-10,20:00:00,4.5,4.7,4.5,4.685,3500,0
2017-11-10,21:00:00,4.68,4.68,4.5,4.5,1100,0
2017-11-10,22:00:00,4.5,4.67,4.5,4.61,7880,0
2017-11-13,21:00:00,4.5,4.64,4.5,4.5207,2900,0
2017-11-13,22:00:00,4.51,4.51,4.5,4.5,1950,0
2017-11-14,16:00:00,4.4,4.67,4.4,4.67,300,0
2017-11-14,18:00:00,4.63,4.63,4.47,4.47,850,0
2017-11-14,19:00:00,4.4701,4.55,4.4701,4.55,1000,0
2017-11-14,20:00:00,4.6,4.6,4.6,4.6,100,0
