Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-04,16:00:00,12.236,12.236,12.226,12.226,924,0
2017-04-04,17:00:00,12.197,12.197,12.197,12.197,208,0
2017-04-04,22:00:00,12.192,12.226,12.182,12.207,1072,0
2017-04-05,16:00:00,12.178,12.178,12.178,12.178,643,0
2017-04-05,19:00:00,12.217,12.217,12.217,12.217,100,0
2017-04-05,20:00:00,12.197,12.207,12.197,12.207,400,0
2017-04-05,22:00:00,12.208,12.208,12.207,12.207,208,0
2017-04-06,18:00:00,12.236,12.236,12.226,12.226,516,0
2017-04-06,21:00:00,12.197,12.254,12.197,12.254,4461,0
2017-04-07,16:00:00,12.264,12.312,12.264,12.312,3820,0
2017-04-07,17:00:00,12.293,12.293,12.293,12.293,723,0
2017-04-07,18:00:00,12.293,12.303,12.293,12.303,1070,0
2017-04-07,22:00:00,12.273,12.312,12.273,12.312,380,0
2017-04-10,16:00:00,12.312,12.312,12.301,12.312,5645,0
2017-04-10,18:00:00,12.295,12.303,12.264,12.303,6252,0
2017-04-10,19:00:00,12.303,12.303,12.303,12.303,408,0
2017-04-10,22:00:00,12.303,12.303,12.303,12.303,208,0
2017-04-11,16:00:00,12.254,12.254,12.254,12.254,479,0
2017-04-11,17:00:00,12.332,12.342,12.332,12.342,208,0
2017-04-11,18:00:00,12.332,12.342,12.332,12.342,2939,0
2017-04-11,19:00:00,12.342,12.351,12.342,12.342,4516,0
2017-04-11,20:00:00,12.332,12.332,12.322,12.322,2156,0
2017-04-11,21:00:00,12.342,12.342,12.342,12.342,716,0
2017-04-11,22:00:00,12.342,12.361,12.342,12.361,515,0
2017-04-12,16:00:00,12.312,12.322,12.312,12.322,1370,0
2017-04-12,17:00:00,12.332,12.351,12.332,12.351,924,0
2017-04-12,18:00:00,12.371,12.371,12.371,12.371,516,0
2017-04-12,19:00:00,12.361,12.361,12.322,12.361,2386,0
2017-04-12,20:00:00,12.361,12.361,12.351,12.351,1438,0
2017-04-12,21:00:00,12.351,12.351,12.351,12.351,616,0
2017-04-12,22:00:00,12.342,12.361,12.332,12.342,2551,0
2017-04-13,16:00:00,12.342,12.342,12.342,12.342,604,0
2017-04-13,17:00:00,12.368,12.368,12.351,12.361,1555,0
2017-04-13,18:00:00,12.351,12.371,12.351,12.371,2875,0
2017-04-13,19:00:00,12.361,12.361,12.361,12.361,990,0
2017-04-13,20:00:00,12.38,12.42,12.361,12.395,5462,0
2017-04-13,21:00:00,12.395,12.42,12.38,12.41,1024,0
2017-04-13,22:00:00,12.42,12.42,12.395,12.42,2674,0
2017-04-17,16:00:00,12.342,12.386,12.342,12.386,4216,0
2017-04-17,17:00:00,12.371,12.386,12.351,12.351,8391,0
2017-04-17,18:00:00,12.361,12.39,12.361,12.371,10518,0
2017-04-17,19:00:00,12.371,12.371,12.371,12.371,308,0
2017-04-17,21:00:00,12.371,12.371,12.361,12.361,1438,0
2017-04-17,22:00:00,12.371,12.371,12.351,12.351,2259,0
2017-04-18,16:00:00,12.312,12.312,12.312,12.312,291,0
2017-04-18,17:00:00,12.37,12.4,12.37,12.4,887,0
2017-04-18,19:00:00,12.371,12.371,12.312,12.364,11536,0
2017-04-18,22:00:00,12.346,12.351,12.312,12.312,1232,0
2017-04-19,16:00:00,12.361,12.361,12.361,12.361,316,0
2017-04-19,17:00:00,12.361,12.361,12.361,12.361,404,0
2017-04-19,18:00:00,12.332,12.332,12.322,12.332,1236,0
2017-04-19,19:00:00,12.332,12.332,12.332,12.332,516,0
2017-04-19,20:00:00,12.332,12.332,12.322,12.322,1130,0
2017-04-19,21:00:00,12.332,12.332,12.332,12.332,924,0
2017-04-19,22:00:00,12.332,12.371,12.322,12.361,7493,0
2017-04-20,16:00:00,12.4,12.4,12.312,12.337,1726,0
2017-04-20,17:00:00,12.371,12.371,12.332,12.351,1024,0
2017-04-20,18:00:00,12.351,12.351,12.337,12.351,1613,0
2017-04-20,19:00:00,12.351,12.351,12.342,12.351,408,0
2017-04-20,20:00:00,12.351,12.371,12.346,12.371,1224,0
2017-04-20,21:00:00,12.366,12.39,12.366,12.371,1182,0
2017-04-20,22:00:00,12.375,12.4,12.375,12.4,1024,0
