Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,24.236,24.3,24.186,24.236,158768,0
2017-05-16,17:00:00,24.226,24.246,24.137,24.147,509183,0
2017-05-16,18:00:00,24.147,24.147,24.058,24.078,322976,0
2017-05-16,19:00:00,24.081,24.112,24.058,24.112,144781,0
2017-05-16,20:00:00,24.102,24.112,24.009,24.009,166771,0
2017-05-16,21:00:00,24.009,24.038,23.949,23.949,198314,0
2017-05-16,22:00:00,23.959,24.009,23.9,23.9,852508,0
2017-05-17,16:00:00,23.999,24.019,23.791,23.791,122296,0
2017-05-17,17:00:00,23.786,23.949,23.777,23.939,187332,0
2017-05-17,18:00:00,23.944,24.029,23.91,23.959,186548,0
2017-05-17,19:00:00,23.959,23.999,23.89,23.89,310654,0
2017-05-17,20:00:00,23.88,23.959,23.841,23.939,195719,0
2017-05-17,21:00:00,23.939,24.058,23.9,24.009,263076,0
2017-05-17,22:00:00,24.019,24.019,23.93,23.939,747861,0
2017-05-18,16:00:00,24.029,24.097,23.801,23.969,219981,0
2017-05-18,17:00:00,23.979,24.097,23.969,24.078,423522,0
2017-05-18,18:00:00,24.078,24.167,24.078,24.137,304659,0
2017-05-18,19:00:00,24.137,24.157,24.029,24.068,169084,0
2017-05-18,20:00:00,24.075,24.097,24.048,24.097,284758,0
2017-05-18,21:00:00,24.097,24.236,24.097,24.196,356418,0
2017-05-18,22:00:00,24.191,24.246,24.157,24.186,541666,0
2017-05-19,16:00:00,24.246,24.246,24.048,24.157,311178,0
2017-05-19,17:00:00,24.157,24.305,24.137,24.295,424654,0
2017-05-19,18:00:00,24.285,24.288,24.147,24.226,199500,0
2017-05-19,19:00:00,24.221,24.265,24.196,24.255,214624,0
2017-05-19,20:00:00,24.25,24.295,24.216,24.29,220692,0
2017-05-19,21:00:00,24.29,24.394,24.285,24.364,290911,0
2017-05-19,22:00:00,24.364,24.394,24.325,24.384,794564,0
2017-05-22,16:00:00,24.354,24.591,24.335,24.561,255188,0
2017-05-22,17:00:00,24.561,24.66,24.532,24.606,565850,0
2017-05-22,18:00:00,24.611,24.65,24.552,24.581,303275,0
2017-05-22,19:00:00,24.581,24.66,24.566,24.65,236262,0
2017-05-22,20:00:00,24.66,24.7,24.631,24.67,197683,0
2017-05-22,21:00:00,24.67,24.68,24.631,24.646,317943,0
2017-05-22,22:00:00,24.65,24.729,24.641,24.69,973844,0
2017-05-23,16:00:00,24.739,24.808,24.641,24.769,127435,0
2017-05-23,17:00:00,24.769,25.006,24.769,24.947,399498,0
2017-05-23,18:00:00,24.947,24.986,24.902,24.966,404668,0
2017-05-23,19:00:00,24.971,25.006,24.952,24.986,166549,0
2017-05-23,20:00:00,24.991,24.991,24.858,24.887,237237,0
2017-05-23,21:00:00,24.887,24.897,24.739,24.813,269274,0
2017-05-23,22:00:00,24.828,24.828,24.789,24.818,672467,0
2017-05-24,16:00:00,24.848,24.907,24.799,24.833,59628,0
2017-05-24,17:00:00,24.828,24.887,24.789,24.803,123335,0
2017-05-24,18:00:00,24.803,24.848,24.769,24.779,294209,0
2017-05-24,19:00:00,24.779,24.803,24.759,24.779,274722,0
2017-05-24,20:00:00,24.789,24.808,24.764,24.799,191185,0
2017-05-24,21:00:00,24.799,24.887,24.779,24.833,534301,0
2017-05-24,22:00:00,24.838,24.897,24.808,24.897,799467,0
2017-05-25,16:00:00,24.947,25.006,24.917,24.947,122100,0
2017-05-25,17:00:00,24.947,25.114,24.947,25.114,155770,0
2017-05-25,18:00:00,25.114,25.173,25.09,25.164,166845,0
2017-05-25,19:00:00,25.159,25.193,25.139,25.169,114251,0
2017-05-25,20:00:00,25.173,25.223,25.154,25.208,142540,0
2017-05-25,21:00:00,25.213,25.223,25.154,25.178,160493,0
2017-05-25,22:00:00,25.178,25.233,25.173,25.203,504124,0
2017-05-26,16:00:00,25.124,25.233,25.124,25.193,278696,0
2017-05-26,17:00:00,25.188,25.233,25.164,25.198,176479,0
2017-05-26,18:00:00,25.193,25.223,25.159,25.203,213474,0
2017-05-26,19:00:00,25.203,25.223,25.173,25.198,81900,0
2017-05-26,20:00:00,25.203,25.203,25.154,25.169,257269,0
2017-05-26,21:00:00,25.164,25.263,25.154,25.223,237602,0
2017-05-26,22:00:00,25.223,25.263,25.213,25.233,856206,0
2017-05-30,16:00:00,25.233,25.371,25.173,25.356,266280,0
2017-05-30,17:00:00,25.356,25.42,25.331,25.42,461887,0
2017-05-30,18:00:00,25.42,25.47,25.371,25.435,351237,0
2017-05-30,19:00:00,25.43,25.489,25.406,25.425,255229,0
2017-05-30,20:00:00,25.43,25.489,25.425,25.46,131222,0
2017-05-30,21:00:00,25.465,25.479,25.45,25.455,275330,0
2017-05-30,22:00:00,25.455,25.519,25.381,25.489,1122681,0
2017-05-31,16:00:00,25.549,25.687,25.539,25.657,214163,0
2017-05-31,17:00:00,25.657,25.751,25.657,25.717,340132,0
2017-05-31,18:00:00,25.722,25.727,25.618,25.692,376237,0
2017-05-31,19:00:00,25.697,25.717,25.647,25.667,235798,0
2017-05-31,20:00:00,25.662,25.717,25.652,25.697,289742,0
2017-05-31,21:00:00,25.707,25.815,25.697,25.795,355705,0
2017-05-31,22:00:00,25.795,25.805,25.727,25.736,1331630,0
2017-06-01,16:00:00,25.736,25.736,25.608,25.727,165558,0
2017-06-01,17:00:00,25.727,25.795,25.677,25.786,253026,0
2017-06-01,18:00:00,25.786,25.835,25.756,25.805,263714,0
2017-06-01,19:00:00,25.805,25.825,25.746,25.795,218846,0
2017-06-01,20:00:00,25.79,25.82,25.776,25.805,169137,0
2017-06-01,21:00:00,25.81,25.875,25.805,25.845,200601,0
2017-06-01,22:00:00,25.845,25.904,25.825,25.904,1658181,0
2017-06-02,16:00:00,25.993,26.101,25.855,25.875,287717,0
2017-06-02,17:00:00,25.876,26.003,25.855,25.983,221254,0
2017-06-02,18:00:00,25.978,26.052,25.973,26.033,214006,0
2017-06-02,19:00:00,26.023,26.033,25.973,26.013,197964,0
2017-06-02,20:00:00,26.013,26.023,25.953,25.963,179222,0
2017-06-02,21:00:00,25.954,26.013,25.934,26.008,228129,0
2017-06-02,22:00:00,26.008,26.023,25.943,26.013,795322,0
2017-06-05,16:00:00,26.003,26.062,25.973,26.009,587385,0
2017-06-05,17:00:00,26.013,26.101,25.963,26.047,518757,0
2017-06-05,18:00:00,26.042,26.042,25.894,25.934,258137,0
2017-06-05,19:00:00,25.939,26.013,25.934,25.998,366998,0
2017-06-05,20:00:00,25.998,26.062,25.993,26.042,321166,0
2017-06-05,21:00:00,26.047,26.062,25.983,25.998,300241,0
2017-06-05,22:00:00,25.998,26.062,25.983,26.042,999528,0
2017-06-06,16:00:00,26.082,26.22,26.052,26.161,289289,0
2017-06-06,17:00:00,26.166,26.171,26.101,26.131,329072,0
2017-06-06,18:00:00,26.131,26.205,26.131,26.186,248559,0
2017-06-06,19:00:00,26.186,26.191,26.116,26.126,285189,0
2017-06-06,20:00:00,26.126,26.141,26.003,26.003,234469,0
2017-06-06,21:00:00,26.008,26.052,25.983,26.033,198308,0
