Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,16:00:00,6.12,6.4782,6.12,6.4683,4338,0
2017-04-10,17:00:00,6.4782,6.4782,6.3864,6.4323,544,0
2017-04-10,18:00:00,6.3909,6.4323,6.3036,6.3036,1878,0
2017-04-10,19:00:00,6.2154,6.4359,6.2118,6.3891,3199,0
2017-04-10,20:00:00,6.3891,6.3891,6.3036,6.3036,916,0
2017-04-10,21:00:00,6.318,6.318,6.2982,6.2982,1115,0
2017-04-10,22:00:00,6.2982,6.3,6.2298,6.2496,526,0
2017-04-11,16:00:00,6.21,6.327,6.183,6.183,812,0
2017-04-11,17:00:00,6.183,6.1839,5.94,5.9409,3263,0
2017-04-11,18:00:00,5.9418,6.084,5.9409,6.0705,2597,0
2017-04-11,19:00:00,6.0327,6.084,6.0309,6.0327,2067,0
2017-04-11,20:00:00,6.084,6.084,6.0327,6.0336,306,0
2017-04-11,21:00:00,6.0579,6.12,5.9409,5.9409,6630,0
2017-04-11,22:00:00,5.9418,5.9418,5.85,5.9373,3300,0
2017-04-12,16:00:00,5.85,6.102,5.85,6.102,887,0
2017-04-12,17:00:00,6.102,6.21,6.03,6.03,3311,0
2017-04-12,18:00:00,6.03,6.1191,6.03,6.1173,89,0
2017-04-12,19:00:00,6.1191,6.1191,5.8959,5.8959,1205,0
2017-04-12,20:00:00,5.8959,6.102,5.8959,6.102,900,0
2017-04-12,21:00:00,6.102,6.102,5.9391,5.9391,500,0
2017-04-12,22:00:00,6.102,6.102,5.8959,5.985,466,0
2017-04-13,16:00:00,6.12,6.12,5.8959,5.994,2341,0
2017-04-13,17:00:00,5.9751,6.102,5.8509,6.03,696,0
2017-04-13,18:00:00,6.0255,6.0264,6.0084,6.0174,117,0
2017-04-13,19:00:00,6.0264,6.0264,6.0111,6.0111,592,0
2017-04-13,20:00:00,6.0111,6.0237,6.0084,6.0219,1013,0
2017-04-13,21:00:00,6.0228,6.066,6.0075,6.0381,985,0
2017-04-13,22:00:00,6.048,6.066,5.94,6.0363,420,0
2017-04-17,16:00:00,6.0813,6.102,5.913,5.913,1984,0
2017-04-17,17:00:00,6.0255,6.0525,5.913,6.0507,1704,0
2017-04-17,18:00:00,6.0453,6.075,5.9409,6.057,450,0
2017-04-17,19:00:00,6.048,6.048,5.94,5.94,1392,0
2017-04-17,20:00:00,5.9166,5.9985,5.9157,5.9985,1868,0
2017-04-17,21:00:00,5.9256,5.9985,5.8995,5.8995,3397,0
2017-04-17,22:00:00,5.9868,5.9958,5.8545,5.9409,3354,0
2017-04-18,16:00:00,5.8545,5.9949,5.85,5.8509,8151,0
2017-04-18,17:00:00,5.895,5.9391,5.679,5.679,7608,0
2017-04-18,18:00:00,5.679,5.805,5.5818,5.7159,3725,0
2017-04-18,19:00:00,5.76,5.76,5.6997,5.7573,309,0
2017-04-18,20:00:00,5.7006,5.7591,5.6115,5.67,1943,0
2017-04-18,21:00:00,5.7591,5.7591,5.5845,5.589,1162,0
2017-04-18,22:00:00,5.6574,5.8014,5.589,5.6574,2032,0
2017-04-19,16:00:00,5.9382,5.9382,5.5827,5.598,455,0
2017-04-19,17:00:00,5.5989,5.67,5.5899,5.6016,1822,0
2017-04-19,18:00:00,5.598,5.625,5.5818,5.598,4969,0
2017-04-19,19:00:00,5.598,5.598,5.5818,5.5818,1074,0
2017-04-19,20:00:00,5.5818,5.5836,5.58,5.5809,1595,0
2017-04-19,21:00:00,5.5809,5.5818,5.58,5.5809,1028,0
2017-04-19,22:00:00,5.5809,5.5809,5.5305,5.5755,989,0
2017-04-20,16:00:00,5.58,5.58,5.157,5.1669,7601,0
2017-04-20,17:00:00,5.3532,5.5584,5.2335,5.517,3126,0
2017-04-20,18:00:00,5.4603,5.517,5.4045,5.5161,1776,0
2017-04-20,19:00:00,5.517,5.517,5.4315,5.5071,489,0
2017-04-20,20:00:00,5.5161,6.03,5.4882,5.94,3541,0
2017-04-20,21:00:00,5.8635,5.8662,5.6421,5.6421,524,0
2017-04-20,22:00:00,5.85,5.85,5.6286,5.76,2277,0
2017-04-21,16:00:00,5.6736,5.6736,5.409,5.5791,1860,0
2017-04-21,17:00:00,5.4477,5.58,5.4477,5.562,896,0
2017-04-21,18:00:00,5.49,5.5341,5.4882,5.49,656,0
2017-04-21,19:00:00,5.4909,5.4909,5.49,5.49,67,0
2017-04-21,20:00:00,5.4909,5.4909,5.4225,5.49,1000,0
2017-04-21,21:00:00,5.409,5.49,5.409,5.49,391,0
2017-04-21,22:00:00,5.49,5.49,5.4009,5.4009,1032,0
2017-04-24,16:00:00,5.805,5.805,5.6628,5.7519,2210,0
2017-04-24,17:00:00,5.7519,5.7519,5.4,5.4,837,0
2017-04-24,18:00:00,5.661,5.6691,5.4,5.58,175,0
2017-04-24,19:00:00,5.4909,5.67,5.4909,5.6025,76,0
2017-04-24,20:00:00,5.5692,5.6763,5.508,5.5368,2600,0
2017-04-24,21:00:00,5.58,5.67,5.5089,5.5809,333,0
2017-04-24,22:00:00,5.58,5.6142,5.4,5.5296,2482,0
2017-04-25,16:00:00,5.805,5.805,5.3163,5.7591,286,0
2017-04-25,17:00:00,5.67,5.724,5.3163,5.4018,5000,0
2017-04-25,18:00:00,5.4018,5.5521,5.4018,5.535,400,0
2017-04-25,19:00:00,5.4648,5.4828,5.3406,5.4,2767,0
2017-04-25,20:00:00,5.4,5.4108,5.3631,5.4108,652,0
2017-04-25,21:00:00,5.4531,5.5647,5.4135,5.544,322,0
2017-04-25,22:00:00,5.6583,5.6691,5.49,5.58,797,0
2017-04-26,16:00:00,5.3316,5.6088,5.3316,5.6088,1166,0
2017-04-26,17:00:00,5.5224,5.751,5.4936,5.7258,1161,0
2017-04-26,18:00:00,5.6835,5.7177,5.58,5.7114,2386,0
2017-04-26,19:00:00,5.715,5.715,5.5953,5.6682,94,0
2017-04-26,20:00:00,5.67,5.7303,5.6007,5.607,997,0
2017-04-26,21:00:00,5.6052,5.6682,5.6052,5.6322,358,0
2017-04-26,22:00:00,5.6682,5.7411,5.4,5.6016,3044,0
2017-04-27,16:00:00,5.6835,5.6835,5.418,5.418,813,0
2017-04-27,17:00:00,5.4189,5.58,5.418,5.5728,411,0
2017-04-27,18:00:00,5.427,5.427,5.4189,5.4189,56,0
2017-04-27,19:00:00,5.4198,5.76,5.4,5.49,3875,0
2017-04-27,20:00:00,5.49,5.49,5.4072,5.4207,721,0
2017-04-27,21:00:00,5.4558,5.76,5.4558,5.4945,1067,0
2017-04-27,22:00:00,5.7033,5.7033,5.49,5.5413,292,0
2017-04-28,16:00:00,5.517,5.5881,5.3163,5.3415,2309,0
2017-04-28,17:00:00,5.5908,5.5908,5.355,5.355,702,0
2017-04-28,18:00:00,5.58,5.58,5.3568,5.3694,309,0
2017-04-28,19:00:00,5.3685,5.58,5.3649,5.49,800,0
2017-04-28,20:00:00,5.4756,5.49,5.4144,5.49,267,0
2017-04-28,21:00:00,5.49,5.571,5.418,5.571,2228,0
2017-04-28,22:00:00,5.544,5.58,5.4036,5.5044,2421,0
2017-05-01,16:00:00,5.31,5.67,5.31,5.5305,801,0
2017-05-01,17:00:00,5.661,5.661,5.3487,5.58,371,0
2017-05-01,18:00:00,5.58,5.58,5.373,5.4,221,0
2017-05-01,19:00:00,5.58,5.58,5.3253,5.535,755,0
2017-05-01,20:00:00,5.58,5.58,5.3406,5.58,189,0
2017-05-01,21:00:00,5.562,5.5701,5.3163,5.4801,851,0
2017-05-01,22:00:00,5.5278,5.553,5.3163,5.4801,3256,0
2017-05-02,16:00:00,5.319,5.652,5.3163,5.5773,3231,0
2017-05-02,17:00:00,5.571,5.58,5.2218,5.2218,3070,0
2017-05-02,18:00:00,5.3064,5.3676,5.2218,5.3676,1818,0
2017-05-02,19:00:00,5.3181,5.3181,5.2227,5.2227,353,0
2017-05-02,20:00:00,5.3595,5.3595,5.2236,5.2236,1278,0
2017-05-02,21:00:00,5.346,5.355,5.2227,5.2227,198,0
2017-05-02,22:00:00,5.2641,5.265,5.2227,5.2506,2140,0
2017-05-03,16:00:00,5.2272,5.31,5.1597,5.1597,2540,0
2017-05-03,17:00:00,5.1912,5.22,5.0895,5.13,3273,0
2017-05-03,18:00:00,5.13,5.1561,5.1291,5.1291,271,0
2017-05-03,19:00:00,5.1327,5.1327,5.0481,5.1327,233,0
2017-05-03,20:00:00,5.1327,5.139,5.0454,5.139,1392,0
2017-05-03,21:00:00,5.0409,5.1336,5.0409,5.1336,139,0
2017-05-03,22:00:00,5.1336,5.1489,5.0409,5.076,1531,0
2017-05-04,16:00:00,5.0661,5.076,4.8753,5.076,2773,0
2017-05-04,17:00:00,4.905,5.076,4.905,4.9572,6946,0
2017-05-04,18:00:00,4.9572,4.9581,4.6836,4.86,6271,0
2017-05-04,19:00:00,4.7709,4.86,4.7709,4.7736,491,0
2017-05-04,20:00:00,4.7736,4.86,4.7691,4.77,80,0
2017-05-04,21:00:00,4.7277,4.7277,4.7268,4.7268,22,0
2017-05-04,22:00:00,4.77,5.0589,4.77,5.04,3192,0
2017-05-05,17:00:00,5.22,5.2209,5.04,5.04,1126,0
2017-05-05,18:00:00,5.2155,5.22,5.04,5.22,171,0
2017-05-05,19:00:00,5.22,5.256,5.1336,5.2407,4346,0
2017-05-05,20:00:00,5.2416,5.2569,5.2416,5.256,1098,0
2017-05-05,21:00:00,5.256,5.2569,5.2551,5.2569,2472,0
2017-05-05,22:00:00,5.2569,5.4855,5.22,5.31,5827,0
2017-05-08,16:00:00,5.778,5.778,4.95,5.4855,2482,0
2017-05-08,17:00:00,5.2209,5.4,5.2209,5.2209,88,0
2017-05-08,18:00:00,5.2218,5.4,5.2209,5.31,107,0
2017-05-08,19:00:00,5.31,5.31,5.2407,5.31,367,0
2017-05-08,20:00:00,5.31,5.31,5.2605,5.3091,156,0
2017-05-08,21:00:00,5.2785,5.2785,5.2632,5.2785,125,0
2017-05-08,22:00:00,5.2218,5.2785,5.2218,5.2776,1179,0
2017-05-09,16:00:00,5.31,5.49,5.31,5.49,4162,0
2017-05-09,17:00:00,5.4936,5.7573,5.49,5.5359,3097,0
2017-05-09,18:00:00,5.5404,5.6691,5.5404,5.6691,306,0
2017-05-09,19:00:00,5.6691,5.67,5.535,5.67,620,0
2017-05-09,20:00:00,5.67,5.742,5.67,5.7222,1161,0
2017-05-09,21:00:00,5.7465,5.76,5.535,5.6898,5911,0
2017-05-09,22:00:00,5.7303,5.76,5.7141,5.7582,1764,0
2017-05-10,16:00:00,5.67,5.67,5.2389,5.2389,651,0
2017-05-10,17:00:00,5.2389,5.67,5.2389,5.3352,3623,0
2017-05-10,18:00:00,5.58,5.58,5.3982,5.4832,528,0
2017-05-10,19:00:00,5.49,5.49,5.4261,5.49,556,0
2017-05-10,20:00:00,5.49,5.49,5.4279,5.49,189,0
2017-05-10,21:00:00,5.49,5.571,5.31,5.4,1288,0
2017-05-10,22:00:00,5.4855,5.571,5.4,5.4864,1335,0
2017-05-11,16:00:00,5.94,5.94,5.5475,5.89,2759,0
2017-05-11,17:00:00,5.745,5.745,5.5,5.5,2481,0
2017-05-11,18:00:00,5.37,5.37,5.37,5.37,100,0
2017-05-11,19:00:00,5.4999,5.6,5.4999,5.5999,8814,0
2017-05-11,20:00:00,5.6,5.6,5.5111,5.5111,877,0
2017-05-11,21:00:00,5.5101,5.6283,5.5001,5.6283,3319,0
2017-05-11,22:00:00,5.81,6.38,5.774,6.25,12043,0
2017-05-12,16:00:00,6.14,6.32,5.8385,5.9541,3911,0
2017-05-12,17:00:00,5.9941,5.9941,5.7101,5.7998,8063,0
2017-05-12,19:00:00,5.7952,5.8,5.7952,5.8,900,0
