Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-12-12,17:00:00,0.0617,0.0617,0.0617,0.0617,550,0
2016-12-13,18:00:00,0.0647,0.0647,0.0647,0.0647,116,0
2016-12-13,19:00:00,0.065,0.065,0.065,0.065,1000,0
2016-12-13,20:00:00,0.06,0.08,0.06,0.06,15655,0
2016-12-14,18:00:00,0.07,0.07,0.07,0.07,1000,0
2016-12-14,20:00:00,0.07,0.07,0.07,0.07,2100,0
2016-12-14,21:00:00,0.07,0.0706,0.07,0.0706,900,0
2016-12-15,16:00:00,0.071,0.071,0.066,0.066,800,0
2016-12-19,17:00:00,0.0605,0.0615,0.0605,0.0615,300,0
2016-12-19,22:00:00,0.065,0.065,0.065,0.065,100,0
2016-12-20,16:00:00,0.1,0.195,0.1,0.15,233813,0
2016-12-20,17:00:00,0.1599,0.2,0.1599,0.2,239455,0
2016-12-20,18:00:00,0.2399,0.24,0.1896,0.2,88539,0
2016-12-20,19:00:00,0.2,0.2899,0.2,0.2899,32330,0
2016-12-20,20:00:00,0.25,0.25,0.2455,0.25,21532,0
2016-12-20,21:00:00,0.24,0.252,0.24,0.2483,28170,0
2016-12-20,22:00:00,0.25,0.2599,0.236,0.252,162652,0
2016-12-21,16:00:00,0.29,0.3,0.28,0.3,167548,0
2016-12-21,17:00:00,0.293,0.31,0.26,0.29,63313,0
2016-12-21,18:00:00,0.29,0.29,0.2701,0.2701,2400,0
2016-12-21,19:00:00,0.2701,0.2701,0.2701,0.2701,100,0
2016-12-21,20:00:00,0.302,0.31,0.275,0.275,7000,0
2016-12-21,21:00:00,0.29,0.31,0.2701,0.31,14187,0
2016-12-21,22:00:00,0.33,0.33,0.3,0.3,56695,0
2016-12-22,16:00:00,0.3452,0.3497,0.32,0.337,27926,0
2016-12-22,17:00:00,0.3399,0.3399,0.3,0.3,26234,0
2016-12-22,18:00:00,0.315,0.33,0.315,0.33,900,0
