Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-01-23,16:00:00,8.5106,8.5582,8.5106,8.5582,2630,0
2017-01-23,17:00:00,8.6058,8.6661,8.5582,8.5582,13735,0
2017-01-23,18:00:00,8.5582,8.6058,8.5582,8.6058,10593,0
2017-01-23,19:00:00,8.5106,8.5106,8.5106,8.5106,105,0
2017-01-23,20:00:00,8.5106,8.5106,8.5106,8.5106,210,0
2017-01-23,21:00:00,8.4631,8.4631,8.3944,8.4631,7256,0
2017-01-23,22:00:00,8.4631,8.5106,8.4631,8.5106,9957,0
2017-01-24,16:00:00,8.6533,8.6533,8.6533,8.6533,2326,0
2017-01-24,17:00:00,8.6533,8.6697,8.6533,8.6697,1368,0
2017-01-24,18:00:00,8.7008,8.7008,8.7008,8.7008,526,0
2017-01-24,19:00:00,8.7057,8.7484,8.7057,8.7436,4989,0
2017-01-24,20:00:00,8.7008,8.7008,8.6533,8.6533,1675,0
2017-01-24,22:00:00,8.7008,8.7008,8.7008,8.7008,526,0
2017-01-25,16:00:00,8.7008,8.7008,8.5582,8.7008,3996,0
2017-01-25,18:00:00,8.7959,8.8435,8.7721,8.8435,6310,0
2017-01-25,19:00:00,8.8006,8.8054,8.7959,8.7959,2105,0
2017-01-25,20:00:00,8.7965,8.7965,8.7965,8.7965,210,0
2017-01-25,21:00:00,8.7959,8.7959,8.7484,8.7484,210,0
2017-01-25,22:00:00,8.7959,8.7959,8.7959,8.7959,105,0
2017-01-26,17:00:00,8.7959,8.8435,8.7484,8.8435,1608,0
2017-01-26,18:00:00,8.8435,8.8435,8.8435,8.8435,105,0
2017-01-26,21:00:00,8.7666,8.891,8.7666,8.891,684,0
2017-01-26,22:00:00,8.7484,9.1287,8.7484,9.1287,4777,0
2017-01-27,16:00:00,9.0337,9.0337,8.9861,9.0337,2044,0
2017-01-27,17:00:00,8.9861,8.9861,8.9861,8.9861,105,0
2017-01-27,19:00:00,8.9385,8.9385,8.9385,8.9385,105,0
2017-01-27,21:00:00,9.0337,9.0337,8.8435,8.891,1052,0
2017-01-27,22:00:00,8.9385,8.9385,8.7542,8.9385,2419,0
