Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-15,16:00:00,56.9,57.99,56.628,57.72,10396,0
2017-05-15,17:00:00,57.93,57.93,57.59,57.71,10263,0
2017-05-15,18:00:00,57.7,57.76,57.3,57.3,14233,0
2017-05-15,19:00:00,57.36,57.49,57.09,57.297,11902,0
2017-05-15,20:00:00,57.3,57.45,57.19,57.3,5000,0
2017-05-15,21:00:00,57.34,57.39,56.67,56.73,5783,0
2017-05-15,22:00:00,56.89,57.11,56.68,56.8,32992,0
2017-05-16,16:00:00,57.02,57.435,57.02,57.25,2366,0
2017-05-16,17:00:00,57.06,57.33,56.01,56.21,7900,0
2017-05-16,18:00:00,56.2,56.8991,56.12,56.615,9836,0
2017-05-16,19:00:00,56.55,56.71,56.36,56.545,11228,0
2017-05-16,20:00:00,56.5,56.755,56.26,56.26,7681,0
2017-05-16,21:00:00,56.26,56.26,55.63,55.88,14488,0
2017-05-16,22:00:00,55.95,56.7,55.82,56.69,41740,0
2017-05-17,16:00:00,55.48,56.0687,54.85,55.18,9427,0
2017-05-17,17:00:00,55.56,55.56,54.86,54.86,21752,0
2017-05-17,18:00:00,54.78,55.25,54.45,55,19691,0
2017-05-17,19:00:00,55,55,54.5,54.62,7079,0
2017-05-17,20:00:00,54.59,54.65,54.52,54.55,6817,0
2017-05-17,21:00:00,54.53,54.61,53.25,53.87,34656,0
2017-05-17,22:00:00,53.78,54.52,53.76,53.98,75271,0
2017-05-18,16:00:00,53.91,55.44,53.5392,54.73,11178,0
2017-05-18,17:00:00,54.693,55.12,54.09,54.71,9397,0
2017-05-18,18:00:00,54.46,54.73,53.375,53.41,15500,0
2017-05-18,19:00:00,53.52,54.28,53.35,53.91,24417,0
2017-05-18,20:00:00,54.03,54.71,53.765,54.46,25535,0
2017-05-18,21:00:00,54.6401,54.83,54.26,54.48,21054,0
2017-05-18,22:00:00,54.43,56.19,54.18,55.85,69692,0
2017-05-19,16:00:00,55.96,56.59,55.64,56.22,8810,0
2017-05-19,17:00:00,56.1,56.13,54.96,55.312,18005,0
2017-05-19,18:00:00,55.27,55.27,54.45,54.8,23849,0
2017-05-19,19:00:00,54.95,54.96,54.195,54.43,11350,0
2017-05-19,20:00:00,54.37,54.57,54.175,54.175,6854,0
2017-05-19,21:00:00,54.12,54.29,53.93,53.97,16266,0
2017-05-19,22:00:00,53.91,53.94,53.14,53.55,83097,0
2017-05-22,16:00:00,53.77,53.79,53,53.4821,8160,0
2017-05-22,17:00:00,53.75,54.9,53.59,54.16,23995,0
2017-05-22,18:00:00,54.105,54.105,53.5,53.88,17303,0
2017-05-22,19:00:00,53.805,54.01,53.66,53.86,7883,0
2017-05-22,20:00:00,53.72,53.89,53.5,53.58,6985,0
2017-05-22,21:00:00,53.62,53.66,53.22,53.26,21408,0
2017-05-22,22:00:00,53.2,54.31,52.96,54.13,59207,0
2017-05-23,16:00:00,54.34,54.3562,53.72,54.03,3573,0
2017-05-23,17:00:00,53.95,54.1,52.65,53.295,27599,0
2017-05-23,18:00:00,53.37,54.53,53.22,54.48,16465,0
2017-05-23,19:00:00,54.54,54.55,53.84,53.84,6292,0
2017-05-23,20:00:00,53.81,54.29,53.81,54.18,6095,0
2017-05-23,21:00:00,54.2,54.78,54.02,54.59,126847,0
2017-05-23,22:00:00,54.59,55.445,54.56,55.2,69367,0
2017-05-24,16:00:00,55.31,55.5,54.26,54.26,4286,0
2017-05-24,17:00:00,54.32,55.22,53.73,55.13,53546,0
2017-05-24,18:00:00,55.02,55.5,54.35,54.5,70838,0
2017-05-24,19:00:00,54.615,56.1,54.43,55.5925,43239,0
2017-05-24,20:00:00,55.66,55.685,55.25,55.62,35257,0
2017-05-24,21:00:00,55.54,55.61,55.3,55.525,19801,0
2017-05-24,22:00:00,55.595,55.61,55.05,55.29,67363,0
2017-05-25,16:00:00,55.61,55.9339,54.5701,55.84,20257,0
2017-05-25,17:00:00,55.87,56.21,55.51,55.88,48152,0
2017-05-25,18:00:00,55.77,56.66,55.77,56.05,25011,0
2017-05-25,19:00:00,56.05,56.2,55.71,55.815,15369,0
2017-05-25,20:00:00,55.8,56.28,55.65,56.14,32449,0
2017-05-25,21:00:00,56.19,56.31,55.82,55.84,43066,0
2017-05-25,22:00:00,55.72,56.02,55.39,55.62,103138,0
2017-05-26,16:00:00,55.38,55.54,55.3,55.54,3642,0
2017-05-26,17:00:00,55.37,55.53,55.04,55.4015,17799,0
2017-05-26,18:00:00,55.39,55.7,55,55.08,31695,0
2017-05-26,19:00:00,54.742,54.93,54.23,54.28,12274,0
2017-05-26,20:00:00,54.33,54.42,53,53,26155,0
2017-05-26,21:00:00,53,53.67,52.79,53.43,32571,0
2017-05-26,22:00:00,53.4,53.5,52.87,52.99,70007,0
2017-05-30,16:00:00,53.06,53.495,52.55,52.81,12096,0
2017-05-30,17:00:00,52.81,52.95,52.3,52.34,26559,0
2017-05-30,18:00:00,52.37,52.7,52.24,52.57,19980,0
2017-05-30,19:00:00,52.645,52.74,52.38,52.55,16305,0
2017-05-30,20:00:00,52.58,52.6,51.52,51.72,37313,0
2017-05-30,21:00:00,51.65,51.872,51.61,51.8,12294,0
2017-05-30,22:00:00,51.85,52.09,51.26,51.27,51132,0
2017-05-31,16:00:00,51.67,52.77,49.94,49.974,16678,0
2017-05-31,17:00:00,49.9,50.97,49.63,50.6662,42724,0
