Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-04,16:00:00,2.18,2.18,2.1,2.13,9106,0
2017-05-04,17:00:00,2.1,2.13,2.1,2.12,30847,0
2017-05-04,18:00:00,2.11,2.14,2.1,2.12,5301,0
2017-05-04,19:00:00,2.12,2.12,2.1,2.1,17086,0
2017-05-04,20:00:00,2.12,2.12,2.1,2.1,11325,0
2017-05-04,21:00:00,2.1,2.11,2.1,2.11,8500,0
2017-05-04,22:00:00,2.11,2.12,2.1,2.1,8304,0
2017-05-05,16:00:00,2.1,2.1,2.06,2.0605,3842,0
2017-05-05,17:00:00,2.0799,2.1,2.06,2.06,17952,0
2017-05-05,18:00:00,2.0609,2.1,2.06,2.07,10086,0
2017-05-05,19:00:00,2.06,2.06,2.04,2.06,18497,0
2017-05-05,20:00:00,2.0705,2.09,2.06,2.06,12450,0
2017-05-05,21:00:00,2.06,2.07,2.05,2.07,15847,0
2017-05-05,22:00:00,2.08,2.08,2.06,2.06,12668,0
2017-05-08,16:00:00,2.1,2.1368,2.0958,2.113,26615,0
2017-05-08,17:00:00,2.1132,2.1132,2.07,2.07,19109,0
2017-05-08,18:00:00,2.07,2.08,2.04,2.04,11620,0
2017-05-08,19:00:00,2.04,2.0467,2.04,2.0405,1700,0
2017-05-08,20:00:00,2.0417,2.0469,2.03,2.03,2122,0
2017-05-08,21:00:00,2.04,2.0499,2.03,2.03,11100,0
2017-05-08,22:00:00,2.0301,2.06,2.03,2.06,15458,0
2017-05-09,16:00:00,2.05,2.06,2.03,2.039,3137,0
2017-05-09,17:00:00,2.0403,2.0803,2.03,2.0785,8653,0
2017-05-09,18:00:00,2.07,2.14,2.07,2.08,13200,0
2017-05-09,19:00:00,2.0899,2.0899,2.08,2.08,3230,0
2017-05-09,20:00:00,2.0868,2.0899,2.06,2.0759,6265,0
2017-05-09,21:00:00,2.0786,2.0786,2.06,2.06,900,0
2017-05-09,22:00:00,2.0663,2.08,2.06,2.08,7903,0
2017-05-10,16:00:00,2.11,2.11,2.09,2.09,4095,0
2017-05-10,17:00:00,2.1,2.1734,2.09,2.1734,13769,0
2017-05-10,18:00:00,2.14,2.2464,2.14,2.2,77861,0
2017-05-10,19:00:00,2.1943,2.1999,2.17,2.18,33515,0
2017-05-10,20:00:00,2.186,2.235,2.186,2.2019,66592,0
2017-05-10,21:00:00,2.22,2.22,2.19,2.22,51785,0
2017-05-10,22:00:00,2.2,2.24,2.1742,2.2,74693,0
2017-05-11,16:00:00,2.21,2.23,2.2,2.2,20020,0
2017-05-11,17:00:00,2.2004,2.22,2.1481,2.1481,61672,0
2017-05-11,18:00:00,2.143,2.149,2.11,2.11,19412,0
2017-05-11,19:00:00,2.11,2.16,2.08,2.113,13613,0
2017-05-11,20:00:00,2.12,2.1397,2.1,2.101,14688,0
2017-05-11,21:00:00,2.1088,2.1117,2.08,2.08,11041,0
2017-05-11,22:00:00,2.08,2.14,2.08,2.12,24750,0
