Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,0.83,0.83,0.8,0.8,300,0
2017-05-16,17:00:00,0.81,0.831,0.8,0.8198,70282,0
2017-05-16,18:00:00,0.82,0.831,0.8,0.8,87600,0
2017-05-16,19:00:00,0.8,0.8097,0.79,0.79,117290,0
2017-05-16,20:00:00,0.79,0.79,0.775,0.775,52306,0
2017-05-16,21:00:00,0.775,0.8,0.775,0.7801,22430,0
2017-05-16,22:00:00,0.7801,0.8,0.7801,0.7801,7800,0
2017-05-17,16:00:00,0.78,0.82,0.78,0.8117,3580,0
2017-05-17,17:00:00,0.81,0.82,0.79,0.8099,34820,0
2017-05-17,18:00:00,0.8,0.81,0.8,0.81,2400,0
2017-05-17,19:00:00,0.8098,0.8098,0.8,0.8,3850,0
2017-05-17,20:00:00,0.8,0.8091,0.8,0.8,14182,0
2017-05-17,21:00:00,0.79,0.7993,0.79,0.79,108361,0
2017-05-17,22:00:00,0.781,0.81,0.7726,0.8,23090,0
2017-05-18,16:00:00,0.79,0.79,0.77,0.77,18702,0
2017-05-18,17:00:00,0.81,0.81,0.81,0.81,2999,0
2017-05-18,18:00:00,0.78,0.7801,0.72,0.7487,24109,0
2017-05-18,19:00:00,0.7475,0.7664,0.74,0.7617,6389,0
2017-05-18,20:00:00,0.76,0.7612,0.7303,0.74,14450,0
2017-05-18,21:00:00,0.7402,0.7499,0.73,0.7499,43736,0
2017-05-18,22:00:00,0.732,0.78,0.732,0.7566,17969,0
2017-05-19,16:00:00,0.75,0.75,0.75,0.75,700,0
2017-05-19,17:00:00,0.75,0.75,0.75,0.75,115,0
2017-05-19,18:00:00,0.75,0.77,0.75,0.75,7100,0
2017-05-19,19:00:00,0.7512,0.7512,0.75,0.75,3000,0
2017-05-19,20:00:00,0.75,0.77,0.75,0.7501,12865,0
2017-05-19,21:00:00,0.75,0.7686,0.75,0.7601,1200,0
2017-05-19,22:00:00,0.7682,0.77,0.75,0.77,12380,0
2017-05-22,16:00:00,0.78,0.78,0.72,0.7278,7010,0
2017-05-22,17:00:00,0.7499,0.7499,0.7105,0.738,34958,0
2017-05-22,18:00:00,0.73,0.7301,0.73,0.73,11800,0
2017-05-22,19:00:00,0.73,0.7301,0.73,0.73,8400,0
2017-05-22,20:00:00,0.73,0.7301,0.71,0.72,14579,0
2017-05-22,21:00:00,0.72,0.73,0.7188,0.7201,15487,0
2017-05-22,22:00:00,0.72,0.73,0.6575,0.66,203987,0
2017-05-23,16:00:00,0.61,0.649,0.6,0.6298,117506,0
2017-05-23,17:00:00,0.6021,0.6202,0.58,0.5902,86699,0
2017-05-23,18:00:00,0.6,0.6019,0.5616,0.5721,154866,0
2017-05-23,19:00:00,0.572,0.602,0.57,0.57,52948,0
