Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,14.51,14.63,14.47,14.47,600,0
2017-05-16,17:00:00,14.45,14.55,14.45,14.5,3995,0
2017-05-16,18:00:00,14.48,14.51,14.48,14.5,4300,0
2017-05-16,19:00:00,14.5,14.5,14.39,14.4,6193,0
2017-05-16,20:00:00,14.355,14.37,14.19,14.2,764,0
2017-05-16,21:00:00,14.18,14.35,14.18,14.29,5528,0
2017-05-16,22:00:00,14.32,14.46,14.25,14.44,16975,0
2017-05-17,16:00:00,14.27,14.28,14.02,14.22,3421,0
2017-05-17,17:00:00,14.18,14.32,14.04,14.04,3250,0
2017-05-17,18:00:00,14.05,14.13,13.92,14.09,8300,0
2017-05-17,19:00:00,14.13,14.13,13.96,13.99,2737,0
2017-05-17,20:00:00,14,14.03,13.92,14.02,6445,0
2017-05-17,21:00:00,14,14.05,13.92,14.04,5158,0
2017-05-17,22:00:00,14.09,14.3,14.02,14.11,27396,0
2017-05-18,16:00:00,14.23,14.29,13.97,14.29,3501,0
2017-05-18,17:00:00,14.15,14.18,14,14.105,4900,0
2017-05-18,18:00:00,14.05,14.11,14,14.035,4969,0
2017-05-18,19:00:00,14,14.16,13.94,13.95,16095,0
2017-05-18,20:00:00,13.95,14.02,13.95,14.02,1800,0
2017-05-18,21:00:00,14.0201,14.07,13.96,13.96,2200,0
2017-05-18,22:00:00,14,14,13.85,13.94,12975,0
2017-05-19,16:00:00,13.9,14.14,13.821,14.09,7082,0
2017-05-19,17:00:00,13.94,14.005,13.9,13.9,1200,0
2017-05-19,18:00:00,13.9,13.94,13.8,13.86,3400,0
2017-05-19,19:00:00,13.88,13.94,13.82,13.94,2000,0
2017-05-19,20:00:00,13.88,13.9399,13.85,13.91,3824,0
2017-05-19,21:00:00,13.885,13.96,13.86,13.92,4929,0
2017-05-19,22:00:00,13.92,13.96,13.85,13.93,24235,0
2017-05-22,16:00:00,13.85,14.02,13.78,14.02,990,0
2017-05-22,17:00:00,14.03,14.27,13.989,14.03,6515,0
2017-05-22,18:00:00,14.025,14.07,13.93,13.96,13500,0
2017-05-22,19:00:00,13.91,13.98,13.91,13.93,1720,0
2017-05-22,20:00:00,13.89,13.94,13.84,13.88,1600,0
2017-05-22,21:00:00,13.88,13.95,13.83,13.885,1150,0
2017-05-22,22:00:00,13.88,13.97,13.81,13.94,13670,0
2017-05-23,16:00:00,13.91,14.045,13.69,13.96,1037,0
2017-05-23,17:00:00,14.06,14.06,13.87,13.95,2330,0
2017-05-23,18:00:00,13.98,13.98,13.85,13.945,5451,0
2017-05-23,19:00:00,13.91,13.91,13.79,13.79,800,0
2017-05-23,20:00:00,13.85,13.9,13.77,13.77,1000,0
2017-05-23,21:00:00,13.8,14.21,13.8,14.21,31822,0
2017-05-23,22:00:00,14.15,14.25,14.11,14.12,31089,0
2017-05-24,16:00:00,14.16,14.3,14.13,14.3,2586,0
