Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,16.75,16.75,16.66,16.7,10197,0
2017-05-16,17:00:00,16.7,16.73,16.49,16.49,34082,0
2017-05-16,18:00:00,16.5,16.5,16.43,16.45,4039,0
2017-05-16,19:00:00,16.44,16.5,16.44,16.5,3941,0
2017-05-16,20:00:00,16.48,16.49,16.41,16.43,6576,0
2017-05-16,21:00:00,16.44,16.45,16.365,16.395,9032,0
2017-05-16,22:00:00,16.42,16.51,16.4,16.49,45902,0
2017-05-17,16:00:00,16.31,16.51,16.31,16.43,5571,0
2017-05-17,17:00:00,16.43,16.58,16.41,16.53,7560,0
2017-05-17,18:00:00,16.53,16.67,16.51,16.65,6200,0
2017-05-17,19:00:00,16.68,16.69,16.6,16.62,5791,0
2017-05-17,20:00:00,16.62,16.65,16.54,16.54,6601,0
2017-05-17,21:00:00,16.55,16.68,16.55,16.67,9127,0
2017-05-17,22:00:00,16.656,16.7,16.6,16.62,44714,0
2017-05-18,16:00:00,16.55,16.82,16.41,16.76,31437,0
2017-05-18,17:00:00,16.75,16.785,16.7,16.73,6790,0
2017-05-18,18:00:00,16.72,16.8,16.7,16.77,11944,0
2017-05-18,19:00:00,16.78,16.8,16.65,16.72,6480,0
2017-05-18,20:00:00,16.72,16.74,16.65,16.7001,4232,0
2017-05-18,21:00:00,16.68,16.75,16.68,16.74,5838,0
2017-05-18,22:00:00,16.78,16.78,16.68,16.68,23670,0
2017-05-19,16:00:00,16.74,16.94,16.52,16.835,13089,0
2017-05-19,17:00:00,16.82,16.85,16.72,16.77,10036,0
2017-05-19,18:00:00,16.81,16.85,16.77,16.85,4908,0
2017-05-19,19:00:00,16.84,16.87,16.82,16.87,5964,0
2017-05-19,20:00:00,16.855,16.89,16.83,16.89,6491,0
2017-05-19,21:00:00,16.89,16.95,16.85,16.92,4208,0
2017-05-19,22:00:00,16.94,17,16.86,16.93,57537,0
2017-05-22,16:00:00,16.93,17.07,16.9,17.045,5101,0
2017-05-22,17:00:00,17.06,17.07,16.95,16.97,5300,0
2017-05-22,18:00:00,16.98,17.02,16.92,17,4300,0
2017-05-22,19:00:00,16.99,17.01,16.95,16.95,4357,0
2017-05-22,20:00:00,16.97,17.01,16.96,17,19581,0
2017-05-22,21:00:00,16.99,17.01,16.96,17,7945,0
2017-05-22,22:00:00,16.995,17.01,16.95,16.95,43432,0
2017-05-23,16:00:00,16.95,17.02,16.78,16.82,2784,0
2017-05-23,17:00:00,16.84,16.9,16.79,16.83,7910,0
2017-05-23,18:00:00,16.83,16.86,16.83,16.86,10673,0
2017-05-23,19:00:00,16.855,17.02,16.855,16.99,13201,0
2017-05-23,20:00:00,17.02,17.02,16.92,16.92,4344,0
2017-05-23,21:00:00,16.925,16.955,16.91,16.94,5961,0
2017-05-23,22:00:00,16.94,16.95,16.86,16.88,33676,0
2017-05-24,16:00:00,16.86,16.9372,16.82,16.84,9812,0
2017-05-24,17:00:00,16.845,16.87,16.79,16.805,14092,0
2017-05-24,18:00:00,16.805,16.84,16.76,16.77,11700,0
2017-05-24,19:00:00,16.79,16.79,16.65,16.65,8100,0
2017-05-24,20:00:00,16.64,16.6599,16.54,16.58,7600,0
2017-05-24,21:00:00,16.54,16.59,16.53,16.54,6000,0
2017-05-24,22:00:00,16.53,16.63,16.475,16.57,51329,0
2017-05-25,16:00:00,16.56,16.9075,16.56,16.86,7303,0
2017-05-25,17:00:00,16.87,16.87,16.71,16.72,9487,0
2017-05-25,18:00:00,16.71,16.78,16.6,16.66,13578,0
2017-05-25,19:00:00,16.66,16.76,16.62,16.7,9753,0
2017-05-25,20:00:00,16.68,16.71,16.59,16.62,15834,0
2017-05-25,21:00:00,16.62,16.66,16.54,16.57,6167,0
2017-05-25,22:00:00,16.59,16.79,16.59,16.71,37177,0
