Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-09-01,16:00:00,8.2,8.2,8.2,8.2,20,0
2016-09-01,17:00:00,8.15,8.15,8.15,8.15,200,0
2016-09-01,18:00:00,8.1,8.1,8.1,8.1,100,0
2016-09-01,19:00:00,8.2,8.2,8.17,8.2,800,0
2016-09-01,22:00:00,8.14,8.2,8.1,8.2,220,0
2016-09-02,16:00:00,8.2,8.2,8.2,8.2,33,0
2016-09-02,18:00:00,8.1,8.2,8,8.2,960,0
2016-09-02,22:00:00,8.25,8.25,8.25,8.25,120,0
2016-09-06,16:00:00,8,8.183,8,8.183,40,0
2016-09-06,17:00:00,8.2,8.2,8.05,8.2,718,0
2016-09-06,18:00:00,8.175,8.25,8.175,8.25,380,0
2016-09-06,19:00:00,8.25,8.25,8.1,8.1075,1360,0
2016-09-06,20:00:00,8.25,8.25,8.15,8.15,500,0
2016-09-06,21:00:00,8.2,8.25,8.15,8.25,100,0
2016-09-06,22:00:00,8.25,8.25,8.1,8.1,1045,0
2016-09-07,16:00:00,8.157,8.157,8.157,8.157,20,0
2016-09-07,17:00:00,8.25,8.25,8.25,8.25,140,0
2016-09-07,18:00:00,8.25,8.25,8.25,8.25,1557,0
2016-09-07,19:00:00,8.25,8.25,8.25,8.25,100,0
2016-09-07,20:00:00,8.25,8.25,8.25,8.25,140,0
2016-09-07,21:00:00,8.25,8.25,8.1,8.25,660,0
2016-09-07,22:00:00,8.25,8.25,8.1,8.1,1915,0
2016-09-08,16:00:00,8.2,8.2,8.2,8.2,40,0
2016-09-08,17:00:00,8.25,8.25,8.25,8.25,200,0
2016-09-08,18:00:00,8.0505,8.25,8.0505,8.25,1020,0
2016-09-08,19:00:00,8.25,8.25,8.25,8.25,120,0
2016-09-08,20:00:00,8.25,8.25,8.2235,8.2235,139,0
2016-09-08,21:00:00,8.25,8.25,8.25,8.25,200,0
2016-09-08,22:00:00,8.25,8.25,8.2495,8.25,440,0
2016-09-09,17:00:00,8.1505,8.25,8.15,8.25,2040,0
2016-09-09,21:00:00,8.21,8.25,8.21,8.25,257,0
2016-09-09,22:00:00,8.2,8.2,8.2,8.2,40,0
2016-09-12,16:00:00,8.25,8.25,8.2125,8.2125,1000,0
2016-09-12,17:00:00,8.2,8.2065,8.2,8.2065,140,0
2016-09-12,18:00:00,8.225,8.225,8.2,8.2,200,0
2016-09-12,19:00:00,8.15,8.15,8.15,8.15,20,0
2016-09-12,22:00:00,8.15,8.2,8.05,8.05,1018,0
2016-09-13,16:00:00,8.248,8.25,8.22,8.25,2621,0
2016-09-13,18:00:00,8.235,8.25,8.235,8.25,620,0
2016-09-13,19:00:00,8.175,8.175,8.175,8.175,20,0
2016-09-13,20:00:00,8.1735,8.25,8.1735,8.25,620,0
2016-09-13,21:00:00,8.25,8.275,8.2,8.2,2240,0
2016-09-13,22:00:00,8.2,8.2,8.2,8.2,218,0
2016-09-14,17:00:00,8.09,8.15,8.09,8.15,520,0
2016-09-14,18:00:00,8.125,8.15,8.1,8.15,260,0
2016-09-14,19:00:00,8.15,8.15,8.15,8.15,60,0
2016-09-14,20:00:00,8.15,8.25,8.15,8.2,640,0
2016-09-14,22:00:00,8.2,8.25,8.15,8.2,380,0
2016-09-15,16:00:00,8.25,8.25,8.25,8.25,140,0
2016-09-15,17:00:00,8.2,8.25,8.2,8.25,380,0
2016-09-15,18:00:00,8.25,8.25,8.1,8.1,3860,0
2016-09-15,19:00:00,8.25,8.25,8.25,8.25,300,0
2016-09-15,20:00:00,8.2,8.2,8.15,8.15,40,0
2016-09-15,21:00:00,8.05,8.05,8.05,8.05,20,0
2016-09-15,22:00:00,8.1495,8.15,8.1,8.15,540,0
