Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-09,16:00:00,1.35,1.35,1.3,1.3,2916,0
2017-05-09,17:00:00,1.35,1.35,1.35,1.35,200,0
2017-05-09,18:00:00,1.35,1.35,1.325,1.3295,1600,0
2017-05-09,19:00:00,1.325,1.35,1.3,1.325,3801,0
2017-05-09,20:00:00,1.325,1.325,1.3,1.3,30056,0
2017-05-09,21:00:00,1.35,1.35,1.35,1.35,100,0
2017-05-09,22:00:00,1.35,1.35,1.3,1.3,2400,0
2017-05-10,16:00:00,1.85,1.95,1.65,1.725,1728701,0
2017-05-10,17:00:00,1.725,1.8,1.65,1.729,587336,0
2017-05-10,18:00:00,1.725,1.8,1.675,1.7,408002,0
2017-05-10,19:00:00,1.7,1.75,1.65,1.675,249900,0
2017-05-10,20:00:00,1.675,1.75,1.675,1.7,122330,0
2017-05-10,21:00:00,1.75,1.75,1.7,1.725,104336,0
2017-05-10,22:00:00,1.7,1.75,1.545,1.6,552250,0
2017-05-11,16:00:00,1.6,1.65,1.455,1.6,214198,0
2017-05-11,17:00:00,1.6,1.625,1.5,1.525,204685,0
2017-05-11,18:00:00,1.525,1.55,1.5,1.525,33801,0
2017-05-11,19:00:00,1.525,1.55,1.5,1.5247,10393,0
2017-05-11,20:00:00,1.525,1.55,1.5,1.525,7564,0
2017-05-11,21:00:00,1.525,1.55,1.5,1.5,91181,0
2017-05-11,22:00:00,1.525,1.525,1.4,1.45,253823,0
2017-05-12,16:00:00,1.5,1.55,1.45,1.5,67662,0
2017-05-12,17:00:00,1.525,1.55,1.45,1.475,105442,0
2017-05-12,18:00:00,1.475,1.525,1.425,1.45,53654,0
2017-05-12,19:00:00,1.45,1.5,1.4,1.45,20667,0
2017-05-12,20:00:00,1.47,1.49,1.47,1.49,23800,0
2017-05-12,21:00:00,1.455,1.5,1.45,1.45,22562,0
2017-05-12,22:00:00,1.45,1.51,1.4,1.45,79199,0
2017-05-15,16:00:00,1.45,1.5,1.4,1.425,26540,0
2017-05-15,17:00:00,1.425,1.445,1.35,1.4,125661,0
2017-05-15,18:00:00,1.375,1.45,1.35,1.45,22872,0
2017-05-15,19:00:00,1.4254,1.45,1.4,1.425,6528,0
2017-05-15,20:00:00,1.425,1.45,1.4,1.4277,2275,0
2017-05-15,21:00:00,1.425,1.425,1.4,1.4,5043,0
2017-05-15,22:00:00,1.4,1.4,1.35,1.375,56117,0
2017-05-16,16:00:00,1.35,1.45,1.35,1.4,149663,0
2017-05-16,17:00:00,1.425,1.425,1.35,1.375,61170,0
2017-05-16,18:00:00,1.35,1.4,1.35,1.4,7100,0
2017-05-16,19:00:00,1.35,1.4,1.35,1.4,11597,0
2017-05-16,20:00:00,1.375,1.4,1.318,1.345,177167,0
2017-05-16,21:00:00,1.34,1.35,1.3247,1.35,5800,0
2017-05-16,22:00:00,1.325,1.35,1.3,1.35,36211,0
2017-05-17,16:00:00,1.3,1.4,1.3,1.375,11272,0
2017-05-17,17:00:00,1.35,1.35,1.3,1.325,30976,0
2017-05-17,18:00:00,1.3,1.35,1.25,1.35,59634,0
2017-05-17,19:00:00,1.3,1.35,1.25,1.325,18200,0
2017-05-17,20:00:00,1.3289,1.3289,1.325,1.325,2300,0
2017-05-17,21:00:00,1.325,1.325,1.3,1.325,51955,0
2017-05-17,22:00:00,1.325,1.35,1.275,1.35,66933,0
2017-05-18,16:00:00,1.3,1.4,1.3,1.35,10657,0
2017-05-18,17:00:00,1.3436,1.35,1.325,1.35,1700,0
2017-05-18,18:00:00,1.35,1.35,1.35,1.35,100,0
2017-05-18,19:00:00,1.325,1.35,1.325,1.35,3456,0
2017-05-18,20:00:00,1.3253,1.35,1.3,1.3,709,0
2017-05-18,21:00:00,1.35,1.35,1.3,1.3,2790,0
2017-05-18,22:00:00,1.325,1.35,1.325,1.325,13372,0
2017-05-19,16:00:00,1.35,1.35,1.3,1.35,5772,0
2017-05-19,17:00:00,1.325,1.4,1.325,1.4,42484,0
2017-05-19,18:00:00,1.375,1.4,1.375,1.4,1900,0
2017-05-19,19:00:00,1.375,1.4,1.355,1.4,35825,0
2017-05-19,20:00:00,1.375,1.4,1.3695,1.4,1755,0
2017-05-19,21:00:00,1.4,1.4,1.35,1.375,21952,0
2017-05-19,22:00:00,1.375,1.4,1.325,1.35,26783,0
2017-05-22,16:00:00,1.35,1.4,1.3,1.35,11378,0
2017-05-22,17:00:00,1.35,1.35,1.325,1.35,600,0
2017-05-22,18:00:00,1.3,1.35,1.3,1.325,27100,0
2017-05-22,19:00:00,1.325,1.35,1.3237,1.35,1900,0
2017-05-22,20:00:00,1.35,1.35,1.35,1.35,200,0
2017-05-22,21:00:00,1.35,1.35,1.3,1.35,11816,0
2017-05-22,22:00:00,1.325,1.35,1.3,1.35,9509,0
2017-05-23,16:00:00,1.3,1.325,1.25,1.25,53343,0
2017-05-23,17:00:00,1.2788,1.3,1.25,1.25,8644,0
2017-05-23,18:00:00,1.2731,1.3,1.26,1.3,7328,0
2017-05-23,19:00:00,1.3,1.3,1.2731,1.3,6892,0
2017-05-23,20:00:00,1.275,1.3,1.275,1.3,6660,0
2017-05-23,21:00:00,1.3,1.3,1.2748,1.3,17925,0
2017-05-23,22:00:00,1.3,1.3,1.25,1.3,17271,0
2017-05-24,16:00:00,1.3,1.3,1.25,1.3,10199,0
2017-05-24,17:00:00,1.3,1.3,1.25,1.3,7230,0
2017-05-24,18:00:00,1.3,1.3,1.275,1.3,6285,0
2017-05-24,19:00:00,1.3,1.3,1.2562,1.3,846,0
2017-05-24,20:00:00,1.3,1.3,1.275,1.3,10691,0
2017-05-24,21:00:00,1.3,1.3,1.3,1.3,200,0
2017-05-24,22:00:00,1.3,1.3,1.25,1.3,7157,0
2017-05-25,16:00:00,1.3,1.3,1.25,1.275,11902,0
2017-05-25,17:00:00,1.275,1.3,1.25,1.2752,14592,0
2017-05-25,18:00:00,1.275,1.2825,1.25,1.2769,12200,0
2017-05-25,19:00:00,1.275,1.275,1.25,1.275,17386,0
2017-05-25,20:00:00,1.25,1.275,1.25,1.275,4625,0
2017-05-25,21:00:00,1.275,1.29,1.25,1.25,32713,0
2017-05-25,22:00:00,1.275,1.3,1.25,1.3,5954,0
2017-05-26,16:00:00,1.25,1.2763,1.25,1.25,7587,0
2017-05-26,17:00:00,1.25,1.295,1.24,1.24,16220,0
2017-05-26,18:00:00,1.25,1.3,1.25,1.25,12662,0
2017-05-26,19:00:00,1.275,1.275,1.275,1.275,300,0
2017-05-26,20:00:00,1.2562,1.275,1.25,1.26,10298,0
2017-05-26,21:00:00,1.275,1.3,1.2,1.225,34336,0
2017-05-26,22:00:00,1.225,1.25,1.2,1.25,41250,0
2017-05-30,16:00:00,1.25,1.25,1.2,1.2,15364,0
2017-05-30,17:00:00,1.225,1.225,1.15,1.155,15969,0
2017-05-30,18:00:00,1.15,1.2,1.15,1.2,14975,0
2017-05-30,19:00:00,1.15,1.2,1.15,1.175,22882,0
2017-05-30,20:00:00,1.175,1.2,1.15,1.2,14512,0
2017-05-30,21:00:00,1.2,1.2,1.15,1.2,5010,0
2017-05-30,22:00:00,1.2,1.2,1.15,1.2,7476,0
2017-05-31,16:00:00,1.2,1.2,1.15,1.15,10140,0
2017-05-31,17:00:00,1.155,1.2,1.155,1.2,5791,0
2017-05-31,18:00:00,1.15,1.19,1.15,1.16,12228,0
2017-05-31,19:00:00,1.15,1.175,1.15,1.15,10515,0
2017-05-31,20:00:00,1.15,1.175,1.15,1.15,8051,0
2017-05-31,21:00:00,1.15,1.175,1.15,1.175,18607,0
2017-05-31,22:00:00,1.15,1.2,1.11,1.2,8786,0
2017-06-01,16:00:00,1.15,1.2,1.1,1.2,3597,0
2017-06-01,17:00:00,1.15,1.2,1.15,1.175,9870,0
2017-06-01,18:00:00,1.15,1.175,1.15,1.175,900,0
2017-06-01,19:00:00,1.175,1.175,1.175,1.175,600,0
2017-06-01,20:00:00,1.15,1.2,1.125,1.15,17618,0
2017-06-01,21:00:00,1.175,1.175,1.15,1.175,6300,0
2017-06-01,22:00:00,1.15,1.2,1.15,1.15,8553,0
2017-06-02,16:00:00,1.2,1.25,1.155,1.225,27344,0
2017-06-02,17:00:00,1.225,1.3,1.2,1.25,9782,0
2017-06-02,18:00:00,1.25,1.3,1.25,1.25,8452,0
2017-06-02,19:00:00,1.275,1.3,1.25,1.25,5397,0
2017-06-02,20:00:00,1.25,1.25,1.2238,1.25,4900,0
2017-06-02,21:00:00,1.25,1.25,1.225,1.2256,5320,0
2017-06-02,22:00:00,1.25,1.25,1.2,1.25,4270,0
2017-06-05,16:00:00,1.2,1.2737,1.2,1.25,12467,0
2017-06-05,17:00:00,1.275,1.3,1.25,1.26,3055,0
2017-06-05,18:00:00,1.25,1.3,1.25,1.29,7766,0
2017-06-05,20:00:00,1.3,1.3,1.275,1.3,535,0
2017-06-05,21:00:00,1.275,1.2763,1.25,1.275,2900,0
2017-06-05,22:00:00,1.25,1.275,1.25,1.25,11729,0
2017-06-06,16:00:00,1.25,1.25,1.225,1.25,20845,0
2017-06-06,17:00:00,1.25,1.25,1.25,1.25,8000,0
2017-06-06,18:00:00,1.25,1.3,1.2,1.275,20576,0
2017-06-06,19:00:00,1.275,1.275,1.25,1.25,1614,0
2017-06-06,20:00:00,1.25,1.3,1.25,1.25,3264,0
2017-06-06,21:00:00,1.275,1.3,1.25,1.25,4700,0
2017-06-06,22:00:00,1.25,1.3,1.25,1.25,16864,0
2017-06-07,16:00:00,1.2,1.3,1.2,1.25,2737,0
2017-06-07,17:00:00,1.275,1.3,1.2731,1.3,1200,0
2017-06-07,18:00:00,1.3,1.3,1.2811,1.2811,400,0
2017-06-07,19:00:00,1.3,1.3,1.263,1.2769,3878,0
2017-06-07,20:00:00,1.275,1.3,1.275,1.3,225,0
2017-06-07,21:00:00,1.25,1.3,1.25,1.275,300,0
2017-06-07,22:00:00,1.25,1.3,1.25,1.3,27998,0
2017-06-08,16:00:00,1.25,1.3,1.25,1.275,3001,0
2017-06-08,17:00:00,1.3,1.3,1.25,1.25,1323,0
2017-06-08,18:00:00,1.255,1.3,1.255,1.3,600,0
2017-06-08,19:00:00,1.275,1.275,1.275,1.275,100,0
2017-06-08,21:00:00,1.255,1.3,1.25,1.25,21656,0
2017-06-08,22:00:00,1.225,1.3,1.2,1.25,4706,0
2017-06-09,16:00:00,1.3,1.3,1.233,1.233,1800,0
2017-06-09,17:00:00,1.3,1.3,1.22,1.24,1400,0
2017-06-09,18:00:00,1.3,1.3,1.275,1.275,2069,0
2017-06-09,19:00:00,1.275,1.275,1.275,1.275,348,0
