Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,0.4401,0.45,0.401,0.406,1355474,0
2017-05-16,17:00:00,0.406,0.45,0.4014,0.45,864431,0
2017-05-16,18:00:00,0.4482,0.457,0.4301,0.442,415516,0
2017-05-16,19:00:00,0.4421,0.4466,0.435,0.4356,152627,0
2017-05-16,20:00:00,0.4356,0.4394,0.4211,0.43535,306962,0
2017-05-16,21:00:00,0.4352,0.4394,0.4254,0.4256,123067,0
2017-05-16,22:00:00,0.4256,0.4298,0.41,0.41,245851,0
2017-05-17,16:00:00,0.418,0.418,0.41,0.4153,133597,0
2017-05-17,17:00:00,0.415404,0.418,0.41,0.41,202289,0
2017-05-17,18:00:00,0.4101,0.4259,0.4,0.4001,340270,0
2017-05-17,19:00:00,0.4,0.408,0.4,0.407,336012,0
2017-05-17,20:00:00,0.407,0.4071,0.4001,0.4032,139021,0
2017-05-17,21:00:00,0.4035,0.407,0.4004,0.401,96979,0
2017-05-17,22:00:00,0.4011,0.4061,0.4,0.4051,248869,0
2017-05-18,16:00:00,0.4,0.4001,0.3899,0.392,330438,0
2017-05-18,17:00:00,0.3955,0.3987,0.372,0.377,889212,0
2017-05-18,18:00:00,0.377,0.379,0.372,0.374,456043,0
2017-05-18,19:00:00,0.374,0.3838,0.3731,0.378,185089,0
2017-05-18,20:00:00,0.378,0.38,0.373,0.376,144205,0
2017-05-18,21:00:00,0.3761,0.3798,0.3731,0.378,289071,0
2017-05-18,22:00:00,0.3781,0.39,0.378,0.3811,387696,0
2017-05-19,16:00:00,0.38,0.395,0.3751,0.395,219161,0
2017-05-19,17:00:00,0.3831,0.4065,0.3831,0.4,530288,0
2017-05-19,18:00:00,0.4,0.4067,0.4,0.4028,226152,0
2017-05-19,19:00:00,0.4028,0.4067,0.4002,0.401,124848,0
2017-05-19,20:00:00,0.4011,0.4011,0.4001,0.4006,37639,0
2017-05-19,21:00:00,0.401,0.4055,0.4005,0.4007,38899,0
2017-05-19,22:00:00,0.4007,0.42,0.4,0.42,434162,0
2017-05-22,16:00:00,0.425,0.425,0.3832,0.4042,497604,0
2017-05-22,17:00:00,0.4007,0.4045,0.3926,0.3999,166418,0
2017-05-22,18:00:00,0.3999,0.405,0.398,0.401,145496,0
2017-05-22,19:00:00,0.401,0.404,0.395,0.3952,84772,0
2017-05-22,20:00:00,0.3952,0.3991,0.395,0.3956,83338,0
2017-05-22,21:00:00,0.3955,0.398,0.3902,0.394,86978,0
2017-05-22,22:00:00,0.3973,0.3984,0.392,0.3984,57801,0
2017-05-23,16:00:00,0.395,0.3958,0.3815,0.395,233739,0
