Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,2.4,2.4465,2.39,2.392,31308,0
2017-05-16,17:00:00,2.4,2.4164,2.35,2.39,49998,0
2017-05-16,18:00:00,2.37,2.4,2.35,2.36,56212,0
2017-05-16,19:00:00,2.35,2.3788,2.32,2.3587,80417,0
2017-05-16,20:00:00,2.34,2.3575,2.3321,2.3391,13651,0
2017-05-16,21:00:00,2.33,2.344,2.25,2.31,114467,0
2017-05-16,22:00:00,2.31,2.35,2.31,2.33,59258,0
2017-05-17,16:00:00,2.3,2.37,2.28,2.33,46369,0
2017-05-17,17:00:00,2.33,2.68,2.33,2.51,906287,0
2017-05-17,18:00:00,2.51,2.59,2.4832,2.55,151606,0
2017-05-17,19:00:00,2.53,2.86,2.52,2.8339,1373472,0
2017-05-17,20:00:00,2.8427,2.88,2.7,2.75,1166496,0
2017-05-17,21:00:00,2.74,2.82,2.72,2.78,360036,0
2017-05-17,22:00:00,2.78,2.94,2.73,2.77,1417643,0
2017-05-18,16:00:00,2.84,2.92,2.67,2.8261,694721,0
2017-05-18,17:00:00,2.83,3.15,2.79,3.1297,1752181,0
2017-05-18,18:00:00,3.15,3.18,2.8721,2.99,1316309,0
2017-05-18,19:00:00,2.99,2.99,2.82,2.94,423300,0
2017-05-18,20:00:00,2.9199,2.95,2.87,2.94,80084,0
2017-05-18,21:00:00,2.9363,2.95,2.82,2.8652,129915,0
2017-05-18,22:00:00,2.86,2.89,2.75,2.7858,310206,0
2017-05-19,16:00:00,2.77,2.81,2.66,2.7098,255400,0
2017-05-19,17:00:00,2.7086,2.88,2.69,2.76,216423,0
2017-05-19,18:00:00,2.752,2.81,2.752,2.774,59972,0
2017-05-19,19:00:00,2.7693,2.79,2.75,2.75,48107,0
2017-05-19,20:00:00,2.7401,2.75,2.69,2.7,125196,0
2017-05-19,21:00:00,2.71,2.8,2.71,2.78,87733,0
2017-05-19,22:00:00,2.7701,2.78,2.7338,2.76,93757,0
2017-05-22,16:00:00,2.79,2.96,2.72,2.8757,264527,0
2017-05-22,17:00:00,2.86,2.88,2.78,2.81,169054,0
2017-05-22,18:00:00,2.8131,2.8131,2.78,2.7854,63537,0
2017-05-22,19:00:00,2.7986,2.81,2.74,2.789,51295,0
2017-05-22,20:00:00,2.7501,2.79,2.7,2.72,62560,0
2017-05-22,21:00:00,2.72,2.76,2.72,2.756,24120,0
2017-05-22,22:00:00,2.76,2.7684,2.72,2.74,86395,0
2017-05-23,16:00:00,2.78,2.84,2.72,2.7759,75426,0
2017-05-23,17:00:00,2.78,2.78,2.73,2.75,26374,0
2017-05-23,18:00:00,2.74,2.7717,2.74,2.7494,23366,0
2017-05-23,19:00:00,2.745,2.77,2.72,2.77,16513,0
2017-05-23,20:00:00,2.76,2.76,2.72,2.728,19179,0
2017-05-23,21:00:00,2.7299,2.75,2.72,2.744,16740,0
2017-05-23,22:00:00,2.745,2.75,2.74,2.74,21114,0
2017-05-24,16:00:00,2.76,2.8,2.681,2.711,98959,0
2017-05-24,17:00:00,2.73,2.8,2.7,2.77,86924,0
2017-05-24,18:00:00,2.77,2.78,2.7,2.77,31200,0
2017-05-24,19:00:00,2.77,2.86,2.74,2.86,119668,0
2017-05-24,20:00:00,2.8498,2.86,2.79,2.81,82858,0
2017-05-24,21:00:00,2.81,3,2.8,2.92,365539,0
2017-05-24,22:00:00,2.9161,2.92,2.826,2.83,127282,0
2017-05-25,16:00:00,2.88,2.9,2.8,2.8,64484,0
2017-05-25,17:00:00,2.82,2.85,2.78,2.78,54370,0
2017-05-25,18:00:00,2.79,2.83,2.75,2.83,63904,0
2017-05-25,19:00:00,2.83,2.83,2.8,2.82,12571,0
2017-05-25,20:00:00,2.82,2.82,2.78,2.7801,19662,0
2017-05-25,21:00:00,2.81,2.85,2.77,2.81,60763,0
2017-05-25,22:00:00,2.8,2.82,2.77,2.781,36631,0
2017-05-26,16:00:00,2.78,2.819,2.77,2.79,15681,0
2017-05-26,17:00:00,2.77,2.7717,2.571,2.65,138092,0
2017-05-26,18:00:00,2.65,2.71,2.6414,2.6959,41880,0
2017-05-26,19:00:00,2.6906,2.7,2.67,2.67,17348,0
2017-05-26,20:00:00,2.67,2.671,2.62,2.65,50311,0
2017-05-26,21:00:00,2.65,2.66,2.64,2.66,22316,0
2017-05-26,22:00:00,2.6493,2.66,2.64,2.6447,23814,0
2017-05-30,16:00:00,2.64,2.7,2.64,2.69,37662,0
2017-05-30,17:00:00,2.65,2.68,2.58,2.66,53703,0
2017-05-30,18:00:00,2.6563,2.6563,2.58,2.58,22367,0
2017-05-30,19:00:00,2.58,2.62,2.57,2.614,9004,0
2017-05-30,20:00:00,2.615,2.6174,2.58,2.6032,39765,0
2017-05-30,21:00:00,2.6,2.62,2.58,2.62,32722,0
2017-05-30,22:00:00,2.6,2.62,2.58,2.59,21564,0
2017-05-31,16:00:00,2.62,2.6263,2.5,2.56,45343,0
2017-05-31,17:00:00,2.5761,2.6,2.51,2.53,34940,0
2017-05-31,18:00:00,2.55,2.63,2.5248,2.6299,24679,0
2017-05-31,19:00:00,2.6066,2.6066,2.5514,2.5514,8288,0
2017-05-31,20:00:00,2.554,2.56,2.5182,2.5262,16283,0
2017-05-31,21:00:00,2.53,2.6,2.5201,2.55,19923,0
2017-05-31,22:00:00,2.5539,2.6,2.53,2.54,20452,0
2017-06-01,16:00:00,2.52,2.62,2.51,2.53,5541,0
2017-06-01,17:00:00,2.53,2.54,2.5138,2.5274,15277,0
2017-06-01,18:00:00,2.52,2.55,2.5,2.54,27975,0
2017-06-01,19:00:00,2.55,2.6185,2.54,2.55,21297,0
2017-06-01,20:00:00,2.58,2.6001,2.55,2.579,30493,0
2017-06-01,21:00:00,2.59,2.59,2.55,2.55,12895,0
2017-06-01,22:00:00,2.56,2.59,2.55,2.56,27292,0
2017-06-02,16:00:00,2.59,2.64,2.5593,2.583,7988,0
2017-06-02,17:00:00,2.6,2.63,2.6,2.62,11184,0
2017-06-02,18:00:00,2.65,2.7,2.615,2.69,43222,0
2017-06-02,19:00:00,2.69,2.7,2.65,2.6689,7170,0
2017-06-02,20:00:00,2.652,2.67,2.65,2.654,7973,0
2017-06-02,21:00:00,2.665,2.675,2.6572,2.675,3717,0
2017-06-02,22:00:00,2.68,2.6911,2.64,2.66,34481,0
2017-06-05,16:00:00,2.65,2.6672,2.5849,2.5849,9609,0
2017-06-05,17:00:00,2.5849,2.68,2.58,2.68,41382,0
2017-06-05,18:00:00,2.65,2.654,2.6003,2.61,18658,0
2017-06-05,19:00:00,2.61,2.65,2.6,2.6316,11570,0
2017-06-05,20:00:00,2.6184,2.65,2.5,2.6258,41411,0
2017-06-05,21:00:00,2.628,2.628,2.61,2.61,1861,0
2017-06-05,22:00:00,2.62,2.63,2.6,2.6,6785,0
2017-06-06,16:00:00,2.6,2.6,2.56,2.5752,13518,0
2017-06-06,17:00:00,2.6,2.6,2.57,2.5735,12357,0
2017-06-06,18:00:00,2.575,2.58,2.53,2.5301,26716,0
2017-06-06,19:00:00,2.5362,2.56,2.53,2.5311,6672,0
2017-06-06,20:00:00,2.536,2.54,2.53,2.5352,9720,0
2017-06-06,21:00:00,2.53,2.55,2.51,2.55,40044,0
2017-06-06,22:00:00,2.5272,2.5499,2.52,2.5499,19271,0
2017-06-07,16:00:00,2.56,2.56,2.51,2.5464,12247,0
2017-06-07,17:00:00,2.52,2.56,2.51,2.5495,19574,0
2017-06-07,18:00:00,2.5428,2.58,2.54,2.56,19916,0
2017-06-07,19:00:00,2.59,2.59,2.53,2.5462,18532,0
2017-06-07,20:00:00,2.5404,2.64,2.5404,2.6274,148800,0
2017-06-07,21:00:00,2.631,2.6383,2.56,2.5801,21990,0
2017-06-07,22:00:00,2.58,2.62,2.5526,2.56,61845,0
2017-06-08,16:00:00,2.59,2.62,2.5649,2.61,11230,0
2017-06-08,17:00:00,2.6,2.63,2.55,2.55,19939,0
2017-06-08,18:00:00,2.57,2.6,2.55,2.6,26174,0
2017-06-08,19:00:00,2.6,2.63,2.6,2.6217,15472,0
2017-06-08,20:00:00,2.6101,2.63,2.58,2.62,13738,0
2017-06-08,21:00:00,2.63,2.63,2.59,2.61,3900,0
2017-06-08,22:00:00,2.61,2.61,2.59,2.6,21686,0
2017-06-09,16:00:00,2.6,2.6,2.561,2.57,17476,0
2017-06-09,17:00:00,2.5961,2.65,2.56,2.64,38784,0
2017-06-09,18:00:00,2.65,2.7149,2.631,2.66,112696,0
2017-06-09,19:00:00,2.683,2.7,2.66,2.668,43095,0
2017-06-09,20:00:00,2.67,2.69,2.61,2.63,29601,0
2017-06-09,21:00:00,2.64,2.65,2.6,2.612,23045,0
2017-06-09,22:00:00,2.61,2.65,2.6039,2.63,29089,0
2017-06-12,16:00:00,2.7,2.7,2.57,2.6,9012,0
2017-06-12,17:00:00,2.6,2.65,2.54,2.55,46345,0
2017-06-12,18:00:00,2.55,2.58,2.51,2.5295,54214,0
2017-06-12,19:00:00,2.52,2.54,2.51,2.51,11584,0
2017-06-12,20:00:00,2.52,2.56,2.52,2.56,21699,0
2017-06-12,21:00:00,2.5556,2.57,2.54,2.56,10169,0
2017-06-12,22:00:00,2.5501,2.5501,2.52,2.52,23976,0
2017-06-13,16:00:00,2.7,2.73,2.53,2.5861,434763,0
2017-06-13,17:00:00,2.59,2.64,2.52,2.52,180854,0
2017-06-13,18:00:00,2.52,2.5235,2.32,2.45,241077,0
2017-06-13,19:00:00,2.4524,2.46,2.45,2.4599,20652,0
2017-06-13,20:00:00,2.455,2.455,2.4,2.4249,92369,0
2017-06-13,21:00:00,2.429,2.43,2.41,2.41,36080,0
2017-06-13,22:00:00,2.41,2.42,2.39,2.39,121238,0
2017-06-14,16:00:00,2.42,2.48,2.411,2.4601,46617,0
2017-06-14,17:00:00,2.4698,2.47,2.39,2.39,94786,0
2017-06-14,18:00:00,2.41,2.41,2.39,2.4036,16361,0
2017-06-14,19:00:00,2.4001,2.54,2.39,2.471,75790,0
2017-06-14,20:00:00,2.48,2.5186,2.46,2.4802,25575,0
2017-06-14,21:00:00,2.497,2.497,2.47,2.49,30352,0
2017-06-14,22:00:00,2.471,2.48,2.46,2.46,30072,0
2017-06-15,16:00:00,2.46,2.52,2.46,2.486,33639,0
2017-06-15,17:00:00,2.47,2.49,2.46,2.47,28912,0
2017-06-15,18:00:00,2.47,2.48,2.46,2.4601,21257,0
2017-06-15,19:00:00,2.469,2.47,2.46,2.47,22530,0
2017-06-15,20:00:00,2.4637,2.4789,2.46,2.46,26918,0
2017-06-15,21:00:00,2.46,2.48,2.46,2.4661,12394,0
2017-06-15,22:00:00,2.4616,2.4707,2.42,2.42,24664,0
2017-06-16,16:00:00,2.43,2.4492,2.4,2.44,35979,0
2017-06-16,17:00:00,2.43,2.47,2.4,2.41,37017,0
2017-06-16,18:00:00,2.41,2.43,2.4,2.4163,13907,0
2017-06-16,19:00:00,2.4137,2.45,2.4,2.41,28944,0
2017-06-16,20:00:00,2.41,2.42,2.4,2.4161,25085,0
2017-06-16,21:00:00,2.4099,2.42,2.4,2.4,33280,0
2017-06-16,22:00:00,2.4001,2.42,2.4,2.4,29344,0
2017-06-19,16:00:00,2.43,2.4499,2.4,2.4,13502,0
2017-06-19,17:00:00,2.41,2.43,2.4,2.4092,40415,0
2017-06-19,18:00:00,2.4013,2.4073,2.37,2.3724,30982,0
2017-06-19,19:00:00,2.375,2.39,2.35,2.38,23639,0
2017-06-19,20:00:00,2.37,2.39,2.36,2.39,25241,0
2017-06-19,21:00:00,2.3863,2.39,2.3792,2.3792,8617,0
2017-06-19,22:00:00,2.3746,2.41,2.37,2.4,14665,0
2017-06-20,16:00:00,2.4,2.4036,2.35,2.36,33601,0
2017-06-20,17:00:00,2.35,2.37,2.35,2.3636,20460,0
2017-06-20,18:00:00,2.37,2.399,2.3614,2.37,8395,0
2017-06-20,19:00:00,2.37,2.4,2.37,2.38,25809,0
2017-06-20,20:00:00,2.381,2.3812,2.37,2.3742,19434,0
2017-06-20,21:00:00,2.375,2.41,2.37,2.41,10317,0
2017-06-20,22:00:00,2.41,2.45,2.402,2.45,27808,0
2017-06-21,16:00:00,2.41,2.4354,2.37,2.4155,19934,0
2017-06-21,17:00:00,2.398,2.4083,2.37,2.3836,43445,0
2017-06-21,18:00:00,2.39,2.39,2.3724,2.39,15841,0
