Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-07-27,16:00:00,23.413,23.413,23.173,23.243,131767,0
2017-07-27,17:00:00,23.223,23.223,23.074,23.104,24638,0
2017-07-27,18:00:00,23.084,23.172,22.974,23.064,28157,0
2017-07-27,19:00:00,23.054,23.078,22.924,22.974,108530,0
2017-07-27,20:00:00,22.924,23.109,22.924,22.954,64983,0
2017-07-27,21:00:00,22.964,23.074,22.924,22.934,24339,0
2017-07-27,22:00:00,22.924,22.992,22.924,22.934,93558,0
2017-07-28,16:00:00,22.944,23.024,22.924,23.024,9780,0
2017-07-28,17:00:00,22.935,23.153,22.935,23.029,1104,0
2017-07-28,18:00:00,22.984,23.104,22.984,23.054,6421,0
2017-07-28,19:00:00,23.074,23.074,23.024,23.074,13637,0
2017-07-28,20:00:00,23.069,23.163,23.066,23.094,11257,0
2017-07-28,21:00:00,23.104,23.286,23.074,23.253,17999,0
2017-07-28,22:00:00,23.293,23.562,23.173,23.393,40167,0
2017-07-31,16:00:00,23.552,23.552,23.056,23.173,3592,0
2017-07-31,17:00:00,23.237,23.237,22.955,22.984,3612,0
2017-07-31,18:00:00,23.168,23.273,23.168,23.27,4665,0
2017-07-31,19:00:00,23.243,23.273,23.194,23.272,853,0
2017-07-31,20:00:00,23.223,23.378,23.223,23.378,2007,0
2017-07-31,21:00:00,23.283,23.338,23.203,23.338,1204,0
2017-07-31,22:00:00,23.283,23.403,23.203,23.253,4660,0
2017-08-01,16:00:00,23.323,23.323,23.323,23.323,251,0
2017-08-01,17:00:00,23.134,23.313,23.134,23.134,9582,0
2017-08-01,18:00:00,23.272,23.273,23.124,23.168,20152,0
2017-08-01,19:00:00,23.173,23.173,23.124,23.173,12203,0
2017-08-01,20:00:00,23.094,23.123,23.094,23.104,3311,0
2017-08-01,21:00:00,23.104,23.124,22.944,23.124,26682,0
2017-08-01,22:00:00,23.044,23.213,23.044,23.124,12134,0
2017-08-02,16:00:00,23.104,23.124,23.059,23.124,2412,0
2017-08-02,17:00:00,23.034,23.069,23.004,23.024,3411,0
2017-08-02,18:00:00,23.014,23.014,22.954,22.964,5518,0
2017-08-02,19:00:00,23.02,23.02,22.954,22.954,12626,0
2017-08-02,20:00:00,22.954,22.979,22.924,22.934,17959,0
2017-08-02,21:00:00,22.934,23.014,22.924,22.954,32567,0
2017-08-02,22:00:00,23.019,23.019,22.924,22.924,5669,0
2017-08-03,16:00:00,22.924,22.977,22.924,22.924,1319,0
2017-08-03,17:00:00,22.924,23.014,22.924,22.924,18852,0
2017-08-03,18:00:00,22.924,22.944,22.924,22.924,12842,0
2017-08-03,19:00:00,22.924,22.934,22.924,22.925,11688,0
2017-08-03,20:00:00,22.924,22.944,22.924,22.932,8704,0
2017-08-03,21:00:00,22.924,22.944,22.924,22.944,9845,0
2017-08-03,22:00:00,22.924,23.024,22.924,22.954,26992,0
2017-08-04,16:00:00,22.954,23.001,22.954,23.001,1151,0
2017-08-04,17:00:00,22.969,23.004,22.954,22.974,4615,0
2017-08-04,18:00:00,22.974,23.004,22.944,22.954,54469,0
2017-08-04,19:00:00,22.954,22.984,22.954,22.984,752,0
2017-08-04,20:00:00,22.974,22.974,22.954,22.954,1561,0
2017-08-04,21:00:00,22.974,22.974,22.974,22.974,301,0
2017-08-04,22:00:00,22.984,22.984,22.924,22.924,12338,0
2017-08-07,16:00:00,22.957,22.957,22.957,22.957,201,0
2017-08-07,18:00:00,22.934,22.954,22.924,22.924,4314,0
2017-08-07,19:00:00,22.934,22.954,22.934,22.954,451,0
2017-08-07,20:00:00,22.954,23.024,22.954,23.024,502,0
