Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,3.64,3.7,3.64,3.69,13010,0
2017-05-16,17:00:00,3.69,3.7,3.61,3.66,15735,0
2017-05-16,18:00:00,3.66,3.675,3.64,3.675,13775,0
2017-05-16,19:00:00,3.68,3.69,3.64,3.64,6900,0
2017-05-16,20:00:00,3.66,3.69,3.61,3.66,23200,0
2017-05-16,21:00:00,3.71,3.72,3.6201,3.68,25410,0
2017-05-16,22:00:00,3.68,3.71,3.64,3.64,57300,0
2017-05-17,16:00:00,3.63,3.64,3.5729,3.59,208164,0
2017-05-17,17:00:00,3.5853,3.69,3.57,3.61,50813,0
2017-05-17,18:00:00,3.61,3.6299,3.4552,3.5154,98885,0
2017-05-17,19:00:00,3.52,3.61,3.49,3.55,26677,0
2017-05-17,20:00:00,3.56,3.6099,3.501,3.6,14364,0
2017-05-17,21:00:00,3.6,3.61,3.58,3.59,32507,0
2017-05-17,22:00:00,3.59,3.6,3.54,3.55,99227,0
2017-05-18,16:00:00,3.55,3.55,3.49,3.5,20352,0
2017-05-18,17:00:00,3.5,3.5,3.34,3.405,210450,0
2017-05-18,18:00:00,3.4,3.45,3.38,3.42,42490,0
2017-05-18,19:00:00,3.4386,3.44,3.4,3.4174,56450,0
2017-05-18,20:00:00,3.45,3.49,3.44,3.49,24200,0
2017-05-18,21:00:00,3.49,3.53,3.49,3.5,14116,0
2017-05-18,22:00:00,3.53,3.53,3.39,3.41,70092,0
2017-05-19,16:00:00,3.4,3.5,3.39,3.5,11060,0
2017-05-19,17:00:00,3.5,3.52,3.4401,3.49,12510,0
2017-05-19,18:00:00,3.49,3.49,3.43,3.48,16603,0
2017-05-19,19:00:00,3.485,3.49,3.47,3.485,32440,0
2017-05-19,20:00:00,3.49,3.49,3.4847,3.49,6539,0
2017-05-19,21:00:00,3.489,3.5,3.45,3.5,47495,0
2017-05-19,22:00:00,3.5,3.59,3.49,3.51,210160,0
2017-05-22,16:00:00,3.46,3.53,3.42,3.48,49679,0
2017-05-22,17:00:00,3.5,3.53,3.48,3.48,16159,0
2017-05-22,18:00:00,3.48,3.48,3.44,3.46,19523,0
2017-05-22,19:00:00,3.46,3.47,3.43,3.45,20465,0
2017-05-22,20:00:00,3.4425,3.46,3.42,3.45,38827,0
2017-05-22,21:00:00,3.46,3.47,3.42,3.42,57185,0
2017-05-22,22:00:00,3.42,3.42,3.41,3.41,161793,0
2017-05-23,16:00:00,3.42,3.45,3.4,3.43,2407,0
2017-05-23,17:00:00,3.44,3.44,3.38,3.4,30659,0
2017-05-23,18:00:00,3.4,3.41,3.36,3.4,44975,0
2017-05-23,19:00:00,3.4,3.43,3.37,3.4,29300,0
2017-05-23,20:00:00,3.4,3.41,3.38,3.4,11438,0
2017-05-23,21:00:00,3.4,3.42,3.39,3.41,11606,0
2017-05-23,22:00:00,3.41,3.43,3.39,3.41,42098,0
2017-05-24,16:00:00,3.39,3.42,3.36,3.4,230157,0
2017-05-24,17:00:00,3.38,3.385,3.34,3.35,75639,0
2017-05-24,18:00:00,3.35,3.36,3.35,3.355,40833,0
2017-05-24,19:00:00,3.355,3.38,3.35,3.365,44427,0
2017-05-24,20:00:00,3.36,3.4,3.36,3.39,36174,0
2017-05-24,21:00:00,3.39,3.41,3.39,3.395,140952,0
2017-05-24,22:00:00,3.395,3.41,3.38,3.38,126221,0
2017-05-25,16:00:00,3.35,3.39,3.35,3.35,12358,0
2017-05-25,17:00:00,3.365,3.416,3.35,3.4,88767,0
2017-05-25,18:00:00,3.4,3.42,3.4,3.4,39849,0
2017-05-25,19:00:00,3.4,3.41,3.4,3.405,10794,0
2017-05-25,20:00:00,3.4,3.42,3.4,3.42,27434,0
2017-05-25,21:00:00,3.42,3.5,3.41,3.5,56314,0
2017-05-25,22:00:00,3.5,3.52,3.49,3.51,43791,0
2017-05-26,16:00:00,3.48,3.52,3.47,3.47,11018,0
2017-05-26,17:00:00,3.462,3.462,3.42,3.445,15145,0
2017-05-26,18:00:00,3.44,3.51,3.44,3.5,73673,0
2017-05-26,19:00:00,3.49,3.5,3.45,3.475,16400,0
2017-05-26,20:00:00,3.47,3.48,3.44,3.45,19000,0
2017-05-26,21:00:00,3.45,3.47,3.42,3.46,17945,0
2017-05-26,22:00:00,3.45,3.48,3.45,3.47,34283,0
2017-05-30,16:00:00,3.44,3.46,3.43,3.43,8385,0
2017-05-30,17:00:00,3.445,3.445,3.4,3.42,14570,0
2017-05-30,18:00:00,3.415,3.455,3.4,3.43,37494,0
2017-05-30,19:00:00,3.44,3.44,3.42,3.43,9200,0
2017-05-30,20:00:00,3.421,3.46,3.42,3.43,33429,0
2017-05-30,21:00:00,3.43,3.45,3.42,3.432,9110,0
2017-05-30,22:00:00,3.4314,3.47,3.43,3.45,36149,0
2017-05-31,16:00:00,3.43,3.51,3.4,3.41,17543,0
2017-05-31,17:00:00,3.41,3.45,3.4,3.4,81550,0
2017-05-31,18:00:00,3.4,3.41,3.37,3.37,36924,0
2017-05-31,19:00:00,3.375,3.4699,3.37,3.4699,66200,0
2017-05-31,20:00:00,3.47,3.5,3.45,3.485,18400,0
2017-05-31,21:00:00,3.485,3.51,3.48,3.5,17400,0
2017-05-31,22:00:00,3.51,3.6,3.5,3.57,114981,0
2017-06-01,16:00:00,3.59,3.66,3.55,3.66,20892,0
2017-06-01,17:00:00,3.66,3.692,3.6,3.63,77109,0
2017-06-01,18:00:00,3.625,3.68,3.62,3.67,25964,0
2017-06-01,19:00:00,3.68,3.68,3.62,3.65,34000,0
2017-06-01,20:00:00,3.64,3.65,3.6,3.65,21713,0
2017-06-01,21:00:00,3.6499,3.77,3.64,3.765,99175,0
2017-06-01,22:00:00,3.77,3.77,3.7,3.74,81916,0
2017-06-02,16:00:00,3.75,3.75,3.72,3.74,12900,0
2017-06-02,17:00:00,3.74,3.75,3.66,3.69,36743,0
2017-06-02,18:00:00,3.7,3.73,3.66,3.72,53077,0
2017-06-02,19:00:00,3.715,3.73,3.7,3.72,33367,0
2017-06-02,20:00:00,3.72,3.73,3.7,3.72,13495,0
2017-06-02,21:00:00,3.73,3.75,3.71,3.725,32596,0
2017-06-02,22:00:00,3.73,3.78,3.72,3.75,200256,0
2017-06-05,16:00:00,3.7,3.78,3.69,3.75,19339,0
2017-06-05,17:00:00,3.75,3.8,3.73,3.75,39379,0
2017-06-05,18:00:00,3.74,3.76,3.72,3.725,29200,0
2017-06-05,19:00:00,3.725,3.75,3.71,3.745,24862,0
2017-06-05,20:00:00,3.745,3.75,3.73,3.75,20363,0
2017-06-05,21:00:00,3.73,3.75,3.72,3.735,30858,0
2017-06-05,22:00:00,3.74,3.76,3.71,3.72,52248,0
2017-06-06,16:00:00,3.71,3.8,3.59,3.69,82981,0
2017-06-06,17:00:00,3.68,3.69,3.65,3.65,29566,0
2017-06-06,18:00:00,3.65,3.6599,3.6,3.65,31919,0
2017-06-06,19:00:00,3.65,3.65,3.64,3.65,16450,0
2017-06-06,20:00:00,3.65,3.66,3.6,3.6425,38227,0
2017-06-06,21:00:00,3.65,3.65,3.64,3.65,26788,0
2017-06-06,22:00:00,3.65,3.65,3.62,3.62,67142,0
2017-06-07,16:00:00,3.65,3.675,3.61,3.65,8866,0
2017-06-07,17:00:00,3.65,3.655,3.63,3.645,16465,0
2017-06-07,18:00:00,3.65,3.65,3.56,3.63,12655,0
2017-06-07,19:00:00,3.63,3.63,3.59,3.62,15800,0
2017-06-07,20:00:00,3.63,3.63,3.61,3.63,18864,0
