Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-13,16:00:00,5.855,5.855,5.7385,5.7385,206,0
2017-04-13,17:00:00,5.8209,5.9619,5.7385,5.7385,2163,0
2017-04-13,18:00:00,5.7773,5.8065,5.7773,5.7773,5355,0
2017-04-13,19:00:00,5.7968,5.7968,5.7773,5.7773,823,0
2017-04-13,20:00:00,5.7385,5.7385,5.7385,5.7385,206,0
2017-04-13,21:00:00,5.7385,5.7773,5.7385,5.7676,7003,0
2017-04-13,22:00:00,5.7288,5.7773,5.7288,5.7676,2647,0
2017-04-17,18:00:00,5.7773,5.7773,5.7385,5.7529,412,0
2017-04-17,19:00:00,5.7288,5.8162,5.7288,5.8162,5111,0
2017-04-17,21:00:00,5.7288,5.7288,5.7288,5.7288,103,0
2017-04-17,22:00:00,5.7288,5.7385,5.7288,5.7385,2266,0
2017-04-18,16:00:00,5.7385,5.7385,5.7288,5.7288,309,0
2017-04-18,17:00:00,5.7334,5.7385,5.7288,5.7385,720,0
2017-04-18,18:00:00,5.7385,5.7968,5.7288,5.7968,7253,0
2017-04-18,19:00:00,5.7773,5.7773,5.7773,5.7773,103,0
2017-04-18,20:00:00,5.7968,5.8453,5.7773,5.7773,6070,0
2017-04-18,21:00:00,5.7968,5.7968,5.7968,5.7968,823,0
2017-04-18,22:00:00,5.7968,5.8162,5.7773,5.7773,8014,0
2017-04-19,17:00:00,5.7366,5.7884,5.7289,5.7317,2678,0
2017-04-19,18:00:00,5.7773,5.8065,5.7676,5.7968,7858,0
2017-04-19,19:00:00,5.7968,5.8162,5.7385,5.7724,4003,0
2017-04-19,21:00:00,5.7676,5.7676,5.7385,5.7549,1111,0
2017-04-19,22:00:00,5.7773,5.7773,5.7385,5.7385,751,0
2017-04-20,16:00:00,5.7093,5.7298,5.7093,5.7298,1669,0
2017-04-20,17:00:00,5.7288,5.7773,5.7288,5.7773,1854,0
2017-04-20,18:00:00,5.7676,5.8745,5.7676,5.8356,14505,0
2017-04-20,19:00:00,5.8259,5.8356,5.8112,5.8356,4089,0
2017-04-20,22:00:00,5.7416,5.7416,5.6414,5.6899,3192,0
2017-04-21,16:00:00,5.6608,5.7773,5.6608,5.7773,472,0
2017-04-21,18:00:00,5.722,5.7821,5.7046,5.7773,21206,0
2017-04-21,19:00:00,5.7773,5.7773,5.7385,5.7385,1751,0
2017-04-21,20:00:00,5.7918,5.7918,5.7918,5.7918,103,0
2017-04-21,21:00:00,5.7433,5.8015,5.7191,5.7288,9166,0
2017-04-21,22:00:00,5.6608,5.7288,5.6608,5.7288,2026,0
2017-04-24,16:00:00,5.7773,5.7773,5.7773,5.7773,618,0
2017-04-24,17:00:00,5.7289,5.7482,5.7289,5.7482,1133,0
2017-04-24,18:00:00,5.7579,5.7579,5.7579,5.7579,103,0
2017-04-24,19:00:00,5.7385,5.7676,5.7385,5.7676,206,0
2017-04-24,21:00:00,5.7385,5.7385,5.7385,5.7385,103,0
2017-04-24,22:00:00,5.7385,5.7385,5.7385,5.7385,103,0
2017-04-25,17:00:00,5.7821,5.7821,5.7773,5.7773,309,0
2017-04-25,19:00:00,5.7579,5.826,5.7579,5.826,9332,0
2017-04-25,20:00:00,5.8647,5.9327,5.8259,5.8745,5006,0
2017-04-25,21:00:00,5.8784,5.9133,5.8745,5.8939,720,0
2017-04-25,22:00:00,5.8746,5.8746,5.7385,5.8259,8445,0
2017-04-26,16:00:00,5.7288,5.8647,5.7288,5.7773,667,0
2017-04-26,17:00:00,5.7482,5.8065,5.7482,5.787,720,0
2017-04-26,18:00:00,5.7579,5.7698,5.7288,5.7385,6901,0
2017-04-26,19:00:00,5.7773,5.7773,5.6996,5.7579,31509,0
2017-04-26,20:00:00,5.7579,5.7579,5.7093,5.7482,3605,0
2017-04-26,21:00:00,5.7773,5.8162,5.7676,5.7676,7608,0
2017-04-26,22:00:00,5.7773,5.8259,5.7482,5.787,7006,0
2017-04-27,16:00:00,5.7676,5.7773,5.7676,5.7773,1029,0
2017-04-27,17:00:00,5.7773,5.7773,5.7482,5.7773,6396,0
2017-04-27,18:00:00,5.7482,5.7482,5.7482,5.7482,103,0
2017-04-27,19:00:00,5.7482,5.7482,5.7482,5.7482,381,0
2017-04-27,20:00:00,5.7482,5.7579,5.7385,5.7579,5458,0
2017-04-27,21:00:00,5.7579,5.7773,5.7579,5.7773,7518,0
2017-04-27,22:00:00,5.7637,5.7676,5.7637,5.7676,817,0
2017-04-28,16:00:00,5.7773,5.855,5.7773,5.855,2472,0
2017-04-28,17:00:00,5.8745,5.8745,5.8453,5.855,10622,0
2017-04-28,18:00:00,5.8453,5.8541,5.8453,5.8453,1133,0
2017-04-28,19:00:00,5.8453,5.8453,5.8453,5.8453,206,0
2017-04-28,20:00:00,5.855,5.855,5.855,5.855,515,0
2017-04-28,21:00:00,5.855,5.855,5.8453,5.855,412,0
2017-04-28,22:00:00,5.8453,5.8453,5.7676,5.8065,8539,0
2017-05-01,16:00:00,5.7804,5.7804,5.7772,5.7773,1545,0
2017-05-01,17:00:00,5.8618,5.8618,5.8618,5.8618,206,0
2017-05-01,18:00:00,5.8356,5.8356,5.8259,5.8259,1715,0
2017-05-01,19:00:00,5.8356,5.8356,5.8289,5.8289,295,0
2017-05-01,20:00:00,5.8356,5.8356,5.8162,5.8162,8271,0
2017-05-01,21:00:00,5.7676,5.7676,5.7676,5.7676,103,0
2017-05-01,22:00:00,5.8259,5.8356,5.8259,5.8259,2059,0
2017-05-02,16:00:00,5.991,5.991,5.9813,5.9813,206,0
2017-05-02,17:00:00,6.0589,6.1365,5.8939,5.8939,34904,0
2017-05-02,18:00:00,5.9424,5.9424,5.923,5.923,206,0
2017-05-02,19:00:00,5.8939,5.8939,5.7093,5.8675,41505,0
2017-05-02,20:00:00,5.8548,5.8548,5.8065,5.8065,1442,0
2017-05-02,21:00:00,5.8259,5.8259,5.8065,5.8065,8239,0
2017-05-02,22:00:00,5.8065,5.8259,5.8065,5.8162,3711,0
2017-05-03,16:00:00,5.7288,5.7958,5.7288,5.7958,1880,0
2017-05-03,17:00:00,5.7676,5.9424,5.7676,5.8842,8338,0
2017-05-03,18:00:00,5.8675,5.8745,5.8356,5.8356,1133,0
2017-05-03,19:00:00,5.8453,5.8453,5.8425,5.8425,360,0
2017-05-03,20:00:00,5.8065,5.8356,5.8065,5.8356,1887,0
2017-05-03,21:00:00,5.8356,5.8453,5.8356,5.8453,412,0
2017-05-03,22:00:00,5.8259,5.8259,5.8065,5.8065,720,0
2017-05-04,16:00:00,5.8259,5.8259,5.6511,5.7288,17817,0
2017-05-04,17:00:00,5.7191,5.8259,5.7093,5.7773,14044,0
2017-05-04,18:00:00,5.7724,5.7968,5.7724,5.7968,720,0
2017-05-04,20:00:00,5.7625,5.7625,5.7625,5.7625,206,0
2017-05-04,21:00:00,5.7625,5.7773,5.7625,5.7773,371,0
2017-05-04,22:00:00,5.8065,5.8065,5.7482,5.7482,1648,0
2017-05-05,16:00:00,5.7384,5.7384,5.7384,5.7384,179,0
2017-05-05,17:00:00,5.7874,5.8178,5.7874,5.7874,9740,0
2017-05-05,18:00:00,5.8071,5.8169,5.7874,5.8169,713,0
2017-05-05,20:00:00,5.7973,5.7973,5.758,5.7588,713,0
2017-05-05,21:00:00,5.758,5.7874,5.6893,5.6992,27305,0
2017-05-05,22:00:00,5.7482,5.915,5.7482,5.8856,8069,0
2017-05-08,16:00:00,5.8463,5.8463,5.8463,5.8463,206,0
2017-05-08,18:00:00,5.7456,5.8071,5.7456,5.8071,224,0
2017-05-08,19:00:00,5.7384,5.7874,5.7384,5.7874,510,0
2017-05-08,20:00:00,5.7752,5.8659,5.7698,5.8659,3793,0
2017-05-08,21:00:00,5.8856,5.9541,5.8856,5.9541,1911,0
2017-05-08,22:00:00,5.9541,5.9541,5.8856,5.9052,2354,0
2017-05-09,17:00:00,5.7678,5.8071,5.7678,5.8071,3058,0
2017-05-09,18:00:00,5.8267,5.8856,5.8094,5.8856,3262,0
2017-05-09,19:00:00,5.8659,5.8659,5.8659,5.8659,102,0
2017-05-09,20:00:00,5.9541,5.9541,5.9541,5.9541,204,0
2017-05-09,21:00:00,5.9345,5.9345,5.8757,5.8781,540,0
2017-05-09,22:00:00,5.8954,5.9052,5.8856,5.9052,1530,0
2017-05-10,16:00:00,5.864,5.864,5.864,5.864,339,0
2017-05-10,17:00:00,5.8954,5.8954,5.8954,5.8954,102,0
2017-05-10,18:00:00,5.8904,5.9345,5.8904,5.9345,408,0
2017-05-10,20:00:00,5.8463,5.8463,5.8463,5.8463,102,0
2017-05-10,21:00:00,5.8365,5.8365,5.8365,5.8365,102,0
2017-05-10,22:00:00,5.8856,5.915,5.8856,5.915,3042,0
2017-05-11,17:00:00,5.9248,5.9248,5.8267,5.856,713,0
2017-05-11,18:00:00,5.8658,5.8856,5.7384,5.8856,10194,0
2017-05-11,19:00:00,5.9442,5.954,5.9442,5.954,408,0
2017-05-11,20:00:00,5.954,5.954,5.954,5.954,408,0
2017-05-11,21:00:00,5.9442,5.9442,5.9375,5.9442,2243,0
2017-05-11,22:00:00,5.954,5.9541,5.9103,5.9345,1401,0
2017-05-12,16:00:00,5.9541,5.9541,5.9541,5.9541,102,0
2017-05-12,17:00:00,5.8954,5.9052,5.8954,5.9052,815,0
2017-05-12,18:00:00,5.8954,5.8954,5.8954,5.8954,102,0
2017-05-12,19:00:00,5.8856,5.8954,5.8659,5.8954,306,0
2017-05-12,20:00:00,5.8679,5.8856,5.8659,5.8659,408,0
