Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,25.605,26.132,25.605,25.794,9245,0
2017-05-16,17:00:00,25.734,25.739,25.162,25.286,14694,0
2017-05-16,18:00:00,25.285,25.485,25.226,25.226,15429,0
2017-05-16,19:00:00,25.265,25.467,25.265,25.435,9145,0
2017-05-16,20:00:00,25.385,25.405,25.305,25.375,3688,0
2017-05-16,21:00:00,25.338,25.375,25.305,25.305,11129,0
2017-05-16,22:00:00,25.32,26.023,25.305,25.923,401646,0
2017-05-17,16:00:00,26.332,26.511,26.039,26.466,49151,0
2017-05-17,17:00:00,26.472,26.501,26.003,26.183,59303,0
2017-05-17,18:00:00,26.113,26.153,26.003,26.153,16973,0
2017-05-17,19:00:00,26.163,26.508,26.116,26.366,38043,0
2017-05-17,20:00:00,26.322,26.411,26.183,26.243,24208,0
2017-05-17,21:00:00,26.282,26.282,26.033,26.063,20031,0
2017-05-17,22:00:00,26.063,26.183,26.063,26.093,39903,0
2017-05-18,16:00:00,26.381,26.381,26.159,26.203,12675,0
2017-05-18,17:00:00,26.243,26.631,26.243,26.421,11841,0
2017-05-18,18:00:00,26.446,26.471,26.203,26.391,26594,0
2017-05-18,19:00:00,26.371,26.446,26.053,26.128,28502,0
2017-05-18,20:00:00,26.143,26.317,26.103,26.165,56835,0
2017-05-18,21:00:00,26.173,26.213,25.903,25.903,98061,0
2017-05-18,22:00:00,25.983,25.983,25.685,25.725,101435,0
2017-05-19,16:00:00,25.725,26.302,25.725,26.133,52129,0
2017-05-19,17:00:00,26.033,26.18,25.803,25.843,39117,0
2017-05-19,18:00:00,25.823,25.983,25.823,25.893,11085,0
2017-05-19,19:00:00,25.893,26.003,25.754,25.823,20423,0
2017-05-19,20:00:00,25.863,26.053,25.823,26.053,12542,0
2017-05-19,21:00:00,26.053,26.103,25.918,26.003,21951,0
2017-05-19,22:00:00,26.033,26.043,25.754,25.953,56052,0
2017-05-22,16:00:00,26.193,26.518,26.153,26.501,30489,0
2017-05-22,17:00:00,26.511,26.731,26.451,26.481,24362,0
2017-05-22,18:00:00,26.521,26.611,26.481,26.481,6391,0
2017-05-22,19:00:00,26.481,26.571,26.451,26.501,15201,0
2017-05-22,20:00:00,26.491,26.581,26.371,26.421,15394,0
2017-05-22,21:00:00,26.421,26.631,26.421,26.521,39795,0
2017-05-22,22:00:00,26.481,26.581,26.481,26.571,37332,0
2017-05-23,16:00:00,26.761,26.799,26.61,26.61,6173,0
2017-05-23,17:00:00,26.651,26.651,26.506,26.531,2629,0
2017-05-23,18:00:00,26.491,26.641,26.491,26.576,4598,0
2017-05-23,19:00:00,26.551,26.701,26.264,26.277,46810,0
2017-05-23,20:00:00,26.312,26.312,25.953,26.213,35430,0
2017-05-23,21:00:00,26.248,26.381,26.248,26.332,14631,0
2017-05-23,22:00:00,26.321,26.551,26.282,26.461,16168,0
2017-05-24,16:00:00,26.571,26.83,26.203,26.222,52220,0
2017-05-24,17:00:00,26.173,26.291,25.983,26.093,21735,0
2017-05-24,18:00:00,26.183,26.441,26.183,26.342,9103,0
2017-05-24,19:00:00,26.391,26.621,26.391,26.551,15000,0
2017-05-24,20:00:00,26.508,26.531,26.272,26.431,8959,0
2017-05-24,21:00:00,26.451,26.481,26.401,26.411,3072,0
2017-05-24,22:00:00,26.435,26.621,26.401,26.571,21656,0
2017-05-25,16:00:00,26.761,27.079,26.694,27.004,6681,0
2017-05-25,17:00:00,27.049,27.049,26.731,26.974,5880,0
2017-05-25,18:00:00,26.979,27.059,26.81,26.989,36406,0
2017-05-25,19:00:00,26.959,27.259,26.889,27.259,6387,0
2017-05-25,20:00:00,27.186,27.542,27.186,27.418,25541,0
2017-05-25,21:00:00,27.361,27.607,27.361,27.597,27112,0
2017-05-25,22:00:00,27.597,27.647,27.378,27.437,39714,0
2017-05-26,16:00:00,27.487,27.557,27.428,27.477,1540,0
2017-05-26,17:00:00,27.462,27.896,27.348,27.886,16490,0
2017-05-26,18:00:00,27.856,28.285,27.797,28.237,36283,0
2017-05-26,19:00:00,28.255,28.335,28.225,28.25,8934,0
2017-05-26,20:00:00,28.245,28.454,28.245,28.394,39275,0
2017-05-26,21:00:00,28.38,28.424,28,28.015,18977,0
2017-05-26,22:00:00,28.015,28.394,27.896,28.325,84933,0
2017-05-30,16:00:00,28.365,28.365,28.179,28.28,4532,0
2017-05-30,17:00:00,28.29,28.29,27.383,27.461,15210,0
2017-05-30,18:00:00,27.477,27.477,27.169,27.299,11615,0
2017-05-30,19:00:00,27.319,27.447,27.309,27.309,5036,0
2017-05-30,20:00:00,27.228,27.378,27.219,27.277,3511,0
2017-05-30,21:00:00,27.259,27.294,26.791,26.899,46610,0
2017-05-30,22:00:00,26.899,26.979,26.751,26.8,61428,0
2017-05-31,16:00:00,26.979,27.209,26.501,26.501,6269,0
2017-05-31,17:00:00,26.481,26.521,26.263,26.431,9457,0
2017-05-31,18:00:00,26.431,26.8,26.411,26.681,15126,0
2017-05-31,19:00:00,26.721,27.039,26.721,26.87,10467,0
2017-05-31,20:00:00,26.889,26.919,26.791,26.791,2819,0
2017-05-31,21:00:00,26.761,26.929,26.721,26.919,10666,0
2017-05-31,22:00:00,26.88,27.209,26.691,26.751,172845,0
2017-06-01,16:00:00,26.8,27.342,26.8,27.079,6615,0
2017-06-01,17:00:00,27.069,27.797,27.069,27.348,19039,0
2017-06-01,18:00:00,27.418,27.627,27.289,27.497,7453,0
2017-06-01,19:00:00,27.497,27.637,27.418,27.587,3880,0
2017-06-01,20:00:00,27.647,27.777,27.647,27.747,5922,0
2017-06-01,21:00:00,27.775,28.035,27.775,27.975,18843,0
2017-06-01,22:00:00,27.946,27.975,27.787,27.886,30055,0
2017-06-02,16:00:00,28.015,28.134,27.896,27.985,2808,0
2017-06-02,17:00:00,28.005,28.005,27.657,27.657,27322,0
2017-06-02,18:00:00,27.647,27.975,27.348,27.896,42023,0
2017-06-02,19:00:00,27.876,27.886,27.567,27.587,12043,0
2017-06-02,20:00:00,27.637,27.657,27.527,27.527,28120,0
2017-06-02,21:00:00,27.607,27.667,27.587,27.607,4899,0
2017-06-02,22:00:00,27.627,27.737,27.587,27.617,43629,0
2017-06-05,16:00:00,27.697,27.697,27.428,27.428,4400,0
2017-06-05,17:00:00,27.408,27.497,27.044,27.123,10394,0
2017-06-05,18:00:00,27.109,27.116,26.761,27.009,17026,0
2017-06-05,19:00:00,26.982,27.029,26.899,26.899,4101,0
2017-06-05,20:00:00,26.88,26.899,26.781,26.81,5802,0
2017-06-05,21:00:00,26.87,27.184,26.791,27.053,25041,0
2017-06-05,22:00:00,27.069,27.139,26.781,26.81,34916,0
2017-06-06,16:00:00,26.899,26.899,26.85,26.87,8907,0
2017-06-06,17:00:00,26.899,27.059,26.899,26.959,19862,0
2017-06-06,18:00:00,26.959,26.959,26.86,26.899,14983,0
2017-06-06,19:00:00,26.899,26.989,26.88,26.909,24888,0
2017-06-06,20:00:00,26.956,26.956,26.86,26.899,21341,0
2017-06-06,21:00:00,26.88,26.989,26.86,26.949,33831,0
2017-06-06,22:00:00,26.979,27.239,26.681,26.899,168626,0
2017-06-07,16:00:00,27.149,27.149,26.322,26.322,50327,0
2017-06-07,17:00:00,26.322,26.83,25.963,26.574,102924,0
2017-06-07,18:00:00,26.531,26.84,26.292,26.731,52247,0
2017-06-07,19:00:00,26.671,26.701,26.228,26.661,46793,0
2017-06-07,20:00:00,26.676,27.009,26.611,26.84,16306,0
2017-06-07,21:00:00,26.81,26.989,26.581,26.989,41693,0
2017-06-07,22:00:00,26.899,27.587,26.83,27.119,129080,0
2017-06-08,16:00:00,27.348,27.447,27.139,27.269,49742,0
2017-06-08,17:00:00,27.269,27.757,27.259,27.747,129096,0
2017-06-08,18:00:00,27.747,27.896,27.597,27.767,62938,0
2017-06-08,19:00:00,27.827,28.105,27.627,27.866,76182,0
2017-06-08,20:00:00,27.866,27.866,27.259,27.557,64958,0
2017-06-08,21:00:00,27.502,27.727,27.447,27.677,45895,0
2017-06-08,22:00:00,27.727,27.946,27.686,27.747,49508,0
2017-06-09,16:00:00,27.886,28.012,27.647,27.787,15076,0
2017-06-09,17:00:00,27.807,28.385,27.587,28.385,32165,0
2017-06-09,18:00:00,28.305,29.361,28.305,29.101,90719,0
2017-06-09,19:00:00,29.002,29.042,28.603,28.763,36823,0
2017-06-09,20:00:00,28.833,29.052,28.553,28.673,48252,0
2017-06-09,21:00:00,28.613,28.665,28.265,28.365,48717,0
2017-06-09,22:00:00,28.523,28.693,28.345,28.474,89427,0
2017-06-12,16:00:00,28.593,28.723,28.494,28.522,29138,0
2017-06-12,17:00:00,28.553,28.553,27.747,28.375,27578,0
