Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-02-16,17:00:00,27.482,27.482,27.482,27.482,203,0
2017-02-16,18:00:00,27.452,27.452,27.452,27.452,925,0
2017-02-16,19:00:00,27.521,27.521,27.511,27.511,2464,0
2017-02-16,20:00:00,27.531,27.531,27.511,27.511,1971,0
2017-02-16,21:00:00,27.439,27.511,27.439,27.482,4493,0
2017-02-16,22:00:00,27.521,27.521,27.521,27.521,1029,0
2017-02-17,16:00:00,27.511,27.511,27.491,27.491,1510,0
2017-02-17,17:00:00,27.501,27.511,27.491,27.491,6322,0
2017-02-17,18:00:00,27.482,27.482,27.482,27.482,109,0
2017-02-17,19:00:00,27.511,27.511,27.511,27.511,1703,0
2017-02-17,20:00:00,27.511,27.521,27.443,27.521,6921,0
2017-02-17,21:00:00,27.561,27.561,27.541,27.551,2308,0
2017-02-17,22:00:00,27.551,27.551,27.551,27.551,140,0
2017-02-21,16:00:00,27.7,27.72,27.7,27.71,5688,0
2017-02-21,18:00:00,27.779,27.779,27.74,27.75,7941,0
2017-02-21,19:00:00,27.75,27.768,27.69,27.759,4779,0
2017-02-21,20:00:00,27.75,27.75,27.75,27.75,5750,0
2017-02-21,21:00:00,27.769,27.779,27.769,27.779,664,0
2017-02-21,22:00:00,27.789,27.789,27.789,27.789,9929,0
2017-02-22,16:00:00,27.591,27.691,27.591,27.68,2000,0
2017-02-22,17:00:00,27.778,27.798,27.778,27.779,2034,0
2017-02-22,18:00:00,27.75,27.75,27.75,27.75,406,0
2017-02-22,20:00:00,27.76,27.76,27.759,27.76,6889,0
2017-02-22,21:00:00,27.711,27.711,27.711,27.711,701,0
2017-02-23,16:00:00,27.73,27.73,27.73,27.73,100,0
2017-02-23,17:00:00,27.63,27.63,27.6,27.62,12019,0
2017-02-23,18:00:00,27.571,27.61,27.571,27.61,1042,0
2017-02-23,19:00:00,27.644,27.68,27.644,27.68,1205,0
2017-02-23,20:00:00,27.66,27.66,27.625,27.625,1155,0
2017-02-23,21:00:00,27.63,27.67,27.63,27.67,2835,0
2017-02-23,22:00:00,27.68,27.69,27.68,27.69,522,0
2017-02-24,17:00:00,27.571,27.591,27.571,27.591,526,0
2017-02-24,18:00:00,27.591,27.6,27.591,27.6,4872,0
2017-02-24,19:00:00,27.63,27.64,27.626,27.64,3762,0
2017-02-24,20:00:00,27.61,27.61,27.61,27.61,328,0
2017-02-24,21:00:00,27.63,27.63,27.63,27.63,1726,0
2017-02-24,22:00:00,27.62,27.67,27.619,27.67,8965,0
2017-02-27,17:00:00,27.807,27.807,27.74,27.74,4165,0
2017-02-27,18:00:00,27.76,27.788,27.74,27.74,1816,0
2017-02-27,19:00:00,27.73,27.75,27.72,27.75,1741,0
2017-02-27,20:00:00,27.75,27.778,27.75,27.778,4601,0
2017-02-27,21:00:00,27.778,27.778,27.69,27.69,991,0
2017-02-27,22:00:00,27.772,27.772,27.772,27.772,376,0
2017-02-28,17:00:00,27.71,27.72,27.688,27.688,2306,0
2017-02-28,18:00:00,27.74,27.74,27.72,27.72,1398,0
2017-02-28,19:00:00,27.69,27.69,27.69,27.69,3054,0
2017-02-28,20:00:00,27.68,27.68,27.67,27.68,3946,0
2017-02-28,21:00:00,27.64,27.64,27.64,27.64,3286,0
2017-02-28,22:00:00,27.66,27.66,27.66,27.66,100,0
2017-03-01,16:00:00,27.865,27.865,27.865,27.865,100,0
2017-03-01,17:00:00,27.914,27.934,27.914,27.924,2886,0
2017-03-01,18:00:00,28.103,28.103,27.964,27.964,2728,0
2017-03-01,19:00:00,27.964,28.033,27.964,28.024,1225,0
2017-03-01,20:00:00,28.014,28.033,28.004,28.033,5906,0
2017-03-01,21:00:00,28.014,28.043,28.01,28.043,10598,0
2017-03-02,16:00:00,27.914,27.914,27.914,27.914,255,0
2017-03-02,17:00:00,27.934,27.934,27.934,27.934,506,0
2017-03-02,18:00:00,27.884,27.894,27.884,27.894,645,0
2017-03-02,19:00:00,27.884,27.884,27.884,27.884,851,0
2017-03-02,20:00:00,27.884,27.884,27.884,27.884,387,0
2017-03-02,22:00:00,27.826,27.836,27.826,27.836,886,0
2017-03-03,17:00:00,27.778,27.778,27.778,27.778,150,0
2017-03-03,18:00:00,27.75,27.768,27.75,27.768,238,0
2017-03-03,19:00:00,27.76,27.779,27.759,27.778,2023,0
2017-03-03,20:00:00,27.778,27.778,27.691,27.691,361,0
2017-03-03,22:00:00,27.807,27.807,27.807,27.807,147,0
2017-03-06,16:00:00,27.65,27.65,27.65,27.65,100,0
2017-03-06,17:00:00,27.66,27.69,27.62,27.62,2692,0
2017-03-06,18:00:00,27.63,27.65,27.62,27.62,762,0
2017-03-06,19:00:00,27.63,27.65,27.63,27.65,203,0
2017-03-06,20:00:00,27.69,27.71,27.69,27.7,2420,0
2017-03-07,16:00:00,27.581,27.591,27.581,27.591,203,0
2017-03-07,17:00:00,27.6,27.67,27.6,27.64,5896,0
2017-03-07,18:00:00,27.64,27.64,27.581,27.6,850,0
2017-03-07,19:00:00,27.591,27.6,27.579,27.6,22779,0
2017-03-07,20:00:00,27.6,27.61,27.561,27.561,924,0
2017-03-07,22:00:00,27.561,27.561,27.541,27.541,1016,0
2017-03-08,17:00:00,27.6,27.61,27.581,27.591,12667,0
2017-03-08,18:00:00,27.58,27.58,27.531,27.531,597,0
2017-03-08,19:00:00,27.561,27.561,27.561,27.561,910,0
2017-03-08,20:00:00,27.546,27.591,27.546,27.59,1010,0
2017-03-08,21:00:00,27.511,27.511,27.511,27.511,1487,0
2017-03-08,22:00:00,27.491,27.491,27.491,27.491,609,0
2017-03-09,17:00:00,27.472,27.472,27.422,27.472,8099,0
2017-03-09,18:00:00,27.482,27.482,27.472,27.482,874,0
