Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,4.2,5.14,4.13,4.625,940110,0
2017-05-16,17:00:00,4.61,4.73,4.44,4.6183,351852,0
2017-05-16,18:00:00,4.6084,4.8,4.57,4.6925,144463,0
2017-05-16,19:00:00,4.66,4.75,4.66,4.68,59575,0
2017-05-16,20:00:00,4.666,4.68,4.38,4.59,105760,0
2017-05-16,21:00:00,4.5747,4.6031,4.36,4.39,110202,0
2017-05-16,22:00:00,4.465,4.59,4.35,4.38,137132,0
2017-05-17,16:00:00,4.35,4.3932,4.16,4.18,106773,0
2017-05-17,17:00:00,4.18,4.26,4.1,4.23,57618,0
2017-05-17,18:00:00,4.216,4.222,4.16,4.17,20749,0
2017-05-17,19:00:00,4.17,4.19,4.13,4.145,21280,0
2017-05-17,20:00:00,4.146,4.18,4.13,4.164,11281,0
2017-05-17,21:00:00,4.17,4.17,4.14,4.15,30302,0
2017-05-17,22:00:00,4.154,4.2,4.14,4.2,48421,0
2017-05-18,16:00:00,4.7,5.25,4.64,4.7637,2384093,0
2017-05-18,17:00:00,4.7583,4.89,4.67,4.72,366336,0
2017-05-18,18:00:00,4.72,4.95,4.66,4.88,266141,0
2017-05-18,19:00:00,4.89,5.02,4.78,4.99,284516,0
2017-05-18,20:00:00,4.9714,5.15,4.88,4.9775,359880,0
2017-05-18,21:00:00,4.94,4.9699,4.82,4.8899,117348,0
2017-05-18,22:00:00,4.86,4.96,4.65,4.68,213010,0
2017-05-19,16:00:00,4.84,4.96,4.6,4.6001,285739,0
2017-05-19,17:00:00,4.6,4.69,4.52,4.63,102240,0
2017-05-19,18:00:00,4.6001,4.74,4.6001,4.64,27922,0
2017-05-19,19:00:00,4.65,4.7,4.6,4.6961,33828,0
2017-05-19,20:00:00,4.7,4.78,4.58,4.61,58673,0
2017-05-19,21:00:00,4.6023,4.673,4.53,4.56,74780,0
2017-05-19,22:00:00,4.55,4.6,4.5,4.57,89563,0
2017-05-22,16:00:00,4.49,4.59,4.4,4.49,63194,0
2017-05-22,17:00:00,4.46,4.46,4.31,4.3799,76061,0
2017-05-22,18:00:00,4.3666,4.4182,4.33,4.372,33245,0
2017-05-22,19:00:00,4.3753,4.42,4.35,4.352,13641,0
2017-05-22,20:00:00,4.35,4.41,4.34,4.36,29865,0
2017-05-22,21:00:00,4.35,4.41,4.35,4.39,13169,0
2017-05-22,22:00:00,4.4,4.59,4.4,4.59,54869,0
2017-05-23,16:00:00,6.03,6.45,5.5,5.6202,3923265,0
2017-05-23,17:00:00,5.61,5.72,5.06,5.1299,1844478,0
2017-05-23,18:00:00,5.14,5.1901,4.96,5,515636,0
2017-05-23,19:00:00,5,5.04,4.84,4.87,396454,0
2017-05-23,20:00:00,4.88,5.13,4.88,5.0749,247962,0
2017-05-23,21:00:00,5.0601,5.09,4.91,4.92,115330,0
2017-05-23,22:00:00,4.9385,5.09,4.92,5.08,327935,0
2017-05-24,16:00:00,4.98,5.0149,4.85,4.87,159859,0
2017-05-24,17:00:00,4.85,5.04,4.76,5.0213,165103,0
2017-05-24,18:00:00,5.0383,5.07,4.94,4.95,63067,0
2017-05-24,19:00:00,4.95,5.04,4.93,4.95,28561,0
2017-05-24,20:00:00,4.95,5.04,4.9101,4.975,19677,0
2017-05-24,21:00:00,4.9501,5.04,4.91,5.0001,22606,0
2017-05-24,22:00:00,5,5.2,4.98,5.05,231307,0
2017-05-25,16:00:00,5,5.15,4.75,5.0639,109136,0
2017-05-25,17:00:00,5.0639,5.0639,4.9,4.93,43537,0
2017-05-25,18:00:00,4.93,4.99,4.93,4.946,36623,0
2017-05-25,19:00:00,4.94,5,4.93,4.9508,36538,0
2017-05-25,20:00:00,4.9411,5.0399,4.9411,5.005,18049,0
2017-05-25,21:00:00,5.0127,5.1101,5,5.063,34975,0
2017-05-25,22:00:00,5.05,5.2,4.9657,5.18,123036,0
2017-05-26,16:00:00,5.06,5.13,5.0008,5.0468,34183,0
2017-05-26,17:00:00,5.05,5.21,5.0372,5.17,68525,0
2017-05-26,18:00:00,5.1301,5.15,5.08,5.105,14861,0
2017-05-26,19:00:00,5.105,5.17,5.1,5.12,34493,0
2017-05-26,20:00:00,5.12,5.1252,5.05,5.05,16294,0
2017-05-26,21:00:00,5.0662,5.1099,5.04,5.09,36141,0
