Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-05,17:00:00,23.21,25.37,23.21,24.9651,1049103,0
2017-10-05,18:00:00,24.86,28.46,24.85,28.25,2354709,0
2017-10-05,19:00:00,28.21,30.2,27.5685,29.85,1026641,0
2017-10-05,20:00:00,29.85,31.08,28.69,30.8803,404648,0
2017-10-05,21:00:00,30.88,31.7799,29.74,30.8,566274,0
2017-10-05,22:00:00,30.8028,33.81,28.87,30.24,1190766,0
2017-10-06,16:00:00,30.2,30.55,26.37,27.0101,539499,0
2017-10-06,17:00:00,27.25,27.75,24.66,25.5,427646,0
2017-10-06,18:00:00,25.5301,25.92,23.82,24.33,316370,0
2017-10-06,19:00:00,24.35,24.88,24.01,24.684,61562,0
2017-10-06,20:00:00,24.67,25,24.65,24.8,96179,0
2017-10-06,21:00:00,24.79,25.67,24.7434,25.09,133852,0
2017-10-06,22:00:00,25.19,26,24.85,25.25,302218,0
2017-10-09,16:00:00,25.45,25.45,23.985,24.01,57439,0
2017-10-09,17:00:00,24.06,25.23,24.0501,25.23,45289,0
2017-10-09,18:00:00,25.1911,25.25,24.5,24.93,51114,0
2017-10-09,19:00:00,24.91,25,24.51,24.795,23342,0
2017-10-09,20:00:00,24.691,24.883,24.595,24.85,20707,0
2017-10-09,21:00:00,24.82,24.85,24.6,24.7,60520,0
2017-10-09,22:00:00,24.7,24.78,24.34,24.57,75176,0
2017-10-10,16:00:00,24.62,25.5,24.505,25.05,147843,0
2017-10-10,17:00:00,25.06,26.5,24.96,26.25,279172,0
2017-10-10,18:00:00,26.1936,26.3,25.75,25.93,42675,0
2017-10-10,19:00:00,25.92,25.96,25.2553,25.6555,16911,0
2017-10-10,20:00:00,25.69,25.8,25.4,25.6,73412,0
2017-10-10,21:00:00,25.58,26,25.53,25.9,24480,0
2017-10-10,22:00:00,25.9288,26.1,25.8,26.01,89333,0
2017-10-11,16:00:00,26.3,26.47,25.093,25.6,48109,0
2017-10-11,17:00:00,25.48,26,25.05,25.74,158116,0
2017-10-11,18:00:00,25.52,25.91,25.52,25.91,7930,0
2017-10-11,19:00:00,25.85,26,25.82,25.995,11140,0
2017-10-11,20:00:00,25.995,26,25.66,25.97,19105,0
2017-10-11,21:00:00,25.985,26.69,25.77,25.85,62561,0
2017-10-11,22:00:00,25.85,26,25.44,25.72,63742,0
