Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,13.609,13.638,13.552,13.552,6952,0
2017-05-16,17:00:00,13.558,13.562,13.439,13.485,12964,0
2017-05-16,18:00:00,13.515,13.581,13.429,13.439,14051,0
2017-05-16,19:00:00,13.439,13.49,13.434,13.49,3324,0
2017-05-16,20:00:00,13.505,13.505,13.429,13.429,10793,0
2017-05-16,21:00:00,13.432,13.449,13.372,13.372,7966,0
2017-05-16,22:00:00,13.372,13.402,13.345,13.392,42872,0
2017-05-17,16:00:00,13.316,13.362,13.231,13.362,9623,0
2017-05-17,17:00:00,13.335,13.429,13.335,13.429,11540,0
2017-05-17,18:00:00,13.468,13.609,13.382,13.408,14656,0
2017-05-17,19:00:00,13.392,13.411,13.382,13.411,1284,0
2017-05-17,20:00:00,13.397,13.429,13.326,13.326,5020,0
2017-05-17,21:00:00,13.336,13.344,13.136,13.136,11745,0
2017-05-17,22:00:00,13.136,13.345,13.117,13.336,34612,0
2017-05-18,16:00:00,13.326,13.382,13.284,13.382,6932,0
2017-05-18,17:00:00,13.42,13.459,13.372,13.392,10880,0
2017-05-18,18:00:00,13.362,13.402,13.299,13.382,11146,0
2017-05-18,19:00:00,13.382,13.42,13.354,13.402,8168,0
2017-05-18,20:00:00,13.411,13.42,13.372,13.412,4101,0
2017-05-18,21:00:00,13.402,13.42,13.392,13.412,6639,0
2017-05-18,22:00:00,13.393,13.562,13.392,13.495,27655,0
2017-05-19,16:00:00,13.515,13.515,13.316,13.387,7572,0
2017-05-19,17:00:00,13.42,13.429,13.326,13.326,18430,0
2017-05-19,18:00:00,13.326,13.354,13.109,13.109,20023,0
2017-05-19,19:00:00,13.1,13.249,13.094,13.24,22938,0
2017-05-19,20:00:00,13.24,13.306,13.24,13.306,7244,0
2017-05-19,21:00:00,13.294,13.362,13.289,13.362,7333,0
2017-05-19,22:00:00,13.35,13.362,13.279,13.289,28302,0
2017-05-22,16:00:00,13.289,13.299,13.26,13.26,7357,0
2017-05-22,17:00:00,13.279,13.289,13.259,13.269,1100,0
2017-05-22,18:00:00,13.279,13.325,13.269,13.325,8399,0
2017-05-22,19:00:00,13.306,13.326,13.289,13.316,5820,0
2017-05-22,20:00:00,13.326,13.477,13.316,13.42,53915,0
2017-05-22,21:00:00,13.439,13.439,13.402,13.439,5079,0
2017-05-22,22:00:00,13.42,13.628,13.402,13.572,29920,0
2017-05-23,16:00:00,13.618,13.657,13.572,13.657,10404,0
2017-05-23,17:00:00,13.633,13.657,13.572,13.618,12644,0
2017-05-23,18:00:00,13.638,13.648,13.6,13.638,4390,0
2017-05-23,19:00:00,13.638,13.675,13.591,13.675,22482,0
2017-05-23,20:00:00,13.674,13.685,13.628,13.657,10061,0
2017-05-23,21:00:00,13.667,13.675,13.609,13.609,13895,0
2017-05-23,22:00:00,13.657,13.657,13.485,13.552,40405,0
2017-05-24,16:00:00,13.618,13.66,13.581,13.6,4642,0
2017-05-24,17:00:00,13.591,13.657,13.572,13.6,11130,0
2017-05-24,18:00:00,13.6,13.609,13.6,13.609,5355,0
2017-05-24,19:00:00,13.609,13.609,13.572,13.609,4133,0
2017-05-24,20:00:00,13.609,13.657,13.591,13.657,9074,0
2017-05-24,21:00:00,13.657,13.675,13.648,13.648,4921,0
2017-05-24,22:00:00,13.628,13.657,13.477,13.525,25523,0
2017-05-25,16:00:00,13.525,13.58,13.485,13.515,6720,0
2017-05-25,17:00:00,13.534,13.542,13.495,13.515,5456,0
2017-05-25,18:00:00,13.515,13.552,13.485,13.552,12579,0
2017-05-25,19:00:00,13.551,13.581,13.534,13.581,5762,0
2017-05-25,20:00:00,13.591,13.591,13.562,13.562,1316,0
2017-05-25,21:00:00,13.587,13.623,13.562,13.605,6511,0
2017-05-25,22:00:00,13.605,13.609,13.505,13.515,19443,0
2017-05-26,16:00:00,13.585,13.622,13.467,13.518,7350,0
2017-05-26,17:00:00,13.528,13.528,13.484,13.518,23738,0
2017-05-26,18:00:00,13.52,13.528,13.48,13.488,10717,0
2017-05-26,19:00:00,13.48,13.488,13.384,13.384,8154,0
2017-05-26,20:00:00,13.388,13.414,13.347,13.414,4303,0
2017-05-26,21:00:00,13.394,13.432,13.364,13.364,3990,0
2017-05-26,22:00:00,13.364,13.394,13.347,13.394,32666,0
2017-05-30,16:00:00,13.364,13.394,13.338,13.389,11839,0
2017-05-30,17:00:00,13.374,13.374,13.308,13.333,12719,0
2017-05-30,18:00:00,13.338,13.394,13.333,13.394,6823,0
2017-05-30,19:00:00,13.422,13.432,13.384,13.432,4857,0
2017-05-30,20:00:00,13.432,13.432,13.364,13.422,10690,0
2017-05-30,21:00:00,13.41,13.432,13.394,13.414,12889,0
2017-05-30,22:00:00,13.419,13.419,13.347,13.364,31505,0
2017-05-31,16:00:00,13.347,13.364,13.338,13.364,7133,0
2017-05-31,17:00:00,13.373,13.422,13.35,13.422,7819,0
2017-05-31,18:00:00,13.422,13.576,13.422,13.576,18441,0
2017-05-31,19:00:00,13.576,13.622,13.573,13.622,18389,0
2017-05-31,20:00:00,13.638,13.638,13.613,13.613,6368,0
2017-05-31,21:00:00,13.613,13.62,13.528,13.528,20470,0
2017-05-31,22:00:00,13.542,13.58,13.471,13.48,67847,0
2017-06-01,16:00:00,13.546,13.566,13.518,13.523,2920,0
2017-06-01,17:00:00,13.516,13.604,13.516,13.604,4051,0
2017-06-01,18:00:00,13.608,13.608,13.556,13.585,11922,0
2017-06-01,19:00:00,13.613,13.613,13.584,13.604,2675,0
2017-06-01,20:00:00,13.613,13.622,13.595,13.617,6850,0
2017-06-01,21:00:00,13.622,13.627,13.604,13.619,14221,0
2017-06-01,22:00:00,13.622,13.652,13.576,13.622,35843,0
2017-06-02,16:00:00,13.488,13.559,13.452,13.463,12579,0
2017-06-02,17:00:00,13.488,13.506,13.461,13.497,3412,0
2017-06-02,18:00:00,13.515,13.515,13.432,13.446,8517,0
2017-06-02,19:00:00,13.442,13.442,13.338,13.338,8962,0
2017-06-02,20:00:00,13.373,13.373,13.338,13.338,8602,0
2017-06-02,21:00:00,13.356,13.364,13.338,13.338,5050,0
2017-06-02,22:00:00,13.356,13.404,13.338,13.394,34748,0
2017-06-05,16:00:00,13.364,13.403,13.3,13.328,11306,0
2017-06-05,17:00:00,13.339,13.384,13.339,13.347,4398,0
2017-06-05,18:00:00,13.347,13.374,13.318,13.338,17309,0
2017-06-05,19:00:00,13.328,13.347,13.318,13.347,14162,0
2017-06-05,20:00:00,13.338,13.356,13.328,13.347,3620,0
2017-06-05,21:00:00,13.338,13.347,13.322,13.347,3008,0
2017-06-05,22:00:00,13.328,13.364,13.328,13.356,49137,0
2017-06-06,16:00:00,13.338,13.348,13.328,13.328,11355,0
2017-06-06,17:00:00,13.34,13.342,13.07,13.205,23661,0
2017-06-06,18:00:00,13.232,13.232,13.184,13.204,12371,0
2017-06-06,19:00:00,13.204,13.224,13.146,13.146,14305,0
2017-06-06,20:00:00,13.141,13.176,13.117,13.117,12518,0
2017-06-06,21:00:00,13.146,13.167,13.109,13.109,6111,0
2017-06-06,22:00:00,13.117,13.161,13.08,13.126,29817,0
2017-06-07,16:00:00,13.126,13.176,13.09,13.176,1988,0
2017-06-07,17:00:00,13.194,13.194,13.052,13.117,26191,0
2017-06-07,18:00:00,13.109,13.204,13.1,13.194,8659,0
2017-06-07,19:00:00,13.26,13.29,13.243,13.26,4802,0
2017-06-07,20:00:00,13.25,13.25,13.146,13.25,4006,0
